match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
IVNefzhC,CAF Champions League,Semi-finals,"September 27, 2025",07:00 PM,,,St. Mary's Stadium,Wakiso,Vipers (Uga),African Stars (Nam),1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIPmddNa,CAF Champions League,Semi-finals,"September 19, 2025",07:00 PM,,,,,African Stars (Nam),Vipers (Uga),0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dWJIrfE4,CAF Champions League,Final,"October 18, 2025",04:00 PM,,,,,Aigle Noir (Bur),Al Ahly (Egy),0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rmIQtYrH,CAF Champions League,Final,"October 25, 2025",08:00 PM,,30000,Al Salam Stadium,Cairo,Al Ahly (Egy),Aigle Noir (Bur),1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtOkC8Dc,CAF Champions League,Semi-finals,"September 21, 2025",04:00 PM,,,,,Aigle Noir (Bur),ASAS (Dji),0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W6RcAnrA,CAF Champions League,Semi-finals,"September 27, 2025",02:00 PM,,,,,ASAS (Dji),Aigle Noir (Bur),1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QLQ9sL57,CAF Champions League,Semi-finals,"September 20, 2025",05:30 PM,,,,,Aigles du Congo (Drc),Rivers United (Nga),0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jaIe5OcE,CAF Champions League,Semi-finals,"September 28, 2025",06:00 PM,,16000,Yakubu Gowon Stadium,Port Harcourt,Rivers United (Nga),Aigles du Congo (Drc),1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ktp7sHU7,CAF Champions League,Quarter-finals,"March 15, 2026",11:00 PM,,60000,Stade Olympique Hammadi Agrebi,Radès,Esperance Tunis,Al Ahly,1,0,H,4-2-3-1,4-4-2,7.4,6.5,8,8,5,2,3,4,5,4,3,4,,,0,0,2,7,10,11,26,18,11,10,0,0,2,4,0,0,2,4,45,55,9,17,81,84,291,368,359,436,43,56,20,31,47,55,57,68,52,76,92,112,13,25,1,4,8,16,3,0,35,44,0,1,0,0,1,0,73,79,11,11,15,14,0,2,26,18,11,8,1.75,0.31,1.03,0.04,1.00,0.54,0.04,1.03,0.04,0.03
hpu13biR,CAF Champions League,Quarter-finals,"March 21, 2026",09:00 PM,,75000,Cairo International Stadium,Cairo,Al Ahly,Esperance Tunis,2,3,A,4-2-3-1,4-1-4-1,5.9,7.0,16,10,10,7,2,2,12,5,4,5,1,1,0,0,7,4,12,9,20,19,9,12,3,1,1,3,0,0,4,7,67,33,27,13,88,74,502,215,571,289,58,32,33,13,57,41,81,57,154,39,190,69,31,18,11,2,35,11,3,1,48,34,0,0,1,0,0,0,92,46,12,6,13,13,4,1,10,32,7,9,1.40,1.18,1.63,1.76,1.00,0.16,1.76,1.63,-1.24,0.63
