match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
bF6pzJge,Gaucho,1,"January 11, 2026",02:00 AM,,3600,Eucaliptos,Santa Cruz do Sul,Avenida,Gremio,0,4,A,4-1-4-1,4-1-4-1,5.6,5.5,9,13,1,5,5,7,4,7,5,5,,,0,0,1,7,11,10,13,13,10,11,1,4,1,1,0,0,2,1,25,75,14,35,73,91,142,548,194,603,47,69,17,29,36,42,56,86,42,144,75,168,33,16,4,3,12,19,2,4,34,32,0,1,0,0,0,0,80,71,8,5,10,7,3,1,28,12,7,5,0.90,2.09,0.11,2.88,0.33,2.03,2.88,0.11,-1.12,0.11
QDslloIs,Gaucho - Relegation,5,"February 28, 2026",09:00 PM,,,Estádio Estrela d'Alva,Bage,Guarany de Bage,Avenida,1,1,D,4-2-3-1,4-2-3-1,6.6,7.0,13,10,6,3,4,3,12,5,1,5,,,0,0,5,6,18,15,13,25,15,18,1,1,2,3,0,1,2,5,59,41,22,10,84,73,284,174,337,240,64,36,30,15,47,42,73,53,56,40,77,76,33,17,11,3,33,18,5,3,42,41,1,0,0,0,0,1,80,80,12,8,15,10,3,4,24,22,3,9,2.08,1.46,1.72,1.15,0.79,0.50,1.15,1.72,0.15,0.72
rTpvuAUq,Gaucho - Relegation,2,"February 10, 2026",01:00 AM,,3600,Eucaliptos,Santa Cruz do Sul,Avenida,Guarany de Bage,2,1,H,4-2-3-1,4-3-3,6.7,6.9,13,17,5,3,6,11,6,4,7,13,,,0,0,1,7,18,22,20,26,22,18,3,1,4,7,0,3,2,3,46,54,14,11,76,72,168,189,222,262,49,45,24,20,49,44,61,58,34,42,56,73,28,27,5,4,18,15,4,0,44,46,0,1,0,0,0,0,67,82,6,9,9,11,2,3,29,13,11,7,1.84,0.60,2.05,0.18,0.83,0.35,0.18,2.05,-0.82,0.05
4GKbavGb,Gaucho - Relegation,1,"February 06, 2026",02:30 AM,,8885,Estadio Presidente Vargas,Santa Maria,Inter Santa Maria,Avenida,1,1,D,4-3-3,4-2-3-1,6.5,7.1,14,8,4,3,7,5,8,6,6,2,,,0,0,5,2,19,11,38,21,11,19,3,3,3,6,0,0,2,3,66,34,36,12,81,60,319,120,395,201,53,33,23,22,43,66,68,53,100,44,147,83,17,46,5,6,30,13,4,2,55,55,1,0,1,0,2,1,71,67,10,16,14,24,3,0,16,55,3,8,3.06,0.60,1.68,0.79,2.74,0.43,0.79,1.68,-0.21,0.68
6iq4p3H6,Gaucho - Relegation,6,"March 07, 2026",10:00 PM,,3600,Eucaliptos,Santa Cruz do Sul,Avenida,Inter Santa Maria,0,0,D,4-1-4-1,4-2-3-1,7.3,7.0,23,11,3,4,11,5,17,7,6,4,,,1,2,8,1,12,12,31,15,12,12,1,2,1,2,0,0,3,3,69,31,41,12,85,69,395,155,464,224,49,46,19,25,39,54,73,54,139,30,190,56,27,20,16,1,60,5,2,2,61,58,0,0,0,0,0,0,67,67,10,8,15,12,9,2,10,60,6,11,1.59,1.05,1.35,0.32,1.87,0.10,0.32,1.35,0.32,1.35
plQtJuyf,Gaucho,6,"January 31, 2026",09:30 PM,,8885,Estadio Presidente Vargas,Santa Maria,Inter Santa Maria,Avenida,1,0,H,4-2-3-1,3-4-1-2,7.1,7.6,9,8,1,2,5,3,5,4,4,4,,,0,0,5,6,15,19,28,30,19,15,0,4,4,5,0,0,2,0,51,49,15,12,74,69,186,168,252,245,40,45,23,28,58,62,54,55,44,52,82,95,22,26,5,6,23,23,0,0,55,66,0,0,0,0,0,0,90,73,19,16,21,22,3,3,40,29,5,10,0.54,0.19,0.77,0.07,0.58,0.44,0.07,0.77,0.07,-0.23
86LpaQSN,Gaucho,3,"January 19, 2026",12:00 AM,,10600,Francisco Novelletto Neto,Porto Alegre,Monsoon,Avenida,0,0,D,4-4-2,4-2-3-1,6.8,7.0,12,12,3,2,4,5,4,4,8,8,,,0,0,10,4,24,22,17,26,22,24,0,1,3,2,0,0,2,3,56,44,11,18,83,74,326,236,392,320,69,37,42,22,61,59,72,54,91,61,127,113,17,13,5,2,29,16,0,0,52,48,0,0,0,0,0,0,75,100,6,9,8,9,5,5,29,32,10,9,0.39,0.36,0.44,0.35,0.43,0.75,0.35,0.44,0.35,0.44
GK5OXPX0,Gaucho - Relegation,3,"February 14, 2026",10:00 PM,,3600,Eucaliptos,Santa Cruz do Sul,Avenida,Monsoon,1,1,D,4-2-3-1,4-2-3-1,7.0,6.7,7,16,3,4,3,9,5,10,2,6,1,0,1,0,2,3,16,16,22,19,16,16,2,2,2,3,1,0,3,2,43,57,9,28,75,82,230,323,306,392,41,53,26,16,63,30,49,69,32,68,65,99,23,24,3,5,13,21,2,3,47,46,1,0,0,0,0,0,69,79,11,11,16,14,1,3,25,23,10,12,0.91,1.86,1.76,1.14,0.55,1.25,1.14,1.76,0.14,0.76
fVjIg7fK,Gaucho - Relegation,4,"February 24, 2026",12:00 AM,,10600,Francisco Novelletto Neto,Porto Alegre,Monsoon,Avenida,1,1,D,4-2-3-1,4-2-3-1,6.3,7.3,25,14,9,3,11,9,14,5,11,9,,,1,1,5,0,14,16,24,16,16,14,2,1,4,3,1,0,1,7,50,50,37,25,85,85,342,360,404,422,47,54,24,33,51,61,76,64,95,61,125,95,42,56,8,5,19,9,5,2,44,55,0,1,0,0,0,0,76,71,13,12,17,17,5,2,13,26,13,10,2.65,1.19,1.60,0.31,0.75,1.29,0.31,1.60,-0.69,0.60
WxhZMlxS,Gaucho,5,"January 24, 2026",11:00 PM,,3600,Eucaliptos,Santa Cruz do Sul,Avenida,Novo Hamburgo,1,1,D,5-3-2,4-2-3-1,6.8,7.5,12,12,5,3,3,8,5,6,7,6,,,0,0,5,1,14,14,31,20,14,14,1,1,1,5,0,1,2,3,74,26,20,6,88,72,440,128,502,179,63,42,32,15,51,36,79,64,133,41,168,64,10,29,4,2,40,7,3,1,46,49,0,0,0,0,2,2,67,59,10,10,15,17,4,1,19,52,10,9,0.67,1.24,0.56,0.77,1.13,0.65,0.77,0.56,-0.23,-0.44
