match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
WQT9MzUH,Serie A Betano,10,"April 05, 2026",10:30 PM,29356,47465,MRV Arena,Belo Horizonte,Atletico-MG,Athletico-PR,2,1,H,4-4-2,3-4-2-1,6.7,8.0,15,11,5,3,3,3,7,4,8,7,0,1,0,1,2,8,13,9,15,18,9,13,3,0,0,1,0,0,2,3,49,51,19,11,89,88,427,421,479,477,51,54,26,30,51,56,75,72,79,88,106,122,22,17,2,4,9,24,0,0,48,36,0,0,0,1,0,0,58,44,7,8,12,18,7,5,18,13,9,6,1.28,0.43,0.99,0.83,0.67,0.42,0.83,0.99,-0.17,-1.01
tI8BDuom,Serie A Betano,9,"April 02, 2026",01:00 AM,29316,48902,Arena Fonte Nova,Salvador,Bahia,Athletico-PR,3,0,H,4-3-3,3-4-2-1,8.2,6.7,7,12,5,4,1,6,6,4,1,8,1,0,0,1,3,1,19,15,12,20,15,19,3,3,2,2,0,0,4,2,52,48,15,8,85,86,392,364,462,422,47,39,18,14,38,36,72,76,66,100,92,131,25,7,2,1,8,14,3,1,46,30,1,0,0,1,1,1,69,67,9,4,13,6,1,2,23,12,11,9,0.99,0.57,1.71,0.66,1.26,0.50,0.66,1.71,0.66,-1.29
xUgkXiV8,Serie A Betano,5,"March 30, 2026",12:30 AM,22625,42372,Arena da Baixada,Curitiba,Athletico-PR,Botafogo RJ,4,1,H,3-4-2-1,4-2-3-1,7.1,6.3,11,12,8,3,1,4,6,6,5,6,1,0,0,0,1,8,13,15,15,20,15,13,4,2,2,3,0,0,2,4,46,54,13,17,86,86,301,347,352,404,51,50,24,20,47,40,72,68,61,55,85,81,33,28,2,5,6,18,4,2,33,43,2,4,0,1,0,0,75,62,9,8,12,13,2,5,20,16,6,6,1.34,0.81,3.37,1.50,0.63,0.51,1.50,3.37,0.50,-0.63
8W8c42e5,Serie A Betano,4,"February 26, 2026",12:00 AM,2378,12000,Estádio Municipal Cicero De Souza Marques,Bragança Paulista,Bragantino,Athletico-PR,1,1,D,4-4-2,4-3-3,7.5,6.7,7,18,3,6,3,8,3,9,4,9,,,0,0,2,7,16,18,15,23,18,16,2,2,5,2,2,0,5,2,39,61,12,18,72,84,177,320,246,380,40,45,19,21,47,47,58,78,38,124,65,158,33,26,3,7,9,27,1,4,46,40,0,0,0,0,1,1,73,64,11,7,15,11,1,4,30,9,8,3,0.64,1.00,0.34,1.20,0.34,0.70,1.20,0.34,0.20,-0.66
4CmoinZ8,Serie A Betano,11,"April 12, 2026",04:00 PM,24630,42372,Arena da Baixada,Curitiba,Athletico-PR,Chapecoense-SC,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ts9tvn1,Serie A Betano,2,"February 20, 2026",12:30 AM,,,,,Athletico-PR,Corinthians,0,1,A,4-3-3,4-3-1-2,5.7,6.1,19,4,5,1,12,0,11,0,8,4,,,0,0,8,0,10,15,19,17,15,10,3,1,3,4,0,0,0,4,56,44,35,3,85,75,370,266,434,355,64,29,28,18,44,62,67,42,65,28,97,67,11,0,2,0,18,2,4,0,36,43,1,3,0,0,1,0,70,71,7,10,10,14,2,3,8,32,11,2,2.05,0.15,0.32,0.13,0.52,0.08,0.13,0.32,-0.87,0.32
lSRM6XX2,Serie A Betano,8,"March 22, 2026",09:00 PM,31885,42372,Arena da Baixada,Curitiba,Athletico-PR,Coritiba,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6JUf5xsh,Serie A Betano,7,"March 19, 2026",12:30 AM,20733,42372,Arena da Baixada,Curitiba,Athletico-PR,Cruzeiro,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xhxxOmhe,Serie A Betano,6,"March 15, 2026",09:00 PM,24675,78838,Maracanã,Rio de Janeiro,Fluminense,Athletico-PR,3,2,H,4-2-3-1,3-4-2-1,5.8,7.3,24,4,10,2,9,2,20,3,4,1,0,1,2,0,7,1,9,14,14,14,14,9,2,1,2,3,0,1,0,7,79,21,40,6,93,73,632,133,681,183,52,50,17,20,33,40,87,38,168,17,193,45,40,50,6,2,15,4,5,2,38,37,1,2,0,0,1,0,91,54,10,7,11,13,5,0,16,24,5,8,2.11,0.54,3.57,0.83,1.35,0.26,0.83,3.57,-1.17,0.57
SM0KZVYG,Serie A Betano,1,"January 29, 2026",12:00 AM,14904,51300,Estádio José Pinheiro Borda,Porto Alegre,Internacional,Athletico-PR,0,1,A,4-2-3-1,3-3-1-3,6.1,6.6,19,6,7,2,7,4,12,4,7,2,,,0,0,13,1,11,13,22,24,13,11,4,1,2,1,0,0,1,5,71,29,38,12,86,69,509,167,591,243,43,28,17,15,40,53,76,44,134,28,177,64,20,0,7,0,35,7,4,3,38,43,1,1,0,0,0,0,73,57,8,8,11,14,5,0,18,35,7,12,2.42,1.59,1.32,0.83,1.85,0.81,0.83,1.32,-0.17,0.32
