match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
2HdDJHkt,Egypt Cup,1/16-finals,"December 23, 2025",02:30 PM,,35000,Arab Contractors Stadium,Cairo,Ceramica Cleopatra,Abu Qir Semad,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nLpoOKjK,Egypt Cup,1/16-finals,"December 27, 2025",05:00 PM,,30000,Al Salam Stadium,Cairo,Al Ahly,WE SC,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5hG9APk,Egypt Cup,1/16-finals,"November 29, 2025",05:00 PM,,86000,Borg El Arab Stadium,Alexandria,Al Ittihad,Kahrabaa Ismailia,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dzp5F5wP,Egypt Cup,1/16-finals,"December 22, 2025",02:30 PM,,86000,Borg El Arab Stadium,Alexandria,Al Masry,Dekernes,4,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kz0Gce2T,Egypt Cup,1/8-finals,"January 21, 2026",02:30 PM,,28500,Cairo Military Academy Stadium,Cairo,ZED,Al Masry,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boki2wU0,Egypt Cup,1/16-finals,"December 27, 2025",02:30 PM,,25000,Al-Sekka Al-Hadid Stadium,Cairo,Modern Sport,Al Qanah,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXoP7lf2,Egypt Cup,1/16-finals,"December 01, 2025",07:30 PM,,20000,Gehaz El Reyada El Askari Stadium,Cairo,El Gaish,Al-Sekka,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lAtcHR8C,Egypt Cup,1/16-finals,"December 26, 2025",02:30 PM,,28500,Cairo Military Academy Stadium,Cairo,ZED,Alo Egypt,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QJXlO9vq,Egypt Cup,1/16-finals,"November 30, 2025",05:00 PM,,16000,Petrosport Stadium,Cairo,Enppi,Arab Contractors,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K0szUvB4,Egypt Cup,1/16-finals,"December 04, 2025",02:30 PM,,75000,Cairo International Stadium,Cairo,El Gouna,Asyut Petroleum,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC2b0HbD,Egypt Cup,1/16-finals,"December 28, 2025",02:30 PM,,75000,Cairo International Stadium,Cairo,Zamalek,Baladiyat El Mahalla,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgSJTVGL,Egypt Cup,1/16-finals,"November 27, 2025",05:00 PM,,16000,Petrosport Stadium,Cairo,National Bank Egypt,Bur Fouad,4,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pxcmLhl2,Egypt Cup,Quarter-finals,"March 13, 2026",09:30 PM,,35000,Arab Contractors Stadium,Cairo,Ceramica Cleopatra,El Gaish,0,1,A,4-1-3-2,4-2-3-1,7.5,7.5,19,13,3,3,11,9,11,7,8,6,,,1,0,9,5,13,15,20,13,15,13,1,0,2,2,0,0,3,3,61,39,31,15,86,75,587,322,680,428,67,55,37,46,55,83,75,60,154,47,205,78,35,35,9,7,26,20,1,0,42,40,0,0,0,0,0,0,79,93,11,14,14,15,5,1,12,32,2,15,1.48,0.43,0.27,0.19,1.65,0.34,0.19,0.27,0.19,0.27
OzMJtmum,Egypt Cup,1/8-finals,"February 17, 2026",05:00 PM,,22000,Suez Canal Stadium,Ismailia,Zamalek,Ceramica Cleopatra,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vaw8P6ng,Egypt Cup,1/8-finals,"December 27, 2025",05:00 PM,,20000,Gehaz El Reyada El Askari Stadium,Cairo,El Gaish,Kahrabaa Ismailia,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roMKgwID,Egypt Cup,Semi-finals,"March 18, 2026",09:30 PM,,20000,Gehaz El Reyada El Askari Stadium,Cairo,El Gaish,ZED,1,3,A,4-2-3-1,4-3-2-1,6.0,6.7,12,19,3,8,6,5,5,10,7,9,0,1,0,0,6,4,21,19,26,24,19,21,1,2,3,2,0,0,4,3,51,49,18,26,77,78,365,362,472,466,56,39,49,38,88,97,59,60,89,58,151,97,17,47,5,9,30,19,1,2,66,61,0,0,0,0,0,0,69,78,11,14,16,18,3,6,20,50,12,13,0.77,2.35,0.31,2.37,1.36,1.22,2.37,0.31,-0.63,0.31
6RYYFxIc,Egypt Cup,1/8-finals,"January 20, 2026",02:30 PM,,75000,Cairo International Stadium,Cairo,El Gouna,Pyramids,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nZLcMm9e,Egypt Cup,1/16-finals,"December 01, 2025",05:00 PM,,22000,Harras El Hodood Stadium,Alexandria,Haras El Hodood,El Ismaily,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ERGNpH5,Egypt Cup,1/8-finals,"December 28, 2025",02:30 PM,,16000,Petrosport Stadium,Cairo,National Bank Egypt,Enppi,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWjXIIRj,Egypt Cup,Semi-finals,"April 03, 2026",05:00 PM,,16000,Petrosport Stadium,Cairo,Enppi,Pyramids,0,4,A,4-2-3-1,4-4-2,5.4,6.2,5,13,2,6,2,5,3,10,2,3,,,1,0,3,5,17,14,14,23,14,17,1,1,3,0,0,0,2,1,48,52,9,30,76,81,267,309,351,383,46,47,29,28,63,59,55,70,53,72,96,103,7,16,1,3,14,19,0,1,42,52,0,1,0,0,0,0,67,88,8,15,12,17,1,2,22,19,13,11,0.59,2.40,0.13,2.59,0.33,0.88,2.59,0.13,-1.41,0.13
vRSZx5vC,Egypt Cup,Quarter-finals,"February 21, 2026",09:30 PM,,,,,WE SC,Enppi,0,2,A,4-3-2-1,4-4-2,5.7,6.1,12,14,3,2,6,8,6,8,6,6,,,0,1,2,10,14,16,27,25,16,14,1,2,3,4,0,0,0,3,48,52,16,27,75,74,322,331,429,450,53,50,43,55,81,110,65,64,70,91,107,143,38,23,8,7,21,31,0,1,57,59,0,0,1,0,0,0,80,79,16,15,20,19,3,4,29,25,12,16,0.70,1.05,0.19,0.98,0.55,0.76,0.98,0.19,-1.02,0.19
CzfjSwcE,Egypt Cup,1/16-finals,"November 27, 2025",02:30 PM,,13660,Alexandria Stadium,Alexandria,Smouha,Ghazl El Mahallah,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8vVOLOoI,Egypt Cup,1/8-finals,"January 08, 2026",02:30 PM,,22000,Harras El Hodood Stadium,Alexandria,Haras El Hodood,Smouha,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0PRvR9a,Egypt Cup,Quarter-finals,"February 14, 2026",02:30 PM,,22000,Harras El Hodood Stadium,Alexandria,Haras El Hodood,ZED,1,2,A,3-4-1-2,4-3-3,6.5,6.6,4,13,2,3,1,5,2,6,2,7,,,0,0,0,9,10,20,22,22,20,10,2,7,4,1,0,0,2,1,30,70,5,28,67,82,162,454,242,557,48,55,37,60,77,110,48,55,43,80,89,146,17,25,1,7,6,28,0,3,41,43,0,0,1,0,0,0,70,70,7,7,10,10,1,5,52,21,10,5,0.11,0.65,0.09,0.98,0.15,0.99,0.98,0.09,-0.02,-0.91
Iyemhv9U,Egypt Cup,1/16-finals,"December 22, 2025",05:00 PM,,30000,30 June Stadium,Cairo,Pyramids,Masar,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vLtmhZPj,Egypt Cup,1/8-finals,"January 20, 2026",02:30 PM,,16000,Petrosport Stadium,Cairo,Petrojet,Modern Sport,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jsK6gSRH,Egypt Cup,Quarter-finals,"March 17, 2026",09:30 PM,,16000,Petrosport Stadium,Cairo,Petrojet,Pyramids,0,2,A,4-2-3-1,4-4-2,6.4,7.7,4,12,2,4,2,5,3,10,1,2,,,0,0,0,5,14,17,34,32,17,14,0,4,1,3,0,0,2,2,44,56,6,29,65,72,203,290,312,403,41,48,41,43,99,89,52,55,61,69,117,126,14,25,3,4,22,16,1,3,62,60,0,0,0,0,0,0,71,79,20,19,28,24,0,3,28,20,4,4,0.22,1.50,0.04,1.90,0.60,0.57,1.90,0.04,-0.10,0.04
tGVrSIuH,Egypt Cup,1/16-finals,"November 27, 2025",07:30 PM,,16000,Petrosport Stadium,Cairo,Petrojet,Wadi Degla,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERYAVin9,Egypt Cup,1/16-finals,"November 30, 2025",02:30 PM,,13660,Alexandria Stadium,Alexandria,Pharco,Telephonaat Beni Suef,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xn7v5fl1,Egypt Cup,1/8-finals,"January 13, 2026",02:30 PM,,,Telecom Egypt Club Stadium,Cairo,WE SC,Pharco,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
