match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
KIbkAhzG,Premier League,11,"October 22, 2025",05:00 PM,,30000,Al Salam Stadium,Cairo,Al Ahly,Al Ittihad,2,1,H,4-1-4-1,4-1-3-2,6.8,6.7,13,10,7,3,3,6,6,7,7,3,,,1,0,6,6,10,10,18,20,10,10,3,0,4,4,1,1,2,5,63,37,16,14,86,77,402,206,465,267,65,57,28,31,43,54,73,64,86,49,118,76,12,25,2,3,17,12,1,1,32,30,0,0,0,0,0,1,82,89,9,8,11,9,3,1,17,24,4,9,1.23,1.48,1.63,1.85,0.33,0.86,1.85,1.63,0.85,-0.37
lftKDnb5,Premier League,13,"November 02, 2025",08:00 PM,,30000,Al Salam Stadium,Cairo,Al Ahly,Al Masry,0,0,D,4-1-4-1,4-2-3-1,6.2,7.1,22,1,6,0,13,0,12,0,10,1,,,2,0,7,0,11,9,14,16,9,11,2,3,2,3,0,0,0,6,65,35,39,3,86,75,400,197,464,264,64,47,36,24,56,51,80,58,143,29,178,50,29,0,6,0,21,2,1,0,51,30,0,0,0,0,0,0,82,79,14,11,17,14,3,1,10,32,1,3,2.67,0.02,1.23,0.00,1.00,0.11,0.00,1.23,0.00,1.23
dhejczX7,Premier League,21,"March 05, 2026",09:30 PM,,35000,Arab Contractors Stadium,Cairo,Arab Contractors,Al Ahly,1,3,A,4-4-2,4-3-3,6.1,6.6,13,8,5,3,5,1,8,5,5,3,0,1,0,0,3,3,13,13,23,22,13,13,1,0,2,0,1,0,1,4,31,69,20,23,60,80,127,396,213,496,29,40,12,32,42,80,44,65,37,75,85,115,27,27,4,3,15,11,1,4,39,40,0,0,0,0,0,0,80,64,12,7,15,11,3,4,34,29,8,8,1.05,1.00,0.71,1.74,1.14,1.58,1.74,0.71,-0.26,-0.29
2gsa06o9,Premier League - Championship Group,1,"April 07, 2026",08:00 PM,,35000,Arab Contractors Stadium,Cairo,Ceramica Cleopatra,Al Ahly,1,1,D,5-3-2,4-2-3-1,6.6,7.3,5,24,2,4,2,9,2,15,3,9,,,0,0,2,13,11,17,14,21,17,11,0,2,4,4,0,1,3,1,36,64,4,41,67,83,195,410,290,493,35,64,22,49,62,77,50,72,33,123,66,171,20,26,1,11,5,42,0,0,53,51,0,0,0,0,0,0,58,94,11,16,19,17,1,11,36,11,11,7,0.14,1.84,0.08,0.71,0.43,1.32,0.71,0.08,-0.29,-0.92
Eqb9b1zB,Premier League,7,"September 19, 2025",08:00 PM,,,,,Al Ahly,Ceramica Cleopatra,1,0,H,4-3-3,4-3-3,6.6,6.9,18,5,8,1,5,2,10,4,8,1,,,0,0,4,4,12,15,19,18,15,12,4,1,3,0,0,0,1,7,49,51,35,9,81,80,332,346,411,434,54,33,33,16,61,48,68,51,101,35,148,69,26,27,5,3,19,11,0,0,40,37,0,0,0,0,1,2,70,83,14,10,20,12,5,2,10,24,8,10,1.39,0.31,1.55,0.02,0.89,0.76,0.02,1.55,0.02,0.55
2ayiXXfe,Premier League,15,"March 09, 2026",09:30 PM,,28500,Cairo Military Academy Stadium,Cairo,El Gaish,Al Ahly,2,1,H,4-2-3-1,4-3-3,7.0,7.6,12,22,5,6,2,8,10,14,2,8,1,0,0,0,5,7,7,9,22,16,9,7,2,0,3,0,0,0,5,3,39,61,20,33,80,88,275,469,343,536,51,61,29,37,57,61,68,80,50,161,73,202,33,17,5,5,15,29,1,0,55,41,1,0,0,0,0,0,62,79,13,15,21,19,5,8,46,13,7,6,1.62,2.50,2.01,0.62,1.31,1.35,0.62,2.01,-0.38,0.01
baYpTtGr,Premier League,18,"February 19, 2026",09:30 PM,,75000,Cairo International Stadium,Cairo,Al Ahly,El Gouna,1,0,H,4-4-2,4-1-4-1,7.7,7.3,15,13,5,4,9,7,9,9,6,4,1,0,0,1,8,4,11,10,16,18,10,11,2,3,2,2,0,0,3,4,62,38,22,22,86,76,500,263,581,347,53,47,40,36,76,77,75,57,123,59,163,104,19,29,3,5,16,17,1,0,44,40,0,0,0,0,0,0,69,67,9,10,13,15,1,2,27,20,6,17,1.07,0.56,1.94,0.34,1.31,0.55,0.34,1.94,0.34,0.94
EZ23txY8,Premier League,14,"February 11, 2026",05:00 PM,,5000,Borg El Arab Sports Hall,Borg El Arab,Al Ahly,El Ismaily,2,0,H,4-2-3-1,4-2-3-1,7.6,7.3,9,7,4,3,2,2,6,4,3,3,,,0,0,10,3,7,10,25,21,10,7,1,2,4,1,0,0,3,2,70,30,16,11,87,71,495,165,569,234,71,41,42,24,59,58,66,56,95,40,143,71,25,29,4,5,16,17,3,0,42,33,0,0,0,0,0,0,63,76,10,13,16,17,3,2,28,30,1,8,0.66,0.22,0.74,0.07,0.63,0.46,0.07,0.74,0.07,-1.26
QPdfkxt0,Premier League,6,"September 14, 2025",08:00 PM,,16000,Petrosport Stadium,Cairo,Enppi,Al Ahly,1,1,D,4-2-3-1,4-3-3,7.0,6.7,7,20,3,4,2,8,5,12,2,8,0,1,0,0,5,9,9,13,19,22,13,9,1,0,1,2,0,0,3,2,34,66,10,31,62,82,168,410,270,501,34,53,18,28,53,53,39,73,21,127,54,174,25,30,2,8,8,27,2,0,48,47,0,0,0,0,0,0,78,88,14,7,18,8,2,8,32,10,10,8,1.31,1.32,0.99,1.04,0.18,1.39,1.04,0.99,0.04,-0.01
l49b6zGb,Premier League,4,"August 25, 2025",06:00 PM,,20000,El-Gazel Stadium,El Mahalla El Kubra,Ghazl El Mahallah,Al Ahly,0,0,D,4-2-3-1,4-2-3-1,7.4,6.5,6,18,2,4,3,10,3,9,3,9,,,1,2,1,8,10,15,11,26,15,11,2,2,0,2,0,0,4,2,33,67,7,31,65,81,165,412,252,508,42,53,33,23,79,43,53,65,35,117,66,181,44,24,4,5,9,21,0,0,45,61,0,0,0,0,0,3,78,75,14,15,18,20,1,4,35,10,11,6,0.26,1.13,0.74,0.21,0.67,2.09,0.21,0.74,0.21,0.74
23ap0EBF,Premier League,8,"September 23, 2025",05:00 PM,,22000,Harras El Hodood Stadium,Alexandria,Haras El Hodood,Al Ahly,2,3,A,4-2-3-1,4-3-3,6.1,5.5,4,22,2,8,2,10,2,15,2,7,,,0,1,4,11,5,12,15,23,12,5,5,3,3,0,0,0,5,1,32,68,8,34,60,86,139,415,232,480,37,61,27,36,73,59,44,75,27,130,62,174,14,27,1,8,7,30,1,2,43,42,0,0,0,0,0,0,75,100,15,17,20,17,0,4,37,15,10,9,0.38,4.15,0.43,2.98,0.52,2.73,2.98,0.43,-0.02,-0.57
zmIHnbxh,Premier League,10,"October 04, 2025",08:00 PM,,35000,Arab Contractors Stadium,Cairo,Kahrabaa Ismailia,Al Ahly,2,4,A,4-4-2,4-1-4-1,5.8,6.0,9,9,5,7,3,0,5,4,4,5,1,1,0,0,6,5,7,10,19,23,10,7,4,4,2,2,0,0,3,3,44,56,14,19,78,83,234,323,299,389,45,39,20,21,44,54,64,72,54,104,84,145,33,21,6,3,18,14,0,1,50,32,0,0,0,0,0,0,89,62,16,8,18,13,1,2,22,25,11,9,0.67,0.83,2.03,1.95,0.68,0.84,1.95,2.03,-2.05,0.03
ns8hYUnI,Premier League,1,"August 09, 2025",09:00 PM,,25000,Al-Sekka Al-Hadid Stadium,Cairo,Modern Sport,Al Ahly,2,2,D,4-3-3,4-2-3-1,6.0,7.1,6,16,3,4,1,6,5,8,1,8,1,2,0,1,2,6,10,16,22,13,16,12,4,1,6,2,0,0,2,1,32,68,10,24,72,87,154,398,214,460,46,65,24,31,52,48,57,75,29,117,51,155,33,36,4,9,12,25,0,0,31,46,0,0,0,0,0,0,67,80,6,8,9,10,2,6,25,15,10,3,0.71,1.07,0.94,1.20,0.43,0.59,1.20,0.94,-0.80,-1.06
0UZlB8fc,Premier League,17,"February 03, 2026",08:00 PM,,75000,Cairo International Stadium,Cairo,National Bank Egypt,Al Ahly,1,1,D,4-2-3-1,4-2-3-1,6.2,6.9,7,18,2,2,4,10,5,13,2,5,,,0,0,4,6,10,13,17,37,13,10,1,0,3,2,0,0,1,0,33,67,10,26,79,89,234,517,295,583,49,70,21,37,43,53,74,79,50,148,68,188,50,22,5,8,10,37,0,1,45,42,0,0,0,0,0,0,76,83,16,10,21,12,1,6,47,12,11,1,0.63,1.47,0.69,0.72,0.79,1.36,0.72,0.69,-0.28,-0.31
QiTT2Vqm,Premier League,12,"October 29, 2025",08:00 PM,,28500,Cairo Military Academy Stadium,Cairo,Petrojet,Al Ahly,1,1,D,4-2-3-1,4-1-4-1,7.0,6.5,8,23,1,5,6,11,3,16,4,7,1,1,0,1,1,15,13,24,16,29,24,13,3,1,7,2,0,0,4,0,20,80,4,45,53,84,77,462,144,551,23,62,13,40,56,65,43,72,23,140,54,194,13,30,1,14,8,46,0,3,41,66,0,0,0,0,0,1,86,87,12,13,14,15,1,7,43,13,13,7,0.50,2.75,0.07,2.34,0.34,2.16,2.34,0.07,1.34,-0.93
YZXWQ7dk,Premier League,2,"August 15, 2025",09:00 PM,,30000,Al Salam Stadium,Cairo,Al Ahly,Pharco,4,1,H,4-3-3,5-4-1,6.2,7.2,12,9,6,2,4,2,8,5,4,4,2,0,0,1,0,3,8,8,21,14,9,10,2,3,4,3,1,0,1,2,63,37,23,12,89,74,415,204,467,274,53,52,21,27,40,52,84,59,102,42,122,71,26,8,5,1,19,12,2,1,37,34,1,0,1,0,3,0,44,80,4,8,9,10,2,5,19,21,5,4,1.49,0.90,1.94,0.97,1.22,0.28,0.97,1.94,-0.03,-2.06
l28fO8yp,Premier League,5,"August 30, 2025",09:00 PM,,30000,Al Salam Stadium,Cairo,Al Ahly,Pyramids,0,2,A,4-2-3-1,4-3-3,6.4,6.4,10,12,3,5,4,4,7,6,3,6,0,1,0,1,9,3,11,12,39,29,12,11,3,4,1,1,0,0,3,3,62,38,12,13,78,70,345,192,444,275,42,40,27,29,64,72,62,48,68,30,109,62,32,27,8,3,25,11,0,2,41,44,0,0,0,0,0,0,64,81,7,13,11,16,3,3,17,26,6,9,1.37,0.85,1.63,2.22,1.08,0.51,2.22,1.63,0.22,1.63
