match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
Sti6DhR6,Championship,5,"September 14, 2024",05:00 PM,14087,31367,Ewood Park,Blackburn,Blackburn,Bristol City,3,0,H,4-2-3-1,4-2-3-1,6.9,7.3,10,8,3,2,2,4,,,,,,,,,6,6,,,24,28,14,13,1,2,0,4,0,0,2,0,45,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,
fuH1fqX1,Championship,29,"January 25, 2025",05:00 PM,20945,27000,Ashton Gate Stadium,Bristol,Bristol City,Blackburn,2,1,H,3-4-3,4-2-3-1,6.4,7.6,16,10,5,3,4,4,9,9,7,1,0,1,0,1,1,7,19,8,24,25,8,19,0,3,1,4,0,0,2,3,52,48,16,24,75,77,316,277,421,362,,,,,,,53,61,59,53,111,87,33,20,3,5,9,25,2,4,,,,,,,,,64,57,14,8,22,14,7,3,30,27,8,13,1.62,1.86,,,,,,,,
2R5XEede,Championship,26,"January 04, 2025",02:30 PM,25909,31367,Ewood Park,Blackburn,Blackburn,Burnley,0,1,A,4-2-3-1,4-2-3-1,5.9,6.7,11,4,1,2,5,0,7,3,4,1,0,1,0,0,10,0,18,16,20,18,16,18,3,0,2,2,0,0,1,1,48,52,20,9,80,80,304,336,381,420,,,,,,,62,62,66,83,106,133,14,27,4,3,28,11,0,1,,,,,,,,,64,71,7,12,11,17,5,2,39,35,7,7,0.95,0.24,,,,,,,,
KtXllxbe,Championship,4,"August 31, 2024",02:30 PM,21042,22546,Turf Moor,Burnley,Burnley,Blackburn,1,1,D,4-4-1-1,4-2-3-1,6.6,6.6,16,11,3,3,10,7,,,,,,,,,9,0,,,25,14,16,21,0,2,4,8,0,1,2,2,77,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,
A1MtEyjI,Championship,15,"November 09, 2024",02:30 PM,17188,33280,Cardiff City Stadium,Cardiff,Cardiff,Blackburn,1,3,A,4-2-3-1,4-2-3-1,6.3,6.1,20,10,8,7,5,1,,,,,,,,,12,1,6,11,25,7,11,6,3,1,0,3,0,0,4,7,62,38,,,90,81,492,283,548,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,7,7,1.58,2.27,,,,,,,,
lMASTSGi,Championship,38,"March 15, 2025",05:00 PM,13456,31367,Ewood Park,Blackburn,Blackburn,Cardiff,1,2,A,4-2-3-1,3-1-4-2,6.0,7.2,8,10,2,4,3,5,4,6,4,4,1,2,0,0,3,1,11,14,20,17,14,11,2,2,0,1,0,0,2,1,64,36,18,10,84,58,483,189,573,325,,,,,,,75,42,107,59,143,139,20,20,6,2,30,10,1,0,,,,,,,,,68,60,13,15,19,25,3,1,48,21,9,19,0.53,0.75,,,,,,,,
IZwxVS3j,Championship,28,"January 21, 2025",09:45 PM,12819,31367,Ewood Park,Blackburn,Blackburn,Coventry,0,2,A,4-2-3-1,3-5-2,6.1,6.6,14,9,7,4,6,2,11,6,3,3,0,1,0,1,4,4,15,11,33,19,11,15,2,0,0,1,0,0,2,7,55,45,24,18,83,76,373,273,452,357,,,,,,,64,68,65,74,101,109,26,24,5,5,19,21,1,4,,,,,,,,,83,65,10,11,12,17,1,3,28,30,7,10,0.98,2.74,,,,,,,,
Kvzrgt2D,Championship,8,"October 01, 2024",09:45 PM,24583,32753,Coventry Building Society Arena,Coventry,Coventry,Blackburn,3,0,H,4-2-3-1,4-2-3-1,7.0,7.0,20,11,9,3,5,1,,,,,,,,,5,1,,,31,20,13,13,1,0,1,3,0,0,3,6,44,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,,,,,,,,
04EZ06OH,Championship,1,"August 09, 2024",10:00 PM,17975,31367,Ewood Park,Blackburn,Blackburn,Derby,4,2,H,4-2-3-1,4-3-3,6.5,7.5,12,8,8,4,4,2,,,,,,,,,1,9,11,9,24,20,9,11,2,1,1,3,0,0,2,4,47,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,
t0axkcE5,Championship,36,"March 08, 2025",05:00 PM,29753,33597,Pride Park,Derby,Derby,Blackburn,2,1,H,3-5-2,4-2-3-1,6.7,6.9,9,13,2,4,2,7,9,13,0,0,,,0,0,2,4,16,15,22,18,15,16,1,3,3,3,0,0,3,0,31,69,20,35,58,83,124,404,212,485,,,,,,,47,74,41,93,87,125,21,33,3,8,14,24,3,2,,,,,,,,,31,62,4,8,13,13,5,2,20,23,14,5,1.96,1.43,,,,,,,,
