match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
IJaUSl7b,Conference League,Quarter-finals,"July 24, 2024",09:00 PM,19766,32500,Allwyn Arena,Athens,AEK Athens (Gre),Inter Escaldes (And),4,3,H,4-4-2,4-5-1,5.6,6.3,25,5,13,4,7,0,,,,,,,,,7,2,,,,,5,10,5,1,3,2,0,0,1,9,61,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,
vZmwRSyB,Conference League,Quarter-finals,"August 01, 2024",07:30 PM,870,1800,Estadi Comunal,Andorra la Vella,Inter Escaldes (And),AEK Athens (Gre),0,4,A,4-3-3,4-2-3-1,5.1,5.8,12,8,3,4,8,3,,,,,,,,,5,3,,,,,9,8,1,4,1,3,0,0,0,3,55,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
2FwsG8nI,Conference League,Semi-finals,"August 06, 2024",07:00 PM,2800,3100,Abovyan City Stadium,Abovyan,Noah (Arm),AEK Athens (Gre),3,1,H,4-3-3,4-2-3-1,7.4,6.5,9,7,7,2,2,4,,,,,,,,,3,7,,,,,14,18,0,0,4,3,0,0,1,4,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,
OURkEnHU,Conference League,Semi-finals,"August 15, 2024",08:30 PM,11468,32500,Allwyn Arena,Athens,AEK Athens (Gre),Noah (Arm),1,0,H,4-2-3-1,4-3-3,7.1,6.8,21,7,6,2,9,5,,,,,,,,,12,4,,,,,11,19,1,0,6,5,0,0,2,5,65,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,
jsB2jrGG,Conference League,Quarter-finals,"July 25, 2024",09:00 PM,2277,6150,Fehérvári úti stadion,Paks,Paks (Hun),AEK Larnaca (Cyp),3,0,H,3-5-2,4-2-3-1,7.6,6.5,9,7,4,4,3,1,,,,,,,,,4,4,,,,,19,12,1,2,3,3,0,0,4,1,41,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
n94BlMpT,Conference League,Quarter-finals,"August 01, 2024",07:00 PM,3249,8058,AEK Arena,Larnaca,AEK Larnaca (Cyp),Paks (Hun),0,2,A,4-2-3-1,5-3-2,5.9,5.8,17,6,8,3,7,2,,,,,,,,,11,2,,,,,6,15,3,2,2,2,0,0,1,8,61,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,
I1d8zWSF,Conference League,1/8-finals,"July 18, 2024",10:00 PM,21667,34500,Stadion Asim Ferhatović Hase,Sarajevo,FK Sarajevo (Bih),Aktobe (Kaz),3,3,D,4-4-2,3-5-2,6.3,5.9,25,15,9,4,10,5,,,,,,,,,9,4,,,,,26,19,2,0,6,4,1,0,1,7,60,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,
MZ2axhb3,Conference League,1/8-finals,"July 11, 2024",06:00 PM,12400,13200,Koblandy Batyr Stadium,Aktobe,Aktobe (Kaz),FK Sarajevo (Bih),0,1,A,5-4-1,4-3-1-2,6.2,6.0,16,9,7,2,7,3,,,,,,,,,4,4,,,,,15,25,2,2,2,6,0,0,1,7,60,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,
xr5WdQ15,Conference League - League phase,2,"October 24, 2024",07:45 PM,9173,22859,GSP Stadium,Nicosia,APOEL,Borac Banja Luka,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2oYFiijJ,Conference League,1/16-finals,"February 20, 2025",10:00 PM,9108,22859,GSP Stadium,Nicosia,APOEL,Celje,0,2,A,3-4-3,4-3-3,6.9,6.0,9,18,4,8,2,8,5,12,4,6,0,1,0,1,4,7,16,17,24,19,17,16,3,2,4,3,0,0,6,4,51,49,10,34,77,76,304,297,393,389,,,,,,,51,63,47,77,92,123,19,31,4,5,21,16,0,4,,,,,,,,,71,55,10,6,14,11,3,2,27,30,13,13,0.25,2.11,,,,,,,,
