match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
2uLSQBUp,Europa League - League phase,1,"September 26, 2024",10:00 PM,54010,55865,Johan Cruijff Arena,Amsterdam,Ajax,Besiktas,4,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CbCpx6eE,Europa League,1/8-finals,"March 06, 2025",10:00 PM,52641,55865,Johan Cruijff Arena,Amsterdam,Ajax,Eintracht Frankfurt,1,2,A,4-3-3,4-4-2,7.1,6.9,12,17,3,5,5,8,9,10,3,7,1,0,1,0,7,4,10,8,17,10,8,10,2,2,2,2,0,0,3,2,52,48,24,28,86,84,435,402,507,480,,,,,,,79,76,96,94,121,124,15,18,4,2,26,11,3,3,,,,,,,,,50,70,5,7,10,10,4,4,28,29,15,10,1.66,1.60,,,,,,,,
IeFhzpQQ,Europa League,1/8-finals,"March 13, 2025",07:45 PM,57500,59500,Deutsche Bank Park,Frankfurt,Eintracht Frankfurt,Ajax,4,1,H,4-2-3-1,4-3-3,7.1,7.1,16,12,9,5,5,6,11,4,5,8,,,0,0,2,6,7,8,10,21,8,7,1,0,0,0,0,0,4,5,53,47,26,18,87,83,498,411,573,498,,,,,,,80,83,133,87,166,105,18,13,3,2,17,16,3,0,,,,,,,,,57,62,12,13,21,21,2,1,26,20,11,14,2.45,0.56,,,,,,,,
AstlYgxB,Europa League - League phase,8,"January 30, 2025",10:00 PM,54100,55865,Johan Cruijff Arena,Amsterdam,Ajax,Galatasaray,2,1,H,4-3-3,4-2-1-3,8.2,7.0,12,28,6,9,5,12,8,19,4,9,,,0,0,2,10,8,16,13,15,16,8,2,3,1,3,0,0,8,4,39,61,20,41,81,87,305,495,375,567,,,,,,,63,80,55,155,88,194,0,20,0,8,15,40,3,2,,,,,,,,,35,91,6,10,17,11,1,7,42,17,16,3,1.44,2.71,,,,,,,,
IV7NjZjM,Europa League,Final,"August 29, 2024",09:00 PM,54010,55865,Johan Cruijff Arena,Amsterdam,Ajax (Ned),Jagiellonia (Pol),3,0,H,4-3-3,4-4-2,6.6,6.8,21,3,9,0,9,3,,,,,,,,,4,1,,,,,15,6,1,0,1,1,0,0,0,6,67,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,
dGJEheM9,Europa League,Final,"August 22, 2024",09:45 PM,19553,22432,Chorten Arena,Bialystok,Jagiellonia (Pol),Ajax (Ned),1,4,A,4-4-1-1,4-3-3,6.6,5.5,6,17,1,10,3,4,,,,,,,,,3,6,,,,,3,7,0,0,1,2,0,0,6,0,42,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,
QTlyIMUF,Europa League - League phase,6,"December 12, 2024",10:00 PM,50127,55865,Johan Cruijff Arena,Amsterdam,Ajax,Lazio,1,3,A,4-3-3,4-2-3-1,6.0,6.6,16,9,6,6,8,2,15,6,1,3,,,2,0,2,0,18,8,20,14,8,18,2,1,3,3,0,0,3,5,54,46,42,26,85,84,486,413,570,490,,,,,,,68,65,100,68,146,104,27,0,4,0,15,5,5,3,,,,,,,,,59,47,13,7,22,15,2,1,20,17,11,9,2.10,1.55,,,,,,,,
SblXyxwn,Europa League - League phase,4,"November 07, 2024",10:00 PM,53719,55865,Johan Cruijff Arena,Amsterdam,Ajax,Maccabi Tel Aviv,5,0,H,4-3-3,4-3-3,7.3,7.5,19,11,10,3,7,2,,,,,,,,,4,2,15,18,10,15,18,15,1,1,3,3,0,0,3,5,62,38,,,92,86,610,345,660,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,9,9,3.68,1.02,,,,,,,,
0n5a4Q5d,Europa League,Semi-finals,"August 08, 2024",09:00 PM,24452,75000,- Olympic Stadium of Athens. Game H2H Bracket Summary Stats Lineups Commentary 1st Half 0 - 1 28' 0 - 1 Berghuis S.,Fitz-Jim K.,Panathinaikos (Gre),Ajax (Ned),0,1,A,4-2-3-1,4-3-3,6.4,6.1,11,8,4,3,5,4,,,,,,,,,4,3,,,,,16,16,2,1,5,1,0,0,2,4,48,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,
ShcoSTc3,Europa League,Semi-finals,"August 15, 2024",09:15 PM,54089,55865,Johan Cruijff Arena,Amsterdam,Ajax (Ned),Panathinaikos (Gre),1,1,D,4-3-3,4-2-3-1,7.0,6.4,20,10,7,4,9,5,,,,,,,,,6,4,,,,,14,14,3,0,2,7,0,0,3,7,53,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,
