match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
8GEmmmha,UEFA Nations League - League B,3,"October 11, 2024",09:45 PM,17823,18349,epet ARENA,Prague,Czech Republic,Albania,2,0,H,3-4-3,4-2-1-3,6.9,7.2,19,7,5,2,9,4,,,,,,,,,4,3,12,15,22,11,15,12,0,0,1,1,0,0,2,3,61,39,,,83,80,434,273,526,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,5,13,1.49,0.28,,,,,,,,
t660poxI,UEFA Nations League - League B,5,"November 16, 2024",09:45 PM,20800,22500,Air Albania Stadium,Tirana,Albania,Czech Republic,0,0,D,4-3-3,3-4-3,6.7,6.9,9,8,2,2,3,4,4,1,5,7,,,0,2,2,6,15,11,16,19,11,15,0,1,1,2,0,0,2,2,43,57,6,17,79,83,297,406,377,487,,,,,,,70,64,60,94,86,146,17,35,1,8,6,23,0,1,,,,,,,,,40,29,8,4,20,14,4,2,38,9,4,11,0.36,0.40,,,,,,,,
n7ZM1n7h,UEFA Nations League - League B,2,"September 10, 2024",09:45 PM,20400,22500,Air Albania Stadium,Tirana,Albania,Georgia,0,1,A,4-3-2-1,3-5-2,6.2,6.4,8,14,0,3,5,6,,,,,,,,,1,4,13,10,,,10,13,1,0,1,2,0,0,2,0,49,51,,,90,89,503,515,561,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,0.14,0.93,,,,,,,,
rZSVaQy5,UEFA Nations League - League B,4,"October 14, 2024",07:00 PM,19981,27223,Mikheil Meskhi Stadium,Tbilisi,Georgia,Albania,0,1,A,4-1-4-1,4-2-1-3,6.5,6.9,16,10,3,4,7,3,,,,,,,,,11,3,10,11,21,13,11,10,1,1,1,3,0,0,3,3,64,36,,,90,83,571,303,631,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,8,10,1.33,0.55,,,,,,,,
EJ48rP6U,UEFA Nations League - League B,1,"September 07, 2024",09:45 PM,15500,18349,epet ARENA,Prague,Ukraine,Albania,1,2,A,4-1-4-1,4-2-3-1,6.2,7.0,16,12,3,5,7,6,,,,,,,,,5,4,14,19,,,17,13,2,1,0,2,0,0,3,2,55,45,,,89,85,430,301,485,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,0.85,1.34,,,,,,,,
hpzJ2Sin,UEFA Nations League - League B,6,"November 19, 2024",09:45 PM,20547,22500,Air Albania Stadium,Tirana,Albania,Ukraine,1,2,A,4-3-3,4-1-4-1,7.0,5.9,10,15,2,8,6,6,3,9,7,6,0,1,0,0,5,3,17,12,22,12,12,17,0,0,3,1,0,0,6,1,55,45,13,19,89,84,463,363,519,432,,,,,,,80,65,111,81,139,124,10,13,2,1,20,8,2,2,,,,,,,,,70,62,7,16,10,26,2,1,10,20,7,5,1.62,1.42,,,,,,,,
48gzcl2s,UEFA Nations League - League D,6,"November 19, 2024",09:45 PM,3142,16997,Ta'Qali National Stadium,Ta' Qali,Malta,Andorra,0,0,D,3-4-3,5-4-1,7.0,7.0,7,10,3,3,1,5,2,6,5,4,,,0,1,2,4,28,7,28,19,7,28,3,0,2,4,1,0,3,3,57,43,8,16,74,70,327,233,439,332,,,,,,,53,39,50,34,95,87,11,20,1,2,9,10,2,1,,,,,,,,,73,62,8,8,11,13,3,2,16,25,4,16,0.53,0.60,,,,,,,,
fcnmfnn0,UEFA Nations League - League D,2,"September 10, 2024",09:45 PM,812,3306,Estadi Nacional,Andorra la Vella,Andorra,Malta,0,1,A,5-4-1,3-4-1-2,6.2,5.7,8,8,4,3,2,4,,,,,,,,,3,4,16,16,,,15,14,1,2,3,1,0,0,2,4,46,54,,,69,73,212,277,306,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,0.92,0.66,,,,,,,,
r5m91UgQ,UEFA Nations League - League D,3,"October 10, 2024",07:00 PM,6442,10500,Stadionul Zimbru,Chişinău,Moldova,Andorra,2,0,H,5-4-1,4-4-2,6.2,7.2,7,6,2,0,5,4,,,,,,,,,2,5,20,15,35,26,15,20,3,1,4,4,0,0,0,0,56,44,,,68,58,282,180,413,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,12,14,0.50,0.26,,,,,,,,
xMireSWg,UEFA Nations League - League D,5,"November 16, 2024",07:00 PM,984,3306,Estadi Nacional,Andorra la Vella,Andorra,Moldova,0,1,A,5-4-1,5-4-1,6.8,7.2,7,16,3,6,2,6,5,11,2,5,,,0,0,1,3,22,20,28,25,20,22,1,0,3,4,0,0,5,3,36,64,16,33,55,75,152,357,278,479,,,,,,,39,60,38,90,97,150,25,25,2,6,8,24,1,3,,,,,,,,,46,80,11,12,24,15,2,4,44,16,10,10,0.35,1.32,,,,,,,,
MRSwsCVP,UEFA Nations League - League C,5,"November 14, 2024",07:00 PM,6043,14968,Vazgen Sargsyan Republican Stadium,Yerevan,Armenia,Faroe Islands,0,1,A,4-3-3,3-4-3,6.1,6.3,25,2,9,2,10,0,11,2,14,0,,,0,0,16,1,5,6,27,19,6,5,1,1,3,3,0,0,1,9,73,27,36,9,87,58,587,149,673,258,,,,,,,81,41,232,42,287,102,17,14,6,1,35,7,2,2,,,,,,,,,64,67,9,16,14,24,6,0,19,43,11,7,1.22,0.85,,,,,,,,
zZ8EzA8g,UEFA Nations League - League C,3,"October 10, 2024",09:45 PM,1852,6500,Tórsvøllur,Torshavn,Faroe Islands,Armenia,2,2,D,4-5-1,4-3-3,6.7,7.1,9,20,4,6,3,5,,,,,,,,,4,9,8,10,21,20,10,8,5,1,1,3,0,0,4,2,42,58,,,77,85,266,398,346,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,,,16,9,0.63,1.54,,,,,,,,
ObiADEiI,UEFA Nations League,Final,"March 23, 2025",04:00 PM,47903,54139,Boris Paichadze Dinamo Arena,Tbilisi,Georgia,Armenia,6,1,H,4-4-1-1,4-3-2-1,6.5,7.1,16,7,9,2,7,5,11,3,5,4,,,1,0,4,3,10,10,12,14,10,10,1,0,1,3,0,0,1,3,65,35,25,11,88,77,587,280,664,362,67,47,28,22,42,47,75,64,108,63,144,99,25,38,3,3,12,8,4,1,48,37,0,1,0,3,1,0,50,64,9,9,18,14,0,0,9,15,14,10,1.91,0.48,3.88,0.46,1.20,0.54,0.46,4.75,-0.54,-1.32
SWc1FzN5,UEFA Nations League,Final,"March 20, 2025",07:00 PM,14414,14968,Vazgen Sargsyan Republican Stadium,Yerevan,Armenia,Georgia,0,3,A,3-5-2,4-2-3-1,5.8,6.1,8,10,2,5,3,4,3,10,5,0,,,0,0,7,3,11,10,20,23,10,11,2,0,1,2,0,0,2,2,41,59,11,28,84,89,341,524,404,587,50,63,25,39,50,62,57,77,45,98,79,128,8,20,1,2,13,10,0,3,50,49,1,0,1,0,0,0,57,72,13,13,23,18,3,1,19,23,9,6,0.29,1.69,0.37,2.02,0.21,0.71,2.02,0.37,-0.98,0.37
hAJ9yjgm,UEFA Nations League - League C,1,"September 07, 2024",07:00 PM,12436,14968,Vazgen Sargsyan Republican Stadium,Yerevan,Armenia,Latvia,4,1,H,3-4-3,3-4-1-2,6.5,5.9,17,3,5,1,5,1,,,,,,,,,8,3,16,12,,,10,14,0,1,0,2,0,0,1,1,57,43,,,86,79,542,341,633,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,1.49,0.15,,,,,,,,
raCMYmw6,UEFA Nations League - League C,6,"November 17, 2024",04:00 PM,5543,6747,Skonto stadions,Riga,Latvia,Armenia,1,2,A,3-5-2,5-3-2,6.2,6.5,8,15,2,5,2,6,6,12,2,3,0,1,0,1,0,9,9,9,24,23,9,9,2,0,2,1,0,0,3,1,51,49,29,22,78,79,322,317,411,400,,,,,,,64,74,79,95,123,129,25,27,6,4,24,15,1,2,,,,,,,,,57,54,8,7,14,13,4,4,15,24,6,14,0.70,2.02,,,,,,,,
EJK5xWws,UEFA Nations League - League C,4,"October 13, 2024",07:00 PM,14371,14968,Vazgen Sargsyan Republican Stadium,Yerevan,Armenia,North Macedonia,0,2,A,5-4-1,4-3-3,5.9,6.6,16,6,3,3,9,2,,,,,,,,,4,2,12,10,25,18,10,12,2,2,2,1,0,0,1,3,58,42,,,85,76,419,278,493,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,7,9,1.01,0.45,,,,,,,,
lxDIZTNa,UEFA Nations League - League C,2,"September 10, 2024",09:45 PM,6829,34460,National Arena Toshe Proeski,Skopje,North Macedonia,Armenia,2,0,H,3-4-3,4-3-3,8.4,7.4,13,14,5,6,6,2,,,,,,,,,4,3,16,9,,,8,12,1,4,5,2,1,0,6,3,47,53,,,83,87,308,451,373,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,0.92,0.55,,,,,,,,
pv3mEGdF,UEFA Nations League - League B,5,"November 14, 2024",05:00 PM,9753,23804,Almaty Central Stadium,Almaty,Kazakhstan,Austria,0,2,A,5-4-1,4-2-3-1,6.9,6.8,6,23,1,8,3,11,1,16,5,7,,,0,1,1,4,8,12,26,20,12,8,0,3,1,0,1,0,6,1,35,65,4,44,67,83,216,500,324,600,,,,,,,53,72,30,153,57,212,25,48,2,11,8,23,0,6,,,,,,,,,83,54,15,13,18,24,2,4,30,6,12,14,0.10,2.70,,,,,,,,
z9Ldigk2,UEFA Nations League - League B,3,"October 10, 2024",09:45 PM,14500,19080,Raiffeisen Arena,Linz,Austria,Kazakhstan,4,0,H,4-2-3-1,5-4-1,6.8,7.6,29,5,8,1,10,1,,,,,,,,,15,3,17,10,23,18,10,17,1,0,1,2,0,0,1,4,66,34,,,84,71,493,221,588,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,8,13,3.06,0.14,,,,,,,,
SrIlgFKk,UEFA Nations League - League B,4,"October 13, 2024",09:45 PM,16500,19080,Raiffeisen Arena,Linz,Austria,Norway,5,1,H,4-2-3-1,4-3-3,6.2,7.4,16,8,10,1,6,7,,,,,,,,,3,1,8,8,11,13,8,8,1,0,1,3,0,0,0,5,66,34,,,88,77,503,230,573,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,5,9,2.28,0.80,,,,,,,,
xEauGxS2,UEFA Nations League - League B,2,"September 09, 2024",09:45 PM,23171,27200,Ullevaal Stadion,Oslo,Norway,Austria,2,1,H,4-3-3,4-3-3,6.7,7.5,6,8,4,3,2,3,,,,,,,,,5,1,9,6,,,6,8,0,1,0,1,0,0,2,2,45,55,,,85,86,343,445,402,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,0.88,0.88,,,,,,,,
6L7LToaD,UEFA Nations League,Final,"March 20, 2025",09:45 PM,46400,50865,Ernst Happel Stadion,Vienna,Austria,Serbia,1,1,D,4-2-3-1,3-4-1-2,6.2,7.2,24,8,4,1,11,3,16,3,8,5,,,0,0,3,2,9,11,24,10,11,9,2,1,0,0,0,0,0,3,69,31,39,7,88,73,536,205,611,280,75,33,36,17,48,52,77,65,141,26,184,40,26,0,7,0,27,6,5,0,52,52,0,0,0,0,2,0,68,53,13,10,19,19,9,4,11,30,8,6,2.31,0.36,0.77,0.75,1.90,0.07,0.75,0.77,-0.25,-0.23
MTk8ikiK,UEFA Nations League,Final,"March 23, 2025",07:00 PM,22112,53000,Stadion Rajko Mitić,Belgrade,Serbia,Austria,2,0,H,3-4-2-1,4-2-3-1,7.7,7.4,13,12,4,5,5,4,8,7,5,5,,,2,0,2,3,8,9,17,24,9,8,2,4,2,2,0,1,5,2,35,65,22,30,77,88,237,502,309,569,61,60,34,30,56,50,71,79,54,139,76,176,7,20,1,5,14,25,3,1,37,38,0,0,0,1,1,0,58,58,7,7,12,12,4,3,42,14,6,7,1.44,1.15,1.21,1.77,0.43,1.35,1.77,1.21,1.77,-0.79
dIMhhZZe,UEFA Nations League - League B,6,"November 17, 2024",07:00 PM,46000,50865,Ernst Happel Stadion,Vienna,Austria,Slovenia,1,1,D,4-2-3-1,4-4-2,6.6,6.9,22,9,4,3,14,4,16,3,6,6,,,0,0,3,0,9,12,19,28,12,9,4,0,1,2,0,0,2,3,67,33,43,7,85,68,558,219,656,320,,,,,,,72,47,155,20,216,43,37,17,7,1,19,6,4,1,,,,,,,,,92,47,11,9,12,19,4,2,12,18,9,6,2.29,0.69,,,,,,,,
