match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
zF2vhaVG,Ligue 1,12,"November 09, 2025",06:15 PM,11575,18752,Stade Raymond-Kopa,Angers,Angers,Auxerre,2,0,H,4-2-3-1,4-1-2-3,7.8,7.4,9,12,5,5,3,5,2,6,7,6,,,1,1,3,3,14,19,26,16,19,14,2,2,2,2,0,0,5,4,49,51,11,17,84,84,373,391,444,465,39,43,13,23,33,53,70,69,57,82,82,118,13,46,2,6,16,13,2,0,40,46,0,0,0,1,0,0,64,67,9,10,14,15,1,2,19,19,10,13,0.66,0.70,0.97,0.47,0.30,0.71,0.47,0.97,0.47,-0.03
27cNRmaL,Ligue 1,6,"September 28, 2025",06:15 PM,,,,,Angers,Brest,0,2,A,4-2-3-1,4-2-3-1,5.9,6.5,11,7,2,3,5,3,7,6,4,1,,,0,0,11,4,13,13,19,21,13,13,2,1,1,1,0,0,1,2,57,43,30,11,85,73,384,266,452,366,59,41,23,33,39,80,71,57,99,50,140,88,26,33,11,3,43,9,0,2,44,49,0,0,0,0,0,1,63,61,5,11,8,18,4,1,20,34,12,8,0.48,1.57,0.13,2.03,0.95,0.54,2.03,0.13,0.03,0.13
KIKWhfY0,Ligue 1,17,"January 04, 2026",06:15 PM,16099,25178,Stade Océane,Le Havre,Le Havre,Angers,2,1,H,4-1-2-3,4-2-3-1,6.8,7.8,11,9,6,3,3,3,8,6,3,3,,,1,0,6,6,8,15,24,24,15,8,1,2,1,1,0,0,2,3,50,50,15,19,82,77,325,313,398,409,45,48,20,20,44,42,63,67,70,69,112,103,19,20,6,4,32,20,3,1,47,54,0,0,0,0,0,0,68,67,13,12,19,18,2,3,37,28,10,10,1.02,0.56,1.34,0.97,0.53,0.69,0.97,1.34,-0.03,-0.66
bkiK9OdJ,Ligue 1,14,"November 30, 2025",06:15 PM,12979,18752,Stade Raymond-Kopa,Angers,Angers,Lens,1,2,A,4-2-3-1,3-4-2-1,6.9,6.6,7,17,5,6,2,10,5,11,2,6,1,0,0,2,2,8,11,7,20,20,7,11,5,2,1,1,0,0,4,4,45,55,12,27,78,86,330,440,425,514,38,59,18,23,48,39,67,72,35,106,52,148,20,35,2,9,10,26,3,3,58,54,1,0,0,0,0,0,69,64,18,16,26,25,0,1,27,13,15,19,1.16,2.05,1.18,1.71,0.31,1.75,1.71,1.18,-0.29,0.18
vgQi3gRP,Ligue 1,27,"March 20, 2026",09:45 PM,37303,38223,Stade Bollaert-Delelis,Lens,Lens,Angers,5,1,H,3-4-2-1,4-2-3-1,7.4,7.5,26,16,9,5,12,6,16,12,10,4,,,0,0,7,3,5,7,17,18,7,5,0,3,0,0,0,0,4,4,57,43,48,22,90,84,530,364,592,435,68,50,28,16,41,32,80,71,129,59,162,83,48,37,10,7,21,19,6,1,45,42,1,1,0,1,1,0,53,80,9,16,17,20,5,5,16,15,13,13,3.40,1.58,4.07,1.52,2.53,0.88,1.52,4.07,0.52,-0.93
nBFFSr25,Ligue 1,11,"November 02, 2025",06:15 PM,38802,50186,Stade Pierre-Mauroy,Villeneuve d'Ascq,Lille,Angers,1,0,H,4-2-3-1,4-2-3-1,6.9,8.1,15,6,4,1,8,1,11,2,4,4,,,1,0,9,2,10,10,16,22,10,10,1,3,1,0,0,0,1,3,54,46,36,19,86,84,466,396,545,469,60,52,29,22,48,42,72,70,112,56,156,80,25,10,5,1,20,10,5,0,50,38,1,0,0,0,0,0,63,85,10,11,16,13,3,4,18,23,9,10,2.04,0.36,1.14,0.48,1.67,0.25,0.48,1.14,0.48,0.14
rkcdKWqR,Ligue 1,23,"February 22, 2026",06:15 PM,,18752,Stade Raymond-Kopa,Angers,Angers,Lille,0,1,A,4-2-3-1,4-2-3-1,7.5,6.2,6,14,2,5,3,6,3,12,2,2,,,0,1,1,7,11,14,29,10,14,11,2,1,3,1,0,0,4,2,45,55,18,35,82,88,374,475,455,542,50,48,25,22,50,46,63,74,50,96,80,129,31,39,4,7,13,18,0,4,44,48,1,0,0,0,2,2,69,70,11,14,16,20,1,3,18,13,9,19,0.39,2.34,0.25,1.77,0.74,1.82,1.77,0.25,0.77,0.25
EZlWdxn3,Ligue 1,22,"February 15, 2026",06:15 PM,13720,16787,Stade du Moustoir,Lorient,Lorient,Angers,2,0,H,3-4-2-1,4-2-3-1,7.5,7.6,8,10,2,3,5,3,5,5,3,5,,,0,0,3,2,8,7,23,13,7,8,1,1,0,0,0,0,3,0,59,41,17,13,89,87,573,392,641,453,54,54,22,19,41,35,71,68,70,63,99,93,20,60,3,6,15,10,2,0,36,38,1,1,0,0,0,0,81,77,13,10,16,13,1,4,10,20,7,11,0.95,0.42,0.89,0.47,0.54,0.59,0.47,0.89,0.47,-1.11
Mmlr5Tnp,Ligue 1,9,"October 26, 2025",07:15 PM,11682,18752,Stade Raymond-Kopa,Angers,Angers,Lorient,2,0,H,4-2-3-1,3-4-2-1,8.2,6.2,7,23,4,4,1,8,5,14,2,9,,,0,0,1,6,6,14,16,20,14,6,0,1,1,0,0,0,4,2,37,63,11,29,83,89,317,547,380,616,46,60,19,28,41,47,76,76,39,118,51,155,50,23,1,7,2,31,3,2,44,43,0,0,0,0,1,1,50,71,8,12,16,17,2,11,26,11,10,8,0.93,1.99,0.61,1.35,0.51,1.07,1.35,0.61,1.35,-1.39
MuKE8l35,Ligue 1,28,"April 05, 2026",03:00 PM,,18752,Stade Raymond-Kopa,Angers,Angers,Lyon,0,0,D,5-3-2,4-2-3-1,7.1,7.0,7,11,1,2,2,4,4,5,3,6,,,0,0,3,7,13,14,21,18,14,13,1,0,3,0,0,0,2,1,32,68,11,30,76,87,205,525,271,603,41,45,21,25,51,55,55,71,38,104,69,147,33,25,5,5,15,20,0,1,39,48,1,0,0,0,0,0,58,53,7,10,12,19,4,5,20,19,12,10,0.29,0.74,0.01,0.12,0.47,0.96,0.12,0.01,0.12,0.01
tK3L7S7k,Ligue 1,5,"September 19, 2025",09:45 PM,44437,59186,Parc Olympique Lyonnais,Lyon,Lyon,Angers,1,0,H,4-2-3-1,4-3-3,7.2,7.3,16,10,5,2,7,4,10,8,6,2,,,1,1,7,4,10,16,19,10,16,10,1,1,2,2,0,0,2,4,67,33,26,14,91,80,529,227,583,284,47,43,16,16,34,37,77,69,90,24,117,35,25,33,6,5,24,15,3,3,39,44,0,1,0,0,2,0,58,62,7,8,12,13,4,4,20,20,6,7,1.81,1.18,2.21,0.71,1.35,0.43,0.71,2.21,0.71,1.21
OSAOLq84,Ligue 1,18,"January 17, 2026",10:05 PM,16500,18752,Stade Raymond-Kopa,Angers,Angers,Marseille,2,5,A,4-2-3-1,3-4-2-1,6.3,5.6,7,23,3,11,2,8,6,14,1,9,0,1,0,1,6,2,8,9,11,15,9,8,1,1,1,1,0,0,6,1,34,66,14,24,85,93,302,672,356,726,33,70,8,33,24,47,71,78,45,97,63,124,6,17,1,2,18,12,2,7,36,40,0,1,0,0,0,2,55,57,11,12,20,21,2,4,19,9,3,6,0.94,2.84,2.00,4.71,0.24,2.14,4.71,2.00,-0.29,0.00
fLYQLzkL,Ligue 1,10,"October 29, 2025",11:05 PM,65000,67394,Stade Vélodrome,Marseille,Marseille,Angers,2,2,D,4-2-3-1,4-2-3-1,7.0,7.0,11,12,6,6,4,2,8,7,3,5,,,0,0,1,5,7,11,17,17,11,7,1,3,2,1,0,0,4,4,59,41,20,15,89,82,564,349,636,427,49,33,20,14,41,43,74,55,134,36,180,66,7,13,1,2,14,15,2,1,40,43,0,1,1,1,1,1,63,63,10,10,16,16,1,4,22,25,6,6,1.32,1.04,1.32,1.52,0.81,0.46,1.52,1.32,-0.48,-0.68
8YTN2tQh,Ligue 1,4,"September 14, 2025",06:15 PM,21107,28786,Stade Saint-Symphorien,Metz,Metz,Angers,1,1,D,4-2-3-1,4-2-3-1,7.1,6.0,9,11,5,4,1,6,7,7,2,3,,,1,0,4,3,6,10,19,13,10,7,1,3,0,1,0,0,3,4,55,45,12,21,89,87,481,387,542,443,53,61,23,22,43,36,70,64,86,52,122,81,13,27,2,3,16,11,3,4,44,46,0,0,0,0,0,3,68,63,17,15,25,24,3,1,14,32,6,6,1.71,2.26,3.13,2.21,0.47,1.18,2.21,3.13,1.21,2.13
8tr8yVJP,Ligue 1,20,"February 01, 2026",06:15 PM,10367,18752,Stade Raymond-Kopa,Angers,Angers,Metz,1,0,H,4-2-3-1,4-3-3,7.0,8.1,17,5,7,0,5,2,12,4,5,1,,,0,0,4,3,11,11,18,15,11,11,1,1,2,2,0,1,1,6,67,33,28,9,92,80,613,262,666,328,76,40,19,23,25,57,82,60,170,37,208,62,13,11,3,1,23,9,1,0,43,38,1,2,0,0,1,0,44,46,7,6,16,13,5,3,24,25,10,10,1.50,0.45,1.88,0.00,1.05,0.27,0.00,1.88,0.00,0.88
dWoHjUXj,Ligue 1,8,"October 18, 2025",08:00 PM,13423,18752,Stade Raymond-Kopa,Angers,Angers,Monaco,1,1,D,4-4-2,4-2-3-1,6.9,6.8,16,11,3,4,4,4,10,8,6,3,,,1,0,10,3,14,15,15,27,15,14,0,0,2,2,0,0,3,2,42,58,26,18,82,86,327,488,397,568,41,52,24,17,59,33,73,62,48,57,66,92,18,36,4,4,22,11,2,2,44,48,1,2,0,0,1,1,83,50,15,9,18,18,9,3,17,22,11,10,1.77,1.89,1.10,0.42,1.65,0.76,0.42,1.10,-0.58,0.10
lASUYVbK,Ligue 1,24,"February 28, 2026",08:00 PM,5186,18523,Stade Louis II,Monaco,Monaco,Angers,2,0,H,3-4-2-1,3-5-2,7.9,9.1,10,6,4,2,4,2,8,6,2,0,1,0,0,0,5,2,10,9,14,16,9,10,1,0,0,3,0,0,2,2,72,28,24,11,90,78,699,229,778,294,66,50,19,17,29,34,74,67,139,33,188,49,42,24,8,4,19,17,3,1,54,40,0,0,0,0,1,1,95,44,19,7,20,16,2,2,18,16,9,16,1.51,0.74,1.22,0.58,1.69,0.51,0.58,1.22,0.58,-0.78
WUBivnhc,Ligue 1,25,"March 07, 2026",06:00 PM,25142,35322,Stade de la Beaujoire,Nantes,Nantes,Angers,0,1,A,5-3-2,3-5-2,7.0,6.9,13,11,3,4,8,5,7,8,6,3,,,0,0,3,4,19,14,26,22,14,19,1,3,1,1,0,0,3,3,48,52,25,17,82,83,305,345,371,417,53,40,26,19,49,48,54,64,50,50,93,78,26,40,9,6,34,15,1,1,64,54,1,2,0,0,1,0,55,69,11,11,20,16,2,2,23,33,12,5,0.84,0.70,0.77,1.47,1.23,0.61,1.47,0.77,0.47,0.77
