match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
6y23wOic,2. Bundesliga,15,"December 06, 2025",02:00 PM,25000,26000,Vonovia Ruhrstadion,Bochum,Bochum,Arminia Bielefeld,1,0,H,4-2-3-1,4-3-3,7.9,7.3,13,15,6,6,6,5,9,8,3,7,1,0,0,1,4,5,12,22,32,25,22,12,1,3,5,2,0,0,6,4,41,59,17,15,71,79,204,322,287,409,37,29,22,13,59,45,62,59,55,53,89,90,19,21,3,4,16,19,3,2,57,75,0,2,0,0,0,1,72,68,13,15,18,22,1,4,26,38,7,7,1.95,1.35,1.51,1.38,0.99,0.85,1.38,1.51,1.38,0.51
6Ty414bM,2. Bundesliga,21,"February 08, 2026",02:30 PM,26750,27332,Schüco Arena,Bielefeld,Arminia Bielefeld,Braunschweig,3,2,H,4-1-4-1,3-4-2-1,6.4,6.9,21,12,8,4,8,5,15,7,6,5,1,1,0,0,9,1,11,13,17,22,13,11,2,0,1,3,0,0,2,5,47,53,36,16,67,75,233,310,350,414,36,31,25,21,70,67,57,58,67,62,118,106,36,25,12,4,33,16,2,2,88,63,1,1,0,1,0,1,52,82,14,9,27,11,5,3,36,46,6,9,1.85,0.78,3.22,1.32,1.35,0.99,1.32,3.22,-0.68,0.22
pxSqGxLq,2. Bundesliga,4,"August 30, 2025",02:00 PM,21068,23325,Eintracht-Stadion,Braunschweig,Braunschweig,Arminia Bielefeld,1,1,D,3-3-2-2,4-3-3,7.4,7.0,8,13,3,6,2,3,3,8,5,5,,,0,0,3,7,12,16,24,30,16,12,3,0,3,3,0,0,5,2,30,70,13,32,64,82,160,474,249,579,30,44,19,27,63,61,52,72,45,146,87,204,14,20,1,5,7,25,1,1,45,68,0,0,0,0,1,0,64,70,9,16,14,23,3,4,34,24,14,4,1.38,1.24,1.18,1.09,0.68,1.06,1.09,1.18,0.09,0.18
CzfW1MJF,2. Bundesliga,11,"November 01, 2025",09:30 PM,15000,17810,Merck-Stadion am Bollenfalltor,Darmstadt,Darmstadt,Arminia Bielefeld,2,2,D,3-4-2-1,4-3-3,6.5,7.8,19,10,8,3,7,4,15,5,4,5,,,1,0,9,9,12,14,20,20,14,12,0,2,4,1,0,0,1,6,54,46,31,22,83,79,396,319,480,406,49,40,29,21,59,52,70,61,86,62,122,101,16,0,3,0,19,15,3,1,61,45,1,0,0,0,2,0,63,50,12,5,19,10,4,3,25,28,10,6,2.02,0.63,2.91,0.49,2.21,0.40,0.49,2.91,-1.51,0.91
bqIzMpbd,2. Bundesliga,28,"April 04, 2026",01:00 PM,25134,27332,Schüco Arena,Bielefeld,Arminia Bielefeld,Darmstadt,2,1,H,4-5-1,4-2-3-1,5.5,6.9,25,7,8,2,14,5,16,2,9,5,1,0,0,0,8,4,16,10,25,14,10,16,2,1,2,5,0,0,1,6,53,47,43,8,74,72,261,243,352,338,52,42,34,35,65,84,62,56,88,54,143,96,26,8,11,1,42,12,6,0,63,55,1,1,1,1,0,0,38,80,3,8,8,10,3,0,20,46,8,9,2.28,0.28,2.12,0.18,1.88,0.37,0.18,2.12,-0.82,0.12
6gLfzSaN,2. Bundesliga,20,"February 01, 2026",02:30 PM,30840,32249,Rudolf-Harbig-Stadion,Dresden,SG Dynamo Dresden,Arminia Bielefeld,1,1,D,4-3-3,4-3-3,7.4,7.8,12,17,5,6,5,4,8,8,4,9,1,0,0,0,3,5,12,13,13,19,13,12,0,4,2,3,1,0,5,4,47,53,14,30,78,80,326,375,417,467,35,42,21,21,60,50,56,66,43,69,77,104,15,15,2,4,13,26,1,1,61,41,0,1,0,1,0,0,48,67,10,6,21,9,2,7,43,23,10,5,0.97,1.64,1.56,0.97,0.38,0.63,0.97,1.56,-0.03,0.56
W4zFC3Ei,2. Bundesliga,3,"August 24, 2025",02:30 PM,26075,27332,Schüco Arena,Bielefeld,Arminia Bielefeld,SG Dynamo Dresden,1,2,A,4-3-3,4-2-3-1,7.1,6.1,12,21,2,7,8,8,10,16,2,5,,,0,0,4,5,16,12,20,24,13,17,2,2,3,3,1,0,5,1,57,43,23,46,77,69,327,221,425,321,44,31,29,21,66,67,62,69,66,99,107,143,29,35,7,9,24,26,2,2,55,59,0,0,0,0,0,0,82,57,9,12,11,21,2,6,35,32,8,3,0.86,1.84,0.57,2.24,1.23,2.29,2.24,0.57,0.24,-0.43
K2Qu0Z0d,2. Bundesliga,18,"January 16, 2026",07:30 PM,39304,54600,Merkur Spiel-Arena,Düsseldorf,Dusseldorf,Arminia Bielefeld,1,0,H,3-1-4-2,3-3-2-2,7.0,7.4,12,7,3,2,7,3,9,4,3,3,1,0,0,1,2,2,17,12,18,24,12,17,0,1,0,0,0,0,2,2,54,46,30,17,78,77,356,300,454,391,39,40,29,24,75,60,63,61,79,65,125,107,30,13,6,2,20,15,3,0,78,56,0,1,0,0,0,0,71,33,17,5,24,15,2,2,27,26,10,7,1.36,0.36,0.92,0.06,1.64,0.58,0.06,0.92,0.06,-0.08
SdcjmSTr,2. Bundesliga,1,"August 02, 2025",09:30 PM,26601,27332,Schüco Arena,Bielefeld,Arminia Bielefeld,Dusseldorf,5,1,H,4-3-3,4-5-1,7.3,6.4,15,11,9,3,4,6,9,7,6,4,1,0,0,1,8,3,14,12,18,18,12,14,3,4,4,4,0,1,2,4,64,36,27,15,84,74,460,224,547,304,49,36,27,21,55,58,65,56,78,56,120,100,24,33,5,4,21,12,3,3,40,52,1,1,0,0,0,1,82,73,9,11,11,15,2,2,22,23,7,10,2.61,1.01,3.71,0.90,1.03,0.38,0.90,3.71,-0.13,-1.29
02TNzpLG,2. Bundesliga,10,"October 25, 2025",02:00 PM,24856,27332,Schüco Arena,Bielefeld,Arminia Bielefeld,Elversberg,2,0,H,4-3-3,4-2-3-1,7.4,6.8,10,16,2,2,4,5,9,9,1,7,,,0,1,3,6,12,13,19,20,13,12,1,2,2,2,0,0,2,1,31,69,25,34,71,87,176,514,248,589,54,53,26,18,48,34,64,75,51,138,80,183,14,11,3,3,22,27,1,1,65,44,0,0,0,0,0,0,48,62,12,8,25,13,4,9,45,26,12,11,0.76,0.92,0.26,0.17,0.60,1.00,0.17,0.26,0.17,-0.74
