match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
dOsfHi7C,Coppa Italia,Final,"August 17, 2025",10:15 PM,71061,80018,Stadio Giuseppe Meazza,San Siro,AC Milan,Bari,2,0,H,3-5-2,4-3-3,6.8,7.4,24,6,5,1,8,5,12,1,12,5,1,0,1,0,12,1,6,13,18,9,14,6,2,2,1,0,0,0,1,3,65,35,58,6,92,84,604,299,653,357,76,37,28,17,37,46,86,60,196,32,229,53,36,17,9,1,25,6,2,0,40,39,0,0,0,0,0,0,50,83,9,10,18,12,11,0,4,26,5,7,2.42,0.28,1.94,0.13,1.98,0.25,0.13,1.94,0.13,-0.06
UcuV0FZA,Coppa Italia,1/8-finals,"December 04, 2025",10:00 PM,41718,70634,Stadio Olimpico,Rome,Lazio,AC Milan,1,0,H,4-3-3,3-5-2,7.1,7.2,11,9,4,2,4,5,5,7,6,2,1,0,0,0,6,2,16,8,10,19,9,16,3,0,0,2,0,0,2,3,42,58,18,17,87,89,399,573,460,643,58,72,25,39,43,54,69,70,60,83,87,119,20,58,3,7,15,12,2,2,44,36,0,1,0,0,0,0,31,70,5,7,16,10,3,2,21,29,7,2,0.56,0.97,0.59,0.48,0.45,1.16,0.48,0.59,0.48,-0.41
fV3kxprh,Coppa Italia,1/16-finals,"September 23, 2025",10:00 PM,54418,80018,Stadio Giuseppe Meazza,San Siro,AC Milan,Lecce,3,0,H,3-5-2,5-3-2,6.8,7.5,24,2,10,1,11,1,18,1,6,1,,,4,0,12,2,8,11,12,16,11,8,1,1,2,1,0,1,1,6,77,23,35,3,94,80,691,177,734,221,76,42,29,16,38,38,88,44,179,8,203,18,38,25,10,1,26,4,9,0,37,33,0,1,0,0,3,0,73,60,8,6,11,10,3,0,8,24,6,8,4.33,0.17,3.11,0.42,3.21,0.05,0.42,3.11,0.42,0.11
nHEM6Zzq,Coppa Italia,1/8-finals,"January 13, 2026",10:00 PM,60538,70634,Stadio Olimpico,Rome,AS Roma,Torino,2,3,A,3-4-3,3-5-2,5.7,6.0,10,10,5,5,5,4,9,7,1,3,1,0,0,0,4,5,17,10,23,23,10,17,0,3,2,2,0,0,2,3,61,39,26,16,81,72,444,249,549,344,43,28,26,17,61,61,72,66,121,49,168,74,13,17,2,2,15,12,4,3,62,47,0,0,0,0,1,1,65,65,13,13,20,20,0,1,24,20,12,27,1.81,1.24,2.24,1.92,1.49,0.95,1.92,2.24,-1.08,0.24
nT4jpxVs,Coppa Italia,1/8-finals,"December 03, 2025",04:00 PM,11651,24950,New Balance Arena,Bergamo,Atalanta,Genoa,4,0,H,3-4-2-1,3-5-2,7.1,8.0,22,4,7,1,11,2,17,3,5,1,2,0,2,0,8,4,9,14,18,18,14,9,2,0,0,0,0,1,2,3,66,34,46,11,88,72,505,215,573,300,50,31,17,21,34,67,79,40,127,21,160,53,29,38,8,3,28,8,6,0,41,48,0,1,0,0,2,0,53,65,10,13,19,20,4,1,12,29,7,10,3.04,0.18,2.74,0.02,1.81,0.44,0.02,2.74,0.02,-1.26
baWtW3x9,Coppa Italia,Quarter-finals,"February 05, 2026",10:00 PM,22623,24950,New Balance Arena,Bergamo,Atalanta,Juventus,3,0,H,3-4-2-1,4-2-3-1,7.0,7.7,8,13,4,2,0,9,5,9,3,4,,,0,1,1,6,8,11,17,23,11,8,2,2,0,0,0,0,2,1,42,58,19,34,80,82,273,385,341,470,53,36,30,15,57,42,70,69,79,87,113,126,18,47,2,9,11,19,3,4,46,55,0,0,0,0,0,1,35,56,6,9,17,16,4,2,29,23,11,4,1.59,1.82,2.07,0.15,0.66,2.23,0.15,2.07,0.15,-0.93
M3qfkkSk,Coppa Italia,Semi-finals,"March 04, 2026",10:00 PM,5000,70634,Stadio Olimpico,Rome,Lazio,Atalanta,2,2,D,4-3-3,3-4-2-1,6.1,6.5,6,10,3,3,2,5,3,5,3,5,0,1,0,1,1,3,13,5,19,12,5,13,1,2,0,3,0,0,1,1,49,51,20,16,87,88,438,459,505,519,73,59,43,27,59,46,78,79,107,104,137,131,9,27,1,4,11,15,2,1,42,27,0,0,0,1,1,1,64,23,7,3,11,13,1,2,9,15,12,10,1.02,0.65,1.17,0.93,0.80,0.51,0.93,1.17,-1.07,-0.83
6g1xUUjI,Coppa Italia,Final,"August 10, 2025",09:30 PM,,7453,Stadio Domenico Monterisi,Cerignola,Audace Cerignola,Avellino,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xp8sStuo,Coppa Italia,Final,"August 18, 2025",07:00 PM,3500,7453,Stadio Domenico Monterisi,Cerignola,Audace Cerignola,Verona,1,2,A,3-5-2,3-5-1-1,7.1,6.9,13,14,8,5,2,7,7,8,6,6,,,0,0,6,4,15,13,24,26,14,16,0,0,4,2,0,0,4,7,51,49,12,14,79,78,294,273,373,350,43,65,29,37,67,57,56,65,44,85,79,131,20,12,2,2,10,17,1,0,52,67,1,1,0,0,0,1,61,61,11,14,18,23,3,2,24,36,11,11,0.61,0.87,0.71,0.42,0.29,0.92,0.42,0.71,-0.58,-0.29
0KKE2Vjf,Coppa Italia,Quarter-finals,"February 11, 2026",10:00 PM,15000,38279,Stadio Renato Dall'Ara,Bologna,Bologna,Lazio,1,2,A,4-2-3-1,4-3-3,6.2,6.4,13,5,2,2,6,3,8,4,5,1,1,0,0,0,5,2,12,17,17,21,17,12,1,1,3,2,0,0,1,1,49,51,21,9,84,88,385,439,458,497,41,52,22,22,54,42,61,67,75,40,122,60,27,0,6,0,22,4,2,2,46,35,1,0,0,0,0,2,36,100,5,3,14,3,5,0,10,22,8,11,0.80,1.22,0.61,1.35,1.06,1.38,1.35,0.61,0.35,-0.39
