match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
K4Nt7kwP,Serie A,22,"January 25, 2026",09:45 PM,63582,70634,Stadio Olimpico,Rome,AS Roma,AC Milan,1,1,D,3-4-2-1,3-5-2,6.4,6.6,15,5,7,2,3,2,11,4,4,1,0,1,0,0,5,3,11,15,23,15,15,11,1,1,0,4,0,0,1,6,58,42,47,12,87,83,511,359,586,434,61,40,25,19,41,47,80,68,196,53,246,78,19,18,5,2,27,11,4,1,43,50,0,2,0,0,1,0,50,43,6,9,12,21,5,1,12,26,10,9,2.73,0.44,2.59,1.01,1.56,0.46,1.01,2.59,0.01,1.59
xzkPewcM,Serie A,10,"November 02, 2025",09:45 PM,75048,80018,Stadio Giuseppe Meazza,San Siro,AC Milan,AS Roma,1,0,H,3-5-2,3-4-2-1,8.5,7.0,17,20,8,6,7,10,13,14,4,6,,,1,0,7,8,13,12,10,13,12,13,2,1,1,5,0,0,7,6,37,63,27,33,83,90,259,470,313,523,39,45,16,17,41,38,72,86,58,151,81,176,36,29,5,11,14,38,6,1,49,59,4,3,0,0,0,0,55,55,6,12,11,22,2,4,36,22,2,10,3.32,1.95,1.51,1.41,1.41,1.21,1.41,1.51,1.41,0.51
fFwxWhIU,Serie A,9,"October 28, 2025",10:45 PM,23157,24950,New Balance Arena,Bergamo,Atalanta,AC Milan,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4GwJgMje,Serie A,3,"September 14, 2025",09:45 PM,69593,80018,Stadio Giuseppe Meazza,San Siro,AC Milan,Bologna,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nusOJSMU,Serie A,23,"February 03, 2026",09:45 PM,30932,38279,Stadio Renato Dall'Ara,Bologna,Bologna,AC Milan,0,3,A,4-2-3-1,3-5-2,5.5,6.6,13,10,2,7,9,2,7,10,6,0,,,0,0,5,0,10,14,20,18,14,10,0,1,3,0,0,0,4,2,54,46,29,20,88,84,430,361,491,429,78,49,50,24,64,49,79,78,134,49,169,63,38,67,10,4,26,6,0,9,47,43,0,0,2,0,0,1,39,43,7,6,18,14,2,1,11,28,7,7,0.46,2.66,0.15,2.58,0.91,0.97,2.58,0.15,-0.42,0.15
hKQvL2qH,Serie A,18,"January 02, 2026",09:45 PM,16412,16416,Unipol Domus,Cagliari,Cagliari,AC Milan,0,1,A,3-5-1-1,3-5-2,6.6,6.3,6,11,1,4,4,4,4,7,2,4,,,0,0,6,7,8,10,14,23,10,8,0,2,2,1,0,0,3,1,46,54,14,28,87,87,389,470,447,538,46,56,21,30,46,54,66,71,54,102,82,144,11,46,2,6,19,13,0,1,44,51,0,1,0,0,0,0,77,43,17,6,22,14,1,3,20,26,5,9,0.37,0.70,0.02,1.34,0.26,0.81,1.34,0.02,0.34,0.02
AsUcWVnf,Serie A,16,"January 15, 2026",09:45 PM,11960,13602,Stadio Giuseppe Sinigaglia,Como,Como,AC Milan,1,3,A,4-2-3-1,3-5-2,5.8,6.0,18,7,8,4,7,3,10,4,8,3,1,0,1,0,8,4,5,7,17,11,7,5,0,3,1,0,0,0,1,8,68,32,30,10,94,79,617,254,659,320,67,28,16,13,24,46,88,55,148,36,168,66,23,22,7,2,30,9,2,2,37,40,0,0,0,0,2,1,42,40,5,8,12,20,3,0,18,34,7,7,1.87,1.28,2.88,1.15,1.52,0.36,1.15,2.88,-1.85,1.88
UaOruI4E,Serie A,24,"February 18, 2026",09:45 PM,75251,80018,Stadio Giuseppe Meazza,San Siro,AC Milan,Como,1,1,D,3-5-2,3-4-2-1,6.5,7.2,6,10,4,4,2,3,5,7,1,3,,,0,0,4,4,12,11,21,14,11,12,5,1,2,3,0,0,3,3,54,46,11,19,91,91,461,401,509,443,60,52,21,13,35,25,75,81,81,80,108,99,24,56,4,5,17,9,2,3,45,41,0,0,1,0,0,0,44,73,12,11,27,15,0,3,8,14,8,7,0.77,1.34,1.07,1.18,0.70,1.22,1.18,1.07,0.18,0.07
UL33PJum,Serie A,1,"August 23, 2025",09:45 PM,,,,,AC Milan,Cremonese,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6IBGyNk,Serie A,27,"March 01, 2026",01:30 PM,14711,20641,Stadio Giovanni Zini,Cremona,Cremonese,AC Milan,0,2,A,3-5-2,3-5-2,6.6,6.7,15,20,3,6,7,9,10,15,5,5,0,1,0,0,6,7,10,14,17,15,14,10,2,3,2,0,0,0,4,3,47,53,18,32,82,86,300,374,366,435,46,54,25,20,54,37,75,79,83,103,111,130,21,24,7,5,34,21,1,7,45,53,0,2,0,0,1,2,56,36,9,5,16,14,5,5,25,32,7,10,0.99,3.64,0.28,3.04,0.75,1.78,3.04,0.28,1.04,0.28
CvKy7oq2,Serie A,7,"October 19, 2025",09:45 PM,71475,80018,Stadio Giuseppe Meazza,San Siro,AC Milan,Fiorentina,2,1,H,3-5-1-1,3-5-2,6.8,6.9,14,5,4,1,7,3,10,2,4,3,,,0,0,1,3,12,14,20,24,14,12,0,2,3,3,0,0,1,2,56,44,21,10,87,85,424,306,485,362,60,40,26,18,43,45,75,69,109,58,145,84,31,14,4,3,13,22,3,1,48,32,0,1,0,0,0,0,71,71,15,5,21,7,3,1,21,16,4,9,1.98,1.08,1.19,0.99,0.59,0.25,0.99,1.19,-0.01,-0.81
