match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
jerJlvM7,Serie B,15,"November 30, 2024",04:00 PM,5456,19500,Stadio Mario Rigamonti,Brescia,Brescia,Bari,1,1,D,4-3-1-2,3-4-3,6.3,7.1,12,14,4,2,7,6,,,,,,,,,2,3,28,17,16,20,23,15,0,1,3,3,0,0,1,3,46,54,,,77,80,281,333,366,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,
ltFwmz4n,Serie B,22,"January 18, 2025",06:15 PM,11980,58270,Stadio San Nicola,Bari,Bari,Brescia,2,2,D,3-5-2,4-4-2,7.0,7.5,18,11,7,7,8,3,13,7,5,3,2,0,0,0,6,1,13,16,25,30,16,13,2,0,1,2,0,0,5,5,57,43,26,17,76,60,266,167,352,277,,,,,,,75,50,95,53,126,107,28,8,8,1,29,13,5,0,,,,,,,,,73,69,8,11,11,16,3,1,48,43,5,9,2.88,0.86,,,,,,,,
WhYYsEn2,Serie B,11,"October 29, 2024",10:30 PM,14603,58270,Stadio San Nicola,Bari,Bari,Carrarese,0,0,D,3-5-2,3-5-2,7.4,7.7,14,9,6,4,5,5,,,,,,,,,3,3,23,19,22,19,20,11,6,1,3,3,0,0,4,6,60,40,,,86,80,438,268,509,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,
n732lvEt,Serie B,31,"March 30, 2025",03:00 PM,4149,5280,Stadio dei Marmi,Carrara,Carrarese,Bari,2,1,H,3-5-2,3-4-2-1,7.4,6.4,11,21,5,6,4,9,4,10,7,11,1,0,0,1,7,7,13,14,18,13,14,13,1,0,2,4,0,0,5,3,44,56,23,19,79,84,239,314,304,373,41,38,22,15,54,39,68,77,68,88,100,114,8,35,1,8,13,23,2,1,59,58,0,0,0,0,0,0,60,83,9,20,15,24,2,6,20,25,3,14,0.66,1.07,1.94,1.25,1.24,1.06,1.25,1.94,0.25,-0.06
l6GSBYB4,Serie B,32,"April 06, 2025",03:00 PM,10318,14650,Stadio Nicola Ceravolo,Catanzaro,Catanzaro,Bari,3,3,D,3-5-2,3-5-2,5.9,6.9,13,9,6,4,4,3,9,8,4,1,1,0,0,0,11,3,12,5,19,18,5,12,0,1,0,1,0,0,1,3,60,40,31,24,87,81,431,259,496,318,42,48,15,16,36,33,73,78,118,72,161,92,27,32,9,7,33,22,4,3,43,31,0,0,0,0,1,0,44,56,8,9,18,16,3,2,24,40,10,4,1.54,1.21,2.36,1.37,1.21,1.00,1.37,2.36,-1.63,-0.64
xG2T9TzJ,Serie B,9,"October 18, 2024",09:30 PM,18615,58270,Stadio San Nicola,Bari,Bari,Catanzaro,1,1,D,3-5-2,3-5-2,7.6,7.2,16,18,5,7,6,8,,,,,,,,,2,5,19,23,8,16,16,15,5,1,3,3,0,0,6,4,42,58,,,83,90,306,435,368,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,
Wrwx18BU,Serie B,16,"December 07, 2024",04:00 PM,14696,58270,Stadio San Nicola,Bari,Bari,Cesena,1,0,H,3-4-1-2,3-4-2-1,7.2,7.3,5,18,3,3,2,6,,,,,,,,,1,4,16,15,15,25,12,11,1,2,2,4,0,0,3,2,41,59,,,80,85,289,433,360,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,,,,,,,,,,,
h8E1fwT9,Serie B,23,"January 25, 2025",04:00 PM,12949,23860,Stadio Dino Manuzzi,Cesena,Cesena,Bari,1,1,D,3-4-2-1,3-5-2,6.8,6.9,10,11,2,4,5,2,7,7,3,4,,,1,0,5,6,15,16,16,13,16,15,1,0,3,3,1,0,3,1,34,66,19,20,73,87,206,494,283,567,,,,,,,59,83,44,144,74,174,40,11,6,2,15,18,1,0,,,,,,,,,46,70,6,14,13,20,3,5,26,11,8,9,1.34,0.81,,,,,,,,
SvjfPNhd,Serie B,14,"November 24, 2024",04:00 PM,14109,58270,Stadio San Nicola,Bari,Bari,Cittadella,3,2,H,3-4-1-2,3-5-2,6.0,6.9,15,13,5,3,7,7,,,,,,,,,7,8,20,16,20,29,19,10,4,1,3,4,0,0,1,2,47,53,,,75,74,285,301,381,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,
dhB9PRFi,Serie B,38,"May 09, 2025",09:30 PM,4962,7623,Stadio Pier Cesare Tombolato,Cittadella,Cittadella,Bari,3,1,H,4-3-2-1,3-5-2,6.3,6.7,19,12,7,2,11,6,8,9,11,3,1,0,0,1,2,3,15,17,22,21,17,15,0,0,2,3,0,0,1,4,50,50,17,27,76,73,297,289,392,394,39,43,15,33,38,77,73,61,99,77,136,126,33,28,8,5,24,18,3,1,52,70,0,0,0,0,0,0,47,45,7,10,15,22,1,4,29,27,9,11,1.86,0.85,2.90,1.80,1.21,0.68,1.80,2.90,-0.07,-0.10
