match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
CMSwuj24,Eerste Divisie,11,"October 17, 2025",09:00 PM,3664,4501,Yanmar Stadion,Almere,Almere City,Cambuur,1,1,D,4-2-3-1,4-3-3,8.3,7.1,10,22,4,9,5,8,4,15,6,7,,,0,0,4,10,8,18,15,15,18,8,0,2,2,2,0,0,8,3,36,64,11,41,74,86,217,445,293,515,38,58,24,32,64,55,56,77,35,117,63,151,18,24,2,6,11,25,1,3,38,60,0,0,0,0,0,1,87,100,13,15,15,15,1,5,29,20,7,2,0.78,1.95,1.15,2.13,0.38,1.82,2.13,1.15,1.13,0.15
jy6Ic57U,Eerste Divisie,26,"March 03, 2026",09:00 PM,13450,15000,Kooi Stadion,Leeuwarden,Cambuur,Almere City,3,2,H,4-3-3,4-2-3-1,6.6,9.0,22,7,5,4,8,1,16,5,6,2,2,0,0,1,5,6,17,3,11,17,3,17,0,1,1,1,0,0,2,2,56,44,32,24,84,77,409,288,485,372,52,43,30,24,58,56,72,58,111,49,154,84,35,21,7,4,20,19,5,3,60,35,0,0,0,1,0,0,82,50,14,6,17,12,9,2,31,17,12,15,1.59,1.16,1.59,1.78,1.37,0.58,1.78,1.59,-0.22,-1.41
IqgYLaXb,Eerste Divisie,23,"January 18, 2026",03:30 PM,2934,4501,Yanmar Stadion,Almere,Almere City,De Graafschap,2,0,H,4-2-3-1,4-3-3,7.8,7.3,25,13,9,4,5,7,14,10,11,3,,,0,2,12,5,9,4,18,14,4,9,1,1,0,2,0,0,4,7,43,57,38,17,77,85,280,418,364,492,53,58,33,36,62,62,66,71,78,84,118,119,24,10,6,3,25,30,2,1,49,48,0,1,0,1,0,1,47,58,7,11,15,19,11,2,33,37,10,5,2.92,1.58,3.20,0.90,1.34,0.77,0.90,3.20,0.90,1.20
dAprdlx3,Eerste Divisie,9,"September 29, 2025",09:00 PM,9227,12600,De Vijverberg,Doetinchem,De Graafschap,Almere City,3,2,H,4-3-3,4-3-3,7.4,7.5,13,20,8,8,3,6,9,10,4,10,,,0,1,2,5,14,9,8,25,9,14,1,1,1,4,0,0,6,5,55,45,29,37,82,80,428,330,521,410,40,43,31,25,77,58,64,66,74,80,115,121,25,12,2,2,8,17,2,2,57,57,0,1,0,0,0,2,67,63,12,12,18,19,2,6,48,26,12,7,1.72,1.66,3.02,2.45,1.08,0.95,2.45,3.02,0.45,0.02
faqV6wLO,Eerste Divisie,35,"April 06, 2026",02:30 PM,3123,4501,Yanmar Stadion,Almere,Almere City,Den Bosch,1,2,A,4-2-3-1,4-4-2,6.4,7.0,25,10,8,5,11,4,21,9,4,1,,,2,0,8,1,8,14,22,11,14,8,1,2,2,1,0,0,3,5,59,41,44,17,82,77,409,272,501,353,42,46,28,31,66,68,70,67,123,67,176,100,28,25,9,3,32,12,6,1,45,51,0,1,0,1,0,0,56,67,9,4,16,6,6,1,11,61,5,13,3.04,1.76,1.99,1.94,2.62,1.05,1.94,1.99,-0.06,0.99
x2i6sbtg,Eerste Divisie,16,"November 21, 2025",09:00 PM,5466,6500,De Vliert,'s-Hertogenbosch,Den Bosch,Almere City,5,2,H,4-2-3-1,4-2-3-1,7.0,6.6,18,10,9,6,6,2,13,8,5,2,,,0,0,4,3,12,2,24,14,2,12,0,0,1,0,0,1,4,4,57,43,40,17,82,77,393,287,482,372,49,41,33,17,68,41,68,63,112,45,164,71,23,13,5,1,22,8,3,2,43,28,0,0,0,0,0,0,64,80,7,8,11,10,3,2,15,48,8,14,4.15,1.83,3.56,1.54,1.04,0.76,1.54,3.56,-0.46,-1.44
2BameR3M,Eerste Divisie,30,"March 07, 2026",05:30 PM,3488,4501,Yanmar Stadion,Almere,Almere City,Den Haag,1,0,H,4-2-3-1,4-1-3-2,7.8,6.9,11,6,2,2,3,4,8,5,3,1,,,0,0,3,4,10,12,15,24,12,10,1,1,3,1,0,0,2,1,27,73,16,21,62,85,165,610,265,719,25,37,19,26,75,71,58,65,42,104,73,160,25,22,3,6,12,27,1,1,49,44,0,0,0,0,0,0,67,78,10,14,15,18,6,0,32,14,9,8,1.08,0.71,0.51,0.72,0.28,0.61,0.72,0.51,0.72,-0.49
WnJAYYMs,Eerste Divisie,7,"September 19, 2025",09:00 PM,10120,15000,WerkTalent Stadion,Den Haag,Den Haag,Almere City,2,1,H,4-2-3-1,4-3-3,6.9,7.5,28,6,6,2,14,3,18,2,10,4,1,1,0,1,6,4,14,13,35,24,13,14,1,1,1,5,0,1,1,4,67,33,52,7,82,60,363,130,443,218,56,31,37,20,66,65,66,43,99,22,150,51,50,20,14,2,28,10,2,0,48,43,0,0,0,0,0,0,73,80,11,12,15,15,8,1,20,50,6,3,2.07,0.18,2.58,0.14,1.87,0.18,0.14,2.58,-0.86,0.58
tYQH9MOh,Eerste Divisie,14,"November 03, 2025",09:00 PM,2100,4100,M-Scores Stadion,Dordrecht,Dordrecht,Almere City,0,1,A,4-3-3,4-3-3,6.9,6.9,20,17,5,5,8,8,11,10,9,7,0,1,2,0,8,8,13,10,22,28,10,13,2,2,2,3,0,0,4,5,58,42,28,23,75,72,284,203,381,281,28,35,19,23,68,65,63,67,69,64,110,96,21,24,6,4,28,17,0,2,47,57,1,0,0,0,1,1,57,70,12,14,21,20,7,4,27,48,13,5,1.59,1.38,0.52,0.49,0.89,1.16,0.49,0.52,-0.51,0.52
WC217dOr,Eerste Divisie,6,"September 15, 2025",09:00 PM,2840,4501,Yanmar Stadion,Almere,Almere City,Eindhoven FC,5,0,H,4-3-3,4-4-2,7.6,8.6,28,14,13,5,10,4,14,9,14,5,1,0,0,1,10,4,10,9,25,14,9,10,1,2,2,2,0,1,4,8,57,43,33,15,87,82,396,287,457,349,54,49,22,34,41,69,79,66,140,60,177,91,26,20,6,2,23,10,3,1,33,37,0,0,0,0,0,0,43,50,3,6,7,12,5,5,23,41,7,7,2.85,0.94,3.82,0.38,1.91,0.86,0.38,3.82,0.38,-1.18
