match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
SCijoADF,Eredivisie,16,"December 15, 2024",05:45 PM,54231,55865,Johan Cruijff Arena,Amsterdam,Ajax,Almere City,3,0,H,4-3-3,4-4-2,6.6,7.5,14,4,8,0,1,4,10,0,4,4,,,1,0,7,0,12,6,19,11,6,12,2,0,1,2,0,0,0,5,73,27,40,1,92,80,800,250,872,313,,,,,,,81,64,155,38,192,59,40,0,6,0,15,6,1,0,,,,,,,,,60,46,9,6,15,13,5,0,3,19,6,7,1.32,0.07,,,,,,,,
zcRmGbXO,Eredivisie,24,"March 02, 2025",03:30 PM,4212,4501,Yanmar Stadion,Almere,Almere City,Ajax,0,1,A,4-2-3-1,4-3-3,5.9,6.7,14,5,1,2,8,2,5,4,9,1,,,1,0,3,0,13,16,28,18,16,13,2,2,1,0,0,0,1,1,50,50,17,15,79,82,373,397,472,483,,,,,,,62,61,96,50,155,82,20,0,4,0,20,3,0,2,,,,,,,,,86,62,12,8,14,13,5,1,9,50,9,13,0.68,0.67,,,,,,,,
CvWqzEue,Eredivisie,26,"March 16, 2025",05:45 PM,54215,55865,Johan Cruijff Arena,Amsterdam,Ajax,AZ Alkmaar,2,2,D,4-3-3,4-2-3-1,5.9,7.2,17,6,5,2,8,4,15,3,2,3,0,1,1,0,3,3,10,8,17,14,8,10,0,0,1,4,1,1,0,3,54,46,27,17,87,83,467,384,539,462,,,,,,,70,64,64,66,91,103,25,20,3,2,12,10,3,2,,,,,,,,,50,57,9,12,18,21,4,0,22,27,7,9,1.42,0.72,,,,,,,,
YyirIBqT,Eredivisie,15,"December 08, 2024",03:30 PM,19002,19500,AFAS Stadion,Alkmaar,AZ Alkmaar,Ajax,2,1,H,4-3-3,4-3-3,6.6,7.2,12,7,4,3,5,3,7,5,5,2,1,0,2,0,6,3,11,16,16,16,16,11,0,2,1,2,0,0,2,2,43,57,21,24,76,86,309,467,405,541,,,,,,,59,70,66,65,112,93,25,9,4,2,16,23,3,1,,,,,,,,,70,50,16,7,23,14,3,1,21,12,11,12,1.49,0.27,,,,,,,,
fZ7Fb8Dj,Eredivisie,4,"October 30, 2024",08:00 PM,47500,51177,De Kuip,Rotterdam,Feyenoord,Ajax,0,2,A,4-3-3,4-3-3,6.1,6.8,15,8,2,4,9,2,,,,,,,,,3,4,13,15,23,8,15,13,0,2,4,2,0,0,2,2,59,41,,,88,82,484,310,547,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,7,10,1.37,0.63,,,,,,,,
x44rn5Ga,Eredivisie,21,"February 02, 2025",03:30 PM,54913,55865,Johan Cruijff Arena,Amsterdam,Ajax,Feyenoord,2,1,H,4-3-3,4-3-3,7.5,7.5,16,12,7,6,6,2,9,6,7,6,,,2,0,7,5,7,13,16,14,13,7,5,0,3,2,0,0,5,5,50,50,25,27,84,85,386,388,458,455,,,,,,,57,72,47,84,82,116,30,0,6,0,20,19,6,1,,,,,,,,,62,68,13,17,21,25,3,4,27,25,7,12,2.91,0.74,,,,,,,,
StoEz2Q7,Eredivisie,6,"September 21, 2024",09:00 PM,9997,10400,De Adelaarshorst,Deventer,G.A. Eagles,Ajax,1,1,D,4-2-3-1,4-3-3,6.5,6.8,9,8,4,3,2,3,,,,,,,,,7,2,,,19,26,11,9,0,1,2,2,0,0,2,3,44,56,,,82,86,324,447,394,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,0.59,1.17,,,,,,,,
xUmZKSH0,Eredivisie,20,"February 23, 2025",03:30 PM,54871,55865,Johan Cruijff Arena,Amsterdam,Ajax,G.A. Eagles,2,0,H,4-3-3,4-2-3-1,6.8,8.5,21,6,6,1,8,1,14,3,7,3,,,1,0,3,3,12,9,11,10,9,12,2,0,2,2,0,1,1,4,49,51,38,19,86,83,413,408,480,494,,,,,,,79,74,112,79,141,107,18,0,3,0,17,12,4,0,,,,,,,,,33,54,4,7,12,13,7,4,16,22,7,8,1.90,0.23,,,,,,,,
U7xBEFW0,Eredivisie,33,"May 14, 2025",09:00 PM,22525,22550,Euroborg,Groningen,Groningen,Ajax,2,2,D,4-2-3-1,4-3-3,5.8,7.5,14,11,6,3,5,5,7,11,7,0,,,1,0,4,3,13,15,21,17,15,13,0,1,5,3,1,0,1,4,47,53,16,17,79,82,356,430,452,524,45,48,34,35,75,73,58,65,65,90,112,139,50,40,9,4,18,10,3,2,63,58,0,0,0,0,0,0,57,40,12,6,21,15,3,3,17,19,8,5,1.78,0.80,1.97,0.44,1.35,1.31,0.44,1.97,-1.56,-0.03
YcdG8Uic,Eredivisie,8,"October 06, 2024",05:45 PM,53984,55865,Johan Cruijff Arena,Amsterdam,Ajax,Groningen,3,1,H,4-3-3,4-4-2,7.0,7.5,17,12,8,4,7,7,,,,,,,,,5,2,,,17,12,8,10,0,0,3,2,0,0,3,5,62,38,,,86,76,570,304,664,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,3.81,1.14,,,,,,,,
