match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
KGklVOZ9,QSL,7,"November 09, 2025",06:30 PM,,13000,Grand Hamad Stadium,Doha,Al Arabi,Al Ahli Doha,1,0,H,4-2-3-1,4-2-3-1,7.5,6.6,12,13,3,4,6,4,8,3,4,10,1,0,0,0,3,4,13,21,25,20,21,13,1,0,1,2,0,0,4,2,37,63,18,18,75,86,228,440,305,512,46,52,30,31,65,60,53,70,37,68,70,97,33,29,3,4,9,14,2,0,55,57,0,0,0,0,1,0,69,67,18,10,26,15,3,5,23,14,3,5,1.62,0.57,1.22,0.77,0.70,0.47,0.77,1.22,0.77,0.22
t0wKcsem,QSL,18,"March 13, 2026",08:30 PM,,12000,Hamad bin Khalifa Stadium,Doha,Al Ahli Doha,Al Arabi,1,1,D,4-2-3-1,4-1-4-1,7.4,5.5,15,12,3,6,7,5,7,7,8,5,1,0,2,0,8,3,13,12,8,18,12,13,4,1,1,3,0,0,5,2,44,56,16,31,85,88,312,411,366,468,46,57,21,32,46,56,83,76,66,81,80,107,27,13,4,3,15,23,3,3,42,42,3,1,0,0,0,0,69,60,9,9,13,15,5,1,18,16,5,8,1.18,0.91,0.16,0.91,0.57,0.78,0.91,0.16,-0.09,-0.84
jJSn39og,QSL,10,"November 21, 2025",04:30 PM,,10000,Abdullah bin Khalifa Stadium,Doha,Al-Duhail,Al Ahli Doha,2,3,A,4-2-3-1,5-4-1,5.6,6.0,19,9,7,4,8,3,10,7,9,2,,,0,0,5,1,10,9,21,13,9,10,4,1,1,3,0,1,1,5,58,42,25,13,86,77,436,294,507,382,65,32,46,22,71,69,77,53,110,31,143,58,28,25,7,1,25,4,2,3,26,39,1,0,2,1,0,1,56,57,5,8,9,14,4,2,6,27,13,3,2.01,1.98,2.96,2.59,0.77,0.56,2.59,2.96,-0.41,0.96
x25tSq6e,QSL,21,"April 08, 2026",05:30 PM,,12000,Hamad bin Khalifa Stadium,Doha,Al Ahli Doha,Al-Duhail,2,1,H,4-2-3-1,4-1-4-1,7.3,6.8,7,10,3,5,3,4,4,8,2,2,,,0,0,1,3,16,10,16,23,10,16,1,1,3,2,0,0,4,0,35,65,10,32,77,89,255,549,330,619,50,55,27,37,54,67,65,73,36,99,55,135,20,21,1,4,5,19,3,2,40,41,0,0,0,0,0,1,62,50,8,6,13,12,1,1,25,10,10,10,1.74,1.66,1.47,1.64,0.22,1.61,1.64,1.47,0.64,-0.53
M5F2zKBk,QSL,8,"October 25, 2025",05:30 PM,,12000,Hamad bin Khalifa Stadium,Doha,Al Ahli Doha,Al-Gharafa,1,3,A,4-2-3-1,4-2-3-1,6.0,5.8,7,12,3,5,1,6,3,8,4,4,0,2,0,0,4,7,11,11,22,13,11,11,0,2,2,2,0,0,3,2,53,47,13,20,86,86,429,367,498,427,57,49,30,22,53,45,73,67,75,57,103,85,20,36,2,5,10,14,1,2,39,44,0,0,0,0,0,0,73,62,8,13,11,21,3,1,11,16,4,9,1.01,1.23,0.66,2.05,0.40,0.70,2.05,0.66,0.05,-0.34
pCbI6xvI,QSL,19,"March 18, 2026",08:30 PM,,21175,Thani bin Jassim Stadium,Doha,Al-Gharafa,Al Ahli Doha,1,4,A,4-2-3-1,5-4-1,5.4,5.4,9,14,5,5,3,7,3,8,6,6,,,0,0,3,4,12,10,16,20,10,12,1,3,1,3,0,0,0,4,53,47,18,20,78,78,299,265,382,340,39,36,18,22,46,61,61,67,53,69,87,103,28,11,5,1,18,9,1,6,50,38,1,0,0,0,0,0,75,55,15,6,20,11,1,2,17,25,12,19,1.34,3.24,1.00,3.15,0.56,0.54,3.15,1.00,-0.85,0.00
A5h50DUI,QSL,5,"September 21, 2025",08:00 PM,,12000,Hamad bin Khalifa Stadium,Doha,Al Ahli Doha,Al Rayyan,0,3,A,4-2-3-1,4-2-3-1,6.7,6.2,7,18,2,9,3,5,2,14,5,4,0,1,0,1,4,7,11,6,15,17,6,11,2,2,3,1,0,0,6,2,52,48,12,26,86,86,428,386,499,449,52,74,32,31,62,42,76,69,103,69,135,100,13,14,1,2,8,14,0,4,35,36,1,0,0,0,1,0,67,69,10,11,15,16,2,4,20,17,7,10,0.39,3.31,0.05,4.24,0.61,1.10,4.24,0.05,1.24,-0.95
MyAxkDCF,QSL,16,"February 22, 2026",08:30 PM,,15000,Jassim Bin Hamad Stadium,Doha,Al Rayyan,Al Ahli Doha,2,1,H,3-4-2-1,5-3-2,5.7,6.1,18,5,5,2,6,1,11,1,7,4,1,0,0,0,7,2,16,11,16,19,11,16,5,6,2,1,0,0,1,3,66,34,24,8,87,73,405,176,466,241,55,50,18,29,33,58,71,57,70,33,99,58,22,11,7,1,32,9,2,1,59,40,0,0,1,0,3,0,53,60,8,6,15,10,7,2,14,31,7,9,1.60,0.34,1.45,0.15,1.42,0.14,0.15,1.45,-0.85,-0.55
ClJJ0174,QSL,2,"August 21, 2025",08:30 PM,,12000,Hamad bin Khalifa Stadium,Doha,Al Ahli Doha,Al-Sadd,0,2,A,5-4-1,4-2-3-1,7.0,6.7,7,17,3,6,2,7,4,12,3,5,,,1,0,2,9,10,16,15,24,16,10,2,4,0,0,0,0,4,3,45,55,14,39,85,85,347,413,408,487,45,67,15,38,33,57,77,72,62,99,81,137,38,13,3,3,8,23,2,3,50,56,0,0,0,0,0,3,55,59,11,13,20,22,2,4,38,5,8,11,0.59,2.71,0.56,2.66,0.44,1.28,2.66,0.56,0.66,0.56
hp8FCklI,QSL,13,"January 16, 2026",06:30 PM,,15000,Jassim Bin Hamad Stadium,Doha,Al-Sadd,Al Ahli Doha,2,0,H,4-2-3-1,4-2-3-1,8.1,6.9,14,9,5,5,7,2,6,6,8,3,1,0,0,0,7,6,11,18,11,15,18,11,4,0,2,0,0,1,5,3,53,47,23,17,89,82,387,330,435,403,79,43,22,26,28,60,81,67,100,58,123,87,17,27,5,4,29,15,2,1,48,49,0,1,0,0,0,0,86,50,12,8,14,16,2,2,17,29,13,6,1.41,0.46,1.85,0.48,0.77,0.46,0.48,1.85,0.48,-0.15
QTvY077d,QSL,20,"April 03, 2026",07:30 PM,,12000,Hamad bin Khalifa Stadium,Doha,Al Ahli Doha,Al Sailiya,2,2,D,4-2-3-1,4-2-3-1,6.4,6.5,11,13,5,3,2,5,7,7,4,6,0,1,1,0,4,4,8,10,18,29,10,8,1,1,1,0,0,0,2,3,57,43,20,17,85,79,401,280,474,353,44,60,29,30,66,50,70,59,69,66,99,111,17,29,2,5,12,17,2,2,54,50,0,0,0,0,0,0,89,75,17,15,19,20,4,5,22,16,11,12,1.14,1.13,0.91,0.86,0.83,0.56,0.86,0.91,-0.14,-1.09
