match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
0WENhTV0,Saudi Professional League,2,"September 12, 2025",06:25 PM,9782,,Abdullah Al Dabil Stadium,Dammam,Al Ettifaq,Al Ahli SC,0,0,D,4-2-3-1,4-1-4-1,7.9,6.9,4,15,0,5,3,6,2,9,2,6,,,0,1,3,10,10,9,10,13,9,11,3,3,3,3,0,0,5,0,42,58,10,40,82,89,230,329,279,368,46,76,21,31,46,41,54,78,27,99,50,127,11,14,1,4,9,29,1,1,39,48,0,1,0,0,1,1,53,41,8,7,15,17,1,4,33,14,5,8,0.56,1.28,0.00,1.41,0.58,1.22,1.41,0.00,1.41,0.00
pWE1rP5l,Saudi Professional League,19,"January 28, 2026",07:30 PM,38870,62345,King Abdullah Sports City,Jeddah,Al Ahli SC,Al Ettifaq,4,0,H,4-3-3,4-4-2,7.1,8.5,15,5,6,2,8,0,11,2,4,3,,,0,0,6,4,15,14,7,17,14,15,6,3,0,2,0,0,2,1,53,47,30,9,90,85,353,292,391,343,59,61,22,28,37,46,80,66,87,54,109,82,36,8,5,1,14,13,8,0,49,40,1,1,0,0,2,0,43,71,9,10,21,14,1,3,19,14,6,8,4.93,0.20,3.73,0.92,2.26,0.17,0.92,3.73,0.92,-0.27
UH3EdojI,Saudi Professional League,11,"December 26, 2025",03:05 PM,10982,19096,Al Fateh club stadium,Al-Hofuf,Al Fateh,Al Ahli SC,2,1,H,3-4-3,4-4-2,8.2,6.7,6,17,3,6,2,6,3,16,3,1,1,0,0,1,1,9,13,12,19,31,12,13,2,5,1,3,0,0,6,1,43,57,9,49,66,77,186,263,280,342,34,57,24,26,70,46,44,69,32,104,72,151,50,18,3,6,6,33,1,2,55,58,1,0,0,0,0,1,67,79,12,15,18,19,1,5,52,10,4,9,0.99,1.82,1.24,2.59,0.42,1.12,2.59,1.24,1.59,-0.76
SbW39qiL,Saudi Professional League,12,"December 30, 2025",05:30 PM,4259,62345,King Abdullah Sports City,Jeddah,Al Ahli SC,Al Fayha,2,0,H,4-2-3-1,4-4-2,6.7,6.9,9,8,4,1,3,5,8,4,1,4,1,0,1,1,4,3,8,11,11,21,11,8,3,2,4,1,1,0,1,2,37,63,23,6,78,85,225,424,287,496,50,57,18,32,36,56,66,67,53,68,80,102,36,31,4,5,11,16,4,1,41,41,1,1,0,0,0,0,67,58,10,7,15,12,2,2,19,17,11,7,2.01,0.49,2.79,0.29,1.03,0.53,0.29,2.79,0.29,0.79
lfhEicJr,Saudi Professional League,29,"April 08, 2026",05:55 PM,1941,34000,King Abdullah Sports City Stadium,Buraidah,Al Fayha,Al Ahli SC,1,1,D,4-2-3-1,4-3-3,7.6,6.6,7,11,3,4,2,6,4,6,3,5,,,0,0,2,5,10,5,15,21,5,10,3,1,0,2,0,0,3,2,43,57,9,26,81,85,265,369,328,436,52,39,29,22,56,56,55,69,41,97,74,141,29,11,2,2,7,18,2,3,37,28,1,1,0,0,2,1,65,80,11,8,17,10,2,1,29,10,7,5,1.36,1.58,1.33,1.77,0.75,1.01,1.77,1.33,0.77,0.33
2a3dqMcB,Saudi Professional League,4,"September 26, 2025",06:35 PM,1612,34000,King Abdullah Sports City Stadium,Buraidah,Al Hazem,Al Ahli SC,0,2,A,4-3-3,4-2-3-1,6.2,6.1,8,12,1,5,5,6,7,7,1,4,,,0,0,2,3,13,14,20,18,14,13,5,2,2,1,0,0,3,1,49,51,19,30,80,76,282,277,352,363,46,46,26,24,57,52,66,61,50,83,76,135,70,40,7,6,10,15,3,3,45,47,1,0,0,0,1,2,55,64,6,14,11,22,2,1,30,13,10,9,1.54,0.93,0.87,2.00,1.17,1.38,2.00,0.87,0.00,0.87
fHIt0lXj,Saudi Professional League,21,"February 05, 2026",07:30 PM,24537,62345,King Abdullah Sports City,Jeddah,Al Ahli SC,Al Hazem,2,0,H,4-2-3-1,4-1-4-1,7.0,7.7,17,7,9,1,6,3,15,2,2,5,,,1,0,13,2,7,13,25,27,13,7,1,0,3,1,0,0,1,8,53,47,38,4,83,79,306,269,369,340,59,49,24,27,41,55,73,68,104,52,142,76,18,50,5,3,28,6,4,0,48,48,0,0,0,0,4,0,79,52,19,11,24,21,2,3,9,28,12,16,2.02,0.13,2.56,0.01,2.01,0.17,0.01,2.56,0.01,1.56
0YgvFNtQ,Saudi Professional League,20,"February 02, 2026",07:30 PM,23632,26000,Kingdom Arena,Riyadh,Al Hilal,Al Ahli SC,0,0,D,4-4-2,4-4-2,6.6,6.6,6,8,2,0,2,6,3,5,3,3,,,0,0,3,4,12,10,18,16,10,12,2,2,2,5,0,1,0,1,55,45,12,15,83,80,313,251,378,314,54,45,30,24,56,53,66,62,65,52,99,84,19,36,3,5,16,14,1,1,43,35,1,1,0,0,0,0,83,30,10,3,12,10,2,2,18,19,9,12,0.18,0.81,0.02,0.00,0.33,0.68,0.00,0.02,0.00,-0.98
KnGoLe8N,Saudi Professional League,3,"September 19, 2025",09:00 PM,51257,62345,King Abdullah Sports City,Jeddah,Al Ahli SC,Al Hilal,3,3,D,4-2-3-1,4-1-4-1,6.1,6.8,23,11,6,6,7,5,14,10,9,1,2,0,1,3,11,2,11,16,12,8,16,11,4,0,1,1,0,0,2,3,59,41,38,15,90,79,386,237,428,300,71,65,27,24,38,37,81,73,153,57,189,78,44,22,14,2,32,9,6,7,37,55,0,0,0,0,0,1,63,72,5,13,8,18,10,0,14,33,9,7,1.64,2.20,2.22,3.26,1.82,1.14,3.26,2.22,0.26,-0.78
bmSQ6E6d,Saudi Professional League,25,"March 06, 2026",09:00 PM,50422,62345,King Abdullah Sports City,Jeddah,Al Ahli SC,Al Ittihad,3,1,H,4-3-3,4-2-3-1,6.8,6.9,12,8,5,2,5,1,7,4,5,4,,,0,1,2,4,18,15,12,23,15,18,4,1,2,3,0,0,1,2,46,54,21,16,82,80,209,237,256,297,48,47,27,18,56,38,69,61,54,40,78,66,8,22,1,4,12,18,2,1,45,45,1,0,0,1,3,0,65,69,11,9,17,13,2,5,23,23,12,4,2.05,1.07,2.84,0.85,1.51,0.31,0.85,2.84,-0.15,-0.16
