match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
EFC9lUs4,Copa Sudamericana,Final,"March 04, 2026",02:30 AM,,15000,Estadio Zorros del Desierto,Calama,Cobresal (Chi),A. Italiano (Chi),1,2,A,5-3-2,5-4-1,6.8,8.4,13,13,3,4,7,7,7,8,6,5,1,0,0,1,3,8,8,11,21,25,11,8,2,1,2,1,0,0,3,2,55,45,17,26,85,81,344,275,404,340,51,48,26,30,51,62,70,68,62,73,89,107,37,20,7,4,19,20,6,1,44,45,1,0,0,1,0,1,71,50,10,6,14,12,3,2,30,27,12,12,2.00,0.74,1.18,1.08,1.15,1.25,1.08,1.18,0.08,0.18
t2E1jjDi,Copa Sudamericana,Final,"March 04, 2026",02:30 AM,,10400,Estadio Polideportivo Misael Delgado,Valencia,Puerto Cabello (Ven),Monagas (Ven),1,0,H,4-2-3-1,5-3-2,6.5,7.1,13,3,2,0,10,2,6,3,7,0,,,1,0,3,2,14,10,22,20,10,14,2,0,1,4,0,1,0,2,67,33,18,9,87,70,459,190,525,270,70,32,39,19,56,60,78,48,122,27,157,56,24,50,8,3,33,6,3,1,45,45,0,0,0,0,1,0,69,42,9,5,13,12,1,1,23,33,3,7,1.18,0.17,0.27,0.00,1.25,0.17,0.00,0.27,0.00,0.27
KIWTg42n,Copa Sudamericana,Final,"March 04, 2026",04:00 AM,,25036,Estadio Mansiche,Trujillo,Alianza Atl. (Per),Deportivo Garcilaso (Per),2,0,H,4-3-3,4-1-4-1,6.6,6.7,12,5,7,0,4,3,7,1,5,4,1,0,0,1,3,4,7,23,14,33,23,7,1,2,2,1,0,0,1,5,35,65,15,21,70,81,189,406,269,500,51,38,27,21,53,55,55,57,46,66,84,115,10,19,1,3,10,16,4,0,45,65,0,0,0,1,0,1,78,48,18,10,23,21,1,2,46,20,8,2,1.87,0.13,2.38,0.00,0.61,0.86,0.00,2.38,0.00,0.38
KzRYRDtf,Copa Sudamericana - Group Stage,1,"April 08, 2026",04:00 AM,1267,17000,Estadio Miguel Grau,Callao,Alianza Atl. (Per),Tigre (Arg),1,1,D,4-4-2,4-1-3-2,6.9,6.3,18,10,4,3,9,6,8,6,10,4,,,1,0,4,3,20,11,20,15,11,20,1,2,3,5,0,1,2,3,60,40,19,8,80,71,336,201,422,283,55,45,30,30,55,67,56,56,62,49,111,87,12,13,3,2,25,16,3,2,49,50,1,1,0,0,1,1,50,33,3,5,6,15,5,1,35,45,6,11,1.65,1.65,0.90,1.48,0.73,0.87,1.48,0.90,0.48,-0.10
nojwjM1B,Copa Sudamericana,Final,"March 06, 2026",02:30 AM,,37000,Estadio Olímpico Pascual Guerrero,Cali,America De Cali (Col),Bucaramanga (Col),2,1,H,4-2-3-1,4-2-3-1,6.3,7.0,16,6,7,2,6,3,11,3,5,3,,,1,0,1,1,17,11,15,18,11,17,2,2,3,4,0,1,1,5,65,35,29,9,89,77,485,223,548,290,51,29,22,10,43,35,78,56,83,49,107,87,22,10,4,1,18,10,5,1,47,31,0,1,0,0,1,1,76,88,13,7,17,8,3,1,19,22,7,10,2.24,0.28,2.74,0.22,1.40,0.45,0.22,2.74,-0.78,0.74
As6In8CG,Copa Sudamericana,Final,"March 05, 2026",02:30 AM,,44826,Estadio Atanasio Girardot,Medellín,Atl. Nacional (Col),Millonarios (Col),1,3,A,4-2-3-1,5-3-2,5.6,6.0,17,8,4,4,7,2,9,5,8,3,,,0,1,11,0,16,10,25,11,10,16,2,4,3,4,0,0,1,2,73,27,24,11,87,66,439,126,507,190,56,33,28,16,50,49,74,49,134,34,181,70,22,29,8,2,37,7,4,2,44,35,1,0,0,0,2,1,100,60,5,9,5,15,6,2,10,44,5,12,1.81,1.67,0.77,2.10,1.18,0.44,2.10,0.77,-0.90,-0.23
nuA1k8vI,Copa Sudamericana - Group Stage,1,"April 08, 2026",12:00 AM,,34902,Estadio Florencio Sola,Buenos Aires,Barracas Central (Arg),Vasco (Bra),0,0,D,5-3-2,3-4-2-1,7.7,6.7,12,15,3,4,4,6,5,7,7,8,,,0,0,6,5,7,9,14,13,9,7,2,1,4,2,1,0,4,3,37,63,17,18,75,88,220,460,295,523,43,41,19,19,44,46,59,76,54,67,92,88,26,13,6,2,23,16,1,1,50,45,0,1,0,0,0,0,50,44,9,7,18,16,5,5,29,32,4,7,0.43,0.97,0.38,0.82,0.37,0.46,0.82,0.38,0.82,0.38
jXiX3FtR,Copa Sudamericana,Final,"March 05, 2026",12:00 AM,,38000,Estadio Ramon Tahuichi Aguilera Costas,Santa Cruz,Blooming (Bol),SA Bulo Bulo (Bol),3,0,H,3-4-1-2,4-3-3,6.8,6.5,23,5,9,1,10,2,12,4,11,1,1,0,1,0,7,2,18,10,19,13,10,18,4,1,1,5,0,2,1,7,73,27,49,11,87,52,361,80,417,153,63,22,19,11,30,51,77,43,135,10,175,23,24,67,8,6,34,9,4,2,58,48,0,1,0,3,0,0,43,63,6,15,14,24,4,2,13,44,8,6,2.54,0.32,4.32,0.15,1.45,0.35,0.15,4.32,0.15,1.32
80vnl0WN,Copa Sudamericana,Final,"March 06, 2026",12:00 AM,,60235,Estadio Centenario,Montevideo,Boston River (Uru),Racing Montevideo (Uru),1,0,H,5-4-1,4-4-2,6.6,6.6,8,18,3,1,2,8,5,9,3,9,1,0,0,1,0,7,11,13,24,29,13,11,2,1,1,1,0,0,1,2,42,58,12,19,64,67,169,236,265,352,33,38,23,36,69,94,49,52,42,68,85,130,8,19,1,5,12,26,1,0,65,59,0,0,0,0,0,0,54,75,13,15,24,20,3,9,66,27,4,4,0.70,0.62,1.09,0.08,0.35,0.34,0.08,1.09,0.08,0.09
roQ5tDem,Copa Sudamericana - Group Stage,1,"April 08, 2026",02:30 AM,,60235,Estadio Centenario,Montevideo,Boston River (Uru),Sao Paulo (Bra),0,1,A,5-3-2,4-2-3-1,6.4,6.5,11,11,1,4,6,3,4,6,7,5,,,0,0,7,10,7,13,23,23,13,7,1,2,1,1,0,0,3,1,29,71,9,29,71,85,157,471,222,553,29,51,14,23,49,45,41,75,22,118,54,157,20,29,3,8,15,28,0,1,36,32,2,0,0,0,0,0,69,80,9,8,13,10,4,4,39,20,7,4,0.34,0.89,0.10,0.60,0.18,0.78,0.60,0.10,-0.40,0.10
