match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
ns2ALWrg,Copa del Rey,Final,"December 02, 2025",09:00 PM,3256,8000,Estadio Pedro Escartín,Guadalajara,Guadalajara,Ceuta,1,0,H,4-2-3-1,4-1-4-1,,,3,4,1,3,2,1,,,,,,,,,2,8,11,13,27,23,12,9,1,2,0,0,0,0,,,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lYr5dHoD,Copa del Rey,Final,"October 29, 2025",09:30 PM,,,,,La Union,Ceuta,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITnG2DdB,Copa del Rey,Final,"October 29, 2025",10:00 PM,,,,,Navalcarnero,AD Merida,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOpI4Q8F,Copa del Rey,Final,"October 30, 2025",10:00 PM,,,,,Deportivo Getxo,Alaves,0,7,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV0Qn9sh,Copa del Rey,Final,"December 02, 2025",08:00 PM,3050,5000,Campo Futbol La Florida,Portugalete,Portugalete,Alaves,0,3,A,5-4-1,4-4-2,5.9,5.7,14,8,3,5,7,1,7,5,7,3,,,0,0,5,3,20,16,27,10,16,20,1,4,2,3,0,0,3,3,40,60,18,11,62,76,180,357,292,468,46,40,46,34,99,85,53,50,81,57,153,115,23,20,6,2,26,10,0,1,43,49,0,0,0,0,0,1,69,67,9,10,13,15,4,2,10,24,8,8,0.90,1.06,0.29,2.05,1.08,0.88,2.05,0.29,0.05,0.29
zswp1bK0,Copa del Rey,1/8-finals,"January 14, 2026",10:00 PM,10634,19840,Estadio Mendizorrotza,Vitoria-Gasteiz,Alaves,Rayo Vallecano,2,0,H,4-4-2,4-2-3-1,7.0,7.4,12,11,7,2,2,8,8,5,4,6,,,0,0,4,8,13,15,20,18,15,13,1,2,3,1,0,1,2,5,51,49,27,14,78,73,307,261,392,359,38,46,24,32,63,69,62,56,70,61,113,108,0,19,0,5,15,26,3,2,50,50,0,2,0,0,0,0,72,60,13,12,18,20,3,1,34,26,4,4,1.92,0.97,2.49,0.96,1.00,0.47,0.96,2.49,0.96,0.49
QuRGmuLl,Copa del Rey,Quarter-finals,"February 04, 2026",10:00 PM,18874,19840,Estadio Mendizorrotza,Vitoria-Gasteiz,Alaves,Real Sociedad,2,3,A,4-4-2,4-2-3-1,6.0,6.6,7,11,3,6,1,3,5,7,2,4,,,0,1,3,6,18,17,31,29,17,18,1,3,3,4,0,0,3,1,46,54,23,19,70,80,237,312,340,392,38,26,24,11,64,42,55,67,66,74,121,111,7,15,1,2,14,13,2,3,61,71,0,1,0,0,0,2,50,61,12,14,24,23,3,2,23,43,6,10,1.99,1.52,2.24,1.65,0.32,0.89,1.65,2.24,-1.35,0.24
YmsqADif,Copa del Rey,1/16-finals,"December 17, 2025",10:00 PM,9766,19840,Estadio Mendizorrotza,Vitoria-Gasteiz,Alaves,Sevilla,1,0,H,4-4-2,5-4-1,7.3,6.5,15,9,7,3,4,4,8,5,7,4,,,0,1,11,9,18,15,24,17,15,18,2,1,1,2,0,0,3,5,52,48,18,13,85,78,313,267,369,343,58,46,30,25,52,54,76,70,64,64,84,91,32,21,7,4,22,19,1,0,41,47,0,0,0,0,0,0,82,69,9,9,11,13,4,2,18,21,12,13,1.98,0.63,1.82,0.53,0.43,0.44,0.53,1.82,0.53,0.82
fczog1cR,Copa del Rey,Quarter-finals,"February 03, 2026",10:00 PM,16745,17524,Estadio Carlos Belmonte,Albacete,Albacete,Barcelona,1,2,A,5-3-2,4-2-3-1,6.8,5.7,7,17,3,6,2,4,7,13,0,4,1,1,0,0,3,6,15,12,21,19,12,15,1,1,1,1,0,0,4,1,27,73,13,43,68,92,157,603,230,658,40,72,21,34,52,47,58,88,52,203,90,232,26,24,5,6,19,25,3,7,41,53,1,2,1,0,0,5,70,91,7,10,10,11,2,7,21,29,5,8,0.85,2.17,0.40,2.00,0.68,3.12,2.00,0.40,0.00,-0.60
U1eJgh7D,Copa del Rey,1/16-finals,"December 17, 2025",08:00 PM,12106,17524,Estadio Carlos Belmonte,Albacete,Albacete,Celta Vigo,3,2,H,5-4-1,4-3-3,6.7,7.7,12,18,5,5,6,6,6,12,6,6,1,1,1,0,5,8,15,13,30,17,13,15,5,5,2,2,0,0,3,3,36,64,16,32,76,90,322,705,421,782,47,55,41,32,87,58,61,84,66,256,108,304,13,22,3,4,24,18,3,4,47,46,0,0,0,0,1,1,55,89,11,16,20,18,1,7,22,44,7,8,1.02,2.50,1.53,2.72,0.56,2.15,2.72,1.58,0.72,-0.42
