match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
ldgaDzb2,LaLiga2,9,"October 12, 2025",03:00 PM,10630,17524,Estadio Carlos Belmonte,Albacete,Albacete,Ceuta,0,0,D,4-4-2,4-3-3,6.7,7.1,13,3,4,1,4,1,8,2,5,1,,,0,0,6,3,17,8,21,24,8,17,3,2,1,3,0,0,1,4,40,60,22,13,74,79,212,354,285,449,45,34,21,20,47,58,69,55,71,52,103,95,23,20,6,3,26,15,4,2,53,44,1,0,0,0,0,0,35,38,6,5,17,13,5,1,33,28,15,7,1.61,0.22,0.79,0.43,1.17,0.31,0.43,0.79,-0.57,0.79
INDebmbd,LaLiga2,24,"February 01, 2026",03:00 PM,11551,17400,UD Almería Stadium,Almería,Almeria,Ceuta,4,2,H,4-2-3-1,4-3-3,6.4,6.6,16,16,9,4,4,8,11,11,5,5,,,1,0,5,2,14,21,24,24,21,14,4,2,2,3,0,0,2,5,51,49,25,24,76,82,272,287,357,349,45,42,23,18,51,43,63,71,82,53,130,75,28,27,5,4,18,15,7,4,52,47,0,1,0,1,0,0,65,73,13,8,20,11,3,4,21,23,6,13,3.33,2.12,4.12,1.52,1.38,0.48,1.52,4.12,-0.48,0.12
rgReL4ET,LaLiga2,13,"November 26, 2025",08:00 PM,3623,6500,Estadio Municipal Alfonso Murube,Ceuta,Ceuta,Almeria,3,2,H,4-3-3,4-2-3-1,6.8,7.0,10,15,7,6,3,5,6,7,4,8,0,1,0,0,2,2,17,12,21,25,12,17,3,2,3,5,0,0,4,5,43,57,14,23,70,80,242,354,344,443,30,35,22,23,73,65,45,68,39,93,86,136,15,25,2,5,13,20,5,1,60,55,0,3,1,0,0,0,78,64,18,9,23,14,0,4,36,25,8,7,1.96,1.23,2.13,1.88,0.56,0.80,1.88,2.13,-0.12,-0.87
YLIhr7XH,LaLiga2,16,"November 29, 2025",03:00 PM,4657,6500,Estadio Municipal Alfonso Murube,Ceuta,Ceuta,Burgos CF,1,0,H,4-3-3,4-4-2,6.9,6.8,14,9,5,1,4,3,11,7,3,2,,,0,1,10,7,12,21,21,18,21,12,1,5,5,3,0,0,1,4,53,47,31,19,81,79,309,262,381,331,47,54,25,22,53,41,72,64,77,56,107,88,14,35,3,8,22,23,2,0,46,59,0,0,0,0,0,0,50,57,6,8,12,14,5,5,24,26,6,3,1.10,0.60,1.80,0.03,1.48,0.75,0.03,1.80,0.03,0.80
zF0YfrSp,LaLiga2,33,"April 01, 2026",08:00 PM,11042,12194,Estadio El Plantío,Burgos,Burgos CF,Ceuta,1,1,D,4-4-2,3-4-2-1,6.2,6.7,8,5,3,1,5,2,3,3,5,2,,,0,0,8,3,6,15,18,18,15,6,6,2,2,2,0,0,0,2,51,49,16,12,83,82,347,340,418,416,59,40,29,20,49,50,66,71,68,97,103,136,19,21,5,3,27,14,1,1,46,57,0,0,0,0,0,0,55,38,11,6,20,16,0,2,23,31,7,7,0.81,0.61,0.63,0.63,0.74,0.67,0.63,0.63,-0.37,-0.37
Kbv5n7gn,LaLiga2,7,"September 28, 2025",05:15 PM,16587,20776,JP Financial Estadio,Cadiz,Cadiz CF,Ceuta,0,0,D,4-4-2,4-3-3,7.1,6.9,9,11,3,3,5,7,3,9,5,2,,,0,0,1,1,16,10,17,20,10,16,4,1,2,2,0,0,3,3,42,58,11,19,78,84,283,424,363,505,31,46,10,24,32,52,61,68,57,86,93,126,18,33,2,8,11,24,2,1,52,42,0,0,0,0,0,0,75,58,9,7,12,12,1,1,23,19,8,13,0.97,0.96,0.63,0.65,0.46,0.61,0.65,0.63,0.65,0.63
rJ0DMfLP,LaLiga2,32,"March 28, 2026",03:00 PM,5223,6500,Estadio Municipal Alfonso Murube,Ceuta,Ceuta,Cadiz CF,2,1,H,4-3-3,4-2-3-1,6.5,6.2,8,4,3,1,3,3,6,4,2,0,,,0,1,2,2,19,15,27,24,15,19,0,6,2,4,0,0,0,2,53,47,18,13,77,73,283,240,367,330,43,36,29,24,68,67,69,54,86,56,125,103,5,24,1,4,20,17,1,2,45,64,0,0,0,2,0,0,55,48,6,12,11,25,2,0,37,37,6,6,0.99,0.60,0.35,0.76,0.32,0.84,0.76,0.35,-0.24,-0.65
QL8aEMs3,LaLiga2,5,"September 14, 2025",07:30 PM,11801,15500,Estadio Municipal de Castalia,Castellón de la Plana,Castellon,Ceuta,3,3,D,4-3-3,4-3-3,6.1,7.1,15,10,7,5,5,2,12,6,3,4,0,1,1,0,10,6,12,11,17,17,11,12,1,3,3,5,0,1,2,4,61,39,38,15,81,71,319,187,396,263,55,31,26,17,47,54,73,53,120,34,165,64,26,33,9,6,35,18,3,1,56,52,1,0,1,0,0,1,68,80,13,16,19,20,3,3,17,46,10,9,1.89,0.75,3.01,1.16,1.03,0.58,1.16,3.01,-1.84,0.01
8Y7kIv2K,LaLiga2,12,"November 02, 2025",05:15 PM,17818,21822,Estadio Nuevo Arcángel,Córdoba,Cordoba,Ceuta,2,0,H,4-3-3,4-3-3,7.0,7.0,12,12,4,2,5,7,7,9,5,3,,,0,2,4,5,17,18,15,25,18,17,5,2,2,4,0,0,2,2,53,47,29,25,79,73,264,214,335,292,34,44,12,23,35,52,73,59,89,43,122,73,18,33,2,5,11,15,4,1,67,61,0,1,0,0,1,0,57,50,16,10,28,20,3,3,25,29,10,10,1.20,0.88,0.54,0.15,1.12,0.79,0.15,0.54,0.15,-1.46
viswBQs2,LaLiga2,25,"February 25, 2026",08:00 PM,4974,6500,Estadio Municipal Alfonso Murube,Ceuta,Ceuta,Cordoba,3,2,H,4-3-3,4-3-3,6.4,6.7,5,12,3,5,0,4,5,9,0,3,,,0,0,4,5,17,19,14,28,19,17,0,3,4,2,0,0,3,0,39,61,10,23,71,83,209,379,293,458,35,54,19,21,54,39,54,72,43,118,79,163,29,18,4,4,14,22,2,4,43,61,0,0,0,0,0,1,41,59,7,10,17,17,2,3,34,19,12,5,0.67,1.83,2.09,2.11,0.38,0.63,2.11,2.09,0.11,-0.91
IBmeZBlm,LaLiga2,15,"November 23, 2025",03:00 PM,20151,32490,Estadio Municipal de Riazor,La Coruña,Dep. La Coruna,Ceuta,2,1,H,5-3-2,4-3-3,7.1,9.4,16,13,7,4,5,5,10,7,6,6,,,1,0,4,4,10,13,12,21,13,10,2,0,3,0,0,0,3,5,48,52,26,20,83,81,318,337,385,415,40,24,19,8,47,34,67,71,82,70,122,98,30,14,3,2,10,14,4,3,35,38,1,0,0,0,1,1,62,62,8,8,13,13,4,4,19,15,10,9,1.93,1.67,1.85,1.90,1.12,1.54,1.90,1.85,0.90,-0.15
reCjlOin,LaLiga2,30,"March 14, 2026",10:00 PM,5021,6500,Estadio Municipal Alfonso Murube,Ceuta,Ceuta,Dep. La Coruna,1,2,A,5-3-2,4-4-2,6.3,5.4,18,11,5,5,9,5,11,8,7,3,,,2,1,3,4,11,11,15,13,11,11,0,5,2,4,0,0,2,4,51,49,16,15,82,84,334,336,409,399,44,54,20,30,45,56,61,67,64,52,105,78,25,23,6,3,24,13,1,3,37,48,2,0,0,0,0,0,50,53,7,9,14,17,4,1,17,20,5,10,1.46,1.31,1.50,1.37,0.33,0.30,1.37,1.50,-0.63,0.50
AuyJfuX8,LaLiga2,34,"April 05, 2026",02:00 PM,3195,8164,Estadio Municipal de Ipurua,Eibar,Eibar,Ceuta,3,0,H,4-2-3-1,4-3-3,7.0,6.9,14,6,7,1,3,5,11,1,3,5,1,0,0,0,6,2,13,14,19,18,14,13,4,3,2,2,0,0,1,5,50,50,26,12,84,81,383,378,454,467,63,31,34,14,54,45,70,49,71,41,102,84,18,22,3,2,17,9,4,0,35,43,1,1,0,0,1,0,70,65,7,11,10,17,4,0,16,22,13,8,2.66,0.24,2.26,0.09,1.47,0.49,0.09,2.26,0.09,0.26
d4HUBNMc,LaLiga2,8,"October 03, 2025",09:30 PM,5207,6500,Estadio Municipal Alfonso Murube,Ceuta,Ceuta,Eibar,1,0,H,4-3-3,4-2-3-1,6.6,6.8,12,5,3,1,4,3,8,5,4,0,1,0,0,0,7,3,10,13,20,22,13,10,2,0,4,1,0,1,1,2,62,38,33,14,81,70,418,216,514,308,29,45,13,25,45,56,74,51,145,36,196,70,28,29,7,4,25,14,2,1,62,64,0,1,0,0,0,0,56,75,9,12,16,16,5,1,18,40,13,13,0.72,0.81,1.29,0.74,1.22,0.68,0.74,1.29,0.74,0.29
McayloNM,LaLiga2,20,"January 04, 2026",05:15 PM,3413,6500,Estadio Municipal Alfonso Murube,Ceuta,Ceuta,Andorra,2,1,H,4-4-2,4-3-3,8.0,7.0,8,12,5,8,2,0,6,6,1,6,1,0,1,0,4,8,12,15,22,19,15,12,3,4,2,2,0,0,7,4,33,67,16,22,70,84,167,414,240,493,39,47,17,20,44,43,52,77,44,124,84,162,36,12,5,3,14,25,4,3,42,54,0,0,0,0,2,0,50,55,8,6,16,11,1,4,32,15,11,11,2.53,1.57,2.53,2.29,1.49,0.76,2.29,2.53,1.29,0.53
8j9prwpA,LaLiga2,2,"August 23, 2025",08:00 PM,4473,6500,Estadio Municipal Alfonso Murube,Ceuta,Ceuta,Gijon,0,1,A,4-3-3,4-2-3-1,6.6,6.5,12,7,7,4,2,1,10,6,2,1,,,1,0,3,3,15,11,24,25,11,15,0,4,1,2,0,0,3,7,63,37,21,19,80,67,405,203,504,302,42,37,27,26,64,71,63,62,84,88,134,142,19,38,5,3,26,8,1,2,51,50,0,0,1,0,1,0,64,53,9,9,14,17,3,2,20,41,12,8,0.93,0.86,1.43,1.68,0.78,0.63,1.68,1.43,0.68,1.43
