match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
MTyMNC5F,LaLiga,17,"December 15, 2024",05:15 PM,19239,19840,Estadio Mendizorrotza,Vitoria-Gasteiz,Alaves,Ath Bilbao,1,1,D,4-4-2,4-2-3-1,6.4,7.4,6,9,3,2,2,7,3,5,3,4,,,0,0,2,4,17,14,27,20,14,17,2,2,2,2,0,0,1,2,52,48,10,12,77,77,322,295,419,382,,,,,,,56,64,52,62,93,97,19,21,3,4,16,19,1,1,,,,,,,,,60,35,15,6,25,17,1,0,18,21,11,7,0.93,0.61,,,,,,,,
rDwPJUdD,LaLiga,35,"May 11, 2025",07:30 PM,47947,53331,Estadio San Mamés,Bilbao,Ath Bilbao,Alaves,1,0,H,4-2-3-1,4-2-3-1,6.7,7.2,11,4,3,1,7,2,7,3,4,0,,,1,0,9,2,12,17,22,27,17,12,0,2,1,1,0,0,1,2,60,40,15,11,82,61,365,183,445,302,55,24,31,16,56,68,71,36,87,35,122,98,14,14,4,2,28,14,3,1,67,64,0,0,0,0,0,1,47,58,8,15,17,26,1,1,44,31,15,6,1.19,0.78,0.79,0.67,0.66,0.16,0.67,0.79,0.67,0.79
8x0Qsypd,LaLiga,34,"May 03, 2025",03:00 PM,18117,19840,Estadio Mendizorrotza,Vitoria-Gasteiz,Alaves,Atl. Madrid,0,0,D,4-2-3-1,4-4-2,6.6,7.3,8,9,2,2,4,4,8,6,0,3,,,0,0,3,5,13,18,28,26,18,13,1,0,3,2,0,0,2,2,35,65,14,22,68,83,183,406,269,492,32,56,20,40,63,71,54,67,68,68,127,101,25,23,4,7,16,30,2,0,51,81,0,1,0,0,0,0,46,67,11,20,24,30,2,3,34,36,8,1,0.70,0.54,0.37,0.78,0.52,0.59,0.78,0.37,0.78,0.37
vVwOqx6D,LaLiga,14,"November 23, 2024",05:15 PM,58910,70692,Metropolitano Stadium,Madrid,Atl. Madrid,Alaves,2,1,H,4-4-2,4-2-3-1,6.2,7.2,11,4,8,1,1,1,6,1,5,3,,,1,0,5,0,19,18,36,18,18,19,3,2,3,3,0,0,0,6,70,30,19,5,85,68,508,175,595,259,,,,,,,74,27,148,20,199,74,10,33,3,1,29,3,4,1,,,,,,,,,60,53,6,8,10,15,2,2,15,31,6,9,1.64,0.83,,,,,,,,
hzRnqjcC,LaLiga,9,"October 06, 2024",05:15 PM,19468,19840,Estadio Mendizorrotza,Vitoria-Gasteiz,Alaves,Barcelona,0,3,A,4-2-3-1,4-2-3-1,6.8,5.6,11,15,2,9,5,4,,,,,,,,,11,3,13,27,21,19,13,8,11,3,2,2,0,0,6,2,27,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,0.83,1.65,,,,,,,,
t8uaVxKh,LaLiga,22,"February 02, 2025",03:00 PM,42900,55926,Estadi Olímpic Lluís Companys,Barcelona,Barcelona,Alaves,1,0,H,4-3-3,4-2-3-1,6.5,7.2,11,3,4,0,3,1,7,2,4,1,,,0,0,5,2,20,8,26,27,8,20,2,11,5,2,0,0,0,3,71,29,19,7,89,72,554,179,625,248,,,,,,,73,63,99,46,136,73,19,13,3,2,16,16,2,0,,,,,,,,,82,76,9,16,11,21,4,2,16,24,3,10,0.95,0.09,,,,,,,,
MNr3HRkC,LaLiga,2,"August 25, 2024",08:15 PM,16623,19840,Estadio Mendizorrotza,Vitoria-Gasteiz,Alaves,Betis,0,0,D,4-4-2,4-2-3-1,7.0,7.2,5,15,1,3,2,10,,,,,,,,,3,8,20,19,26,28,17,16,1,1,1,4,1,0,3,1,37,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,0.12,1.37,,,,,,,,
rciODVxp,LaLiga,20,"January 18, 2025",07:30 PM,50021,60721,Estadio Benito Villamarín,Sevilla,Betis,Alaves,1,3,A,4-2-3-1,4-2-3-1,5.7,6.9,7,9,2,5,0,3,6,6,1,3,0,1,0,0,2,3,24,12,28,29,12,24,0,1,4,5,1,0,2,1,50,50,18,19,79,78,334,318,424,410,,,,,,,65,56,64,69,99,123,27,18,3,4,11,22,0,3,,,,,,,,,40,66,6,21,15,32,5,1,28,20,10,10,0.48,1.41,,,,,,,,
4QK5Q8Mk,LaLiga,21,"January 27, 2025",10:00 PM,13612,19840,Estadio Mendizorrotza,Vitoria-Gasteiz,Alaves,Celta Vigo,1,1,D,4-2-3-1,3-4-2-1,6.3,7.8,3,5,1,2,2,2,2,1,1,4,,,0,0,3,4,14,15,17,33,15,14,1,0,2,3,0,0,1,0,50,50,7,6,78,79,370,371,472,470,,,,,,,54,71,55,82,101,116,18,7,2,1,11,15,1,0,,,,,,,,,67,57,18,8,27,14,0,1,20,12,12,9,0.95,0.13,,,,,,,,
nDzACNof,LaLiga,1,"August 16, 2024",08:00 PM,22477,24870,Estadio de Balaídos,Vigo,Celta Vigo,Alaves,2,1,H,4-4-2,4-2-3-1,6.4,6.3,6,10,4,2,2,6,,,,,,,,,3,3,28,12,29,23,8,23,4,3,3,2,0,0,1,2,64,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,0.61,0.80,,,,,,,,
CjIFsr1e,LaLiga,5,"September 14, 2024",05:15 PM,24238,40000,RCDE Stadium,Cornella de Llobregat,Espanyol,Alaves,3,2,H,4-4-2,4-3-3,6.8,7.1,9,19,4,6,4,7,,,,,,,,,0,5,14,14,23,25,17,14,3,0,2,3,0,0,4,1,38,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,1.66,1.84,,,,,,,,
rBne3yoT,LaLiga,25,"February 22, 2025",03:00 PM,17068,19840,Estadio Mendizorrotza,Vitoria-Gasteiz,Alaves,Espanyol,0,1,A,4-4-2,4-2-3-1,6.0,6.7,15,9,5,2,9,3,10,5,5,4,0,1,0,0,7,0,17,13,21,17,13,17,3,0,2,2,0,0,1,5,62,38,26,12,78,69,369,207,474,298,,,,,,,60,56,99,45,166,81,15,25,5,3,33,12,2,1,,,,,,,,,47,17,8,3,17,18,1,4,11,52,6,13,1.76,0.43,,,,,,,,
