match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
YR7PQTP1,Super Lig,25,"February 23, 2025",03:00 PM,2035,10128,Alanya Oba Stadium,Alanya,Alanyaspor,Adana Demirspor,3,2,H,4-2-3-1,4-2-3-1,7.0,8.0,25,7,9,5,9,1,19,5,6,2,0,1,0,0,10,1,16,15,24,16,15,16,8,2,5,2,0,0,3,6,65,35,42,11,82,64,378,164,462,256,,,,,,,68,45,85,32,125,71,31,36,10,4,32,11,5,2,,,,,,,,,65,62,13,8,20,13,7,1,19,36,8,15,4.48,1.17,,,,,,,,
pxf3sU0C,Super Lig,6,"September 22, 2024",08:00 PM,4041,33543,Yeni Adana Stadyumu,Adana,Adana Demirspor,Alanyaspor,0,2,A,4-2-3-1,4-2-3-1,6.2,6.5,8,12,1,5,4,5,,,,,,,,,6,6,13,10,31,25,9,10,0,2,1,3,0,0,3,1,57,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,0.53,1.72,,,,,,,,
nByrmKt4,Super Lig,24,"February 14, 2025",07:00 PM,2306,33543,Yeni Adana Stadyumu,Adana,Adana Demirspor,Antalyaspor,1,1,D,4-2-3-1,4-2-3-1,7.2,7.1,5,17,3,8,1,4,3,15,2,2,,,0,0,0,9,12,19,18,24,19,12,3,7,3,6,0,0,7,2,39,61,9,27,69,77,196,330,285,426,,,,,,,44,62,36,79,82,128,18,31,2,9,11,29,2,9,,,,,,,,,64,62,7,16,11,26,1,5,35,20,8,6,1.32,3.05,,,,,,,,
pdQF3KHE,Super Lig,5,"September 16, 2024",08:00 PM,4681,32537,Corendon Airlines Park,Antalya,Antalyaspor,Adana Demirspor,2,1,H,4-2-3-1,4-2-3-1,8.2,7.9,12,16,5,9,4,5,,,,,,,,,8,4,13,14,12,30,9,9,3,4,1,2,0,0,8,3,48,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,0.71,1.15,,,,,,,,
4U8sWUXF,Super Lig,18,"January 04, 2025",12:30 PM,4899,33543,Yeni Adana Stadyumu,Adana,Adana Demirspor,Basaksehir,0,1,A,4-2-3-1,4-1-4-1,7.0,6.8,10,11,2,6,3,4,5,9,5,2,0,1,0,0,3,3,12,6,28,25,6,12,0,4,0,5,0,0,5,2,40,60,15,30,74,84,262,469,355,560,,,,,,,57,56,53,63,93,112,19,71,3,5,16,7,0,3,,,,,,,,,74,84,14,21,19,25,5,1,15,23,6,10,0.54,1.33,,,,,,,,
hKM3FUd5,Super Lig,37,"May 25, 2025",07:00 PM,983,17156,Basaksehir Fatih Terim Stadium,Istanbul,Basaksehir,Adana Demirspor,2,3,A,4-4-2,4-4-2,5.6,7.5,32,8,5,4,18,3,21,6,11,2,,,1,0,10,0,11,20,18,5,20,11,2,1,3,4,0,1,1,3,72,28,56,10,90,72,504,166,562,229,76,20,22,10,29,49,81,47,164,17,203,36,47,20,21,1,45,5,8,3,68,52,0,0,0,1,0,0,69,71,11,12,16,17,9,1,5,40,11,8,4.98,1.49,1.77,1.89,3.94,0.19,1.89,1.77,-1.11,-0.23
2kIGj2E6,Super Lig,16,"December 16, 2024",06:00 PM,10280,33543,Yeni Adana Stadyumu,Adana,Adana Demirspor,Besiktas,2,1,H,4-2-3-1,4-2-3-1,8.3,7.9,14,18,7,10,1,4,8,16,6,2,0,1,0,0,2,14,13,10,14,30,10,13,2,3,3,1,0,1,9,5,35,65,20,38,72,81,190,393,263,488,,,,,,,62,62,39,98,63,159,43,18,3,6,7,34,3,2,,,,,,,,,59,43,10,6,17,14,6,4,59,10,10,4,1.20,1.81,,,,,,,,
zNbvjgCd,Super Lig,35,"May 11, 2025",07:00 PM,27077,42684,Besiktas Park,Istanbul,Besiktas,Adana Demirspor,4,1,H,4-2-3-1,5-3-2,6.9,8.2,30,8,14,4,9,3,23,2,7,6,0,1,0,1,13,4,13,11,15,13,11,13,4,2,3,4,0,0,3,10,63,37,60,6,88,79,445,234,503,298,61,43,19,21,31,49,78,60,147,30,189,50,24,0,5,0,21,8,7,1,43,39,0,0,0,1,0,0,73,48,11,10,15,21,7,1,13,25,7,17,3.76,0.53,3.28,1.14,2.31,0.10,1.14,3.28,0.14,-0.72
fwhlL4hm,Super Lig,26,"March 01, 2025",03:00 PM,1721,33543,Yeni Adana Stadyumu,Adana,Adana Demirspor,Bodrumspor,0,0,D,4-2-3-1,4-2-3-1,6.6,8.3,11,13,1,4,5,9,4,9,7,4,,,1,0,3,6,12,9,20,26,9,12,0,3,2,5,0,0,4,1,50,50,8,19,83,78,338,306,405,390,,,,,,,64,55,58,63,90,114,25,50,2,9,8,18,0,5,,,,,,,,,79,58,11,7,14,12,5,0,33,12,7,5,0.28,1.96,,,,,,,,
t2rJLDfc,Super Lig,7,"September 29, 2024",07:00 PM,2184,4563,Bodrum İlçe Stadı,Bodrum,Bodrumspor,Adana Demirspor,3,1,H,4-2-3-1,4-2-3-1,6.7,6.8,14,8,6,3,5,3,,,,,,,,,7,6,13,21,26,23,12,12,4,2,2,5,0,0,2,3,48,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,2.13,0.63,,,,,,,,
