match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
KrLCQZWP,UAE League,21,"April 05, 2026",06:30 PM,,15000,Tahnoun Bin Mohamed Stadium,Al Ain,Al Ain,Ajman,2,0,H,5-3-2,3-4-3,6.8,7.9,11,6,6,0,4,5,7,3,4,3,,,0,0,8,4,9,13,20,14,13,9,1,1,2,1,0,0,0,3,54,46,25,10,83,81,365,297,442,368,55,36,28,16,51,45,70,65,88,48,125,74,18,13,3,2,17,15,3,0,41,30,0,0,0,0,0,0,67,70,8,7,12,10,1,1,19,25,10,9,2.16,0.33,1.54,0.00,1.37,0.44,0.00,1.54,0.00,-0.46
xATzdP1l,UAE League,7,"October 30, 2025",06:45 PM,,10000,Ajman Stadium,Ajman,Ajman,Al Ain,0,3,A,4-3-3,4-3-3,5.6,6.2,3,18,1,7,2,10,0,13,3,5,,,0,0,1,3,22,8,11,16,8,22,5,2,2,2,0,0,4,1,46,54,4,30,84,85,306,364,366,429,54,51,29,29,54,57,64,77,47,118,73,153,0,42,0,5,9,12,0,1,55,32,0,0,0,0,0,1,93,94,13,17,14,18,0,1,17,12,8,1,0.04,1.98,0.04,2.05,0.13,1.53,2.05,0.04,-0.95,0.04
8bVdRhu0,UAE League,3,"September 12, 2025",07:15 PM,,10000,Ajman Stadium,Ajman,Ajman,Al Bataeh,1,0,H,4-4-2,4-3-3,7.1,6.3,15,6,4,2,8,4,11,3,4,3,1,0,0,0,6,2,23,15,13,28,15,23,1,1,5,3,0,0,2,3,38,62,21,11,66,78,160,321,242,410,35,42,22,28,62,67,60,60,40,64,67,107,30,13,6,2,20,15,3,2,58,34,0,0,0,0,0,0,71,25,5,1,7,4,3,0,29,18,7,7,1.72,1.05,1.18,0.11,1.12,0.44,0.11,1.18,-0.89,0.18
thnskX9r,UAE League,19,"March 10, 2026",07:30 PM,,12000,Khalid Bin Mohammed Stadium,Sharjah,Al Bataeh,Ajman,1,0,H,5-4-1,4-4-2,8.0,7.7,10,14,5,4,4,7,4,9,6,5,,,1,0,3,3,11,19,14,28,19,11,2,5,3,2,0,0,4,4,37,63,8,20,64,79,167,355,261,447,39,59,28,41,72,69,46,63,40,66,87,105,14,15,1,3,7,20,2,0,50,56,0,0,0,0,0,0,73,90,16,9,22,10,1,3,38,28,8,6,0.83,0.77,1.00,0.64,0.56,0.90,0.64,1.00,0.64,0.00
A3ikzInT,UAE League,13,"January 19, 2026",03:05 PM,,10000,Ajman Stadium,Ajman,Ajman,Al Dhafra,1,1,D,4-4-2,4-4-2,6.3,6.9,14,8,4,2,7,2,11,4,3,4,,,0,0,5,4,10,16,26,25,16,10,0,2,1,0,0,0,1,3,44,56,26,11,73,80,226,326,310,407,46,33,26,20,56,60,52,63,46,61,89,97,25,21,4,3,16,14,1,1,58,56,0,1,0,0,0,1,59,81,10,13,17,16,3,4,29,28,6,8,1.37,0.44,0.66,0.36,0.99,0.39,0.36,0.66,-0.64,-0.34
fgMiRM3b,UAE League,12,"January 08, 2026",03:00 PM,,42056,Mohammed Bin Zayed Stadium,Abu Dhabi,Al Jazira,Ajman,3,0,H,4-4-2,4-4-2,7.1,8.3,15,12,8,2,5,6,9,8,6,4,,,0,0,6,6,15,11,15,15,11,15,1,3,1,1,0,0,2,5,56,44,21,18,83,80,386,280,463,350,57,61,28,20,49,33,74,66,76,70,103,106,22,13,2,3,9,23,0,0,51,43,0,1,0,0,1,1,60,59,9,10,15,17,2,4,27,20,15,12,1.29,0.83,1.75,0.46,1.26,0.74,0.46,1.75,0.46,-1.25
dleBBdte,UAE League,2,"August 24, 2025",07:30 PM,,15058,Al Maktoum Stadium,Dubai,Al Nasr,Ajman,1,0,H,4-3-3,4-3-3,7.1,7.5,11,5,1,2,9,2,8,4,3,1,1,0,1,0,4,3,12,16,17,15,19,12,1,1,3,4,0,1,2,0,67,33,18,9,89,74,401,159,453,215,59,30,27,16,46,53,73,46,83,22,113,48,39,15,7,2,18,13,4,0,41,38,0,0,0,0,0,1,67,55,8,6,12,11,1,1,16,17,5,3,1.13,0.34,0.59,0.08,1.14,0.31,0.08,0.59,0.08,-0.41
A1Y3xv5b,UAE League,4,"September 21, 2025",07:15 PM,,16000,Sharjah Stadium,Sharjah,Al Sharjah,Ajman,0,1,A,4-3-3,4-4-2,6.4,6.5,10,15,3,4,3,9,5,11,5,4,,,0,0,5,4,17,16,22,23,16,17,2,0,2,4,0,0,2,2,61,39,24,18,82,77,347,205,421,266,39,44,13,23,33,52,70,66,97,41,139,62,21,25,4,3,19,12,0,1,55,55,0,0,0,0,0,1,53,80,9,8,17,10,4,2,18,32,7,13,0.37,1.47,0.05,0.63,0.61,1.04,0.63,0.05,-0.37,0.05
jRp4hr1m,UAE League,17,"February 20, 2026",07:30 PM,,10000,Ajman Stadium,Ajman,Ajman,Al Sharjah,3,2,H,4-4-2,4-2-3-1,6.3,6.2,18,16,7,4,6,5,9,5,9,11,,,0,1,7,9,7,18,13,16,18,7,0,3,1,2,0,0,2,4,49,51,23,16,75,78,236,253,316,325,37,48,20,23,54,48,60,61,50,54,84,88,38,29,5,4,13,14,1,1,38,39,0,0,0,0,1,0,41,71,7,5,17,7,5,7,16,18,12,8,1.48,1.72,1.06,1.12,1.29,0.77,1.12,1.06,-0.88,-1.94
4UAw7sGt,UAE League,18,"February 25, 2026",07:30 PM,,15000,Al Nahyan Stadium,Abu Dhabi,Al Wahda,Ajman,2,0,H,4-4-2,4-4-2,7.2,6.5,10,11,7,3,2,5,7,6,3,5,1,0,1,1,3,0,20,15,27,18,15,20,5,1,3,1,0,0,2,4,51,49,20,20,82,81,355,342,434,424,63,49,34,31,54,63,69,64,91,65,131,102,35,9,6,1,17,11,2,1,54,43,1,0,0,0,0,0,50,80,6,8,12,10,1,3,19,32,6,9,0.84,0.96,1.38,0.39,1.54,0.58,0.39,1.38,0.39,-0.62
