match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
h6sjFqg4,FIFA Club World Cup,3,"June 24, 2025",04:00 AM,39893,82566,MetLife Stadium,"East Rutherford, NJ",FC Porto,Al Ahly,4,4,D,3-4-3,4-2-1-3,7.4,6.2,17,23,7,12,6,9,7,13,10,10,1,1,1,0,11,4,11,10,17,10,10,11,0,2,0,4,0,0,8,3,57,43,23,38,86,84,378,290,441,345,45,53,14,21,31,40,68,78,77,94,114,120,30,27,7,3,23,11,5,6,49,51,2,0,2,0,1,2,21,63,3,10,14,16,4,2,18,26,5,10,1.73,3.13,2.85,3.99,1.25,0.94,3.99,2.85,-0.01,-1.15
bqMG0pvB,FIFA Club World Cup,1,"June 15, 2025",03:00 AM,60927,64767,Hard Rock Stadium,"Miami Gardens, FL",Al Ahly,Inter Miami,0,0,D,4-3-2-1,4-2-3-1,8.3,6.8,11,14,8,6,3,5,7,8,4,6,,,0,2,4,10,10,11,7,19,11,10,2,0,1,4,0,0,6,8,45,55,18,23,89,87,353,429,398,492,63,55,25,22,40,40,78,64,60,79,77,124,18,33,2,5,11,15,5,3,46,48,2,1,0,0,0,0,61,68,14,13,23,19,0,3,28,14,8,6,1.98,0.70,2.97,1.65,0.68,0.98,1.65,2.97,1.65,2.97
p0KObO8N,FIFA Club World Cup,2,"June 19, 2025",07:00 PM,35179,82566,MetLife Stadium,"East Rutherford, NJ",Palmeiras,Al Ahly,2,0,H,3-4-3,4-2-3-1,7.0,6.3,11,8,1,2,8,1,5,4,6,4,,,0,0,6,3,14,16,15,13,16,14,1,3,4,3,0,0,2,0,35,65,16,15,78,89,186,416,238,465,40,47,17,16,42,34,63,74,50,70,79,94,29,14,6,2,21,14,2,0,41,34,1,0,0,0,2,0,55,60,6,6,11,10,2,5,15,20,12,5,1.57,0.29,0.64,0.12,0.87,0.48,0.12,0.64,0.12,-0.36
YJXghGnp,FIFA Club World Cup,1,"June 19, 2025",04:00 AM,18161,20000,Audi Field,"Washington, DC",Al Ain,Juventus,0,5,A,5-3-2,3-4-3,5.2,5.9,9,16,5,7,3,5,6,11,3,5,0,1,0,1,3,5,14,5,18,11,5,14,5,1,1,4,0,0,2,5,36,64,11,33,85,90,302,559,356,618,63,70,33,23,52,33,73,84,55,158,75,188,0,20,0,3,9,15,0,4,47,36,0,0,0,0,0,0,41,81,7,13,17,16,1,4,24,10,13,6,0.53,1.62,0.42,3.11,0.17,0.99,3.11,0.42,-1.81,0.49
6oo1jfHd,FIFA Club World Cup,2,"June 23, 2025",04:00 AM,40392,71000,Mercedes-Benz Stadium,"Atlanta, GA",Manchester City,Al Ain,6,0,H,4-1-2-3,5-3-2,7.0,7.5,21,5,11,1,5,4,17,4,4,1,,,1,0,9,1,14,11,17,15,11,14,0,2,1,2,0,0,1,5,74,26,42,6,94,78,709,213,753,272,70,25,23,11,33,44,88,43,231,16,262,37,14,33,3,1,21,3,6,0,48,42,1,3,0,1,1,0,86,52,12,13,14,25,5,0,7,22,7,5,4.02,0.44,4.00,0.44,2.07,0.10,0.44,4.00,0.44,-2.00
h272fOZR,FIFA Club World Cup,3,"June 26, 2025",10:00 PM,10785,20000,Audi Field,"Washington, DC",Wydad AC,Al Ain,1,2,A,4-4-2,5-3-2,6.4,6.6,11,18,2,5,4,8,9,14,2,4,,,1,0,4,5,11,22,14,11,22,11,3,3,3,2,0,0,3,1,50,50,21,33,88,83,305,299,347,360,64,55,23,31,36,56,75,72,63,74,84,103,10,35,2,7,21,20,2,4,45,48,0,0,0,0,0,2,55,80,6,8,11,10,5,5,16,18,14,4,1.80,2.86,0.37,1.98,0.94,1.76,1.98,0.37,-0.02,-0.63
WQD4WasH,FIFA Club World Cup,Quarter-finals,"July 04, 2025",10:00 PM,43091,65194,Camping World Stadium,"Orlando, FL",Fluminense,Al Hilal,2,1,H,3-5-2,3-5-2,7.0,8.1,10,15,3,4,3,4,5,9,5,6,,,0,0,4,12,12,13,16,13,13,12,3,1,3,4,0,0,3,1,43,57,13,34,85,88,282,382,333,432,43,50,16,18,37,36,65,73,50,83,77,113,30,16,3,5,10,31,2,2,41,48,2,0,0,0,0,0,39,58,7,11,18,19,4,7,34,12,12,12,0.74,0.83,1.69,1.56,0.28,0.56,1.56,1.69,0.47,-0.31
Sbld5SC5,FIFA Club World Cup,1/8-finals,"July 01, 2025",04:00 AM,42311,65194,Camping World Stadium,"Orlando, FL",Manchester City,Al Hilal,3,4,A,4-1-2-3,3-5-2,5.7,6.0,30,17,14,6,8,4,20,17,10,0,0,2,1,0,19,4,7,17,15,10,17,7,0,2,3,1,0,0,2,11,69,31,72,29,92,84,763,314,827,374,77,72,17,44,22,61,88,68,390,46,441,68,23,31,11,4,48,13,6,7,45,56,0,0,0,0,6,0,63,52,12,11,19,21,8,7,22,44,5,9,4.21,3.16,3.85,3.64,3.56,1.22,3.64,3.85,-0.36,0.85
MwZ81use,FIFA Club World Cup,3,"June 27, 2025",04:00 AM,14147,30000,Geodis Park,"Nashville, TN",Al Hilal,Pachuca,2,0,H,4-1-2-3,3-4-3,7.0,6.8,8,13,3,2,4,7,4,8,4,5,,,0,0,3,3,13,11,8,18,11,13,4,3,2,2,0,0,2,1,48,52,20,13,83,85,374,407,449,477,64,51,35,23,55,45,69,72,75,79,108,110,11,33,1,6,9,18,4,0,55,31,0,0,0,0,0,0,75,44,12,4,16,9,1,4,17,18,8,3,1.84,0.63,1.33,0.14,0.58,0.49,0.14,1.33,0.14,-0.67
MHcYl2ck,FIFA Club World Cup,1,"June 18, 2025",10:00 PM,62415,64767,Hard Rock Stadium,"Miami Gardens, FL",Real Madrid,Al Hilal,1,1,D,4-2-1-3,4-1-2-3,6.4,7.2,19,13,7,2,7,7,11,9,8,4,,,1,0,5,6,10,9,12,14,9,10,2,2,1,3,0,0,1,6,52,48,38,20,91,84,453,396,498,469,65,58,17,34,26,59,87,79,143,99,165,126,39,18,9,2,23,11,4,2,45,35,2,0,0,0,1,0,75,53,9,9,12,17,5,4,17,21,5,5,2.64,1.88,1.76,0.73,1.93,0.44,0.73,1.76,-0.27,0.76
