match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
dtRAGu5U,World Cup - Qualification - Second stage,4,"March 26, 2024",03:30 PM,8932,35000,Indira Gandhi Athletic Stadium,Guwahati,India,Afghanistan,1,2,A,4-2-3-1,4-4-2,,,11,14,2,5,7,7,,,,,,,,,5,4,13,20,20,11,15,13,5,0,5,2,0,0,3,1,54,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
rwN6HLkO,World Cup - Qualification - Second stage,3,"March 21, 2024",09:00 PM,3900,5000,Damac Club Stadium,Khamis Mushait,Afghanistan,India,0,0,D,4-4-2,4-4-2,,,4,7,2,1,2,6,,,,,,,,,4,5,11,5,22,26,4,10,1,1,1,3,0,0,1,2,47,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0EX1I1zI,World Cup - Qualification - Second stage,2,"November 21, 2023",07:00 PM,330,26000,Prince Mohamed bin Fahd Stadium,Dammam,Afghanistan,Kuwait,0,4,A,4-4-2,4-4-2,,,1,22,0,13,0,7,,,,,,,,,1,11,8,15,10,22,13,6,2,2,1,0,0,0,9,0,29,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,
Ch1Kzqjn,World Cup - Qualification - Second stage,6,"June 11, 2024",06:45 PM,11680,28000,Sabah Al Salem Stadium,Kuwait,Kuwait,Afghanistan,1,0,H,4-2-3-1,4-4-2,,,12,6,3,2,5,4,,,,,,,,,3,2,20,12,29,17,10,17,2,3,2,4,0,0,2,2,60,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,
McP2nJ6n,World Cup,Final,"October 17, 2023",10:00 AM,,5000,MFF Football Centre,Ulaanbaatar,Mongolia,Afghanistan,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SzQbmait,World Cup,Final,"October 12, 2023",05:00 PM,,,Republican central stadium,Dushanbe,Afghanistan,Mongolia,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNYcJsLB,World Cup - Qualification - Second stage,1,"November 16, 2023",05:45 PM,,,,,Qatar,Afghanistan,8,1,H,4-3-3,4-4-2,,,26,2,17,1,8,1,,,,,,,,,10,0,12,14,13,10,12,15,2,0,0,5,0,1,0,9,73,27,,,90,67,540,157,599,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,5.71,0.41,,,,,,,,
Y12GyPzt,World Cup - Qualification - Second stage,5,"June 06, 2024",07:00 PM,651,19550,Prince Abdullah bin Jalawi Stadium,Al Ahsa,Afghanistan,Qatar,0,0,D,4-4-2,3-4-2-1,6.9,6.9,2,10,0,2,0,4,,,,,,,,,2,9,9,15,12,18,15,7,2,1,4,4,0,0,2,0,30,70,,,64,86,134,402,208,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,
EPeaoaOG,World Cup - Qualification,,"November 13, 2025",09:45 PM,2225,5600,Estadi de la FAF,Encamp,Andorra,Albania,0,1,A,4-4-2,4-3-3,6.0,6.1,3,12,0,2,2,5,0,9,3,3,,,0,1,1,3,7,18,22,15,18,7,2,2,3,2,0,0,1,0,34,66,2,22,76,91,249,582,328,643,35,49,24,25,69,51,50,80,37,127,74,158,0,17,0,4,10,23,0,1,32,58,0,0,0,0,0,0,69,91,9,10,13,11,1,5,18,20,4,9,0.12,1.40,0.00,0.42,0.13,0.79,0.42,0.00,-0.58,0.00
hjq9zrAb,World Cup - Qualification,,"March 24, 2025",09:45 PM,17183,22500,Arena Kombetare,Tirana,Albania,Andorra,3,0,H,4-3-3,4-5-1,6.4,7.1,15,0,7,0,5,0,10,0,5,0,2,0,0,0,2,0,21,2,22,9,2,21,0,2,0,2,0,0,0,4,85,15,25,0,93,73,888,116,956,160,58,35,33,14,57,40,72,22,114,4,158,18,29,50,4,1,14,2,3,0,47,21,0,0,0,0,0,0,67,69,8,9,12,13,3,0,3,30,3,7,1.47,0.00,2.84,0.00,1.10,0.03,0.00,2.84,0.00,-0.16
K2zQWa9N,World Cup - Qualification,,"November 16, 2025",07:00 PM,21459,22500,Air Albania Stadium,Tirana,Albania,England,0,2,A,4-3-3,4-3-3,6.8,6.1,7,14,3,7,3,4,4,10,2,4,0,1,0,0,5,5,10,9,16,16,9,10,1,2,1,2,0,0,5,3,30,70,9,28,74,92,211,633,286,686,36,63,20,12,55,19,62,83,31,161,50,193,8,28,1,5,13,18,1,3,25,44,0,1,0,0,0,3,60,62,6,8,10,13,1,3,22,14,6,14,0.49,1.86,0.82,2.40,0.23,1.82,2.40,0.82,0.40,0.82
SYtrMre5,World Cup - Qualification,,"March 21, 2025",09:45 PM,82378,90000,Wembley Stadium,London,England,Albania,2,0,H,4-2-3-1,4-2-1-3,6.6,6.8,12,3,6,0,2,2,11,1,1,2,,,2,0,4,1,7,9,16,12,9,7,2,2,0,1,0,0,0,4,74,26,34,6,94,83,812,249,865,299,62,32,18,10,29,31,84,46,202,16,240,35,43,0,6,0,14,6,4,0,43,28,0,0,0,0,2,0,77,63,10,5,13,8,4,1,9,30,2,8,1.58,0.06,2.65,0.00,2.98,0.04,0.00,2.65,0.00,0.65
