scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-09 17:59:48,https://us.soccerway.com/game/african-stars-zsPjekRm/vipers-naKVehgj/?mid=IVNefzhC,False,no_stats,16,5.74,1.61,1.92,0.0,0.0,7.66,9.35,2.54,11.89
2026-04-09 18:00:00,https://us.soccerway.com/game/african-stars-zsPjekRm/vipers-naKVehgj/?mid=pIPmddNa,False,no_stats,14,1.6,1.31,1.76,0.0,0.0,3.36,4.76,3.11,19.75
2026-04-09 18:00:08,https://us.soccerway.com/game/aigle-noir-ATkWI8PI/al-ahly-EPsYDm4A/?mid=dWJIrfE4,False,no_stats,14,3.09,0.59,1.82,0.0,0.0,4.91,5.58,2.81,28.14
2026-04-09 18:00:16,https://us.soccerway.com/game/aigle-noir-ATkWI8PI/al-ahly-EPsYDm4A/?mid=rmIQtYrH,False,no_stats,17,2.03,1.63,1.84,0.0,0.0,3.87,5.58,3.87,37.6
2026-04-09 18:00:26,https://us.soccerway.com/game/aigle-noir-ATkWI8PI/asas-dMDs9aMG/?mid=OtOkC8Dc,False,no_stats,14,2.22,1.43,1.48,0.0,0.0,3.7,5.2,2.9,45.7
2026-04-09 18:00:34,https://us.soccerway.com/game/aigle-noir-ATkWI8PI/asas-dMDs9aMG/?mid=W6RcAnrA,False,no_stats,14,1.75,0.59,1.87,0.0,0.0,3.62,4.3,3.61,53.6
2026-04-09 18:00:42,https://us.soccerway.com/game/aigles-du-congo-ll5VeAML/rivers-united-b1JSz0K3/?mid=QLQ9sL57,False,no_stats,14,2.07,0.73,1.81,0.0,0.0,3.88,4.7,3.2,61.5
2026-04-09 18:00:50,https://us.soccerway.com/game/aigles-du-congo-ll5VeAML/rivers-united-b1JSz0K3/?mid=jaIe5OcE,False,no_stats,17,2.44,0.68,1.69,0.0,0.0,4.13,4.9,3.11,69.52
2026-04-09 18:00:58,https://us.soccerway.com/game/al-ahly-EPsYDm4A/esperance-tunis-bVINpDMl/?mid=Ktp7sHU7,True,none,115,2.28,0.6,1.46,1.8,1.81,5.55,8.1,2.34,79.96
2026-04-09 18:01:08,https://us.soccerway.com/game/al-ahly-EPsYDm4A/esperance-tunis-bVINpDMl/?mid=hpu13biR,True,none,117,3.05,1.02,1.67,0.76,1.86,6.58,8.53,3.22,91.71
2026-04-09 18:01:20,https://us.soccerway.com/game/al-ahly-EPsYDm4A/far-rabat-CMn7Clai/?mid=GQqx2Kro,True,none,115,2.48,1.26,1.64,1.57,1.38,5.5,8.48,2.34,102.53
2026-04-09 18:01:31,https://us.soccerway.com/game/al-ahly-EPsYDm4A/far-rabat-CMn7Clai/?mid=IkrWhs6U,True,none,117,2.47,0.98,1.64,0.64,1.57,5.68,7.44,3.51,113.47
2026-04-09 18:01:42,https://us.soccerway.com/game/al-ahly-EPsYDm4A/kabylie-Wfaskwf0/?mid=dt357tLN,True,none,115,1.8,1.08,1.53,1.75,1.9,5.23,8.22,2.14,123.83
2026-04-09 18:01:52,https://us.soccerway.com/game/al-ahly-EPsYDm4A/kabylie-Wfaskwf0/?mid=fB13oHKP,True,none,114,3.83,0.76,3.22,1.66,1.97,9.02,11.58,2.8,138.22
2026-04-09 18:02:06,https://us.soccerway.com/game/al-ahly-EPsYDm4A/young-africans-dMbOiRbT/?mid=UTBlBOLb,True,none,117,2.46,1.4,1.77,1.44,1.6,5.83,8.82,3.67,150.71
2026-04-09 18:02:19,https://us.soccerway.com/game/al-ahly-EPsYDm4A/young-africans-dMbOiRbT/?mid=n9trvZCa,True,none,115,2.26,1.99,1.68,1.54,1.51,5.45,9.12,3.81,163.64
2026-04-09 18:02:32,https://us.soccerway.com/game/al-ahly-tripoli-ClmOlJvf/berkane-Me4oCiMn/?mid=dCNUm6pR,False,no_stats,17,2.05,1.6,1.62,0.0,0.0,3.67,5.37,2.03,171.04
2026-04-09 18:02:39,https://us.soccerway.com/game/al-ahly-tripoli-ClmOlJvf/berkane-Me4oCiMn/?mid=tpa1rp8l,False,no_stats,17,2.27,0.73,1.83,0.0,0.0,4.1,4.92,3.51,179.47
