scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-17 19:29:30,https://us.soccerway.com/game/aldosivi-Eu4qrEcB/argentinos-jrs-QuxS0ahA/?mid=SpD4Xem4,True,none,115,8.21,1.95,1.66,0.8,2.52,12.39,15.32,3.38,18.7
2026-04-17 19:29:49,https://us.soccerway.com/game/aldosivi-Eu4qrEcB/atl-tucuman-KpqpxWko/?mid=U9yvIV57,True,none,114,3.88,0.82,2.25,1.09,1.78,7.91,9.96,2.77,31.43
2026-04-17 19:30:01,https://us.soccerway.com/game/aldosivi-Eu4qrEcB/banfield-GIb40wNM/?mid=dbtBzMaD,False,no_lineups,111,2.91,1.53,1.82,0.77,2.21,6.94,9.39,2.36,43.18
2026-04-17 19:30:13,https://us.soccerway.com/game/aldosivi-Eu4qrEcB/barracas-central-hW08cP6J/?mid=CdDhsG9a,True,none,115,2.19,1.4,1.51,1.59,1.59,5.29,8.44,3.37,54.99
2026-04-17 19:30:25,https://us.soccerway.com/game/aldosivi-Eu4qrEcB/ca-belgrano-de-cordoba-Amzaty2s/?mid=lr0I5yzR,True,none,115,1.57,1.24,1.7,1.71,1.59,4.86,7.97,3.31,66.27
2026-04-17 19:30:36,https://us.soccerway.com/game/aldosivi-Eu4qrEcB/defensa-y-justicia-Gdfv0Zsh/?mid=zc36HhOG,True,none,115,2.72,1.0,1.98,0.66,1.58,6.28,8.1,3.79,78.16
2026-04-17 19:30:48,https://us.soccerway.com/game/aldosivi-Eu4qrEcB/estudiantes-rio-cuarto-llpcIYF2/?mid=zJrprMK5,True,none,115,1.75,1.22,2.02,0.77,1.9,5.67,7.82,3.21,89.19
2026-04-17 19:30:59,https://us.soccerway.com/game/aldosivi-Eu4qrEcB/gimnasia-l-p-jiDN9Zaj/?mid=0GYg2yy3,True,none,117,2.66,1.28,1.39,1.02,1.38,5.43,7.88,2.79,99.86
2026-04-17 19:31:10,https://us.soccerway.com/game/aldosivi-Eu4qrEcB/huracan-xd3lGq3F/?mid=WzmWraAN,True,none,115,2.99,1.41,1.93,1.42,2.07,6.99,9.98,2.71,112.55
2026-04-17 19:31:22,https://us.soccerway.com/game/aldosivi-Eu4qrEcB/rosario-central-4QmJ2LNc/?mid=tSg0zMnn,True,none,117,2.09,0.95,1.56,0.73,1.89,5.54,7.41,2.37,122.33
2026-04-17 19:31:32,https://us.soccerway.com/game/aldosivi-Eu4qrEcB/sarmiento-junin-KQ6kGfyc/?mid=xlplQmaK,True,none,115,2.52,1.91,1.52,1.43,1.89,5.93,9.44,3.15,134.91
2026-04-17 19:31:45,https://us.soccerway.com/game/aldosivi-Eu4qrEcB/tigre-nkwO1uw4/?mid=UVtPaxGc,True,none,115,2.69,1.05,1.38,0.68,1.87,5.94,7.84,3.72,146.47
2026-04-17 19:31:56,https://us.soccerway.com/game/aldosivi-Eu4qrEcB/union-de-santa-fe-lr2YMkTK/?mid=j1FU22S6,True,none,117,2.77,0.57,1.45,0.85,1.64,5.86,7.44,2.21,156.13
