scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-16 12:56:35,https://us.soccerway.com/game/avenida-OjQlH57m/gremio-E1EFmhVh/?mid=bF6pzJge,True,none,115,5.48,1.92,2.04,1.05,1.72,9.24,12.38,3.28,15.66
2026-04-16 12:56:51,https://us.soccerway.com/game/avenida-OjQlH57m/guarany-de-bage-ADNyNvZM/?mid=QDslloIs,True,none,114,2.39,1.09,1.79,1.23,1.86,6.04,8.5,2.01,26.17
2026-04-16 12:57:02,https://us.soccerway.com/game/avenida-OjQlH57m/guarany-de-bage-ADNyNvZM/?mid=rTpvuAUq,False,no_stats,17,3.15,1.15,1.62,0.0,0.0,4.77,6.02,3.59,35.78
2026-04-16 12:57:11,https://us.soccerway.com/game/avenida-OjQlH57m/inter-santa-maria-I1OH1uf2/?mid=4GKbavGb,True,none,115,2.4,1.43,1.77,0.63,1.76,5.93,8.14,2.81,46.73
2026-04-16 12:57:22,https://us.soccerway.com/game/avenida-OjQlH57m/inter-santa-maria-I1OH1uf2/?mid=6iq4p3H6,True,none,115,1.65,1.32,2.09,1.06,1.62,5.36,7.89,3.1,57.72
2026-04-16 12:57:33,https://us.soccerway.com/game/avenida-OjQlH57m/inter-santa-maria-I1OH1uf2/?mid=plQtJuyf,True,none,115,1.81,1.03,6.22,0.54,1.57,9.6,11.37,3.09,72.17
2026-04-16 12:57:48,https://us.soccerway.com/game/avenida-OjQlH57m/monsoon-61w2zVe5/?mid=86LpaQSN,False,no_stats,17,2.09,0.61,1.91,0.0,0.0,4.0,4.7,2.58,79.45
2026-04-16 12:57:55,https://us.soccerway.com/game/avenida-OjQlH57m/monsoon-61w2zVe5/?mid=GK5OXPX0,False,no_lineups,110,2.87,0.97,4.65,1.53,2.44,9.96,12.6,3.25,95.3
2026-04-16 12:58:11,https://us.soccerway.com/game/avenida-OjQlH57m/monsoon-61w2zVe5/?mid=fVjIg7fK,False,no_stats,14,2.13,1.82,3.02,0.0,0.0,5.15,7.05,3.98,106.33
2026-04-16 12:58:22,https://us.soccerway.com/game/avenida-OjQlH57m/novo-hamburgo-tQOueDzH/?mid=WxhZMlxS,False,no_stats,17,2.28,1.03,2.48,0.0,0.0,4.76,5.86,3.02,115.21
2026-04-16 12:58:31,https://us.soccerway.com/game/avenida-OjQlH57m/ser-caxias-do-sul-lW2Ya3Lu/?mid=6FQ1aZM6,False,no_stats,14,3.55,1.57,2.5,0.0,0.0,6.05,7.69,3.36,126.25
2026-04-16 12:58:42,https://us.soccerway.com/game/avenida-OjQlH57m/ypiranga-fc-Ekl6KsWC/?mid=tUWzEggc,True,none,117,2.66,1.19,1.41,0.97,1.75,5.82,8.14,3.76,138.15
2026-04-16 12:58:54,https://us.soccerway.com/game/ec-juventude-GS36K259/ec-sao-jose-pa-W4mjV0z1/?mid=EqsJn1Wh,True,none,118,2.74,1.69,1.63,1.27,1.64,6.01,9.12,3.18,150.45
2026-04-16 12:59:06,https://us.soccerway.com/game/ec-juventude-GS36K259/gremio-E1EFmhVh/?mid=IZ90wAM8,True,none,115,2.33,1.23,1.62,1.81,1.65,5.6,8.8,3.0,162.24
2026-04-16 12:59:18,https://us.soccerway.com/game/ec-juventude-GS36K259/gremio-E1EFmhVh/?mid=K8vriTEb,True,none,118,2.42,1.48,1.81,0.54,3.14,7.37,9.54,3.94,175.72
2026-04-16 12:59:31,https://us.soccerway.com/game/ec-juventude-GS36K259/gremio-E1EFmhVh/?mid=hzhkk7qB,True,none,116,2.16,1.37,1.37,1.77,1.43,4.96,8.26,3.02,187.01
2026-04-16 12:59:43,https://us.soccerway.com/game/ec-juventude-GS36K259/inter-santa-maria-I1OH1uf2/?mid=Sj2Hg4jo,True,none,115,2.41,0.53,1.54,0.71,1.56,5.51,6.92,3.53,197.46
