scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-16 13:09:45,https://us.soccerway.com/game/athletico-pr-UoAxb1Tq/atletico-mg-hGLC5Bah/?mid=WQT9MzUH,True,none,118,3.34,0.87,1.8,1.35,1.36,6.5,8.9,2.26,11.16
2026-04-16 13:09:56,https://us.soccerway.com/game/athletico-pr-UoAxb1Tq/bahia-UeD7XtzM/?mid=tI8BDuom,True,none,118,3.05,0.61,1.76,1.99,1.83,6.64,9.41,3.34,23.91
2026-04-16 13:10:09,https://us.soccerway.com/game/athletico-pr-UoAxb1Tq/botafogo-rj-jXzWoWa5/?mid=xUgkXiV8,True,none,118,2.94,1.85,1.46,0.82,1.49,5.89,8.73,3.59,36.23
2026-04-16 13:10:22,https://us.soccerway.com/game/athletico-pr-UoAxb1Tq/bragantino-jwKvKhGa/?mid=8W8c42e5,True,none,116,2.78,1.89,1.54,1.93,1.7,6.02,10.01,3.97,50.21
2026-04-16 13:10:36,https://us.soccerway.com/game/athletico-pr-UoAxb1Tq/chapecoense-sc-jcQV3XP6/?mid=4CmoinZ8,False,no_stats,18,1.21,0.78,2.3,0.0,0.0,3.51,4.38,2.92,57.51
2026-04-16 13:10:43,https://us.soccerway.com/game/athletico-pr-UoAxb1Tq/corinthians-QBGfQbSe/?mid=4ts9tvn1,True,none,112,3.84,1.64,1.76,1.07,1.92,7.52,10.39,3.03,70.93
2026-04-16 13:10:56,https://us.soccerway.com/game/athletico-pr-UoAxb1Tq/coritiba-KGO4pUqO/?mid=lSRM6XX2,False,no_stats,18,4.08,0.65,1.94,0.0,0.0,6.02,6.75,2.33,80.02
2026-04-16 13:11:05,https://us.soccerway.com/game/athletico-pr-UoAxb1Tq/cruzeiro-0SwtclaU/?mid=6JUf5xsh,False,no_stats,18,4.09,1.44,3.12,0.0,0.0,7.21,8.73,2.77,91.52
2026-04-16 13:11:17,https://us.soccerway.com/game/athletico-pr-UoAxb1Tq/fluminense-EV9L3kU4/?mid=xhxxOmhe,True,none,118,2.82,0.56,1.71,1.44,1.27,5.8,7.98,3.92,103.42
2026-04-16 13:11:29,https://us.soccerway.com/game/athletico-pr-UoAxb1Tq/internacional-tSCiHj0I/?mid=SM0KZVYG,True,none,116,4.47,0.69,1.76,0.77,1.92,8.15,9.77,2.88,116.07
2026-04-16 13:11:41,https://us.soccerway.com/game/athletico-pr-UoAxb1Tq/santos-n3QdnjFB/?mid=0pUEgosm,True,none,116,2.87,1.58,1.57,1.46,1.62,6.06,9.27,3.07,128.41
2026-04-16 13:11:54,https://us.soccerway.com/game/atletico-mg-hGLC5Bah/bragantino-jwKvKhGa/?mid=6oaMkrPE,True,none,116,2.26,1.87,1.51,1.22,1.55,5.32,8.58,2.85,139.84
2026-04-16 13:12:05,https://us.soccerway.com/game/atletico-mg-hGLC5Bah/chapecoense-sc-jcQV3XP6/?mid=2XdKBJFa,True,none,116,2.72,1.01,1.56,1.33,1.87,6.15,8.65,2.98,151.48
2026-04-16 13:12:17,https://us.soccerway.com/game/atletico-mg-hGLC5Bah/fluminense-EV9L3kU4/?mid=6anCaYAT,True,none,118,1.89,1.08,1.27,1.1,1.45,4.61,6.96,3.7,162.13
2026-04-16 13:12:28,https://us.soccerway.com/game/atletico-mg-hGLC5Bah/gremio-E1EFmhVh/?mid=zoPwpY9j,True,none,118,2.54,0.77,1.38,1.62,1.35,5.27,7.83,3.3,173.27
2026-04-16 13:12:39,https://us.soccerway.com/game/atletico-mg-hGLC5Bah/internacional-tSCiHj0I/?mid=jyEfBA8k,True,none,116,2.81,1.77,2.45,1.47,1.93,7.19,10.6,3.33,187.19
2026-04-16 13:12:53,https://us.soccerway.com/game/atletico-mg-hGLC5Bah/palmeiras-hMn9FTbH/?mid=Wf7Byh44,True,none,118,2.99,0.54,1.61,1.24,1.67,6.27,8.24,3.78,199.22
2026-04-16 13:13:05,https://us.soccerway.com/game/atletico-mg-hGLC5Bah/remo-2i0B6Zul/?mid=bkuLfER1,True,none,118,2.99,1.15,1.96,1.59,1.8,6.75,9.64,2.4,211.26
2026-04-16 13:13:17,https://us.soccerway.com/game/atletico-mg-hGLC5Bah/santos-n3QdnjFB/?mid=IucBv9k3,True,none,116,1.58,1.14,1.56,0.89,1.34,4.48,6.67,3.22,221.15
2026-04-16 13:13:27,https://us.soccerway.com/game/atletico-mg-hGLC5Bah/sao-paulo-QgP0oAUH/?mid=KSexmeRN,True,none,118,2.96,1.57,1.64,0.74,1.35,5.95,8.43,3.95,233.53
