scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-16 13:31:19,https://us.soccerway.com/game/amazonas-zk9LAfeq/america-mg-xUT0Bp8o/?mid=CbIKtsMG,True,none,116,2.88,1.83,1.28,1.02,2.21,6.37,9.41,2.16,11.57
2026-04-16 13:31:31,https://us.soccerway.com/game/amazonas-zk9LAfeq/america-mg-xUT0Bp8o/?mid=Y9zfQPo4,True,none,115,1.81,1.45,1.78,0.61,1.73,5.32,7.56,3.68,22.82
2026-04-16 13:31:42,https://us.soccerway.com/game/amazonas-zk9LAfeq/athletic-club-INXlw5Bp/?mid=n7kwabeR,True,none,116,2.28,1.06,1.42,1.81,1.45,5.15,8.2,2.07,33.08
2026-04-16 13:31:52,https://us.soccerway.com/game/amazonas-zk9LAfeq/athletic-club-INXlw5Bp/?mid=zVAaOCZa,True,none,118,2.57,1.07,1.58,1.38,1.79,5.94,8.55,3.05,44.68
2026-04-16 13:32:04,https://us.soccerway.com/game/amazonas-zk9LAfeq/athletico-pr-UoAxb1Tq/?mid=OOSnkxpg,True,none,116,1.78,1.74,3.31,0.73,1.62,6.71,9.33,3.9,57.91
2026-04-16 13:32:17,https://us.soccerway.com/game/amazonas-zk9LAfeq/athletico-pr-UoAxb1Tq/?mid=zmCnGUaT,True,none,116,2.55,0.91,3.12,1.72,1.5,7.17,9.97,3.03,70.91
2026-04-16 13:32:30,https://us.soccerway.com/game/amazonas-zk9LAfeq/atletico-go-8M0mP8nt/?mid=C0VIGm3m,True,none,116,2.14,1.73,1.67,1.66,1.51,5.32,8.89,3.5,83.3
2026-04-16 13:32:42,https://us.soccerway.com/game/amazonas-zk9LAfeq/atletico-go-8M0mP8nt/?mid=SYQQqBrf,True,none,116,2.19,1.51,1.62,1.14,1.3,5.11,7.93,3.9,95.13
2026-04-16 13:32:54,https://us.soccerway.com/game/amazonas-zk9LAfeq/avai-rPzY7fWt/?mid=CYYT7JKF,True,none,116,2.55,1.32,1.78,0.72,1.89,6.22,8.42,2.36,105.91
2026-04-16 13:33:05,https://us.soccerway.com/game/amazonas-zk9LAfeq/avai-rPzY7fWt/?mid=OQ3QGCE7,True,none,116,2.37,0.78,1.59,1.19,1.65,5.61,7.74,3.27,116.92
2026-04-16 13:33:16,https://us.soccerway.com/game/amazonas-zk9LAfeq/botafogo-sp-2yRUzy5N/?mid=A1rTAVTQ,True,none,116,1.82,0.86,1.28,1.01,1.74,4.84,6.88,3.13,126.93
2026-04-16 13:33:26,https://us.soccerway.com/game/amazonas-zk9LAfeq/botafogo-sp-2yRUzy5N/?mid=CWD6a0yB,True,none,116,1.51,1.18,1.61,0.99,1.7,4.82,7.14,3.53,137.61
