scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-09 19:01:58,https://us.soccerway.com/game/abu-qir-semad-0jGgnDRP/zamalek-Qk0VR4IS/?mid=figJjQo2,False,no_stats,17,6.71,0.57,1.93,0.0,0.0,8.64,9.29,3.03,12.32
2026-04-09 19:02:11,https://us.soccerway.com/game/al-ittihad-alexandria-WpApD7JG/team-fc-G8AAK2bU/?mid=jVETTBFa,False,no_stats,17,2.02,0.8,1.96,0.0,0.0,3.98,4.86,2.04,19.22
2026-04-09 19:02:18,https://us.soccerway.com/game/al-masry-4b8hBolT/national-bank-egypt-Gx9ImdAm/?mid=0UTD5ftA,False,no_stats,14,2.17,0.53,2.72,0.0,0.0,4.89,5.5,3.36,28.08
2026-04-09 19:02:27,https://us.soccerway.com/game/al-masry-4b8hBolT/wadi-degla-8hYMzzVB/?mid=xprQBwfE,False,no_stats,17,3.0,0.76,1.66,0.0,0.0,4.66,5.5,2.8,36.38
2026-04-09 19:02:35,https://us.soccerway.com/game/al-qanah-nL7hY2js/el-gouna-EHDG5a4M/?mid=romvJf1s,False,no_stats,17,2.24,0.81,1.74,0.0,0.0,3.98,4.87,3.66,44.91
2026-04-09 19:02:43,https://us.soccerway.com/game/alexandria-sc-jooqQ7q4/ghazl-el-mahallah-WYauVS3c/?mid=Yy5AhnHk,False,no_stats,17,2.22,0.64,1.78,0.0,0.0,4.0,4.71,2.29,51.91
2026-04-09 19:02:50,https://us.soccerway.com/game/arab-contractors-al-mokawloon-hAgPF9Zc/petrojet-0ImETQmG/?mid=GC0oHYVg,False,no_stats,17,2.38,1.3,1.55,0.0,0.0,3.93,5.32,2.26,59.48
2026-04-09 19:02:58,https://us.soccerway.com/game/arab-contractors-al-mokawloon-hAgPF9Zc/pyramids-zyHMiDZ6/?mid=lbAb1CKt,False,no_stats,17,2.23,1.31,1.68,0.0,0.0,3.91,5.3,3.09,67.87
2026-04-09 19:03:06,https://us.soccerway.com/game/asyut-petroleum-W0hTETl4/national-bank-egypt-Gx9ImdAm/?mid=CvffFC06,False,no_stats,17,2.1,0.86,1.91,0.0,0.0,4.01,4.95,3.52,76.34
2026-04-09 19:03:15,https://us.soccerway.com/game/ceramica-cleopatra-ATasWtPS/el-gaish-rRAQSp3M/?mid=jyjZBqCs,False,no_stats,17,1.94,1.42,1.32,0.0,0.0,3.26,4.75,3.76,84.85
2026-04-09 19:03:23,https://us.soccerway.com/game/ceramica-cleopatra-ATasWtPS/el-gouna-EHDG5a4M/?mid=MTZmZzSk,True,none,33,2.39,1.0,1.96,1.1,1.8,6.15,8.38,3.67,96.89
2026-04-09 19:03:35,https://us.soccerway.com/game/ceramica-cleopatra-ATasWtPS/la-viena-bih8ssHt/?mid=pAoY9HOQ,False,no_stats,17,2.02,1.35,1.47,0.0,0.0,3.49,4.92,3.88,105.7
2026-04-09 19:03:44,https://us.soccerway.com/game/ceramica-cleopatra-ATasWtPS/zamalek-Qk0VR4IS/?mid=rBlvIswK,True,none,33,2.41,1.2,1.56,1.63,1.95,5.92,8.88,2.55,117.13
2026-04-09 19:03:56,https://us.soccerway.com/game/dayrout-MTaVEMJ5/zed-fc-SxS0BA1C/?mid=2RR44enl,False,no_stats,17,2.31,0.53,1.6,0.0,0.0,3.91,4.52,2.85,124.5
2026-04-09 19:04:03,https://us.soccerway.com/game/el-gaish-rRAQSp3M/el-olympi-8h0BRkKi/?mid=phh2DjVI,False,no_stats,17,1.77,1.87,1.64,0.0,0.0,3.41,5.36,3.94,133.8
2026-04-09 19:04:12,https://us.soccerway.com/game/el-gouna-EHDG5a4M/team-fc-G8AAK2bU/?mid=Kha3H5lK,False,no_stats,17,2.45,0.94,1.45,0.0,0.0,3.9,4.92,3.65,142.36
2026-04-09 19:04:21,https://us.soccerway.com/game/el-ismaily-Q79lCRYM/enppi-2wpo7PBj/?mid=n3qrANtf,False,no_stats,17,2.07,0.54,3.61,0.0,0.0,5.68,6.3,2.24,150.91
2026-04-09 19:04:30,https://us.soccerway.com/game/el-ismaily-Q79lCRYM/tanta-na5wg1oG/?mid=00zkyfNP,False,no_stats,17,2.24,0.7,1.74,0.0,0.0,3.98,4.76,3.06,158.72
2026-04-09 19:04:37,https://us.soccerway.com/game/el-mansoura-dt3L4JJS/pyramids-zyHMiDZ6/?mid=W6JL0DoD,False,no_stats,17,1.86,0.98,1.86,0.0,0.0,3.72,4.78,3.65,167.16
