scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-09 12:50:14,https://us.soccerway.com/game/al-ahly-EPsYDm4A/al-ittihad-alexandria-WpApD7JG/?mid=KIbkAhzG,True,none,115,8.15,1.9,2.28,1.28,1.53,11.96,15.29,7.88,23.17
2026-04-09 12:50:38,https://us.soccerway.com/game/al-ahly-EPsYDm4A/al-masry-4b8hBolT/?mid=lftKDnb5,True,none,115,2.58,1.77,2.11,1.34,1.74,6.43,9.67,7.64,40.48
2026-04-09 12:50:55,https://us.soccerway.com/game/al-ahly-EPsYDm4A/arab-contractors-al-mokawloon-hAgPF9Zc/?mid=dhejczX7,True,none,117,2.94,1.04,1.5,0.97,2.02,6.46,8.61,5.83,54.92
2026-04-09 12:51:09,https://us.soccerway.com/game/al-ahly-EPsYDm4A/ceramica-cleopatra-ATasWtPS/?mid=2gsa06o9,True,none,115,1.76,1.17,1.43,1.22,1.73,4.92,7.45,6.28,68.66
2026-04-09 12:51:23,https://us.soccerway.com/game/al-ahly-EPsYDm4A/ceramica-cleopatra-ATasWtPS/?mid=Eqb9b1zB,True,none,112,2.3,1.16,2.02,1.05,1.54,5.86,8.26,5.88,82.79
2026-04-09 12:51:37,https://us.soccerway.com/game/al-ahly-EPsYDm4A/el-gaish-rRAQSp3M/?mid=2ayiXXfe,True,none,117,2.4,0.65,1.95,1.17,1.7,6.05,8.0,6.94,97.73
2026-04-09 12:51:52,https://us.soccerway.com/game/al-ahly-EPsYDm4A/el-gouna-EHDG5a4M/?mid=baYpTtGr,True,none,117,2.98,1.05,1.55,1.36,1.9,6.43,8.97,5.11,111.81
2026-04-09 12:52:06,https://us.soccerway.com/game/al-ahly-EPsYDm4A/el-ismaily-Q79lCRYM/?mid=EZ23txY8,True,none,115,1.69,1.55,1.75,1.1,1.63,5.07,7.86,5.07,124.75
2026-04-09 12:52:19,https://us.soccerway.com/game/al-ahly-EPsYDm4A/enppi-2wpo7PBj/?mid=QPdfkxt0,True,none,117,2.55,0.72,1.48,1.07,1.8,5.83,7.78,4.39,136.92
2026-04-09 12:52:31,https://us.soccerway.com/game/al-ahly-EPsYDm4A/ghazl-el-mahallah-WYauVS3c/?mid=l49b6zGb,True,none,115,2.28,2.0,1.42,1.64,1.44,5.14,8.91,5.89,151.72
2026-04-09 12:52:46,https://us.soccerway.com/game/al-ahly-EPsYDm4A/haras-el-hodood-EckpUnJ3/?mid=23ap0EBF,True,none,115,2.3,0.94,1.68,1.76,1.86,5.84,8.67,6.88,167.27
2026-04-09 12:53:02,https://us.soccerway.com/game/al-ahly-EPsYDm4A/kahrabaa-ismailia-lxEn765o/?mid=zmIHnbxh,True,none,117,2.17,1.15,1.45,0.72,1.78,5.4,7.41,5.21,179.89
2026-04-09 12:53:14,https://us.soccerway.com/game/al-ahly-EPsYDm4A/modern-sport-KCzFp0OB/?mid=ns8hYUnI,True,none,117,2.34,0.59,1.69,1.88,1.87,5.9,8.52,5.57,193.98
2026-04-09 12:53:29,https://us.soccerway.com/game/al-ahly-EPsYDm4A/national-bank-egypt-Gx9ImdAm/?mid=0UZlB8fc,True,none,115,1.87,1.88,1.68,0.56,1.78,5.33,7.91,4.47,206.36
2026-04-09 12:53:41,https://us.soccerway.com/game/al-ahly-EPsYDm4A/petrojet-0ImETQmG/?mid=QiTT2Vqm,True,none,117,2.15,1.17,1.77,1.88,1.64,5.56,8.76,7.05,222.17
2026-04-09 12:53:57,https://us.soccerway.com/game/al-ahly-EPsYDm4A/pharco-fc-UP8rEKaA/?mid=YZXWQ7dk,True,none,117,2.63,1.75,1.45,0.99,1.66,5.74,8.64,6.28,237.09
2026-04-09 12:54:12,https://us.soccerway.com/game/al-ahly-EPsYDm4A/pyramids-zyHMiDZ6/?mid=l28fO8yp,True,none,117,2.59,1.87,1.66,0.9,1.4,5.65,8.57,6.24,251.91
2026-04-09 12:54:26,https://us.soccerway.com/game/al-ahly-EPsYDm4A/smouha-t6WUYDaO/?mid=Egg3sXzg,True,none,115,2.29,1.18,1.76,1.79,1.62,5.67,8.77,5.78,266.46
