scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-09 22:25:13,https://us.soccerway.com/game/birmingham-SWk4muv7/blackburn-6Nl8nagD/?mid=8r5BDa1s,True,none,116,4.41,1.17,1.89,1.86,1.99,8.29,11.5,3.1,14.6
2026-04-09 22:25:27,https://us.soccerway.com/game/birmingham-SWk4muv7/blackburn-6Nl8nagD/?mid=x0CxvJLM,True,none,115,2.45,1.88,1.78,1.91,1.71,5.94,9.93,3.35,27.89
2026-04-09 22:25:41,https://us.soccerway.com/game/birmingham-SWk4muv7/bristol-city-MahqU27I/?mid=2gQcVJ3N,True,none,116,2.59,0.74,1.38,1.0,1.58,5.55,7.5,3.49,38.88
2026-04-09 22:25:52,https://us.soccerway.com/game/birmingham-SWk4muv7/charlton-fXf5mQ7t/?mid=WQBdSRLH,True,none,116,3.11,0.68,1.5,0.73,1.48,6.09,7.68,3.3,49.86
2026-04-09 22:26:03,https://us.soccerway.com/game/birmingham-SWk4muv7/charlton-fXf5mQ7t/?mid=dOD4d5L5,True,none,118,2.38,1.86,1.87,1.58,1.85,6.1,9.71,3.21,62.78
2026-04-09 22:26:16,https://us.soccerway.com/game/birmingham-SWk4muv7/coventry-GOvB22xg/?mid=jPVg8Hx8,True,none,116,2.96,1.09,1.61,0.67,1.6,6.17,8.12,2.57,73.47
2026-04-09 22:26:26,https://us.soccerway.com/game/birmingham-SWk4muv7/coventry-GOvB22xg/?mid=vLWoEoAr,True,none,116,2.31,1.11,1.61,0.71,1.4,5.32,7.33,2.49,83.29
2026-04-09 22:26:36,https://us.soccerway.com/game/birmingham-SWk4muv7/derby-Iug0YO0Q/?mid=CvnvVNxh,True,none,118,2.76,0.52,1.81,1.72,1.78,6.35,8.91,2.9,95.1
2026-04-09 22:26:48,https://us.soccerway.com/game/birmingham-SWk4muv7/derby-Iug0YO0Q/?mid=nTOGCxT0,True,none,118,3.05,1.41,1.51,0.68,1.47,6.03,8.33,2.72,106.15
2026-04-09 22:26:59,https://us.soccerway.com/game/birmingham-SWk4muv7/hull-city-S66R0t75/?mid=nohgFndS,True,none,118,3.11,1.93,1.46,1.52,1.78,6.35,10.04,2.18,118.37
2026-04-09 22:27:11,https://us.soccerway.com/game/birmingham-SWk4muv7/ipswich-thqhB2MB/?mid=4Ccjoepm,True,none,116,1.57,1.72,2.3,0.53,2.42,6.29,8.95,3.51,130.83
2026-04-09 22:27:24,https://us.soccerway.com/game/birmingham-SWk4muv7/ipswich-thqhB2MB/?mid=G65MF4HL,True,none,116,3.51,1.15,2.32,1.48,2.19,8.02,11.11,2.02,143.97
2026-04-09 22:27:37,https://us.soccerway.com/game/birmingham-SWk4muv7/leicester-KrrdAMyI/?mid=j1Vutts2,True,none,116,2.25,1.29,2.19,0.91,1.92,6.36,9.04,3.06,156.07
2026-04-09 22:27:49,https://us.soccerway.com/game/birmingham-SWk4muv7/leicester-KrrdAMyI/?mid=llaMAPGd,True,none,116,1.94,0.54,2.09,0.93,2.55,6.58,8.5,3.61,168.17
2026-04-09 22:28:01,https://us.soccerway.com/game/birmingham-SWk4muv7/middlesbrough-6F0lvLNC/?mid=vVuJMpSs,True,none,118,2.05,1.61,2.09,1.5,1.65,5.79,9.37,2.83,180.38
2026-04-09 22:28:13,https://us.soccerway.com/game/birmingham-SWk4muv7/middlesbrough-6F0lvLNC/?mid=vZyyRbDU,True,none,116,3.22,1.39,1.71,0.74,2.21,7.14,9.83,2.8,193.01
2026-04-09 22:28:26,https://us.soccerway.com/game/birmingham-SWk4muv7/millwall-6uz2cJBL/?mid=0Ohi8oDl,True,none,116,3.52,1.42,1.98,0.79,2.16,7.66,10.34,3.15,206.5
2026-04-09 22:28:40,https://us.soccerway.com/game/birmingham-SWk4muv7/millwall-6uz2cJBL/?mid=l6he5Qpf,True,none,116,2.76,0.63,1.85,1.88,1.96,6.57,9.53,2.81,218.84
2026-04-09 22:28:52,https://us.soccerway.com/game/birmingham-SWk4muv7/norwich-Qo6off6p/?mid=IczwsB3S,True,none,118,3.47,1.88,2.13,0.78,2.28,7.88,11.02,3.66,233.52
2026-04-09 22:29:07,https://us.soccerway.com/game/birmingham-SWk4muv7/norwich-Qo6off6p/?mid=pGh0udwo,True,none,116,2.99,1.8,2.03,1.92,1.95,6.97,11.18,2.2,246.91
2026-04-09 22:29:20,https://us.soccerway.com/game/birmingham-SWk4muv7/oxford-utd-vgOBT43c/?mid=UkeUPTj4,True,none,116,3.09,1.03,1.64,1.75,2.57,7.3,10.55,3.09,260.55
2026-04-09 22:29:34,https://us.soccerway.com/game/birmingham-SWk4muv7/oxford-utd-vgOBT43c/?mid=fRNQLkPc,True,none,116,1.81,1.28,1.58,1.58,1.53,4.92,8.36,3.93,272.84
2026-04-09 22:29:46,https://us.soccerway.com/game/birmingham-SWk4muv7/portsmouth-zckREQFJ/?mid=rX9Edd2M,True,none,118,3.24,0.95,1.99,0.71,1.97,7.2,9.35,3.2,285.39
2026-04-09 22:29:59,https://us.soccerway.com/game/birmingham-SWk4muv7/preston-x8IDVcbi/?mid=ClTWGKlU,True,none,118,3.64,0.97,2.53,1.23,1.82,7.99,10.64,2.24,298.27
2026-04-09 22:30:12,https://us.soccerway.com/game/birmingham-SWk4muv7/qpr-lrMHUHDc/?mid=KMrjiAqQ,True,none,118,3.28,1.39,1.65,1.52,2.04,6.97,10.33,3.85,312.45
2026-04-09 22:30:26,https://us.soccerway.com/game/birmingham-SWk4muv7/qpr-lrMHUHDc/?mid=Q7earvCF,True,none,116,1.84,0.81,1.65,1.29,2.2,5.69,8.27,2.14,322.86
2026-04-09 22:30:36,https://us.soccerway.com/game/birmingham-SWk4muv7/sheffield-utd-MeKPSerA/?mid=0WjTLt6E,True,none,118,2.69,1.5,1.97,0.54,2.19,6.85,9.35,3.73,335.94
2026-04-09 22:30:49,https://us.soccerway.com/game/birmingham-SWk4muv7/sheffield-utd-MeKPSerA/?mid=nemO7fuR,True,none,116,3.53,1.89,1.72,0.6,2.02,7.27,10.35,2.95,349.25
2026-04-09 22:31:03,https://us.soccerway.com/game/birmingham-SWk4muv7/sheffield-wed-llcCvIcG/?mid=bPBQRNje,True,none,116,3.23,0.95,2.48,0.82,2.6,8.31,10.53,2.1,361.87
2026-04-09 22:31:15,https://us.soccerway.com/game/birmingham-SWk4muv7/sheffield-wed-llcCvIcG/?mid=fBL2uO8s,True,none,116,2.93,1.84,1.65,1.96,2.38,6.96,11.26,2.13,375.26
2026-04-09 22:31:29,https://us.soccerway.com/game/birmingham-SWk4muv7/southampton-WdKOwxDM/?mid=rJr7iJw9,True,none,116,3.14,1.9,1.66,1.73,2.05,6.85,10.93,3.01,389.21
2026-04-09 22:31:43,https://us.soccerway.com/game/birmingham-SWk4muv7/southampton-WdKOwxDM/?mid=zXBuxgdC,True,none,117,3.3,0.91,2.02,0.58,2.33,7.65,9.6,2.43,401.24
2026-04-09 22:31:55,https://us.soccerway.com/game/birmingham-SWk4muv7/stoke-city-hSUajdSS/?mid=MROGxu5D,True,none,118,3.34,0.73,1.46,1.72,2.16,6.96,9.86,3.3,414.4
2026-04-09 22:32:08,https://us.soccerway.com/game/birmingham-SWk4muv7/stoke-city-hSUajdSS/?mid=hStY69oI,True,none,118,2.46,1.04,2.07,0.76,1.64,6.17,8.47,3.44,426.31
2026-04-09 22:32:20,https://us.soccerway.com/game/birmingham-SWk4muv7/swansea-K6xezbY7/?mid=QX0YLEzI,True,none,118,2.84,1.72,1.83,1.98,2.26,6.93,11.22,2.92,440.46
2026-04-09 22:32:34,https://us.soccerway.com/game/birmingham-SWk4muv7/swansea-K6xezbY7/?mid=bRY222jd,True,none,116,3.2,0.53,2.54,1.37,2.48,8.22,10.56,2.29,453.3
2026-04-09 22:32:47,https://us.soccerway.com/game/birmingham-SWk4muv7/watford-UmMRoGzp/?mid=25rsa4tB,True,none,116,2.71,1.93,2.38,1.97,2.21,7.3,11.65,2.66,467.62
2026-04-09 22:33:01,https://us.soccerway.com/game/birmingham-SWk4muv7/watford-UmMRoGzp/?mid=IBXoAw8e,True,none,116,2.9,0.62,2.31,1.83,2.07,7.28,10.2,3.91,481.73
2026-04-09 22:33:15,https://us.soccerway.com/game/birmingham-SWk4muv7/west-brom-CCBWpzjj/?mid=O40yKlB7,True,none,116,3.19,0.67,1.9,0.68,2.12,7.21,9.01,3.27,494.01
2026-04-09 22:33:28,https://us.soccerway.com/game/birmingham-SWk4muv7/west-brom-CCBWpzjj/?mid=fuuZ0QBb,True,none,118,3.03,1.59,1.68,0.65,2.25,6.96,9.65,2.28,505.95
2026-04-09 22:33:40,https://us.soccerway.com/game/birmingham-SWk4muv7/wrexham-IgO7K1ZA/?mid=jLwZjZZi,True,none,118,2.72,1.89,2.32,1.09,2.01,7.05,10.6,3.45,520.0
2026-04-09 22:33:54,https://us.soccerway.com/game/blackburn-6Nl8nagD/bristol-city-MahqU27I/?mid=fPQJQgTF,True,none,116,2.77,1.04,1.94,1.62,2.56,7.27,10.4,2.53,532.93
2026-04-09 22:34:07,https://us.soccerway.com/game/blackburn-6Nl8nagD/bristol-city-MahqU27I/?mid=r5o434F6,True,none,116,2.52,1.58,2.17,1.16,2.01,6.7,9.91,3.03,545.87
2026-04-09 22:34:20,https://us.soccerway.com/game/blackburn-6Nl8nagD/charlton-fXf5mQ7t/?mid=8Y9EWgQ9,True,none,118,3.36,1.19,1.67,1.96,2.22,7.25,10.86,3.64,560.38
2026-04-09 22:34:34,https://us.soccerway.com/game/blackburn-6Nl8nagD/charlton-fXf5mQ7t/?mid=WzNWFTeE,True,none,118,2.95,1.44,2.09,0.55,1.72,6.76,9.22,3.91,573.51
2026-04-09 22:34:47,https://us.soccerway.com/game/blackburn-6Nl8nagD/coventry-GOvB22xg/?mid=xWbQ74l2,True,none,116,3.82,1.27,1.72,1.89,2.2,7.74,11.36,2.72,587.59
2026-04-09 22:35:01,https://us.soccerway.com/game/blackburn-6Nl8nagD/derby-Iug0YO0Q/?mid=29QrHtdJ,True,none,118,3.29,0.83,1.84,1.22,2.74,7.87,10.49,2.44,600.52
2026-04-09 22:35:14,https://us.soccerway.com/game/blackburn-6Nl8nagD/derby-Iug0YO0Q/?mid=AgpKUtE5,True,none,118,3.13,0.74,1.73,1.43,2.21,7.07,9.71,3.15,613.38
2026-04-09 22:35:27,https://us.soccerway.com/game/blackburn-6Nl8nagD/hull-city-S66R0t75/?mid=URrY1eYO,True,none,116,2.56,0.95,2.23,0.61,1.54,6.33,8.37,2.29,624.04
2026-04-09 22:35:38,https://us.soccerway.com/game/blackburn-6Nl8nagD/hull-city-S66R0t75/?mid=rgL3vT5c,True,none,116,2.76,1.42,1.86,1.96,1.73,6.35,10.21,3.76,638.01
2026-04-09 22:35:52,https://us.soccerway.com/game/blackburn-6Nl8nagD/ipswich-thqhB2MB/?mid=0Y3aNUVb,True,none,118,3.1,0.52,1.58,0.82,2.13,6.81,8.63,3.76,650.4
2026-04-09 22:36:04,https://us.soccerway.com/game/blackburn-6Nl8nagD/ipswich-thqhB2MB/?mid=QwxTMy9b,True,none,116,2.7,1.63,1.62,0.75,2.3,6.62,9.46,2.08,661.94
2026-04-09 22:36:16,https://us.soccerway.com/game/blackburn-6Nl8nagD/leicester-KrrdAMyI/?mid=2HjoizQq,True,none,116,3.18,1.85,1.96,1.67,2.36,7.5,11.49,2.95,676.38
2026-04-09 22:36:30,https://us.soccerway.com/game/blackburn-6Nl8nagD/middlesbrough-6F0lvLNC/?mid=EqKDE2hB,True,none,116,2.7,1.67,1.62,1.03,2.46,6.78,9.98,2.34,688.69
