scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-09 21:14:11,https://us.soccerway.com/game/arsenal-hA1Zm19f/aston-villa-W00wmLO0/?mid=2g67Vsyf,True,none,54,7.74,1.75,2.42,1.61,2.13,12.29,15.8,3.62,19.42
2026-04-09 21:14:30,https://us.soccerway.com/game/arsenal-hA1Zm19f/aston-villa-W00wmLO0/?mid=hMkFPYKG,True,none,94,2.24,0.66,1.76,1.92,2.04,6.04,8.76,2.8,30.99
2026-04-09 21:14:42,https://us.soccerway.com/game/arsenal-hA1Zm19f/bournemouth-OtpNdwrc/?mid=SM4Kz8aS,True,none,118,2.22,1.26,1.53,1.88,1.59,5.34,8.64,2.41,42.03
2026-04-09 21:14:53,https://us.soccerway.com/game/arsenal-hA1Zm19f/bournemouth-OtpNdwrc/?mid=ShJjaSDs,True,none,56,1.99,0.95,1.58,1.72,1.46,5.03,7.83,3.17,53.03
2026-04-09 21:15:04,https://us.soccerway.com/game/arsenal-hA1Zm19f/brentford-xYe7DwID/?mid=IyBTXpre,True,none,116,2.41,0.99,1.73,0.7,1.52,5.66,7.49,2.85,63.37
2026-04-09 21:15:14,https://us.soccerway.com/game/arsenal-hA1Zm19f/brentford-xYe7DwID/?mid=MwenrPEM,True,none,94,2.46,1.38,1.36,0.76,1.41,5.23,7.52,3.57,74.47
2026-04-09 21:15:25,https://us.soccerway.com/game/arsenal-hA1Zm19f/brighton-2XrRecc3/?mid=E9ws2J5e,True,none,92,2.41,0.99,1.43,1.89,1.76,5.6,8.62,2.58,85.66
2026-04-09 21:15:36,https://us.soccerway.com/game/arsenal-hA1Zm19f/brighton-2XrRecc3/?mid=ERWFdKZh,True,none,54,2.07,1.74,1.94,0.78,1.85,5.86,8.52,3.01,97.19
2026-04-09 21:15:48,https://us.soccerway.com/game/arsenal-hA1Zm19f/chelsea-4fGZN2oK/?mid=CEnSxfJ0,True,none,56,2.15,1.72,1.81,0.55,2.3,6.26,8.68,3.73,109.61
2026-04-09 21:16:00,https://us.soccerway.com/game/arsenal-hA1Zm19f/chelsea-4fGZN2oK/?mid=WM1fBiJk,True,none,94,2.84,0.52,1.46,1.48,1.98,6.28,8.43,2.74,120.78
2026-04-09 21:16:11,https://us.soccerway.com/game/arsenal-hA1Zm19f/crystal-palace-AovF1Mia/?mid=SnlB9V0T,True,none,118,2.9,1.12,1.58,0.84,1.39,5.87,7.96,3.62,132.35
2026-04-09 21:16:23,https://us.soccerway.com/game/arsenal-hA1Zm19f/crystal-palace-AovF1Mia/?mid=bqGC4IQ0,True,none,92,2.39,1.9,1.8,0.67,1.8,5.99,8.71,3.58,144.64
