scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-10 18:40:09,https://us.soccerway.com/game/ajax-8UOvIwnb/benfica-zBkyuyRI/?mid=pniBybD4,True,none,112,3.19,1.27,1.74,1.2,1.85,6.78,9.42,3.64,13.06
2026-04-10 18:40:22,https://us.soccerway.com/game/ajax-8UOvIwnb/chelsea-4fGZN2oK/?mid=jg5vDKZA,True,none,116,2.23,1.84,1.86,0.59,1.9,5.99,8.59,2.25,23.9
2026-04-10 18:40:33,https://us.soccerway.com/game/ajax-8UOvIwnb/galatasaray-riaqqurF/?mid=IyZlXcv9,True,none,118,1.82,1.18,1.91,1.97,1.68,5.41,8.72,2.9,35.52
2026-04-10 18:40:44,https://us.soccerway.com/game/ajax-8UOvIwnb/inter-Iw7eKK25/?mid=rBjdDTTg,True,none,118,1.77,0.71,1.35,1.73,1.9,5.02,7.63,3.29,46.45
2026-04-10 18:40:55,https://us.soccerway.com/game/ajax-8UOvIwnb/marseille-SblU3Hee/?mid=ShD3X0Zp,True,none,116,2.66,0.58,1.51,0.51,1.58,5.75,7.0,2.43,55.87
2026-04-10 18:41:05,https://us.soccerway.com/game/ajax-8UOvIwnb/olympiacos-piraeus-hnzvnHPS/?mid=bBQm4aAM,True,none,118,1.65,1.04,1.48,1.77,1.44,4.57,7.53,3.34,66.75
2026-04-10 18:41:16,https://us.soccerway.com/game/ajax-8UOvIwnb/qarabag-agdam-Qgd3eSin/?mid=boscVy9L,True,none,116,1.76,0.51,1.31,0.75,1.53,4.6,6.04,3.52,76.31
2026-04-10 18:41:25,https://us.soccerway.com/game/ajax-8UOvIwnb/villarreal-lUatW5jE/?mid=zcNWDFxe,True,none,116,2.02,1.98,2.02,1.0,1.35,5.39,8.54,2.35,87.2
2026-04-10 18:41:36,https://us.soccerway.com/game/arsenal-hA1Zm19f/ath-bilbao-IP5zl0cJ/?mid=bexfCspg,True,none,116,2.42,1.23,1.67,0.65,1.4,5.49,7.54,2.58,97.32
2026-04-10 18:41:46,https://us.soccerway.com/game/arsenal-hA1Zm19f/atl-madrid-jaarqpLQ/?mid=W6545ZW8,True,none,118,2.15,0.84,1.91,1.71,2.08,6.14,8.86,3.02,109.2
2026-04-10 18:41:58,https://us.soccerway.com/game/arsenal-hA1Zm19f/bayer-leverkusen-4jcj2zMd/?mid=ETCJveIM,True,none,116,1.58,1.92,1.52,0.7,1.89,4.99,7.76,2.5,119.46
2026-04-10 18:42:08,https://us.soccerway.com/game/arsenal-hA1Zm19f/bayer-leverkusen-4jcj2zMd/?mid=tGEBtHmA,True,none,118,3.23,0.6,1.57,0.54,1.78,6.58,7.9,2.23,129.59
2026-04-10 18:42:18,https://us.soccerway.com/game/arsenal-hA1Zm19f/bayern-munich-nVp0wiqd/?mid=vLO7k5Kk,True,none,118,1.93,0.78,1.56,0.66,1.83,5.32,6.91,2.2,138.7
2026-04-10 18:42:28,https://us.soccerway.com/game/arsenal-hA1Zm19f/club-brugge-rgTHIK74/?mid=bLLpo5of,True,none,118,2.2,1.84,1.63,0.92,1.48,5.31,8.23,2.62,149.55
2026-04-10 18:42:38,https://us.soccerway.com/game/arsenal-hA1Zm19f/inter-Iw7eKK25/?mid=fonXCaID,True,none,118,1.67,0.83,1.73,1.91,1.87,5.27,8.17,2.76,160.48
2026-04-10 18:42:49,https://us.soccerway.com/game/arsenal-hA1Zm19f/kairat-almaty-CrO7xXpJ/?mid=xtloE3Ft,True,none,118,2.75,1.13,1.56,1.39,1.68,5.99,8.68,3.43,172.59
