scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-10 14:06:19,https://us.soccerway.com/game/aberdeen-AmdbMiWq/aek-ANpZncAM/?mid=IeiRzQlT,True,none,116,4.82,0.93,1.95,1.58,1.67,8.44,11.11,2.7,13.81
2026-04-10 14:06:33,https://us.soccerway.com/game/aberdeen-AmdbMiWq/aek-larnaca-4lUZQCQq/?mid=b5krOeO6,False,no_lineups,112,2.76,0.88,2.35,1.45,1.76,6.87,9.35,2.02,25.18
2026-04-10 14:06:45,https://us.soccerway.com/game/aberdeen-AmdbMiWq/noah-IeATrtcs/?mid=46dZPHgf,False,no_stats,18,3.07,0.75,2.33,0.0,0.0,5.4,6.24,2.99,34.41
2026-04-10 14:06:54,https://us.soccerway.com/game/aberdeen-AmdbMiWq/shakhtar-4ENWX2OA/?mid=ObcqQ8zB,True,none,118,2.07,0.96,1.86,0.86,1.74,5.67,7.63,2.46,44.5
2026-04-10 14:07:04,https://us.soccerway.com/game/aberdeen-AmdbMiWq/sparta-prague-6qA358jH/?mid=KM0t7lVO,True,none,116,1.68,1.3,1.81,1.56,1.59,5.08,8.1,2.85,55.45
2026-04-10 14:07:15,https://us.soccerway.com/game/aberdeen-AmdbMiWq/strasbourg-nP6UzIU1/?mid=dvtTiXsB,True,none,118,1.92,1.2,1.56,1.91,1.92,5.4,8.66,2.4,66.51
2026-04-10 14:07:26,https://us.soccerway.com/game/aek-ANpZncAM/anderlecht-vslqAKNo/?mid=SvxZ5il2,True,none,116,2.85,1.59,2.04,1.31,1.46,6.35,9.41,2.64,78.56
2026-04-10 14:07:38,https://us.soccerway.com/game/aek-ANpZncAM/anderlecht-vslqAKNo/?mid=rmKLTft9,True,none,116,2.84,0.65,1.54,0.91,1.36,5.74,7.45,3.06,89.07
2026-04-10 14:07:49,https://us.soccerway.com/game/aek-ANpZncAM/aris-limassol-tINNchXL/?mid=8bPsmtqp,True,none,42,2.54,1.96,1.74,1.39,1.64,5.92,9.45,3.39,101.91
2026-04-10 14:08:01,https://us.soccerway.com/game/aek-ANpZncAM/aris-limassol-tINNchXL/?mid=xGYBh2LM,True,none,42,2.6,0.65,2.0,1.55,1.67,6.27,8.65,2.42,112.98
2026-04-10 14:08:13,https://us.soccerway.com/game/aek-ANpZncAM/celje-SpbURe4O/?mid=p66CTbp2,True,none,116,1.97,1.25,1.47,1.75,1.71,5.15,8.29,2.61,123.88
2026-04-10 14:08:23,https://us.soccerway.com/game/aek-ANpZncAM/celje-SpbURe4O/?mid=vNcJ2ldT,True,none,116,1.83,1.61,1.73,1.08,1.56,5.12,7.97,2.02,133.88
2026-04-10 14:08:33,https://us.soccerway.com/game/aek-ANpZncAM/celje-SpbURe4O/?mid=xt34VKFk,True,none,118,2.53,0.54,1.41,1.85,1.53,5.47,8.01,3.04,144.93
