scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-10 11:47:55,https://us.soccerway.com/game/aberdeen-AmdbMiWq/fcsb-Gv2kjDpN/?mid=GML4GZPc,True,none,116,6.0,1.28,1.77,0.59,1.69,9.46,11.5,3.39,14.89
2026-04-10 11:48:10,https://us.soccerway.com/game/aberdeen-AmdbMiWq/fcsb-Gv2kjDpN/?mid=OSYIhWXj,True,none,118,2.4,0.8,1.41,1.33,1.73,5.54,7.84,3.57,26.3
2026-04-10 11:48:21,https://us.soccerway.com/game/aek-larnaca-4lUZQCQq/brann-QBbt6ivB/?mid=65Tur6IG,True,none,118,2.54,1.2,2.06,1.21,1.5,6.1,8.67,2.66,37.63
2026-04-10 11:48:32,https://us.soccerway.com/game/aek-larnaca-4lUZQCQq/brann-QBbt6ivB/?mid=pjuXqSm4,True,none,42,2.38,0.51,1.61,1.46,1.9,5.89,8.04,3.6,49.27
2026-04-10 11:48:44,https://us.soccerway.com/game/aek-larnaca-4lUZQCQq/celje-SpbURe4O/?mid=ML3EPsHj,True,none,42,2.98,0.68,1.53,1.09,1.62,6.13,8.08,2.48,59.83
2026-04-10 11:48:55,https://us.soccerway.com/game/aek-larnaca-4lUZQCQq/celje-SpbURe4O/?mid=QkIrV3gT,True,none,42,2.51,1.09,1.85,1.17,1.87,6.23,8.66,2.01,70.5
2026-04-10 11:49:05,https://us.soccerway.com/game/aek-larnaca-4lUZQCQq/legia-K6kUepBs/?mid=65DqpB7E,True,none,118,2.78,1.49,1.7,0.99,1.99,6.47,9.11,2.86,82.47
2026-04-10 11:49:17,https://us.soccerway.com/game/aek-larnaca-4lUZQCQq/legia-K6kUepBs/?mid=vaLcM7F7,True,none,112,3.12,1.26,2.16,0.96,1.94,7.22,9.59,2.39,94.45
2026-04-10 11:49:29,https://us.soccerway.com/game/aek-larnaca-4lUZQCQq/partizan-8OLvlKz0/?mid=8xxOzeed,True,none,38,2.45,0.98,4.55,0.61,1.61,8.61,10.36,3.25,108.06
2026-04-10 11:49:43,https://us.soccerway.com/game/aek-larnaca-4lUZQCQq/partizan-8OLvlKz0/?mid=lYEAbbm3,True,none,42,1.77,0.76,2.01,1.5,1.93,5.71,8.15,3.18,119.4
2026-04-10 11:49:54,https://us.soccerway.com/game/aktobe-xAiob3nF/legia-K6kUepBs/?mid=0CYFxHQq,True,none,42,2.76,1.9,1.57,1.01,1.45,5.78,8.85,2.82,131.07
2026-04-10 11:50:06,https://us.soccerway.com/game/aktobe-xAiob3nF/legia-K6kUepBs/?mid=6BGsePtB,True,none,42,2.79,1.01,1.71,1.33,1.66,6.16,8.66,3.69,143.42
2026-04-10 11:50:18,https://us.soccerway.com/game/anderlecht-vslqAKNo/hacken-W6u0d7B3/?mid=4YvVeT3M,True,none,42,2.45,1.34,1.94,1.92,1.79,6.18,9.63,3.23,156.28
2026-04-10 11:50:31,https://us.soccerway.com/game/anderlecht-vslqAKNo/hacken-W6u0d7B3/?mid=IHtNckZ9,True,none,42,3.25,0.62,1.75,1.84,1.78,6.78,9.41,2.06,167.76
2026-04-10 11:50:43,https://us.soccerway.com/game/as-roma-zVqqL0ma/bologna-0M9xNN8N/?mid=0x5TgttH,True,none,116,2.53,1.76,1.71,1.39,1.52,5.76,9.07,2.61,179.43
2026-04-10 11:50:54,https://us.soccerway.com/game/as-roma-zVqqL0ma/bologna-0M9xNN8N/?mid=828yhKAT,True,none,118,2.88,0.62,2.42,1.85,2.0,7.3,9.95,2.29,191.67
2026-04-10 11:51:07,https://us.soccerway.com/game/as-roma-zVqqL0ma/celtic-QFKRRD8M/?mid=lICttdFl,True,none,116,2.15,1.63,1.36,1.38,2.01,5.52,8.7,2.99,203.37
2026-04-10 11:51:18,https://us.soccerway.com/game/as-roma-zVqqL0ma/lille-pfDZL71o/?mid=2qXgKugS,True,none,116,2.58,1.04,1.31,1.01,1.77,5.66,7.86,3.59,214.82
2026-04-10 11:51:30,https://us.soccerway.com/game/as-roma-zVqqL0ma/midtjylland-8GZDmdbB/?mid=MVAlvzp1,False,no_stats,18,2.45,0.92,2.08,0.0,0.0,4.53,5.53,3.08,223.43
2026-04-10 11:51:38,https://us.soccerway.com/game/as-roma-zVqqL0ma/nice-YagoQJpq/?mid=Ic4cxEED,True,none,118,3.53,0.8,2.91,0.56,1.88,8.32,9.83,2.7,235.96
2026-04-10 11:51:51,https://us.soccerway.com/game/as-roma-zVqqL0ma/panathinaikos-SENMmweG/?mid=2P8Hs9jg,True,none,118,2.01,1.83,1.88,1.9,1.84,5.73,9.6,3.93,249.48
2026-04-10 11:52:04,https://us.soccerway.com/game/as-roma-zVqqL0ma/plzen-2LA0e86b/?mid=UXV9oIiR,True,none,116,2.59,1.3,1.52,1.76,1.77,5.88,9.08,3.48,262.05
2026-04-10 11:52:17,https://us.soccerway.com/game/as-roma-zVqqL0ma/rangers-8vAWQXNS/?mid=fsCYCco2,True,none,118,2.42,1.55,1.86,1.09,1.51,5.79,8.58,2.98,273.61
2026-04-10 11:52:29,https://us.soccerway.com/game/as-roma-zVqqL0ma/vfb-stuttgart-nJQmYp1B/?mid=tAK8qVLt,True,none,116,2.26,0.51,1.51,1.85,2.04,5.81,8.34,3.31,285.26
2026-04-10 11:52:40,https://us.soccerway.com/game/aston-villa-W00wmLO0/basel-S8MBgwuo/?mid=Eyl2nDfB,True,none,116,2.99,1.37,1.63,1.06,1.5,6.12,8.7,3.43,297.39
2026-04-10 11:52:52,https://us.soccerway.com/game/aston-villa-W00wmLO0/bologna-0M9xNN8N/?mid=YP0zU4vp,True,none,116,1.68,0.59,1.68,1.65,1.54,4.9,7.27,2.1,306.76
2026-04-10 11:53:02,https://us.soccerway.com/game/aston-villa-W00wmLO0/fenerbahce-MsbmracL/?mid=n9Uhjeen,True,none,118,2.89,1.03,1.84,1.34,1.8,6.53,9.04,3.34,319.14
2026-04-10 11:53:14,https://us.soccerway.com/game/aston-villa-W00wmLO0/feyenoord-8zjySeoN/?mid=ALhon40S,True,none,116,2.19,1.9,1.44,1.58,1.52,5.15,8.78,2.04,329.96
2026-04-10 11:53:25,https://us.soccerway.com/game/aston-villa-W00wmLO0/g-a-eagles-hG8POBb8/?mid=tj4rSr9d,True,none,116,2.93,1.06,1.78,1.99,1.54,6.25,9.45,3.87,343.28
2026-04-10 11:53:38,https://us.soccerway.com/game/aston-villa-W00wmLO0/lille-pfDZL71o/?mid=Kb3DcOth,True,none,116,1.78,1.48,1.6,1.26,1.36,4.74,7.64,3.04,353.96
2026-04-10 11:53:49,https://us.soccerway.com/game/aston-villa-W00wmLO0/lille-pfDZL71o/?mid=xS5dusRN,True,none,118,2.63,1.24,1.39,1.08,1.52,5.54,8.01,2.81,364.78
2026-04-10 11:54:00,https://us.soccerway.com/game/aston-villa-W00wmLO0/maccabi-tel-aviv-req5XE5Q/?mid=WdfqWiAU,True,none,116,2.99,1.67,1.73,1.44,1.89,6.61,9.86,2.43,377.06
2026-04-10 11:54:12,https://us.soccerway.com/game/aston-villa-W00wmLO0/salzburg-Olvehxrl/?mid=dtgagL7e,True,none,118,3.17,0.52,1.97,0.79,1.87,7.01,8.47,2.88,388.42
2026-04-10 11:54:23,https://us.soccerway.com/game/aston-villa-W00wmLO0/young-boys-YXDi6MHo/?mid=6BpflZPb,True,none,118,2.19,1.54,1.86,0.92,1.65,5.7,8.33,2.09,398.83
2026-04-10 11:54:34,https://us.soccerway.com/game/basel-S8MBgwuo/fcsb-Gv2kjDpN/?mid=6R06U896,True,none,116,2.36,1.52,1.87,0.6,1.77,6.0,8.28,2.84,409.96
2026-04-10 11:54:45,https://us.soccerway.com/game/basel-S8MBgwuo/freiburg-fiEQZ7C7/?mid=vuaESnvJ,True,none,118,2.27,1.92,1.41,1.57,1.61,5.29,8.93,2.32,421.21
2026-04-10 11:54:56,https://us.soccerway.com/game/basel-S8MBgwuo/genk-r3jWUIiN/?mid=EZQC1bI5,True,none,116,2.15,1.61,1.7,0.52,1.53,5.38,7.66,2.81,431.67
2026-04-10 11:55:07,https://us.soccerway.com/game/basel-S8MBgwuo/lyon-2akflumR/?mid=6Xgc2y8N,True,none,116,2.89,1.95,1.82,1.77,1.63,6.34,10.21,3.73,445.62
2026-04-10 11:55:21,https://us.soccerway.com/game/basel-S8MBgwuo/plzen-2LA0e86b/?mid=67A6TD6M,True,none,116,2.34,1.17,1.61,0.89,1.84,5.79,7.99,2.75,456.36
2026-04-10 11:55:31,https://us.soccerway.com/game/basel-S8MBgwuo/salzburg-Olvehxrl/?mid=0h6BwIBt,True,none,116,2.59,0.52,1.75,0.92,1.52,5.86,7.44,2.96,466.76
2026-04-10 11:55:42,https://us.soccerway.com/game/basel-S8MBgwuo/vfb-stuttgart-nJQmYp1B/?mid=hKx43Kmg,True,none,118,1.74,1.08,1.69,1.98,1.82,5.25,8.46,3.1,478.31
2026-04-10 11:55:53,https://us.soccerway.com/game/besiktas-IDmErJCR/shakhtar-4ENWX2OA/?mid=dh5c4KHU,True,none,116,2.61,1.57,1.25,0.53,1.52,5.38,7.64,2.4,488.35
2026-04-10 11:56:03,https://us.soccerway.com/game/besiktas-IDmErJCR/shakhtar-4ENWX2OA/?mid=zwHl6tmI,True,none,42,2.37,1.28,1.81,1.22,1.35,5.53,8.19,2.71,499.25
2026-04-10 11:56:14,https://us.soccerway.com/game/betis-vJbTeCGP/braga-dpUer7ht/?mid=OM0A76ll,True,none,116,1.45,0.52,1.83,0.64,1.59,4.87,6.19,3.43,508.87
2026-04-10 11:56:24,https://us.soccerway.com/game/betis-vJbTeCGP/din-zagreb-8G5ufQTg/?mid=0Eajeswq,True,none,118,2.79,1.29,1.33,1.19,1.41,5.53,8.14,3.5,520.51
2026-04-10 11:56:36,https://us.soccerway.com/game/betis-vJbTeCGP/feyenoord-8zjySeoN/?mid=t4qHtrOk,True,none,118,2.72,1.15,1.8,1.9,1.6,6.12,9.33,2.14,531.98
2026-04-10 11:56:47,https://us.soccerway.com/game/betis-vJbTeCGP/genk-r3jWUIiN/?mid=hnqpNdRa,True,none,116,2.63,0.59,1.37,1.57,1.91,5.91,8.23,3.71,543.92
2026-04-10 11:56:59,https://us.soccerway.com/game/betis-vJbTeCGP/ludogorets-GrLjfV3M/?mid=zmf6UvZP,True,none,116,2.59,1.46,1.34,1.01,1.65,5.58,8.19,2.15,554.26
2026-04-10 11:57:10,https://us.soccerway.com/game/betis-vJbTeCGP/lyon-2akflumR/?mid=rHX1mvNE,True,none,116,1.97,1.64,1.73,1.8,1.4,5.1,8.7,2.3,565.27
2026-04-10 11:57:21,https://us.soccerway.com/game/betis-vJbTeCGP/nottingham-UsushcZr/?mid=CE8B8cC6,True,none,118,2.56,0.79,1.51,0.9,1.74,5.81,7.65,3.61,576.53
2026-04-10 11:57:32,https://us.soccerway.com/game/betis-vJbTeCGP/panathinaikos-SENMmweG/?mid=4E7ls3dB,True,none,116,3.04,1.63,2.04,1.49,1.8,6.88,10.15,2.9,589.58
2026-04-10 11:57:45,https://us.soccerway.com/game/betis-vJbTeCGP/panathinaikos-SENMmweG/?mid=dl4tqPRb,True,none,116,3.11,1.3,1.76,0.68,2.03,6.9,9.03,2.48,601.09
2026-04-10 11:57:56,https://us.soccerway.com/game/betis-vJbTeCGP/paok-Kry6HxA9/?mid=v1A3AJsf,True,none,118,2.8,1.45,1.32,1.56,1.34,5.46,8.61,2.02,611.72
2026-04-10 11:58:07,https://us.soccerway.com/game/betis-vJbTeCGP/utrecht-p6QXMgOj/?mid=KKVxPIdm,True,none,118,2.66,1.95,1.64,1.99,1.47,5.77,9.86,3.68,625.26
2026-04-10 11:58:21,https://us.soccerway.com/game/bologna-0M9xNN8N/brann-QBbt6ivB/?mid=Qmq7nsVi,True,none,116,1.86,1.18,1.32,1.35,1.46,4.64,7.33,3.94,636.53
2026-04-10 11:58:32,https://us.soccerway.com/game/bologna-0M9xNN8N/brann-QBbt6ivB/?mid=j3iStfwn,True,none,116,2.53,1.72,1.48,0.98,1.75,5.76,8.62,3.66,648.81
2026-04-10 11:58:44,https://us.soccerway.com/game/bologna-0M9xNN8N/brann-QBbt6ivB/?mid=ziHIMjhU,True,none,116,2.87,0.77,1.79,1.94,1.55,6.21,9.08,2.32,660.21
2026-04-10 11:58:56,https://us.soccerway.com/game/bologna-0M9xNN8N/celta-vigo-8pvUZFhf/?mid=pja8pLa4,True,none,116,2.8,0.84,1.58,1.54,1.76,6.14,8.67,2.06,670.94
2026-04-10 11:59:06,https://us.soccerway.com/game/bologna-0M9xNN8N/celtic-QFKRRD8M/?mid=SdRfxrkf,True,none,118,3.13,0.68,1.8,1.57,1.78,6.71,9.1,3.53,683.57
2026-04-10 11:59:19,https://us.soccerway.com/game/bologna-0M9xNN8N/fcsb-Gv2kjDpN/?mid=rkX6hFdk,True,none,116,1.8,1.49,1.68,1.41,1.52,5.0,8.05,2.53,694.15
2026-04-10 11:59:30,https://us.soccerway.com/game/bologna-0M9xNN8N/freiburg-fiEQZ7C7/?mid=Em6oGcXb,True,none,116,2.49,1.37,1.75,1.42,1.53,5.77,8.72,3.96,706.83
2026-04-10 11:59:42,https://us.soccerway.com/game/bologna-0M9xNN8N/maccabi-tel-aviv-req5XE5Q/?mid=MFAcd3tQ,True,none,118,2.91,1.16,2.03,1.76,1.53,6.47,9.55,2.81,719.19
2026-04-10 11:59:55,https://us.soccerway.com/game/bologna-0M9xNN8N/salzburg-Olvehxrl/?mid=zV0zYDuI,True,none,118,1.84,1.55,1.71,1.36,1.71,5.26,8.33,3.06,730.58
2026-04-10 12:00:06,https://us.soccerway.com/game/braga-dpUer7ht/celtic-QFKRRD8M/?mid=xnRl3WA7,True,none,116,2.95,0.87,1.43,0.56,1.53,5.91,7.51,2.18,740.27
2026-04-10 12:00:16,https://us.soccerway.com/game/braga-dpUer7ht/cfr-cluj-4KfIhq7B/?mid=lUtgzkdt,True,none,42,2.74,1.9,1.55,1.13,1.42,5.71,8.89,2.49,751.65
2026-04-10 12:00:27,https://us.soccerway.com/game/braga-dpUer7ht/cfr-cluj-4KfIhq7B/?mid=pdz2YSQh,True,none,42,1.89,1.44,1.45,1.97,1.38,4.72,8.29,2.46,762.4
2026-04-10 12:00:38,https://us.soccerway.com/game/braga-dpUer7ht/crvena-zvezda-ncRzHK14/?mid=ULNt5hte,False,no_stats,14,2.45,1.17,2.31,0.0,0.0,4.76,5.99,3.64,772.03
2026-04-10 12:00:48,https://us.soccerway.com/game/braga-dpUer7ht/ferencvaros-pKS9M7R7/?mid=MiZv1cmp,True,none,116,3.34,1.51,1.62,0.81,1.69,6.65,9.12,2.22,783.37
2026-04-10 12:00:59,https://us.soccerway.com/game/braga-dpUer7ht/ferencvaros-pKS9M7R7/?mid=SlxmayId,True,none,116,2.28,1.63,1.95,1.65,1.91,6.14,9.58,3.35,796.3
2026-04-10 12:01:12,https://us.soccerway.com/game/braga-dpUer7ht/feyenoord-8zjySeoN/?mid=fei7Rd0e,True,none,116,2.85,0.95,1.47,1.61,1.42,5.74,8.47,2.45,807.22
2026-04-10 12:01:23,https://us.soccerway.com/game/braga-dpUer7ht/g-a-eagles-hG8POBb8/?mid=4taE2p26,True,none,116,1.77,0.94,1.74,0.73,1.68,5.19,7.02,3.3,817.53
2026-04-10 12:01:33,https://us.soccerway.com/game/braga-dpUer7ht/genk-r3jWUIiN/?mid=As6546Xg,True,none,118,3.02,1.34,1.81,0.97,1.31,6.14,8.58,2.18,828.29
2026-04-10 12:01:44,https://us.soccerway.com/game/braga-dpUer7ht/levski-sofia-E5OOzgs4/?mid=lEbcaWpe,True,none,42,2.54,1.55,1.56,0.78,1.76,5.86,8.35,2.02,838.66
2026-04-10 12:01:54,https://us.soccerway.com/game/braga-dpUer7ht/levski-sofia-E5OOzgs4/?mid=tlek1hGr,True,none,42,2.74,0.7,1.54,1.98,1.65,5.93,8.76,2.06,849.49
2026-04-10 12:02:05,https://us.soccerway.com/game/braga-dpUer7ht/lincoln-red-imps-bHbMply6/?mid=dj2fDZeS,True,none,42,2.63,0.7,1.79,0.94,1.31,5.73,7.54,3.45,860.48
2026-04-10 12:02:16,https://us.soccerway.com/game/braga-dpUer7ht/lincoln-red-imps-bHbMply6/?mid=tOwR7DJk,True,none,42,2.78,1.65,1.44,1.8,1.49,5.71,9.33,3.63,873.44
2026-04-10 12:02:29,https://us.soccerway.com/game/braga-dpUer7ht/nice-YagoQJpq/?mid=2H2c6S2s,True,none,116,1.82,0.54,1.51,0.54,1.55,4.88,6.11,2.82,882.37
2026-04-10 12:02:38,https://us.soccerway.com/game/braga-dpUer7ht/nottingham-UsushcZr/?mid=IqRQBluK,True,none,116,2.73,1.03,1.78,1.78,1.81,6.32,9.27,2.27,893.91
2026-04-10 12:02:50,https://us.soccerway.com/game/braga-dpUer7ht/rangers-8vAWQXNS/?mid=U9cttHWo,True,none,116,2.7,1.8,1.8,1.58,1.95,6.45,9.97,3.98,907.86
2026-04-10 12:03:03,https://us.soccerway.com/game/brann-QBbt6ivB/fenerbahce-MsbmracL/?mid=jwZvlomD,True,none,118,3.39,1.08,1.78,1.81,1.5,6.67,9.71,2.28,919.85
2026-04-10 12:03:15,https://us.soccerway.com/game/brann-QBbt6ivB/hacken-W6u0d7B3/?mid=G8IJRYG6,True,none,42,2.57,0.92,1.76,1.82,1.53,5.86,8.76,3.53,932.14
2026-04-10 12:03:28,https://us.soccerway.com/game/brann-QBbt6ivB/hacken-W6u0d7B3/?mid=KtPATfnf,True,none,42,2.62,1.14,1.59,1.89,1.75,5.96,9.15,3.23,944.52
2026-04-10 12:03:40,https://us.soccerway.com/game/brann-QBbt6ivB/lille-pfDZL71o/?mid=CzM0f7id,True,none,118,2.95,1.06,1.43,1.64,1.96,6.34,9.2,2.96,956.68
