scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-12 16:17:15,https://us.soccerway.com/game/albania-ELP2K4oB/czech-republic-6LHwBDGU/?mid=8GEmmmha,True,none,56,4.07,1.13,2.59,0.56,1.92,8.58,10.41,2.96,13.37
2026-04-12 16:17:28,https://us.soccerway.com/game/albania-ELP2K4oB/czech-republic-6LHwBDGU/?mid=t660poxI,True,none,92,2.4,1.1,1.91,1.31,2.23,6.54,9.08,3.33,25.77
2026-04-12 16:17:41,https://us.soccerway.com/game/albania-ELP2K4oB/georgia-YVovjspA/?mid=n7ZM1n7h,True,none,52,2.51,1.31,1.68,0.65,1.78,5.97,8.06,2.61,36.44
2026-04-12 16:17:51,https://us.soccerway.com/game/albania-ELP2K4oB/georgia-YVovjspA/?mid=rZSVaQy5,True,none,56,2.71,1.8,1.78,1.52,1.44,5.93,9.38,3.88,49.71
2026-04-12 16:18:05,https://us.soccerway.com/game/albania-ELP2K4oB/ukraine-j1JtDMwo/?mid=EJ48rP6U,True,none,52,2.81,0.51,1.83,0.55,1.63,6.27,7.47,2.5,59.67
2026-04-12 16:18:14,https://us.soccerway.com/game/albania-ELP2K4oB/ukraine-j1JtDMwo/?mid=hpzJ2Sin,True,none,94,2.16,1.34,1.74,1.21,1.47,5.37,8.08,3.11,70.87
2026-04-12 16:18:26,https://us.soccerway.com/game/andorra-dnO5z404/malta-YHpMYsVG/?mid=48gzcl2s,True,none,92,2.84,1.83,1.71,1.66,1.9,6.45,10.12,3.62,84.6
2026-04-12 16:18:39,https://us.soccerway.com/game/andorra-dnO5z404/malta-YHpMYsVG/?mid=fcnmfnn0,True,none,52,1.83,0.61,1.78,0.9,1.96,5.57,7.24,3.85,95.69
2026-04-12 16:18:51,https://us.soccerway.com/game/andorra-dnO5z404/moldova-zsDPKQGb/?mid=r5m91UgQ,True,none,56,2.43,1.2,1.38,1.49,1.6,5.41,8.25,3.54,107.48
2026-04-12 16:19:02,https://us.soccerway.com/game/andorra-dnO5z404/moldova-zsDPKQGb/?mid=xMireSWg,True,none,92,1.52,1.4,1.71,1.3,1.56,4.79,7.65,3.75,118.88
2026-04-12 16:19:14,https://us.soccerway.com/game/armenia-2TEHMnnn/faroe-islands-nBmAj3Fc/?mid=MRSwsCVP,True,none,92,2.74,1.92,1.61,0.56,1.62,5.97,8.61,2.67,130.16
2026-04-12 16:19:25,https://us.soccerway.com/game/armenia-2TEHMnnn/faroe-islands-nBmAj3Fc/?mid=zZ8EzA8g,True,none,56,2.42,1.87,2.31,1.39,1.55,6.28,9.7,2.51,142.37
2026-04-12 16:19:37,https://us.soccerway.com/game/armenia-2TEHMnnn/georgia-YVovjspA/?mid=ObiADEiI,True,none,116,2.85,0.98,1.99,0.94,1.61,6.45,8.54,2.4,153.31
2026-04-12 16:19:48,https://us.soccerway.com/game/armenia-2TEHMnnn/georgia-YVovjspA/?mid=SWc1FzN5,True,none,116,2.11,0.97,1.63,1.92,2.11,5.85,8.91,2.81,165.04
2026-04-12 16:20:00,https://us.soccerway.com/game/armenia-2TEHMnnn/latvia-WC2jLpW4/?mid=hAJ9yjgm,True,none,52,2.72,1.02,1.68,1.99,1.5,5.9,9.08,2.45,176.57
2026-04-12 16:20:11,https://us.soccerway.com/game/armenia-2TEHMnnn/latvia-WC2jLpW4/?mid=raCMYmw6,True,none,94,2.33,1.8,1.96,1.62,1.92,6.21,9.79,2.77,189.13
2026-04-12 16:20:24,https://us.soccerway.com/game/armenia-2TEHMnnn/north-macedonia-GrTQ3oHB/?mid=EJK5xWws,True,none,56,2.62,1.26,1.94,1.43,1.68,6.24,9.09,2.81,201.03
2026-04-12 16:20:36,https://us.soccerway.com/game/armenia-2TEHMnnn/north-macedonia-GrTQ3oHB/?mid=lxDIZTNa,True,none,52,1.77,1.78,1.83,1.68,1.62,5.22,8.82,3.32,213.17
2026-04-12 16:20:48,https://us.soccerway.com/game/austria-naHiWdnt/kazakhstan-l6fBVhqk/?mid=pv3mEGdF,True,none,92,2.61,0.8,1.9,1.18,1.98,6.49,8.64,3.21,225.02
2026-04-12 16:21:00,https://us.soccerway.com/game/austria-naHiWdnt/kazakhstan-l6fBVhqk/?mid=z9Ldigk2,True,none,56,2.3,1.76,1.88,1.45,1.96,6.14,9.51,3.92,238.45
2026-04-12 16:21:13,https://us.soccerway.com/game/austria-naHiWdnt/norway-8rP6JO0H/?mid=SrIlgFKk,True,none,56,2.45,1.71,1.7,1.13,2.03,6.18,9.19,2.36,250.0
2026-04-12 16:21:25,https://us.soccerway.com/game/austria-naHiWdnt/norway-8rP6JO0H/?mid=xEauGxS2,True,none,52,2.31,1.03,2.07,0.56,1.36,5.74,7.49,2.28,259.77
2026-04-12 16:21:35,https://us.soccerway.com/game/austria-naHiWdnt/serbia-8Kl6iq0i/?mid=6L7LToaD,True,none,116,2.71,1.51,2.0,1.65,1.81,6.52,9.84,2.62,272.23
2026-04-12 16:21:47,https://us.soccerway.com/game/austria-naHiWdnt/serbia-8Kl6iq0i/?mid=MTk8ikiK,True,none,116,2.29,1.63,1.89,1.53,1.9,6.08,9.4,3.71,285.34
2026-04-12 16:22:00,https://us.soccerway.com/game/austria-naHiWdnt/slovenia-tfMf3PoO/?mid=dIMhhZZe,True,none,92,2.47,1.18,1.68,1.74,2.04,6.19,9.25,2.23,296.82
2026-04-12 16:22:12,https://us.soccerway.com/game/austria-naHiWdnt/slovenia-tfMf3PoO/?mid=jH3qFds9,True,none,52,2.48,1.68,1.8,1.49,1.65,5.93,9.24,3.06,309.12
2026-04-12 16:22:24,https://us.soccerway.com/game/azerbaijan-UTJj1saj/estonia-YJwM4R15/?mid=6yOM7KYk,True,none,92,2.83,0.87,1.56,0.65,2.03,6.42,8.09,3.18,320.39
2026-04-12 16:22:35,https://us.soccerway.com/game/azerbaijan-UTJj1saj/estonia-YJwM4R15/?mid=pIJCUst3,True,none,56,2.51,0.9,2.11,0.74,1.59,6.21,8.0,3.38,331.77
2026-04-12 16:22:47,https://us.soccerway.com/game/azerbaijan-UTJj1saj/slovakia-KpLb2q1U/?mid=pSMQ6vld,True,none,52,2.36,1.56,1.9,1.56,1.87,6.13,9.41,3.25,344.43
2026-04-12 16:22:59,https://us.soccerway.com/game/azerbaijan-UTJj1saj/slovakia-KpLb2q1U/?mid=x2JI80Jq,True,none,56,2.5,1.96,1.62,1.1,1.64,5.76,9.0,3.49,356.92
2026-04-12 16:23:12,https://us.soccerway.com/game/azerbaijan-UTJj1saj/sweden-OQyqbHWB/?mid=Q1OxI4dc,True,none,92,2.39,0.8,1.55,1.86,1.5,5.44,8.26,3.61,368.79
2026-04-12 16:23:24,https://us.soccerway.com/game/azerbaijan-UTJj1saj/sweden-OQyqbHWB/?mid=vRwrF2tG,True,none,52,2.14,1.49,1.69,0.66,1.58,5.41,7.7,2.4,378.89
2026-04-12 16:23:34,https://us.soccerway.com/game/belarus-lhXEH2VT/bulgaria-WEeqYLaT/?mid=drluMAg0,True,none,92,2.55,0.83,1.76,1.42,2.31,6.62,9.06,2.29,390.24
2026-04-12 16:23:45,https://us.soccerway.com/game/belarus-lhXEH2VT/bulgaria-WEeqYLaT/?mid=tWkiJ8wJ,True,none,51,2.45,1.83,1.99,0.61,1.6,6.04,8.65,2.57,401.46
2026-04-12 16:23:57,https://us.soccerway.com/game/belarus-lhXEH2VT/luxembourg-2cnFSaNj/?mid=0GfWNWOm,True,none,55,2.73,0.79,1.64,1.1,2.2,6.57,8.61,3.01,413.08
2026-04-12 16:24:08,https://us.soccerway.com/game/belarus-lhXEH2VT/luxembourg-2cnFSaNj/?mid=n9EeUYoK,True,none,52,2.44,0.56,1.52,0.57,1.56,5.52,6.81,2.98,422.88
2026-04-12 16:24:18,https://us.soccerway.com/game/belarus-lhXEH2VT/northern-ireland-lQADNSWu/?mid=UenmKlOC,True,none,94,2.22,1.39,1.8,0.55,1.76,5.78,7.88,3.53,434.29
2026-04-12 16:24:29,https://us.soccerway.com/game/belarus-lhXEH2VT/northern-ireland-lQADNSWu/?mid=ryUZshGJ,True,none,55,2.51,1.81,1.47,1.83,1.86,5.84,9.62,2.94,446.85
2026-04-12 16:24:42,https://us.soccerway.com/game/belgium-GbB957na/france-QkGeVG1n/?mid=EyMhUm4A,True,none,52,2.65,1.21,1.75,1.92,1.64,6.04,9.32,3.61,459.78
2026-04-12 16:24:55,https://us.soccerway.com/game/belgium-GbB957na/france-QkGeVG1n/?mid=I9SqW9Zc,True,none,56,2.61,0.78,1.68,1.26,1.66,5.95,8.14,2.36,470.28
2026-04-12 16:25:05,https://us.soccerway.com/game/belgium-GbB957na/israel-rqK1ypob/?mid=M1P0SRYM,True,none,92,2.73,1.04,2.02,1.23,1.5,6.25,8.69,3.49,482.46
2026-04-12 16:25:18,https://us.soccerway.com/game/belgium-GbB957na/israel-rqK1ypob/?mid=WCWmVTl4,True,none,51,2.74,1.66,1.72,0.88,1.69,6.15,8.86,3.24,494.56
2026-04-12 16:25:30,https://us.soccerway.com/game/belgium-GbB957na/italy-hlKvieGH/?mid=p4O09nSp,True,none,92,2.36,1.83,2.05,1.43,1.74,6.15,9.58,2.61,506.75
2026-04-12 16:25:42,https://us.soccerway.com/game/belgium-GbB957na/italy-hlKvieGH/?mid=zVYQFlkH,True,none,56,2.47,1.68,1.59,0.62,1.9,5.96,8.42,3.88,519.06
2026-04-12 16:25:54,https://us.soccerway.com/game/belgium-GbB957na/ukraine-j1JtDMwo/?mid=bytWIUpe,True,none,118,2.54,1.04,1.9,1.16,1.74,6.18,8.54,2.65,530.24
2026-04-12 16:26:05,https://us.soccerway.com/game/belgium-GbB957na/ukraine-j1JtDMwo/?mid=hzZvH8F7,True,none,116,2.5,0.83,1.78,0.52,1.68,5.96,7.47,2.16,539.87
2026-04-12 16:26:15,https://us.soccerway.com/game/bosnia-herzegovina-fqe7WYTr/germany-ptQide1O/?mid=WfwIY2ed,True,none,56,2.35,0.77,1.39,0.76,1.72,5.46,7.14,3.53,550.54
2026-04-12 16:26:26,https://us.soccerway.com/game/bosnia-herzegovina-fqe7WYTr/germany-ptQide1O/?mid=pvuAzPQq,True,none,86,2.84,1.67,1.64,1.0,1.48,5.96,8.8,3.17,562.51
