scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-10 13:51:36,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/amiens-sc-lKkBAsxF/?mid=GGCzVb8r,True,none,116,3.36,1.8,2.08,1.63,2.09,7.53,11.28,3.56,14.84
2026-04-10 13:51:51,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/amiens-sc-lKkBAsxF/?mid=xlCidXdD,True,none,50,2.86,1.79,1.68,0.98,2.37,6.91,9.91,3.01,27.76
2026-04-10 13:52:04,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/annecy-25dB6Eto/?mid=2cWJ3XH5,True,none,94,2.49,1.56,1.59,1.31,2.24,6.32,9.47,3.25,40.48
2026-04-10 13:52:17,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/annecy-25dB6Eto/?mid=SCaFDiv1,True,none,118,2.65,1.95,1.93,1.42,2.01,6.59,10.25,2.66,53.38
2026-04-10 13:52:30,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/bastia-AZwK8L6R/?mid=8pCNhSQ1,True,none,92,2.33,1.53,2.07,1.79,2.2,6.6,10.31,2.0,65.69
2026-04-10 13:52:42,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/bastia-AZwK8L6R/?mid=Wplzx9A5,False,no_stats,18,2.66,1.52,2.27,0.0,0.0,4.93,6.66,2.7,75.06
2026-04-10 13:52:51,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/caen-GjLn2QoH/?mid=QeaczQ9s,True,none,94,1.85,1.79,1.97,0.91,2.09,5.91,8.91,3.58,87.55
2026-04-10 13:53:04,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/caen-GjLn2QoH/?mid=ULuNR9U7,True,none,50,2.42,1.52,1.84,1.61,1.55,5.81,9.18,2.1,98.83
2026-04-10 13:53:15,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/clermont-IRuMRua1/?mid=8QLNiXNH,True,none,50,2.44,0.82,1.64,0.68,2.06,6.14,7.96,3.7,110.48
2026-04-10 13:53:27,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/clermont-IRuMRua1/?mid=z1gWDWc3,True,none,92,2.67,1.01,1.89,0.77,1.77,6.33,8.34,3.73,122.55
2026-04-10 13:53:39,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/dunkerque-tAAobNse/?mid=SIz2tYfL,True,none,94,2.64,1.63,1.71,1.97,1.73,6.08,9.96,3.64,136.15
2026-04-10 13:53:53,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/dunkerque-tAAobNse/?mid=WtEnHmiT,True,none,50,2.42,0.8,1.64,1.57,1.72,5.78,8.5,2.56,147.21
2026-04-10 13:54:04,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/grenoble-UgPj1p1N/?mid=Aw6Go4Lt,True,none,50,2.71,0.76,2.0,1.49,1.81,6.52,9.01,3.38,159.6
2026-04-10 13:54:16,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/grenoble-UgPj1p1N/?mid=KlJd0Sof,True,none,94,2.78,1.91,1.96,0.98,1.57,6.31,9.42,3.98,172.99
2026-04-10 13:54:29,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/guingamp-QDfKl36E/?mid=Mm6sWwvp,True,none,50,2.51,1.19,1.98,1.15,2.07,6.56,9.23,3.61,185.84
2026-04-10 13:54:42,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/guingamp-QDfKl36E/?mid=f9Uo81Rs,True,none,94,2.6,0.79,2.05,1.16,1.76,6.41,8.69,3.34,197.86
2026-04-10 13:54:54,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/laval-E1wDrLsJ/?mid=dCXhJnit,True,none,92,2.89,1.61,1.76,1.4,2.01,6.66,10.05,3.01,210.93
2026-04-10 13:55:07,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/laval-E1wDrLsJ/?mid=xU3hQdg3,True,none,50,2.57,0.8,1.81,1.83,2.2,6.58,9.56,3.23,223.72
2026-04-10 13:55:20,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/lorient-jgNAYRGi/?mid=K6CVfTFi,True,none,50,2.5,1.51,2.19,1.29,2.0,6.69,9.86,3.06,236.63
2026-04-10 13:55:33,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/lorient-jgNAYRGi/?mid=dS7uynxP,True,none,118,2.57,1.11,1.93,1.57,1.7,6.2,9.24,3.25,249.12
2026-04-10 13:55:46,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/martigues-ADl76OZP/?mid=Au3xIiDd,True,none,116,2.66,0.78,1.93,1.4,1.81,6.4,8.86,3.28,261.26
2026-04-10 13:55:58,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/martigues-ADl76OZP/?mid=jXmAqfD7,True,none,40,2.61,1.18,1.76,1.07,1.93,6.3,8.95,2.51,272.72
2026-04-10 13:56:09,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/metz-4v0yqlWc/?mid=4WNXteh2,True,none,50,2.3,0.51,2.18,1.7,1.89,6.37,8.89,3.86,285.46
2026-04-10 13:56:22,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/metz-4v0yqlWc/?mid=OnizWPzn,True,none,92,2.15,1.03,2.31,1.28,2.11,6.57,9.18,3.4,298.04
2026-04-10 13:56:35,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/paris-fc-0OEHEprs/?mid=0IugO4bd,True,none,50,2.22,1.28,1.93,1.23,2.1,6.25,9.13,3.32,310.49
2026-04-10 13:56:47,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/paris-fc-0OEHEprs/?mid=boHBq6bf,True,none,118,1.84,1.51,2.04,0.94,2.17,6.05,8.85,2.36,321.71
2026-04-10 13:56:58,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/pau-6NOhR4cm/?mid=bk9JzZmJ,True,none,50,2.84,1.5,2.1,0.92,1.99,6.93,9.65,2.62,333.98
2026-04-10 13:57:11,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/pau-6NOhR4cm/?mid=vBiA85d4,True,none,118,2.8,1.66,1.68,1.0,1.95,6.43,9.49,3.66,347.12
2026-04-10 13:57:24,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/red-star-2kM6ufaS/?mid=0pvInj5s,True,none,50,2.54,1.27,1.6,1.33,1.61,5.75,8.64,3.34,359.11
2026-04-10 13:57:36,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/red-star-2kM6ufaS/?mid=EV2aGvxh,True,none,94,2.46,0.67,1.99,1.75,1.91,6.36,9.18,3.84,372.13
2026-04-10 13:57:49,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/rodez-0pOdQOCg/?mid=0fsTQCxo,True,none,92,2.26,0.64,1.65,1.44,1.85,5.76,8.16,3.18,383.47
2026-04-10 13:58:00,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/rodez-0pOdQOCg/?mid=EeC5phre,True,none,38,2.94,1.42,2.12,1.83,2.01,7.07,10.64,2.37,396.49
2026-04-10 13:58:13,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/troyes-fsfAHubD/?mid=SCwAzs2S,True,none,116,2.09,1.74,1.9,1.35,1.62,5.61,9.07,3.42,408.97
2026-04-10 13:58:26,https://us.soccerway.com/game/ac-ajaccio-2aeoANM8/troyes-fsfAHubD/?mid=WlzDg17E,True,none,50,2.18,1.5,1.87,0.71,2.09,6.14,8.67,3.2,420.84
2026-04-10 13:58:38,https://us.soccerway.com/game/amiens-sc-lKkBAsxF/annecy-25dB6Eto/?mid=WjsR9y9M,True,none,50,2.78,1.18,1.56,1.23,1.66,6.0,8.74,3.96,433.55
2026-04-10 13:58:50,https://us.soccerway.com/game/amiens-sc-lKkBAsxF/annecy-25dB6Eto/?mid=nRX2wjMj,True,none,92,2.62,1.69,1.91,1.56,1.81,6.34,9.97,3.37,446.88
2026-04-10 13:59:04,https://us.soccerway.com/game/amiens-sc-lKkBAsxF/bastia-AZwK8L6R/?mid=KffqT82E,True,none,92,2.17,1.75,2.21,1.62,2.0,6.38,10.06,2.94,459.89
2026-04-10 13:59:17,https://us.soccerway.com/game/amiens-sc-lKkBAsxF/bastia-AZwK8L6R/?mid=r97iWUK0,True,none,50,2.55,0.68,1.62,1.3,2.12,6.29,8.64,3.61,472.14
2026-04-10 13:59:29,https://us.soccerway.com/game/amiens-sc-lKkBAsxF/caen-GjLn2QoH/?mid=OK2OAz6T,True,none,92,1.94,0.64,1.66,1.04,2.28,5.88,7.95,3.03,483.12
2026-04-10 13:59:40,https://us.soccerway.com/game/amiens-sc-lKkBAsxF/caen-GjLn2QoH/?mid=pUN9kDME,True,none,50,2.28,0.74,1.9,1.14,1.91,6.09,8.32,3.82,495.27
2026-04-10 13:59:52,https://us.soccerway.com/game/amiens-sc-lKkBAsxF/clermont-IRuMRua1/?mid=IsOcPZKM,True,none,118,2.27,1.26,1.48,1.34,2.09,5.84,8.77,3.59,507.63
2026-04-10 14:00:04,https://us.soccerway.com/game/amiens-sc-lKkBAsxF/clermont-IRuMRua1/?mid=d8sFTVae,True,none,50,2.31,0.7,1.66,1.81,2.04,6.01,8.85,3.96,520.44
2026-04-10 14:00:17,https://us.soccerway.com/game/amiens-sc-lKkBAsxF/dunkerque-tAAobNse/?mid=WOCRclrn,True,none,116,2.84,1.77,2.11,1.29,1.78,6.73,10.14,3.11,533.7
2026-04-10 14:00:31,https://us.soccerway.com/game/amiens-sc-lKkBAsxF/dunkerque-tAAobNse/?mid=tjU6aOPQ,True,none,50,2.43,1.84,1.69,0.77,2.01,6.13,9.07,2.2,544.97
2026-04-10 14:00:42,https://us.soccerway.com/game/amiens-sc-lKkBAsxF/grenoble-UgPj1p1N/?mid=tGPiQQTq,True,none,50,2.5,1.51,1.93,1.59,1.93,6.36,9.82,3.48,558.26
2026-04-10 14:00:55,https://us.soccerway.com/game/amiens-sc-lKkBAsxF/grenoble-UgPj1p1N/?mid=ttLLKvBm,True,none,94,3.02,1.26,1.84,0.77,1.94,6.8,9.15,3.01,570.42
2026-04-10 14:01:07,https://us.soccerway.com/game/amiens-sc-lKkBAsxF/guingamp-QDfKl36E/?mid=21MVKVi4,True,none,50,2.14,1.21,2.09,1.39,1.92,6.15,9.1,3.99,583.51
