scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-12 01:25:52,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/bochum-8Y2m6ADe/?mid=6y23wOic,True,none,118,3.45,0.82,1.69,0.65,1.63,6.77,8.38,2.89,11.27
2026-04-12 01:26:03,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/braunschweig-QqLCC3il/?mid=6Ty414bM,True,none,118,2.93,1.36,1.91,1.4,2.05,6.89,9.83,2.63,23.73
2026-04-12 01:26:15,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/braunschweig-QqLCC3il/?mid=pxSqGxLq,True,none,116,2.13,0.94,1.46,0.5,1.71,5.3,6.92,3.03,33.68
2026-04-12 01:26:25,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/darmstadt-S0hPB9rA/?mid=CzfW1MJF,True,none,116,2.52,0.67,1.59,1.02,1.89,6.0,7.86,3.77,45.31
2026-04-12 01:26:37,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/darmstadt-S0hPB9rA/?mid=bqIzMpbd,True,none,118,2.51,1.01,1.87,0.99,1.51,5.89,8.06,2.88,56.25
2026-04-12 01:26:48,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/dresden-zL1YsOi1/?mid=6gLfzSaN,True,none,118,2.77,0.7,1.8,1.21,1.88,6.45,8.54,2.34,67.14
2026-04-12 01:26:59,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/dresden-zL1YsOi1/?mid=W4zFC3Ei,True,none,116,2.5,0.74,1.56,1.91,1.99,6.05,8.85,3.08,79.07
2026-04-12 01:27:11,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/dusseldorf-ne1oL3y7/?mid=K2Qu0Z0d,True,none,118,2.61,1.98,1.63,1.76,1.66,5.9,9.8,2.11,90.98
2026-04-12 01:27:23,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/dusseldorf-ne1oL3y7/?mid=SdcjmSTr,True,none,118,2.52,0.56,1.47,1.19,1.64,5.63,7.54,2.24,100.76
2026-04-12 01:27:32,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/elversberg-6in2Eknb/?mid=02TNzpLG,True,none,116,2.5,1.09,1.55,1.48,1.77,5.82,8.56,2.03,111.34
2026-04-12 01:27:43,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/elversberg-6in2Eknb/?mid=v1QB0wWI,True,none,116,1.58,0.74,1.69,1.62,1.83,5.1,7.63,3.23,122.2
2026-04-12 01:27:54,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/greuther-furth-CCQGbik8/?mid=YyXzLkeC,True,none,118,2.92,1.96,1.65,1.53,2.0,6.57,10.25,2.51,134.96
2026-04-12 01:28:07,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/greuther-furth-CCQGbik8/?mid=nHIAe5vg,True,none,116,2.66,1.77,1.48,0.78,1.52,5.66,8.37,3.92,147.25
2026-04-12 01:28:19,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/hannover-dfNCCCzS/?mid=KErPTJwp,True,none,116,2.94,0.8,1.44,1.6,1.89,6.27,8.82,2.72,158.79
2026-04-12 01:28:30,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/hannover-dfNCCCzS/?mid=f3cg6MhB,True,none,118,2.62,0.85,1.83,1.82,1.77,6.22,9.04,3.49,171.32
2026-04-12 01:28:43,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/hertha-berlin-2y0u8Wrq/?mid=hS6bmdHj,True,none,116,2.64,1.09,1.73,1.92,1.42,5.79,8.96,2.16,182.44
2026-04-12 01:28:54,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/holstein-kiel-63WsD2ei/?mid=2LbuxTDD,True,none,118,3.15,1.67,1.57,1.59,1.89,6.61,10.03,3.06,195.53
2026-04-12 01:29:07,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/holstein-kiel-63WsD2ei/?mid=zN0bo6be,True,none,116,2.82,0.88,1.88,1.3,1.52,6.22,8.57,3.73,207.83
2026-04-12 01:29:20,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/kaiserslautern-naWckLmC/?mid=bXizc9lm,True,none,116,3.13,1.4,1.68,1.35,1.58,6.39,9.29,2.3,219.42
2026-04-12 01:29:31,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/karlsruher-EB3q7jbk/?mid=SQrmTbIE,True,none,118,2.95,1.97,1.35,1.52,1.97,6.27,9.92,2.54,231.87
2026-04-12 01:29:44,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/magdeburg-YFuz2RLm/?mid=4O3UHPr3,True,none,118,2.21,0.85,1.43,1.94,1.68,5.32,8.29,3.29,243.45
2026-04-12 01:29:55,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/magdeburg-YFuz2RLm/?mid=ShN2S6A6,True,none,118,2.78,1.82,1.56,1.7,1.53,5.87,9.55,4.0,257.0
2026-04-12 01:30:09,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/nurnberg-6FDqshzF/?mid=tCk3L7G5,True,none,116,2.65,0.63,1.41,1.39,1.77,5.83,7.99,3.33,268.31
2026-04-12 01:30:20,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/paderborn-G2Op923t/?mid=2eVn6s2s,True,none,118,2.98,1.56,1.37,0.99,1.99,6.34,9.05,2.22,279.58
2026-04-12 01:30:31,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/paderborn-G2Op923t/?mid=MBhQP7k1,True,none,118,2.5,0.64,1.51,0.96,2.08,6.09,7.87,3.9,291.35
2026-04-12 01:30:43,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/preussen-munster-zedZaSL7/?mid=OEVzq2ET,True,none,116,2.98,1.86,2.44,1.12,1.82,7.24,10.4,3.72,305.47
2026-04-12 01:30:57,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/schalke-0Ija0Ej9/?mid=pxfYfdxq,True,none,118,1.85,1.16,1.55,0.87,1.86,5.26,7.43,3.76,316.66
2026-04-12 01:31:08,https://us.soccerway.com/game/arminia-bielefeld-pp38UXK8/schalke-0Ija0Ej9/?mid=r55bB8z8,True,none,118,2.7,1.64,1.84,1.14,1.55,6.09,9.02,2.25,327.93
2026-04-12 01:31:20,https://us.soccerway.com/game/bochum-8Y2m6ADe/braunschweig-QqLCC3il/?mid=nV505eQ7,True,none,118,2.19,0.56,1.53,0.73,1.57,5.29,6.74,2.25,336.91
2026-04-12 01:31:29,https://us.soccerway.com/game/bochum-8Y2m6ADe/darmstadt-S0hPB9rA/?mid=YoSX1eWq,True,none,118,2.32,0.69,1.68,1.0,1.4,5.4,7.25,3.24,347.4
2026-04-12 01:31:39,https://us.soccerway.com/game/bochum-8Y2m6ADe/darmstadt-S0hPB9rA/?mid=zaIBfAy9,True,none,118,2.23,0.94,1.55,1.37,1.81,5.59,8.06,3.56,359.02
2026-04-12 01:31:51,https://us.soccerway.com/game/bochum-8Y2m6ADe/dresden-zL1YsOi1/?mid=Ui4T8UWa,True,none,116,2.36,0.71,1.49,0.77,1.94,5.79,7.44,2.6,369.06
2026-04-12 01:32:01,https://us.soccerway.com/game/bochum-8Y2m6ADe/dusseldorf-ne1oL3y7/?mid=0CjIXSvI,True,none,118,2.11,1.26,2.06,1.81,1.86,6.03,9.25,3.9,382.21
2026-04-12 01:32:14,https://us.soccerway.com/game/bochum-8Y2m6ADe/dusseldorf-ne1oL3y7/?mid=j9FRiNwI,True,none,116,2.75,1.07,1.5,1.38,1.48,5.73,8.34,3.06,393.6
2026-04-12 01:32:25,https://us.soccerway.com/game/bochum-8Y2m6ADe/elversberg-6in2Eknb/?mid=44uIYg7L,True,none,116,3.1,1.55,1.66,1.17,1.92,6.68,9.54,2.47,405.61
2026-04-12 01:32:38,https://us.soccerway.com/game/bochum-8Y2m6ADe/elversberg-6in2Eknb/?mid=dxk7qpT7,True,none,116,2.76,0.84,1.61,1.4,1.82,6.19,8.59,3.84,418.04
2026-04-12 01:32:50,https://us.soccerway.com/game/bochum-8Y2m6ADe/greuther-furth-CCQGbik8/?mid=0zoBl6ph,True,none,116,2.9,0.52,1.56,0.59,2.07,6.53,7.81,2.71,428.56
2026-04-12 01:33:00,https://us.soccerway.com/game/bochum-8Y2m6ADe/hannover-dfNCCCzS/?mid=KtX0rAZg,True,none,116,3.01,1.82,2.0,1.0,1.55,6.56,9.53,3.75,441.83
2026-04-12 01:33:14,https://us.soccerway.com/game/bochum-8Y2m6ADe/hertha-berlin-2y0u8Wrq/?mid=6wigXkcR,True,none,116,2.57,0.87,1.67,1.99,1.87,6.11,9.13,3.66,454.63
