scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-12 17:55:00,https://us.soccerway.com/game/augsburg-fTVNku3I/b-monchengladbach-88HSzjDr/?mid=UajsPCkT,True,none,52,3.03,0.68,1.64,1.92,1.88,6.55,9.31,2.04,11.35
2026-04-12 17:55:12,https://us.soccerway.com/game/augsburg-fTVNku3I/b-monchengladbach-88HSzjDr/?mid=tp5TOCs2,True,none,92,2.38,1.87,1.84,1.91,1.41,5.63,9.55,2.71,23.61
2026-04-12 17:55:24,https://us.soccerway.com/game/augsburg-fTVNku3I/bayer-leverkusen-4jcj2zMd/?mid=ldu9YYu9,True,none,92,2.2,1.06,1.72,1.3,1.74,5.66,8.17,2.22,34.0
2026-04-12 17:55:34,https://us.soccerway.com/game/augsburg-fTVNku3I/bayer-leverkusen-4jcj2zMd/?mid=lt7F89Am,True,none,116,2.48,0.58,1.81,0.78,1.53,5.82,7.33,3.55,44.87
2026-04-12 17:55:45,https://us.soccerway.com/game/augsburg-fTVNku3I/bayern-munich-nVp0wiqd/?mid=EuQnZBVQ,True,none,94,2.96,1.01,1.41,0.9,1.57,5.94,8.0,3.92,56.8
2026-04-12 17:55:57,https://us.soccerway.com/game/augsburg-fTVNku3I/bayern-munich-nVp0wiqd/?mid=WQoQzYhm,True,none,118,2.16,0.93,2.26,1.45,1.73,6.15,8.71,3.27,68.78
2026-04-12 17:56:09,https://us.soccerway.com/game/augsburg-fTVNku3I/bochum-8Y2m6ADe/?mid=8lzQ11c3,True,none,118,2.89,0.98,1.42,1.96,1.61,5.92,9.03,3.15,80.95
2026-04-12 17:56:21,https://us.soccerway.com/game/augsburg-fTVNku3I/bochum-8Y2m6ADe/?mid=UgcjipiC,True,none,92,2.46,1.32,2.02,1.88,2.21,6.69,10.03,3.38,94.36
2026-04-12 17:56:35,https://us.soccerway.com/game/augsburg-fTVNku3I/dortmund-nP1i5US1/?mid=AcIDi2H5,True,none,94,2.54,0.74,1.88,1.0,1.5,5.92,7.83,2.87,105.06
2026-04-12 17:56:45,https://us.soccerway.com/game/augsburg-fTVNku3I/dortmund-nP1i5US1/?mid=x0haJmIE,True,none,56,2.24,1.52,2.02,1.51,1.71,5.97,9.15,2.7,116.92
2026-04-12 17:56:57,https://us.soccerway.com/game/augsburg-fTVNku3I/eintracht-frankfurt-8vndvXTk/?mid=0hhp9ICc,True,none,92,2.77,0.78,1.7,1.87,1.92,6.39,9.21,3.91,130.04
2026-04-12 17:57:10,https://us.soccerway.com/game/augsburg-fTVNku3I/eintracht-frankfurt-8vndvXTk/?mid=K2Av7dZr,True,none,116,2.65,1.75,1.51,0.72,1.59,5.75,8.37,2.49,140.91
2026-04-12 17:57:21,https://us.soccerway.com/game/augsburg-fTVNku3I/freiburg-fiEQZ7C7/?mid=M93rhBJF,True,none,56,2.38,0.56,1.69,1.38,1.72,5.79,7.89,3.28,152.08
2026-04-12 17:57:32,https://us.soccerway.com/game/augsburg-fTVNku3I/freiburg-fiEQZ7C7/?mid=ne5Nto3m,True,none,92,2.84,1.79,1.74,0.96,1.6,6.18,9.08,3.79,164.95
