scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-08 18:18:27,https://us.soccerway.com/game/1-fc-koln-WG9pOTse/augsburg-fTVNku3I/?mid=Gtxlz8Lj,True,none,116,9.21,2.36,2.13,2.12,2.13,13.47,18.12,9.92,28.04
2026-04-08 18:18:55,https://us.soccerway.com/game/1-fc-koln-WG9pOTse/augsburg-fTVNku3I/?mid=xbauZ7Yi,True,none,116,4.55,2.55,2.96,2.95,2.34,9.85,15.5,13.49,57.03
2026-04-08 18:19:24,https://us.soccerway.com/game/1-fc-koln-WG9pOTse/b-monchengladbach-88HSzjDr/?mid=CYEFuS8j,True,none,118,2.51,1.03,1.89,1.99,1.88,6.28,9.43,8.3,74.76
2026-04-08 18:19:42,https://us.soccerway.com/game/1-fc-koln-WG9pOTse/b-monchengladbach-88HSzjDr/?mid=dtD3A0KH,True,none,116,3.18,1.82,1.9,2.66,2.01,7.09,11.72,10.98,97.47
2026-04-08 18:20:04,https://us.soccerway.com/game/1-fc-koln-WG9pOTse/bayer-leverkusen-4jcj2zMd/?mid=IcCpDdyh,True,none,118,2.82,2.83,2.31,1.16,2.45,7.58,11.72,10.14,119.33
2026-04-08 18:20:26,https://us.soccerway.com/game/1-fc-koln-WG9pOTse/bayern-munich-nVp0wiqd/?mid=xOEVl2BN,True,none,118,2.63,2.15,1.87,1.13,1.82,6.32,9.75,13.14,142.22
2026-04-08 18:20:49,https://us.soccerway.com/game/1-fc-koln-WG9pOTse/dortmund-nP1i5US1/?mid=0UBifTCM,True,none,116,3.42,2.53,1.99,2.17,2.35,7.76,12.62,14.64,169.49
2026-04-08 18:21:16,https://us.soccerway.com/game/1-fc-koln-WG9pOTse/dortmund-nP1i5US1/?mid=jah6qGhR,True,none,116,3.83,1.64,2.37,1.37,1.99,8.19,11.35,8.14,188.98
2026-04-08 18:21:36,https://us.soccerway.com/game/1-fc-koln-WG9pOTse/eintracht-frankfurt-8vndvXTk/?mid=l8yuuCP8,True,none,118,3.29,1.28,2.37,1.91,2.37,8.03,11.37,9.48,209.83
2026-04-08 18:21:57,https://us.soccerway.com/game/1-fc-koln-WG9pOTse/eintracht-frankfurt-8vndvXTk/?mid=z70A19V9,True,none,116,2.29,1.68,1.78,2.32,2.41,6.48,10.63,13.21,233.66
