scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-17 20:08:54,https://us.soccerway.com/game/ac-milan-8Sa8HInO/as-roma-zVqqL0ma/?mid=4dsrDMBc,False,no_stats,18,3.68,1.43,1.5,0.0,0.0,5.18,6.69,3.52,10.21
2026-04-17 20:09:04,https://us.soccerway.com/game/ac-milan-8Sa8HInO/bologna-0M9xNN8N/?mid=fgY5VDRa,True,none,116,2.76,0.77,1.69,1.99,1.78,6.23,9.15,2.96,22.32
2026-04-17 20:09:16,https://us.soccerway.com/game/ac-milan-8Sa8HInO/inter-Iw7eKK25/?mid=f3FwBzH0,True,none,118,2.57,0.78,1.71,1.15,1.59,5.87,7.97,2.57,32.86
2026-04-17 20:09:27,https://us.soccerway.com/game/ac-milan-8Sa8HInO/inter-Iw7eKK25/?mid=l6CVCdnl,True,none,116,2.24,1.92,1.77,1.53,1.4,5.41,9.03,2.13,44.02
2026-04-17 20:09:38,https://us.soccerway.com/game/ac-milan-8Sa8HInO/sassuolo-QDdvI0zl/?mid=rRnHCGU1,True,none,52,2.4,1.39,1.82,0.59,1.84,6.06,8.21,2.66,54.89
2026-04-17 20:09:49,https://us.soccerway.com/game/as-roma-zVqqL0ma/sampdoria-nJbCGx2U/?mid=bJ0o1p2t,True,none,50,2.85,0.68,1.87,0.89,1.41,6.13,7.87,3.77,66.53
2026-04-17 20:10:01,https://us.soccerway.com/game/atalanta-8C9JjMXu/bologna-0M9xNN8N/?mid=tM8uTfYp,True,none,94,2.49,1.33,1.67,1.91,1.76,5.92,9.31,2.03,77.88
2026-04-17 20:10:12,https://us.soccerway.com/game/atalanta-8C9JjMXu/cesena-xddf1qfh/?mid=dhergCyo,True,none,50,2.71,1.28,1.53,1.12,2.01,6.25,8.79,3.65,90.31
2026-04-17 20:10:24,https://us.soccerway.com/game/avellino-A332L1f5/juve-stabia-hKSfjtsQ/?mid=WlhYT07d,False,no_stats,18,2.4,1.51,1.75,0.0,0.0,4.15,5.77,2.13,98.22
2026-04-17 20:10:32,https://us.soccerway.com/game/avellino-A332L1f5/udinese-rXw8YKDE/?mid=dnnqk0iD,True,none,44,2.32,1.77,1.51,1.56,1.52,5.35,8.84,2.68,109.74
2026-04-17 20:10:44,https://us.soccerway.com/game/bari-xIkUr2vO/cremonese-KUzfp5N3/?mid=bs5ow5pA,True,none,52,2.53,0.76,1.52,1.17,1.34,5.39,7.49,3.82,121.05
2026-04-17 20:10:55,https://us.soccerway.com/game/bologna-0M9xNN8N/empoli-0ESCnI1H/?mid=pKYnMGxp,True,none,116,2.49,0.5,1.75,1.35,1.77,6.01,8.03,3.85,132.93
2026-04-17 20:11:07,https://us.soccerway.com/game/bologna-0M9xNN8N/empoli-0ESCnI1H/?mid=vJReKf7d,True,none,118,2.71,1.01,1.42,0.66,1.76,5.89,7.76,3.63,144.32
2026-04-17 20:11:19,https://us.soccerway.com/game/bologna-0M9xNN8N/monza-4YSMlwj7/?mid=KIS7woMN,True,none,50,2.88,0.78,1.86,1.01,1.52,6.26,8.22,3.41,155.95
2026-04-17 20:11:30,https://us.soccerway.com/game/brescia-jci0qO9B/monza-4YSMlwj7/?mid=OE5MGhrf,True,none,52,2.36,0.89,1.38,1.95,1.84,5.58,8.57,3.62,168.14
2026-04-17 20:11:42,https://us.soccerway.com/game/brescia-jci0qO9B/venezia-MkPmVv50/?mid=6sP22LDL,True,none,52,2.83,1.9,1.37,1.45,1.59,5.79,9.3,3.02,180.45
2026-04-17 20:11:55,https://us.soccerway.com/game/cagliari-SCGVmKHb/carrarese-hG4fg4z3/?mid=8KIdPmPc,True,none,51,2.25,1.91,1.29,1.37,1.77,5.31,8.74,2.58,191.77
2026-04-17 20:12:06,https://us.soccerway.com/game/cagliari-SCGVmKHb/cremonese-KUzfp5N3/?mid=WjBv9U0S,True,none,52,2.27,1.52,1.39,1.89,1.8,5.46,9.04,2.63,203.44
2026-04-17 20:12:18,https://us.soccerway.com/game/cagliari-SCGVmKHb/juventus-C06aJvIB/?mid=KM2qbhal,True,none,50,2.2,1.47,1.38,0.93,1.7,5.28,7.85,2.42,213.72
2026-04-17 20:12:28,https://us.soccerway.com/game/carrarese-hG4fg4z3/catania-4rwnnbnB/?mid=f9bfyqFM,False,no_stats,18,2.62,1.21,1.34,0.0,0.0,3.96,5.27,3.76,222.75
