scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-11 08:28:38,https://us.soccerway.com/game/ac-milan-8Sa8HInO/as-roma-zVqqL0ma/?mid=4IfycikJ,True,none,118,5.47,0.72,1.85,1.05,1.53,8.85,10.77,3.78,14.55
2026-04-11 08:28:53,https://us.soccerway.com/game/ac-milan-8Sa8HInO/as-roma-zVqqL0ma/?mid=foxKCMGU,True,none,92,3.12,1.61,1.95,1.63,1.72,6.79,10.17,2.77,27.5
2026-04-11 08:29:06,https://us.soccerway.com/game/ac-milan-8Sa8HInO/atalanta-8C9JjMXu/?mid=dIb5Hj16,True,none,94,2.76,1.77,1.45,1.33,1.55,5.76,9.01,2.86,39.37
2026-04-11 08:29:17,https://us.soccerway.com/game/ac-milan-8Sa8HInO/atalanta-8C9JjMXu/?mid=lWu8jzAd,True,none,118,2.8,1.3,1.53,1.44,1.88,6.21,9.08,3.15,51.6
2026-04-11 08:29:30,https://us.soccerway.com/game/ac-milan-8Sa8HInO/bologna-0M9xNN8N/?mid=6PkzYqGj,True,none,116,2.79,1.51,1.65,1.39,1.4,5.84,8.9,3.46,63.97
2026-04-11 08:29:42,https://us.soccerway.com/game/ac-milan-8Sa8HInO/bologna-0M9xNN8N/?mid=8f71RSPs,True,none,92,1.79,0.99,1.89,0.8,1.66,5.34,7.27,3.07,74.3
2026-04-11 08:29:52,https://us.soccerway.com/game/ac-milan-8Sa8HInO/cagliari-SCGVmKHb/?mid=E3zhYKPO,True,none,56,2.59,1.85,1.42,1.89,1.46,5.47,9.34,3.78,87.42
2026-04-11 08:30:06,https://us.soccerway.com/game/ac-milan-8Sa8HInO/cagliari-SCGVmKHb/?mid=WnX9hJoK,True,none,92,2.55,0.89,1.86,1.26,1.44,5.85,8.13,3.44,98.99
2026-04-11 08:30:17,https://us.soccerway.com/game/ac-milan-8Sa8HInO/como-ttyLthOA/?mid=pvqPLago,True,none,92,1.98,1.42,1.62,1.97,1.9,5.5,9.04,3.98,112.01
2026-04-11 08:30:30,https://us.soccerway.com/game/ac-milan-8Sa8HInO/como-ttyLthOA/?mid=voxb2IjI,True,none,92,2.01,1.95,1.62,1.13,1.86,5.49,8.71,2.42,123.13
2026-04-11 08:30:41,https://us.soccerway.com/game/ac-milan-8Sa8HInO/empoli-0ESCnI1H/?mid=IDncxGE5,True,none,94,2.51,1.0,1.37,1.04,1.39,5.27,7.46,3.16,133.76
2026-04-11 08:30:52,https://us.soccerway.com/game/ac-milan-8Sa8HInO/empoli-0ESCnI1H/?mid=OCIU4DH0,True,none,92,2.05,0.51,1.69,1.82,1.91,5.65,8.11,2.13,143.99
2026-04-11 08:31:02,https://us.soccerway.com/game/ac-milan-8Sa8HInO/fiorentina-Q3A3IbXH/?mid=SIOithtm,True,none,54,2.51,0.72,1.39,1.49,1.8,5.7,8.05,2.31,154.36
2026-04-11 08:31:13,https://us.soccerway.com/game/ac-milan-8Sa8HInO/fiorentina-Q3A3IbXH/?mid=rHc9IkbD,True,none,116,2.23,1.48,1.85,0.68,1.48,5.56,7.87,3.79,166.02
2026-04-11 08:31:24,https://us.soccerway.com/game/ac-milan-8Sa8HInO/genoa-d0PJxeie/?mid=ImsObuj3,True,none,92,2.52,0.66,1.76,1.57,2.03,6.31,8.69,3.7,178.42
2026-04-11 08:31:37,https://us.soccerway.com/game/ac-milan-8Sa8HInO/genoa-d0PJxeie/?mid=hvJWFBf5,True,none,116,2.47,0.53,1.53,1.73,1.78,5.78,8.19,2.75,189.36
2026-04-11 08:31:48,https://us.soccerway.com/game/ac-milan-8Sa8HInO/inter-Iw7eKK25/?mid=SGeaw2b6,True,none,92,2.51,0.72,1.96,1.34,1.47,5.94,8.15,3.34,200.84
2026-04-11 08:31:59,https://us.soccerway.com/game/ac-milan-8Sa8HInO/inter-Iw7eKK25/?mid=xIieTySH,True,none,54,2.47,1.79,1.67,1.15,1.78,5.92,9.0,2.39,212.24
2026-04-11 08:32:10,https://us.soccerway.com/game/ac-milan-8Sa8HInO/juventus-C06aJvIB/?mid=WjFE8VyI,True,none,92,2.31,0.6,1.34,0.87,1.81,5.46,7.09,3.12,222.44
2026-04-11 08:32:21,https://us.soccerway.com/game/ac-milan-8Sa8HInO/juventus-C06aJvIB/?mid=z7KrCz8T,True,none,92,2.59,0.88,1.46,1.21,1.53,5.58,7.83,2.05,232.32
2026-04-11 08:32:31,https://us.soccerway.com/game/ac-milan-8Sa8HInO/lazio-URcSl02h/?mid=0xK7DDE5,True,none,54,2.74,1.88,1.73,0.89,1.49,5.96,8.88,3.63,244.84
2026-04-11 08:32:43,https://us.soccerway.com/game/ac-milan-8Sa8HInO/lazio-URcSl02h/?mid=21CNOB2d,True,none,94,2.39,1.08,1.87,0.82,1.47,5.73,7.78,3.66,256.28
2026-04-11 08:32:54,https://us.soccerway.com/game/ac-milan-8Sa8HInO/lecce-G8lYsMgU/?mid=CCDxBZAc,True,none,54,2.9,0.97,1.49,0.95,1.73,6.12,8.17,2.81,267.26
2026-04-11 08:33:05,https://us.soccerway.com/game/ac-milan-8Sa8HInO/lecce-G8lYsMgU/?mid=ddyagN7m,True,none,92,2.58,0.56,1.72,1.99,1.48,5.78,8.48,2.92,278.66
2026-04-11 08:33:17,https://us.soccerway.com/game/ac-milan-8Sa8HInO/monza-4YSMlwj7/?mid=Gpn0zjke,True,none,56,2.67,0.82,1.29,1.9,1.34,5.3,8.17,2.06,288.89
2026-04-11 08:33:27,https://us.soccerway.com/game/ac-milan-8Sa8HInO/monza-4YSMlwj7/?mid=Uu6pOTmI,True,none,118,2.59,0.71,1.56,1.44,1.7,5.85,8.15,3.31,300.36
2026-04-11 08:33:39,https://us.soccerway.com/game/ac-milan-8Sa8HInO/napoli-69Dxbc61/?mid=WIDwXGr3,True,none,56,2.26,1.97,1.93,0.58,1.54,5.73,8.44,3.35,312.15
2026-04-11 08:33:50,https://us.soccerway.com/game/ac-milan-8Sa8HInO/napoli-69Dxbc61/?mid=tASB9fFr,True,none,116,2.74,0.59,1.48,1.66,1.86,6.08,8.49,2.98,323.62
2026-04-11 08:34:02,https://us.soccerway.com/game/ac-milan-8Sa8HInO/parma-6DxlaxHN/?mid=8x0Cb1B6,True,none,54,1.48,0.8,1.97,1.45,1.71,5.16,7.54,3.45,334.6
2026-04-11 08:34:13,https://us.soccerway.com/game/ac-milan-8Sa8HInO/parma-6DxlaxHN/?mid=YekWMLdS,True,none,92,2.18,0.66,1.9,0.75,1.7,5.78,7.34,2.16,344.1
2026-04-11 08:34:22,https://us.soccerway.com/game/ac-milan-8Sa8HInO/torino-MZFZnvX4/?mid=0lGMiS5j,True,none,54,2.18,1.41,1.79,0.75,1.63,5.6,7.9,2.77,354.77
2026-04-11 08:34:33,https://us.soccerway.com/game/ac-milan-8Sa8HInO/torino-MZFZnvX4/?mid=S60gLxd4,True,none,92,2.04,0.7,1.57,1.95,1.75,5.36,8.15,3.63,366.55
2026-04-11 08:34:45,https://us.soccerway.com/game/ac-milan-8Sa8HInO/udinese-rXw8YKDE/?mid=SznSCTAl,True,none,56,2.44,1.74,1.54,0.76,1.61,5.59,8.24,2.41,377.2
2026-04-11 08:34:56,https://us.soccerway.com/game/ac-milan-8Sa8HInO/udinese-rXw8YKDE/?mid=xEZibRB5,True,none,116,1.63,1.28,1.72,1.52,1.76,5.11,8.06,3.65,388.9
2026-04-11 08:35:07,https://us.soccerway.com/game/ac-milan-8Sa8HInO/venezia-MkPmVv50/?mid=SQjcKLRk,True,none,54,2.7,0.88,1.3,1.55,1.42,5.42,8.01,2.04,398.95
2026-04-11 08:35:17,https://us.soccerway.com/game/ac-milan-8Sa8HInO/venezia-MkPmVv50/?mid=h6u4EbJ0,True,none,116,1.87,1.72,1.67,1.84,1.36,4.9,8.59,2.22,409.76
