scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-11 14:06:49,https://us.soccerway.com/game/cambuur-QRyYgO7J/de-graafschap-naL1J006/?mid=ny3ZCRbk,True,none,118,2.6,1.43,1.56,0.95,1.65,5.81,8.34,3.95,12.29
2026-04-11 14:07:01,https://us.soccerway.com/game/cambuur-QRyYgO7J/de-graafschap-naL1J006/?mid=rDqpPR04,True,none,34,2.45,1.06,2.1,0.88,1.76,6.31,8.41,2.7,23.4
2026-04-11 14:07:12,https://us.soccerway.com/game/cambuur-QRyYgO7J/den-bosch-4IzxgrNP/?mid=YLnqVaS1,True,none,34,2.51,0.55,1.84,0.62,1.49,5.84,7.16,2.58,33.14
2026-04-11 14:07:22,https://us.soccerway.com/game/cambuur-QRyYgO7J/den-bosch-4IzxgrNP/?mid=lrORx00L,True,none,94,2.53,1.5,1.75,1.35,1.62,5.9,8.93,3.03,45.1
2026-04-11 14:07:34,https://us.soccerway.com/game/cambuur-QRyYgO7J/den-haag-lAgLCkT3/?mid=KAWgEAnn,True,none,34,2.47,0.96,2.42,1.69,2.26,7.15,9.95,2.24,57.29
2026-04-11 14:07:46,https://us.soccerway.com/game/cambuur-QRyYgO7J/den-haag-lAgLCkT3/?mid=lzICyQgt,True,none,116,1.62,0.52,1.54,1.76,2.07,5.23,7.65,3.26,68.2
2026-04-11 14:07:57,https://us.soccerway.com/game/cambuur-QRyYgO7J/dordrecht-fT0n14Vt/?mid=tzrc9Xz0,True,none,92,2.47,1.98,1.66,1.05,1.67,5.8,8.98,2.41,79.59
2026-04-11 14:08:08,https://us.soccerway.com/game/cambuur-QRyYgO7J/dordrecht-fT0n14Vt/?mid=x44ulVuA,True,none,34,2.63,0.57,1.9,0.9,1.49,6.02,7.63,2.63,89.85
2026-04-11 14:08:19,https://us.soccerway.com/game/cambuur-QRyYgO7J/eindhoven-fc-YJaj0Opm/?mid=OGfIF5AO,True,none,34,2.5,0.58,1.61,1.93,1.88,5.99,8.66,2.37,100.88
2026-04-11 14:08:30,https://us.soccerway.com/game/cambuur-QRyYgO7J/eindhoven-fc-YJaj0Opm/?mid=hrL1DqKr,True,none,92,2.23,1.74,2.45,0.86,1.83,6.51,9.28,3.25,113.4
