scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-12 12:55:28,https://us.soccerway.com/game/ajax-8UOvIwnb/almere-city-IsK0b0aI/?mid=SCijoADF,True,none,92,2.82,1.05,1.35,1.0,1.36,5.53,7.71,2.5,10.21
2026-04-12 12:55:38,https://us.soccerway.com/game/ajax-8UOvIwnb/almere-city-IsK0b0aI/?mid=zcRmGbXO,True,none,92,2.57,0.66,1.78,0.54,1.53,5.88,7.24,2.82,20.26
2026-04-12 12:55:48,https://us.soccerway.com/game/ajax-8UOvIwnb/az-alkmaar-2RxOow1i/?mid=CvWqzEue,True,none,94,2.68,0.53,1.49,1.28,1.81,5.98,7.95,3.28,31.49
2026-04-12 12:55:59,https://us.soccerway.com/game/ajax-8UOvIwnb/az-alkmaar-2RxOow1i/?mid=YyirIBqT,True,none,94,2.59,0.66,1.74,1.68,1.66,5.99,8.49,2.8,42.79
2026-04-12 12:56:10,https://us.soccerway.com/game/ajax-8UOvIwnb/feyenoord-8zjySeoN/?mid=fZ7Fb8Dj,True,none,56,2.19,0.7,1.43,1.55,1.53,5.15,7.55,3.69,54.02
2026-04-12 12:56:22,https://us.soccerway.com/game/ajax-8UOvIwnb/feyenoord-8zjySeoN/?mid=x44rn5Ga,True,none,92,2.17,0.52,1.26,1.16,1.96,5.39,7.23,3.85,65.11
2026-04-12 12:56:33,https://us.soccerway.com/game/ajax-8UOvIwnb/g-a-eagles-hG8POBb8/?mid=StoEz2Q7,True,none,52,2.31,0.55,1.9,1.79,1.87,6.08,8.56,3.24,76.91
2026-04-12 12:56:44,https://us.soccerway.com/game/ajax-8UOvIwnb/g-a-eagles-hG8POBb8/?mid=xUmZKSH0,True,none,92,2.35,1.37,1.9,0.86,1.88,6.13,8.5,2.4,87.8
2026-04-12 12:56:55,https://us.soccerway.com/game/ajax-8UOvIwnb/groningen-MBUGcjb9/?mid=U7xBEFW0,True,none,116,1.54,1.29,1.8,1.66,1.61,4.95,8.06,2.26,98.12
2026-04-12 12:57:06,https://us.soccerway.com/game/ajax-8UOvIwnb/groningen-MBUGcjb9/?mid=YcdG8Uic,True,none,52,1.84,1.49,1.83,1.5,1.43,5.1,8.24,2.68,109.05
2026-04-12 12:57:17,https://us.soccerway.com/game/ajax-8UOvIwnb/heerenveen-EDjXSyWG/?mid=EseStOUj,True,none,52,2.59,0.73,1.62,1.87,1.35,5.56,8.31,3.78,121.13
2026-04-12 12:57:29,https://us.soccerway.com/game/ajax-8UOvIwnb/heerenveen-EDjXSyWG/?mid=bFAnUWfE,True,none,94,2.24,0.73,1.37,1.45,1.73,5.34,7.67,2.1,130.9
2026-04-12 12:57:39,https://us.soccerway.com/game/ajax-8UOvIwnb/heracles-bB3JbZpA/?mid=fiXZKbsK,True,none,56,1.85,1.75,1.95,0.58,1.87,5.67,8.15,2.17,141.21
2026-04-12 12:57:49,https://us.soccerway.com/game/ajax-8UOvIwnb/heracles-bB3JbZpA/?mid=hYuARXZ8,True,none,92,2.58,1.55,1.87,1.92,1.77,6.22,9.83,2.96,154.01
2026-04-12 12:58:02,https://us.soccerway.com/game/ajax-8UOvIwnb/nac-breda-nLNrHc14/?mid=lYnweEk1,True,none,52,1.67,1.01,1.77,0.79,1.41,4.85,6.8,2.83,163.63
2026-04-12 12:58:11,https://us.soccerway.com/game/ajax-8UOvIwnb/nac-breda-nLNrHc14/?mid=v3o9SSxg,True,none,116,2.29,1.14,1.58,1.13,1.98,5.85,8.28,2.52,174.43
2026-04-12 12:58:22,https://us.soccerway.com/game/ajax-8UOvIwnb/nijmegen-nRluRF0T/?mid=4daRLgp4,True,none,92,2.59,1.74,1.95,0.84,1.4,5.94,8.67,3.68,186.78
2026-04-12 12:58:34,https://us.soccerway.com/game/ajax-8UOvIwnb/nijmegen-nRluRF0T/?mid=pdET5olT,True,none,116,2.44,0.66,1.41,1.62,2.03,5.88,8.32,3.02,198.12
2026-04-12 12:58:46,https://us.soccerway.com/game/ajax-8UOvIwnb/psv-M9UEHJWi/?mid=MFxnZl2U,True,none,56,2.82,0.71,1.93,0.98,1.49,6.24,8.08,2.09,208.29
2026-04-12 12:58:56,https://us.soccerway.com/game/ajax-8UOvIwnb/psv-M9UEHJWi/?mid=SOHjAoNO,True,none,116,1.64,0.72,1.74,1.26,1.84,5.22,7.36,2.54,218.19
2026-04-12 12:59:06,https://us.soccerway.com/game/ajax-8UOvIwnb/sittard-YH8HX5iP/?mid=IkYj6aFa,True,none,52,2.6,1.71,2.12,0.87,1.99,6.71,9.42,3.06,230.67
2026-04-12 12:59:18,https://us.soccerway.com/game/ajax-8UOvIwnb/sittard-YH8HX5iP/?mid=hC4ZEfj3,True,none,92,2.14,0.71,1.39,0.97,1.53,5.06,6.9,2.16,239.73
2026-04-12 12:59:27,https://us.soccerway.com/game/ajax-8UOvIwnb/sparta-rotterdam-KK4FaFV3/?mid=0UPr6ZQE,True,none,116,2.82,1.08,1.58,1.44,1.52,5.92,8.57,3.83,252.12
2026-04-12 12:59:40,https://us.soccerway.com/game/ajax-8UOvIwnb/sparta-rotterdam-KK4FaFV3/?mid=tInN4eA5,True,none,92,2.03,1.45,1.56,1.95,1.95,5.54,9.11,2.64,263.88
2026-04-12 12:59:52,https://us.soccerway.com/game/ajax-8UOvIwnb/twente-dhOKTHGA/?mid=OrwJsE0m,True,none,118,2.39,2.0,1.64,0.58,1.82,5.85,8.58,3.86,276.32
2026-04-12 13:00:04,https://us.soccerway.com/game/ajax-8UOvIwnb/twente-dhOKTHGA/?mid=pGKV307L,True,none,56,2.02,0.61,1.96,1.16,1.56,5.54,7.46,2.39,286.18
