scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-16 14:44:10,https://us.soccerway.com/game/al-ahli-fRXFGNf0/al-arabi-qatar-ltmcRTII/?mid=0pCQQCs0,True,none,33,2.32,1.77,1.59,0.86,1.51,5.42,8.22,2.03,10.25
2026-04-16 14:44:20,https://us.soccerway.com/game/al-ahli-fRXFGNf0/al-arabi-qatar-ltmcRTII/?mid=AB9AuXQH,True,none,91,2.5,1.65,1.71,1.28,1.69,5.9,8.99,2.91,22.15
2026-04-16 14:44:32,https://us.soccerway.com/game/al-ahli-fRXFGNf0/al-duhail-WYZnRzI1/?mid=4nAI8Vf4,False,no_stats,17,2.2,1.78,1.99,0.0,0.0,4.19,6.05,2.64,30.84
2026-04-16 14:44:40,https://us.soccerway.com/game/al-ahli-fRXFGNf0/al-duhail-WYZnRzI1/?mid=zyxyWkZo,True,none,33,2.1,0.81,2.17,1.97,1.52,5.79,8.72,3.74,43.3
2026-04-16 14:44:53,https://us.soccerway.com/game/al-ahli-fRXFGNf0/al-gharafa-SQrTeoKd/?mid=CfzPuL33,True,none,91,1.78,1.47,2.04,1.28,1.7,5.52,8.4,3.51,55.21
2026-04-16 14:45:05,https://us.soccerway.com/game/al-ahli-fRXFGNf0/al-gharafa-SQrTeoKd/?mid=pGzaopOj,True,none,33,2.01,0.67,1.54,0.67,1.86,5.41,6.9,3.5,65.61
2026-04-16 14:45:15,https://us.soccerway.com/game/al-ahli-fRXFGNf0/al-khor-rTwSrVmg/?mid=4Cy5x7E8,True,none,91,2.43,0.72,1.66,1.36,2.19,6.28,8.52,2.15,76.29
2026-04-16 14:45:26,https://us.soccerway.com/game/al-ahli-fRXFGNf0/al-khor-rTwSrVmg/?mid=fofsbN7d,True,none,33,2.79,1.2,1.96,1.9,1.54,6.29,9.57,2.26,88.12
2026-04-16 14:45:38,https://us.soccerway.com/game/al-ahli-fRXFGNf0/al-rayyan-SWo1QmYO/?mid=48ogL8vA,False,no_stats,17,2.48,1.92,1.75,0.0,0.0,4.23,6.25,2.33,96.7
2026-04-16 14:45:46,https://us.soccerway.com/game/al-ahli-fRXFGNf0/al-rayyan-SWo1QmYO/?mid=AgjJrTIi,True,none,33,2.58,1.05,1.65,1.22,1.53,5.76,8.18,3.54,108.42
2026-04-16 14:45:58,https://us.soccerway.com/game/al-ahli-fRXFGNf0/al-sadd-AkENgqwB/?mid=0IeEdAqJ,True,none,33,1.84,1.34,1.69,1.01,1.47,5.0,7.49,3.66,119.57
2026-04-16 14:46:09,https://us.soccerway.com/game/al-ahli-fRXFGNf0/al-sadd-AkENgqwB/?mid=xWSkeFLt,False,no_stats,17,2.25,1.03,1.83,0.0,0.0,4.08,5.21,3.19,127.97
2026-04-16 14:46:18,https://us.soccerway.com/game/al-ahli-fRXFGNf0/al-shahaniya-G4PEqWCa/?mid=0GYOBe7D,False,no_lineups,111,2.48,0.89,1.56,1.69,1.53,5.57,8.3,2.57,138.85
2026-04-16 14:46:29,https://us.soccerway.com/game/al-ahli-fRXFGNf0/al-shahaniya-G4PEqWCa/?mid=phYlZFoe,True,none,33,2.22,1.07,1.5,1.79,1.67,5.39,8.41,3.14,150.39
2026-04-16 14:46:40,https://us.soccerway.com/game/al-ahli-fRXFGNf0/al-wakra-AFuKpiJt/?mid=UcVVNnrI,True,none,91,2.22,0.94,2.41,1.97,1.88,6.51,9.61,3.36,163.36
2026-04-16 14:46:53,https://us.soccerway.com/game/al-ahli-fRXFGNf0/al-wakra-AFuKpiJt/?mid=jR0ygyQa,True,none,33,2.03,0.88,1.83,1.84,1.88,5.74,8.62,3.44,175.42
2026-04-16 14:47:05,https://us.soccerway.com/game/al-ahli-fRXFGNf0/qatar-sc-YglhkXAP/?mid=6ex3Y3q9,False,no_lineups,29,2.18,0.99,1.79,1.86,2.04,6.01,9.01,2.19,186.62
2026-04-16 14:47:16,https://us.soccerway.com/game/al-ahli-fRXFGNf0/qatar-sc-YglhkXAP/?mid=Y58fmOSQ,False,no_lineups,84,2.79,1.33,2.04,1.8,1.69,6.52,9.82,2.9,199.34
2026-04-16 14:47:29,https://us.soccerway.com/game/al-ahli-fRXFGNf0/shamal-veL3xJnl/?mid=Q9tQD8JH,False,no_stats,17,2.6,1.69,2.31,0.0,0.0,4.91,6.68,3.31,209.33
2026-04-16 14:47:39,https://us.soccerway.com/game/al-ahli-fRXFGNf0/shamal-veL3xJnl/?mid=rsPNnlYp,True,none,91,2.57,1.84,2.08,1.29,1.74,6.39,9.67,2.49,221.49
2026-04-16 14:47:51,https://us.soccerway.com/game/al-ahli-fRXFGNf0/umm-salal-xW8i8U05/?mid=8tKXvfy0,False,no_stats,14,2.74,0.62,1.79,0.0,0.0,4.53,5.23,3.74,230.47
2026-04-16 14:48:00,https://us.soccerway.com/game/al-ahli-fRXFGNf0/umm-salal-xW8i8U05/?mid=OC0k2EFs,False,no_stats,17,2.82,1.24,2.07,0.0,0.0,4.89,6.22,2.47,239.16
2026-04-16 14:48:09,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/al-duhail-WYZnRzI1/?mid=CEQOtG6m,False,no_stats,17,2.32,1.76,2.65,0.0,0.0,4.97,6.82,3.44,249.42
2026-04-16 14:48:19,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/al-duhail-WYZnRzI1/?mid=Kp5J7zhK,False,no_stats,17,2.57,1.43,3.57,0.0,0.0,6.14,7.65,2.89,259.96
2026-04-16 14:48:30,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/al-gharafa-SQrTeoKd/?mid=OxptyxHr,True,none,33,4.55,1.36,1.42,1.84,1.9,7.87,11.23,2.17,273.36
2026-04-16 14:48:43,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/al-gharafa-SQrTeoKd/?mid=v1pGDHx1,True,none,115,1.7,1.43,1.9,1.82,1.88,5.48,8.91,3.5,285.78
2026-04-16 14:48:56,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/al-khor-rTwSrVmg/?mid=UyfQs2jl,True,none,91,2.59,1.31,1.48,1.41,1.93,6.0,8.87,2.66,297.31
2026-04-16 14:49:07,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/al-khor-rTwSrVmg/?mid=v9zBWsEL,True,none,30,2.96,1.69,1.9,1.18,2.76,7.62,10.62,2.77,310.7
2026-04-16 14:49:20,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/al-rayyan-SWo1QmYO/?mid=6w3JwBeU,True,none,91,2.64,1.95,1.54,0.89,1.89,6.07,9.06,2.2,321.96
2026-04-16 14:49:32,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/al-rayyan-SWo1QmYO/?mid=dC5ZOjCC,False,no_lineups,29,1.98,1.19,1.86,0.92,1.73,5.57,7.84,2.39,332.19
2026-04-16 14:49:42,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/al-sadd-AkENgqwB/?mid=0K8CWGQk,True,none,93,1.59,1.05,1.5,0.72,1.81,4.9,6.83,2.0,341.02
2026-04-16 14:49:51,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/al-sadd-AkENgqwB/?mid=SzA255FM,False,no_lineups,29,2.26,1.09,2.15,0.58,2.04,6.45,8.24,3.5,352.76
2026-04-16 14:50:03,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/al-shahaniya-G4PEqWCa/?mid=0ph35vSj,True,none,91,2.35,0.68,1.79,1.97,1.79,5.93,8.75,2.65,364.16
2026-04-16 14:50:14,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/al-shahaniya-G4PEqWCa/?mid=OvaqiFfC,True,none,33,2.08,1.45,2.16,0.95,1.52,5.76,8.3,2.48,374.94
2026-04-16 14:50:25,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/al-wakra-AFuKpiJt/?mid=Q1fUJwsp,True,none,93,2.49,1.96,1.73,0.88,1.66,5.88,8.86,2.43,386.23
2026-04-16 14:50:36,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/al-wakra-AFuKpiJt/?mid=hIeKhSVG,True,none,30,2.21,1.67,2.11,1.33,2.19,6.51,9.64,3.5,399.37
2026-04-16 14:50:49,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/qatar-sc-YglhkXAP/?mid=4WTuC41d,True,none,115,2.52,1.28,1.9,0.92,3.19,7.61,9.98,2.94,412.29
2026-04-16 14:51:02,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/qatar-sc-YglhkXAP/?mid=C0eswPnT,False,no_stats,17,2.38,1.34,4.37,0.0,0.0,6.75,8.16,2.31,422.76
2026-04-16 14:51:13,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/shamal-veL3xJnl/?mid=fo8WKPQp,False,no_stats,14,5.89,1.33,3.59,0.0,0.0,9.48,10.87,2.35,435.98
2026-04-16 14:51:26,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/shamal-veL3xJnl/?mid=p6ViNU9c,False,no_stats,14,3.56,1.51,3.33,0.0,0.0,6.89,8.47,2.94,447.4
2026-04-16 14:51:37,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/umm-salal-xW8i8U05/?mid=0ADFkBkI,False,no_stats,14,3.46,1.85,1.95,0.0,0.0,5.41,7.35,2.59,457.34
2026-04-16 14:51:47,https://us.soccerway.com/game/al-arabi-qatar-ltmcRTII/umm-salal-xW8i8U05/?mid=nFDuDVTa,False,no_stats,17,2.41,1.7,2.21,0.0,0.0,4.62,6.4,3.08,466.82
2026-04-16 14:51:57,https://us.soccerway.com/game/al-duhail-WYZnRzI1/al-gharafa-SQrTeoKd/?mid=d6QXDQWq,False,no_stats,14,6.19,1.71,3.28,0.0,0.0,9.47,11.26,3.9,481.98
2026-04-16 14:52:12,https://us.soccerway.com/game/al-duhail-WYZnRzI1/al-gharafa-SQrTeoKd/?mid=vZszuoIG,False,no_stats,17,3.37,0.66,1.65,0.0,0.0,5.02,5.77,2.8,490.55
2026-04-16 14:52:20,https://us.soccerway.com/game/al-duhail-WYZnRzI1/al-khor-rTwSrVmg/?mid=KSBmB9bC,True,none,33,1.92,0.97,2.49,1.49,2.41,6.82,9.42,2.36,502.33
2026-04-16 14:52:32,https://us.soccerway.com/game/al-duhail-WYZnRzI1/al-khor-rTwSrVmg/?mid=YNBNmkKU,False,no_stats,14,3.92,1.31,6.15,0.0,0.0,10.07,11.46,3.56,517.36
2026-04-16 14:52:47,https://us.soccerway.com/game/al-duhail-WYZnRzI1/al-rayyan-SWo1QmYO/?mid=Y3FkRLlA,True,none,91,2.43,0.74,2.1,0.92,1.84,6.37,8.16,3.26,528.78
