scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-10 20:32:47,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-ettifaq-fc-ncrXAWGn/?mid=YgEB7MT9,True,none,92,4.93,1.13,1.72,1.71,2.03,8.68,11.67,3.29,14.96
2026-04-10 20:33:02,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-ettifaq-fc-ncrXAWGn/?mid=fBiPtcJG,True,none,118,2.73,0.93,1.78,0.92,1.55,6.06,8.08,3.01,26.05
2026-04-10 20:33:13,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-fateh-OIDqIbjd/?mid=008vqtno,True,none,92,2.21,1.44,1.6,0.88,1.92,5.73,8.21,3.2,37.46
2026-04-10 20:33:24,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-fateh-OIDqIbjd/?mid=WbBrfc8U,True,none,54,3.04,0.54,1.94,1.07,1.73,6.71,8.47,2.53,48.46
2026-04-10 20:33:35,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-fayha-Meknfpi2/?mid=hbT7lS4s,True,none,92,2.26,1.01,1.79,1.1,1.34,5.39,7.67,3.15,59.27
2026-04-10 20:33:46,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-fayha-Meknfpi2/?mid=tC1wmJNa,True,none,118,2.63,1.4,1.64,1.24,1.66,5.93,8.73,3.23,71.24
2026-04-10 20:33:58,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-hilal-hxxcePl9/?mid=8Glhpycd,True,none,54,2.27,1.03,1.41,1.36,1.76,5.44,7.97,2.27,81.47
2026-04-10 20:34:08,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-hilal-hxxcePl9/?mid=YTEsS2Tq,True,none,92,2.59,1.12,1.74,0.92,1.63,5.96,8.15,2.78,92.4
2026-04-10 20:34:19,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-ittihad-QmsyAjWh/?mid=6cquDCtT,True,none,118,2.29,1.64,1.59,1.19,2.14,6.02,9.03,3.66,105.09
2026-04-10 20:34:32,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-ittihad-QmsyAjWh/?mid=G2TuVbho,True,none,54,2.54,0.62,1.82,1.51,1.91,6.27,8.55,2.24,115.88
2026-04-10 20:34:43,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-khaleej-UanWW9fq/?mid=KKTbiJde,True,none,92,2.8,1.21,1.61,1.52,1.79,6.2,9.09,2.87,127.84
2026-04-10 20:34:55,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-khaleej-UanWW9fq/?mid=ddgUIe3L,True,none,54,2.32,1.1,2.32,0.8,1.36,6.0,8.05,2.74,138.63
2026-04-10 20:35:06,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-kholood-Mqs1WbFK/?mid=hGUftpVA,True,none,92,2.54,0.84,1.64,1.28,1.96,6.14,8.42,3.02,150.07
2026-04-10 20:35:17,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-kholood-Mqs1WbFK/?mid=ptYtUJZA,True,none,116,2.26,1.41,1.58,0.84,1.88,5.72,8.12,3.39,161.58
2026-04-10 20:35:29,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-nassr-h4I89ZuE/?mid=G4jVFDUj,True,none,54,2.66,1.93,1.5,0.61,1.89,6.05,8.76,2.68,173.02
2026-04-10 20:35:40,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-nassr-h4I89ZuE/?mid=fuulahxq,True,none,94,2.57,0.95,1.95,0.71,1.68,6.2,8.02,3.13,184.18
2026-04-10 20:35:51,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-okhdood-tKjRGGMC/?mid=dhcptP0n,True,none,54,2.09,1.84,1.35,1.66,1.61,5.05,8.74,3.78,196.7
2026-04-10 20:36:04,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-okhdood-tKjRGGMC/?mid=tSqiIn1B,True,none,92,2.42,1.47,1.67,0.54,1.64,5.73,7.9,3.78,208.38
2026-04-10 20:36:15,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-orubah-A3ZAc2rn/?mid=IRNTk7xe,True,none,54,2.31,1.83,1.62,1.97,1.66,5.59,9.55,2.92,220.85
2026-04-10 20:36:28,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-orubah-A3ZAc2rn/?mid=rR2iPoeC,True,none,94,2.57,0.83,1.5,0.65,1.53,5.6,7.22,2.5,230.57
2026-04-10 20:36:38,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-qadsiah-tvQZtrTd/?mid=tIfUKoMG,True,none,92,2.66,1.52,1.85,1.08,1.43,5.94,8.69,2.43,241.69
2026-04-10 20:36:49,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-qadsiah-tvQZtrTd/?mid=tSH2wTqC,True,none,54,2.4,1.2,1.49,1.83,1.57,5.46,8.64,2.17,252.5
2026-04-10 20:37:00,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-raed-WfHC8geK/?mid=KYnsTOWQ,True,none,116,3.39,1.68,2.5,0.92,2.37,8.26,11.04,2.87,266.4
2026-04-10 20:37:13,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-raed-WfHC8geK/?mid=hplZZSkl,False,no_stats,14,2.95,1.71,2.4,0.0,0.0,5.35,7.14,3.45,276.99
2026-04-10 20:37:24,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-riyadh-l6Iu2w06/?mid=C28n24of,True,none,116,2.69,1.25,1.93,1.96,1.56,6.18,9.55,3.32,289.86
2026-04-10 20:37:37,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-riyadh-l6Iu2w06/?mid=vTdhGjCs,True,none,94,1.98,1.2,1.99,1.87,1.88,5.85,9.07,3.32,302.25
2026-04-10 20:37:49,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-shabab-Gzqmz0ya/?mid=KhNIXtJl,True,none,116,2.17,1.67,1.98,1.17,1.81,5.96,8.94,2.41,313.61
2026-04-10 20:38:01,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-shabab-Gzqmz0ya/?mid=lMW4V7ae,True,none,94,1.83,1.93,2.48,1.78,1.65,5.96,9.82,2.63,326.05
2026-04-10 20:38:13,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-taawon-WjJkJilj/?mid=l8iWG8p2,True,none,92,2.48,0.88,2.1,1.08,1.77,6.35,8.48,2.08,336.62
2026-04-10 20:38:24,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-taawon-WjJkJilj/?mid=t4TMF8c3,True,none,116,2.28,0.81,2.07,1.01,1.56,5.91,7.88,2.51,347.0
2026-04-10 20:38:34,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-wehda-fqHipWm7/?mid=EwuKad75,True,none,118,2.04,1.94,1.89,1.86,1.61,5.54,9.52,3.9,360.42
2026-04-10 20:38:48,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/al-wehda-fqHipWm7/?mid=z3MYBM25,True,none,92,2.66,0.95,2.07,0.99,1.98,6.71,8.8,2.59,371.81
2026-04-10 20:38:59,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/damac-xfAehSWL/?mid=GQsUOTUI,True,none,54,2.46,1.13,1.35,1.34,2.2,6.01,8.63,2.74,383.18
2026-04-10 20:39:10,https://us.soccerway.com/game/al-ahli-sc-0MHmoCY0/damac-xfAehSWL/?mid=QNZB6e16,True,none,92,2.62,1.72,1.87,1.32,1.83,6.32,9.51,2.51,395.2
2026-04-10 20:39:22,https://us.soccerway.com/game/al-ettifaq-fc-ncrXAWGn/al-fateh-OIDqIbjd/?mid=bRlbJnyq,True,none,54,2.31,0.86,1.75,0.68,1.44,5.5,7.19,3.98,406.36
2026-04-10 20:39:34,https://us.soccerway.com/game/al-ettifaq-fc-ncrXAWGn/al-fateh-OIDqIbjd/?mid=td1k3MfE,True,none,92,2.37,1.23,2.06,1.29,1.6,6.03,8.71,3.33,418.4
2026-04-10 20:39:46,https://us.soccerway.com/game/al-ettifaq-fc-ncrXAWGn/al-fayha-Meknfpi2/?mid=Gph19iIt,True,none,91,2.16,1.26,1.7,0.59,1.58,5.44,7.45,2.59,428.45
