scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s,file_name,fields_before,fields_after,row_updated,retry_trigger,data_csv_found
2026-04-17 22:27:21,https://us.soccerway.com/game/african-stars-zsPjekRm/jwaneng-galaxy-zXtPs5Kp/?mid=Ghrg3y4k,False,no_stats,14,5.86,1.21,1.74,0.0,0.0,7.6,8.9,3.22,12.12,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:27:33,https://us.soccerway.com/game/african-stars-zsPjekRm/jwaneng-galaxy-zXtPs5Kp/?mid=KMdN8ctS,False,no_stats,14,2.05,1.04,2.92,0.0,0.0,4.97,6.09,3.57,21.79,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:27:43,https://us.soccerway.com/game/al-ahly-EPsYDm4A/al-hilal-omdurman-Ior3fTEA/?mid=8dbp3ZfU,True,none,115,3.4,1.92,2.22,1.93,2.01,7.63,11.66,2.99,36.44,africa_caf_champions_league_2024-2025_match_data.csv,17,115,True,no_stats,True
2026-04-17 22:27:58,https://us.soccerway.com/game/al-ahly-EPsYDm4A/mahia-GU9jbyMo/?mid=AkbXinVa,False,no_stats,17,2.27,1.63,1.33,0.0,0.0,3.6,5.31,2.92,44.66,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:28:06,https://us.soccerway.com/game/al-ahly-EPsYDm4A/mahia-GU9jbyMo/?mid=EN4Og80m,False,no_stats,14,1.77,1.78,1.4,0.0,0.0,3.17,5.02,3.87,53.55,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:28:15,https://us.soccerway.com/game/al-ahly-benghazi-U36idyL0/al-hilal-omdurman-Ior3fTEA/?mid=AXOFDA9k,False,no_stats,14,1.45,1.24,1.41,0.0,0.0,2.86,4.18,3.66,61.39,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:28:23,https://us.soccerway.com/game/al-ahly-benghazi-U36idyL0/al-hilal-omdurman-Ior3fTEA/?mid=WnDOBlv2,False,no_stats,17,1.73,0.8,1.85,0.0,0.0,3.58,4.46,3.07,68.91,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:28:30,https://us.soccerway.com/game/al-hilal-omdurman-Ior3fTEA/san-pedro-pCVkxE7k/?mid=QXMGFNiA,False,no_stats,14,1.83,0.78,1.57,0.0,0.0,3.4,4.26,2.96,76.13,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:28:38,https://us.soccerway.com/game/al-hilal-omdurman-Ior3fTEA/san-pedro-pCVkxE7k/?mid=nmBPD1MM,False,no_stats,17,2.11,1.36,1.43,0.0,0.0,3.54,4.97,2.36,83.46,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:28:45,https://us.soccerway.com/game/al-merreikh-C4TaurIK/al-nasr-rDwl5y9p/?mid=KnIrLhHF,False,no_stats,17,1.87,1.19,1.62,0.0,0.0,3.49,4.76,3.53,91.76,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:28:53,https://us.soccerway.com/game/al-merreikh-C4TaurIK/al-nasr-rDwl5y9p/?mid=vkYqJWoS,False,no_stats,17,1.74,1.99,1.34,0.0,0.0,3.08,5.16,2.54,99.46,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:29:01,https://us.soccerway.com/game/al-merreikh-C4TaurIK/far-rabat-CMn7Clai/?mid=WhYR8lif,False,no_stats,17,1.67,0.98,1.34,0.0,0.0,3.01,4.06,2.3,105.82,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:29:07,https://us.soccerway.com/game/al-merreikh-C4TaurIK/far-rabat-CMn7Clai/?mid=buzKAAMs,False,no_stats,17,1.77,0.98,1.84,0.0,0.0,3.61,4.66,3.72,114.2,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:29:16,https://us.soccerway.com/game/apr-Y9dt9cjl/azam-SrpJwYn3/?mid=6cukorR6,False,no_stats,17,2.27,1.57,1.74,0.0,0.0,4.01,5.65,3.42,123.26,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:29:25,https://us.soccerway.com/game/apr-Y9dt9cjl/azam-SrpJwYn3/?mid=Ktssm4df,False,no_stats,17,2.2,1.86,1.61,0.0,0.0,3.81,5.74,2.1,131.11,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:29:33,https://us.soccerway.com/game/apr-Y9dt9cjl/pyramids-zyHMiDZ6/?mid=6sypZNwI,False,no_stats,17,1.87,1.81,1.38,0.0,0.0,3.25,5.14,3.72,139.97,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:29:41,https://us.soccerway.com/game/apr-Y9dt9cjl/pyramids-zyHMiDZ6/?mid=E7vhX18U,False,no_stats,17,1.83,1.62,1.85,0.0,0.0,3.68,5.39,3.45,148.81,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:29:50,https://us.soccerway.com/game/as-arta-QZ5BtsDe/dekedda-Qk3SqjVH/?mid=CzKFWrCD,False,no_stats,14,1.86,1.06,1.89,0.0,0.0,3.75,4.9,3.12,156.83,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:29:58,https://us.soccerway.com/game/as-arta-QZ5BtsDe/dekedda-Qk3SqjVH/?mid=vNL7Y4s1,False,no_stats,14,2.2,0.74,1.62,0.0,0.0,3.82,4.64,3.9,165.37,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:30:07,https://us.soccerway.com/game/as-douanes-ShQaQMYS/coton-fc-OINwk6Nf/?mid=K2jp16vJ,False,no_stats,14,1.84,0.61,1.76,0.0,0.0,3.6,4.29,2.41,172.07,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:30:13,https://us.soccerway.com/game/as-douanes-ShQaQMYS/coton-fc-OINwk6Nf/?mid=nkhx3S96,False,no_stats,17,1.46,1.16,1.35,0.0,0.0,2.81,4.05,3.07,179.19,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:30:21,https://us.soccerway.com/game/as-douanes-ShQaQMYS/cr-belouizdad-vNJLB2jP/?mid=Q9K63gFE,False,no_stats,17,1.83,1.93,1.4,0.0,0.0,3.23,5.23,2.08,186.5,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:30:28,https://us.soccerway.com/game/as-douanes-ShQaQMYS/cr-belouizdad-vNJLB2jP/?mid=bNIE1XqR,False,no_stats,14,2.19,1.51,1.5,0.0,0.0,3.69,5.28,3.26,195.04,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:30:36,https://us.soccerway.com/game/as-garde-nationale-QJK4WRtH/raja-casablanca-vTnNkCKc/?mid=jNbT4luf,False,no_stats,17,2.27,0.81,1.6,0.0,0.0,3.87,4.78,2.26,202.08,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:30:44,https://us.soccerway.com/game/as-garde-nationale-QJK4WRtH/raja-casablanca-vTnNkCKc/?mid=rceL6AAs,False,no_stats,14,1.33,1.46,1.39,0.0,0.0,2.72,4.25,3.44,209.77,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:30:51,https://us.soccerway.com/game/as-maniema-2BaHDFR2/ngezi-platinum-rsr3N50b/?mid=2PYcqMeJ,False,no_stats,14,1.57,0.5,1.56,0.0,0.0,3.13,3.71,2.66,216.14,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:30:58,https://us.soccerway.com/game/as-maniema-2BaHDFR2/ngezi-platinum-rsr3N50b/?mid=hhp9jw3n,False,no_stats,14,1.72,1.49,1.37,0.0,0.0,3.09,4.66,2.3,223.1,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:31:05,https://us.soccerway.com/game/as-maniema-2BaHDFR2/petro-atletico-2P2lAvWP/?mid=MVdghaJ5,False,no_stats,14,1.78,1.37,1.36,0.0,0.0,3.14,4.6,2.78,230.48,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:31:12,https://us.soccerway.com/game/as-maniema-2BaHDFR2/petro-atletico-2P2lAvWP/?mid=fqe1jwlI,False,no_stats,14,1.55,0.91,1.45,0.0,0.0,3.0,3.99,3.61,238.08,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:31:20,https://us.soccerway.com/game/as-psi-fmy7IQO1/monastir-zixQ6fq8/?mid=rHJcqsDG,False,no_stats,14,2.65,1.19,1.87,0.0,0.0,4.52,5.8,2.75,246.63,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:31:28,https://us.soccerway.com/game/as-psi-fmy7IQO1/monastir-zixQ6fq8/?mid=x4lco3r4,False,no_stats,14,1.88,0.76,1.64,0.0,0.0,3.52,4.36,3.13,254.12,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:31:36,https://us.soccerway.com/game/asko-kara-QXGTd0Zq/dep-mongomo-jFxbL30n/?mid=IXYJr4Nb,False,no_stats,14,2.04,1.68,2.36,0.0,0.0,4.4,6.17,3.34,263.63,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:31:45,https://us.soccerway.com/game/asko-kara-QXGTd0Zq/dep-mongomo-jFxbL30n/?mid=pKzCpQhn,False,no_stats,14,2.23,1.05,1.6,0.0,0.0,3.83,4.95,2.76,271.34,africa_caf_champions_league_2024-2025_match_data.csv,17,14,False,no_stats,True
2026-04-17 22:31:53,https://us.soccerway.com/game/asko-kara-QXGTd0Zq/djoliba-YBkx7bvs/?mid=nmi2hT6D,False,no_stats,17,2.04,1.77,1.59,0.0,0.0,3.63,5.48,3.17,279.99,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:32:01,https://us.soccerway.com/game/asko-kara-QXGTd0Zq/djoliba-YBkx7bvs/?mid=vegmGWbK,False,no_stats,14,2.06,1.56,1.3,0.0,0.0,3.36,4.99,3.46,288.43,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:32:10,https://us.soccerway.com/game/big-bullets-dIWyw0ik/red-arrows-40edj3GC/?mid=fHtQne2B,False,no_stats,14,1.8,1.29,1.71,0.0,0.0,3.51,4.87,3.12,296.42,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:32:18,https://us.soccerway.com/game/big-bullets-dIWyw0ik/red-arrows-40edj3GC/?mid=lKwIlHXb,False,no_stats,14,1.68,0.66,1.71,0.0,0.0,3.39,4.14,2.29,302.85,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:32:24,https://us.soccerway.com/game/bo-rangers-hAQGxJs2/san-pedro-pCVkxE7k/?mid=4n0wWQwg,False,no_stats,14,1.73,0.97,1.86,0.0,0.0,3.59,4.64,2.7,310.2,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:32:32,https://us.soccerway.com/game/bo-rangers-hAQGxJs2/san-pedro-pCVkxE7k/?mid=CC3oU485,False,no_stats,14,1.48,1.24,1.73,0.0,0.0,3.21,4.53,3.96,318.69,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:32:40,https://us.soccerway.com/game/cr-belouizdad-vNJLB2jP/leopard-rulf0ilK/?mid=UXsudKdM,False,no_stats,17,2.4,0.76,1.63,0.0,0.0,4.03,4.86,3.64,327.19,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:32:49,https://us.soccerway.com/game/cr-belouizdad-vNJLB2jP/leopard-rulf0ilK/?mid=dKqXctS9,False,no_stats,17,1.74,0.58,1.28,0.0,0.0,3.02,3.69,3.87,334.75,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:32:56,https://us.soccerway.com/game/cr-belouizdad-vNJLB2jP/stade-d-abidjan-8URGh845/?mid=bk3hS3ye,True,none,91,2.48,1.9,1.42,1.3,1.4,5.3,8.65,3.52,346.92,africa_caf_champions_league_2024-2025_match_data.csv,17,91,True,no_stats,True
2026-04-17 22:33:08,https://us.soccerway.com/game/dekedda-Qk3SqjVH/esperance-tunis-bVINpDMl/?mid=pCScGDkg,False,no_stats,14,1.57,1.92,1.33,0.0,0.0,2.9,4.9,2.71,354.53,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:33:16,https://us.soccerway.com/game/dekedda-Qk3SqjVH/esperance-tunis-bVINpDMl/?mid=vBL6EiK5,False,no_stats,17,2.08,0.83,1.75,0.0,0.0,3.83,4.74,2.64,361.91,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:33:23,https://us.soccerway.com/game/disciples-pER8QeLN/orlando-pirates-p4SF9EMI/?mid=Of3EAJBF,False,no_stats,17,2.11,1.73,1.6,0.0,0.0,3.71,5.52,2.14,369.57,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:33:31,https://us.soccerway.com/game/disciples-pER8QeLN/orlando-pirates-p4SF9EMI/?mid=xv56Cus3,False,no_stats,14,1.71,1.53,1.59,0.0,0.0,3.3,4.91,3.88,378.37,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:33:40,https://us.soccerway.com/game/djoliba-YBkx7bvs/red-star-bangui-ClnxXNzs/?mid=h8WKDqOO,False,no_stats,14,1.79,1.92,1.77,0.0,0.0,3.56,5.55,3.83,387.75,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:33:49,https://us.soccerway.com/game/djoliba-YBkx7bvs/red-star-bangui-ClnxXNzs/?mid=jqz4HROa,False,no_stats,14,1.88,1.87,2.2,0.0,0.0,4.08,6.02,3.49,397.26,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:33:59,https://us.soccerway.com/game/el-merriekh-bentiu-jX5PCIqJ/mahia-GU9jbyMo/?mid=6FYKs9KE,False,no_stats,14,2.01,0.85,1.49,0.0,0.0,3.5,4.42,2.5,404.18,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:34:06,https://us.soccerway.com/game/el-merriekh-bentiu-jX5PCIqJ/mahia-GU9jbyMo/?mid=v9tZJ5S7,False,no_stats,14,1.53,0.85,1.55,0.0,0.0,3.08,4.02,2.94,411.14,africa_caf_champions_league_2024-2025_match_data.csv,14,14,False,no_stats,True
2026-04-17 22:34:13,https://us.soccerway.com/game/ethiopia-nigd-bank-vFEtMx6M/villa-ALztxK6e/?mid=Sr22fn4K,False,no_stats,16,1.67,1.73,1.67,0.0,0.0,3.34,5.15,2.32,418.61,africa_caf_champions_league_2024-2025_match_data.csv,16,16,False,no_stats,True
2026-04-17 22:34:20,https://us.soccerway.com/game/ethiopia-nigd-bank-vFEtMx6M/villa-ALztxK6e/?mid=bRhYlQRs,False,no_stats,14,1.37,1.67,1.58,0.0,0.0,2.95,4.7,3.78,427.1,africa_caf_champions_league_2024-2025_match_data.csv,17,14,False,no_stats,True
2026-04-17 22:34:29,https://us.soccerway.com/game/ethiopia-nigd-bank-vFEtMx6M/young-africans-dMbOiRbT/?mid=OrZdJKs3,False,no_stats,17,1.98,1.27,2.07,0.0,0.0,4.05,5.4,3.02,435.52,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
2026-04-17 22:34:37,https://us.soccerway.com/game/ethiopia-nigd-bank-vFEtMx6M/young-africans-dMbOiRbT/?mid=W8x5HbCF,False,no_stats,17,2.16,1.34,1.72,0.0,0.0,3.88,5.31,2.4,443.23,africa_caf_champions_league_2024-2025_match_data.csv,17,17,False,no_stats,True
