scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-12 01:18:10,https://us.soccerway.com/game/2-de-mayo-SjvFLAZp/a-lima-tSWpiWmI/?mid=IBNS2K2E,True,none,115,3.62,0.75,1.86,1.32,1.9,7.38,9.61,3.57,13.18
2026-04-12 01:18:23,https://us.soccerway.com/game/2-de-mayo-SjvFLAZp/a-lima-tSWpiWmI/?mid=QyRz1bXQ,True,none,115,2.58,1.5,1.49,1.07,1.43,5.5,8.23,3.98,25.39
2026-04-12 01:18:35,https://us.soccerway.com/game/2-de-mayo-SjvFLAZp/sporting-cristal-rVwaK9XN/?mid=O2fEAZXo,True,none,115,2.47,1.71,1.93,1.87,1.55,5.95,9.7,2.66,37.75
2026-04-12 01:18:47,https://us.soccerway.com/game/2-de-mayo-SjvFLAZp/sporting-cristal-rVwaK9XN/?mid=nTD76NLU,True,none,117,2.55,1.95,1.88,1.97,1.88,6.31,10.39,2.17,50.31
2026-04-12 01:19:00,https://us.soccerway.com/game/always-ready-tryqNMHF/ldu-quito-xIqORMgg/?mid=hpukwmG5,True,none,115,2.68,1.27,1.42,1.22,1.83,5.93,8.58,2.24,61.13
2026-04-12 01:19:11,https://us.soccerway.com/game/argentinos-jrs-QuxS0ahA/barcelona-sc-pCMG6CNp/?mid=GIPAxAZA,True,none,115,2.51,1.11,1.94,1.3,1.4,5.85,8.43,2.33,71.88
2026-04-12 01:19:21,https://us.soccerway.com/game/argentinos-jrs-QuxS0ahA/barcelona-sc-pCMG6CNp/?mid=r5R2vW4b,True,none,115,2.84,1.5,1.98,1.91,1.56,6.38,9.96,2.78,84.62
2026-04-12 01:19:34,https://us.soccerway.com/game/bahia-UeD7XtzM/o-higgins-hYrshGxg/?mid=IZ5FgGP0,True,none,115,1.82,0.99,1.92,0.78,1.62,5.36,7.28,2.72,94.62
2026-04-12 01:19:44,https://us.soccerway.com/game/bahia-UeD7XtzM/o-higgins-hYrshGxg/?mid=pM77exel,True,none,118,1.88,1.92,1.43,1.12,1.55,4.86,8.06,3.14,105.82
2026-04-12 01:19:55,https://us.soccerway.com/game/barcelona-sc-pCMG6CNp/botafogo-rj-jXzWoWa5/?mid=6aoubNZQ,True,none,115,2.79,0.88,1.84,1.22,1.55,6.18,8.44,3.85,118.11
2026-04-12 01:20:08,https://us.soccerway.com/game/barcelona-sc-pCMG6CNp/botafogo-rj-jXzWoWa5/?mid=zFyBh1cl,True,none,115,2.21,1.83,1.56,1.19,1.76,5.53,8.71,2.13,128.95
