scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-17 20:17:49,https://us.soccerway.com/game/ad-ceuta-xpWAk3h6/guadalajara-WhhSCpFP/?mid=ns2ALWrg,True,none,38,2.87,1.2,1.28,2.0,1.74,5.89,9.27,3.7,12.97
2026-04-17 20:18:01,https://us.soccerway.com/game/ad-ceuta-xpWAk3h6/la-union-malacitano-8MjHvuVF/?mid=lYr5dHoD,False,no_stats,14,2.65,1.46,1.73,0.0,0.0,4.38,5.93,2.08,20.98
2026-04-17 20:18:10,https://us.soccerway.com/game/ad-merida-W27VZS9l/navalcarnero-GbXOiHA9/?mid=ITnG2DdB,False,no_stats,14,2.75,0.55,1.67,0.0,0.0,4.42,5.08,3.26,29.32
2026-04-17 20:18:18,https://us.soccerway.com/game/alaves-hxt57t2q/deportivo-getxo-fZKFBvxG/?mid=WOpI4Q8F,False,no_stats,14,2.15,0.88,1.7,0.0,0.0,3.85,4.83,2.08,36.23
2026-04-17 20:18:25,https://us.soccerway.com/game/alaves-hxt57t2q/portugalete-n7BGfiP0/?mid=EV0Qn9sh,True,none,116,2.69,1.95,1.41,0.73,1.73,5.83,8.69,2.55,47.47
2026-04-17 20:18:36,https://us.soccerway.com/game/alaves-hxt57t2q/rayo-vallecano-8bcjFy6O/?mid=zswp1bK0,True,none,116,2.8,1.12,1.8,1.65,1.55,6.15,9.09,3.05,59.61
2026-04-17 20:18:48,https://us.soccerway.com/game/alaves-hxt57t2q/real-sociedad-jNvak2f3/?mid=QuRGmuLl,True,none,116,3.11,1.54,1.52,1.32,1.66,6.29,9.33,3.23,72.17
2026-04-17 20:19:01,https://us.soccerway.com/game/alaves-hxt57t2q/sevilla-h8oAv4Ts/?mid=YmsqADif,True,none,116,2.53,1.36,1.62,1.73,1.88,6.03,9.28,2.6,84.05
2026-04-17 20:19:13,https://us.soccerway.com/game/albacete-UirAofN6/barcelona-SKbpVP5K/?mid=fczog1cR,True,none,118,3.06,1.56,1.73,0.77,1.93,6.72,9.2,3.6,96.85
2026-04-17 20:19:25,https://us.soccerway.com/game/albacete-UirAofN6/celta-vigo-8pvUZFhf/?mid=U1eJgh7D,True,none,118,3.22,1.96,1.64,0.75,1.54,6.4,9.28,3.05,109.18
