scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-13 00:38:38,https://us.soccerway.com/game/albacete-UirAofN6/almeria-nF2Vy2D0/?mid=67jtezzI,True,none,44,2.36,1.56,1.49,1.15,1.58,5.43,8.33,3.48,11.81
2026-04-13 00:38:50,https://us.soccerway.com/game/albacete-UirAofN6/almeria-nF2Vy2D0/?mid=pnTX08gl,True,none,92,2.55,0.92,2.01,0.62,1.8,6.36,8.05,2.2,22.05
2026-04-13 00:39:00,https://us.soccerway.com/game/albacete-UirAofN6/burgos-cf-vTxTEFi6/?mid=CEMFySqJ,True,none,94,2.58,1.97,1.53,0.59,1.41,5.52,8.25,2.75,33.05
2026-04-13 00:39:11,https://us.soccerway.com/game/albacete-UirAofN6/burgos-cf-vTxTEFi6/?mid=WWCsJtN0,True,none,44,2.0,1.72,1.73,0.75,1.58,5.31,7.94,3.39,44.38
2026-04-13 00:39:23,https://us.soccerway.com/game/albacete-UirAofN6/cadiz-hdWjLJUJ/?mid=OdW6DCQP,True,none,44,2.23,1.01,1.68,0.75,1.58,5.49,7.42,2.77,54.57
2026-04-13 00:39:33,https://us.soccerway.com/game/albacete-UirAofN6/cadiz-hdWjLJUJ/?mid=b9iIWu2M,True,none,94,2.43,0.62,1.63,1.71,1.61,5.67,8.18,3.26,66.01
2026-04-13 00:39:44,https://us.soccerway.com/game/albacete-UirAofN6/castellon-QyHHzdwl/?mid=fJ9IklHL,True,none,44,2.23,1.51,1.63,1.94,1.81,5.67,9.29,2.4,77.7
2026-04-13 00:39:56,https://us.soccerway.com/game/albacete-UirAofN6/castellon-QyHHzdwl/?mid=l6GYhrXq,True,none,116,2.0,1.54,1.69,1.44,1.94,5.63,8.78,3.17,89.65
2026-04-13 00:40:08,https://us.soccerway.com/game/albacete-UirAofN6/cordoba-CWuejruc/?mid=KM6bBKNi,True,none,116,2.42,0.82,1.91,1.3,1.84,6.17,8.45,3.18,101.28
2026-04-13 00:40:20,https://us.soccerway.com/game/albacete-UirAofN6/cordoba-CWuejruc/?mid=Y1bN4Vpg,True,none,44,2.67,0.79,1.42,1.8,1.74,5.83,8.58,2.01,111.87
2026-04-13 00:40:30,https://us.soccerway.com/game/albacete-UirAofN6/dep-la-coruna-Q51ZzMS6/?mid=6DRXcNX8,True,none,44,2.51,1.46,1.71,0.75,1.64,5.86,8.24,3.22,123.33
2026-04-13 00:40:42,https://us.soccerway.com/game/albacete-UirAofN6/dep-la-coruna-Q51ZzMS6/?mid=Q7JAcwsJ,True,none,118,2.61,0.62,1.71,0.81,1.59,5.91,7.51,3.21,134.05
2026-04-13 00:40:52,https://us.soccerway.com/game/albacete-UirAofN6/eibar-OEsEpExD/?mid=82g98aec,True,none,92,1.56,1.68,1.86,1.04,1.82,5.24,8.13,3.94,146.12
2026-04-13 00:41:05,https://us.soccerway.com/game/albacete-UirAofN6/eibar-OEsEpExD/?mid=G8Q9dhzq,True,none,44,2.32,1.01,1.91,1.69,1.69,5.92,8.77,3.05,157.94
2026-04-13 00:41:16,https://us.soccerway.com/game/albacete-UirAofN6/elche-4jl02tPF/?mid=YwbuVd1b,True,none,116,2.09,1.49,1.7,1.79,1.47,5.26,8.7,2.8,169.45
2026-04-13 00:41:28,https://us.soccerway.com/game/albacete-UirAofN6/elche-4jl02tPF/?mid=tEvOrxAE,True,none,44,2.37,0.86,1.8,1.02,1.55,5.72,7.73,2.56,179.73
2026-04-13 00:41:38,https://us.soccerway.com/game/albacete-UirAofN6/eldense-8WUSyF3F/?mid=2u1o9o4b,True,none,94,2.31,1.59,1.69,1.56,1.71,5.71,9.0,2.91,191.64
2026-04-13 00:41:50,https://us.soccerway.com/game/albacete-UirAofN6/eldense-8WUSyF3F/?mid=4bttdVx2,False,no_lineups,40,2.46,1.19,1.41,1.15,1.59,5.46,7.93,3.37,202.94
2026-04-13 00:42:01,https://us.soccerway.com/game/albacete-UirAofN6/fc-cartagena-sad-IJyXDZ6C/?mid=Cdw8zXT7,True,none,44,2.43,1.04,1.38,1.96,1.66,5.47,8.62,2.76,214.32
2026-04-13 00:42:13,https://us.soccerway.com/game/albacete-UirAofN6/fc-cartagena-sad-IJyXDZ6C/?mid=YiwEqdGi,True,none,118,2.43,0.93,1.42,1.28,1.57,5.42,7.79,2.94,225.05
2026-04-13 00:42:24,https://us.soccerway.com/game/albacete-UirAofN6/gijon-69w4Rb2d/?mid=tO9rD8e3,True,none,44,2.45,1.38,1.49,1.44,1.84,5.78,8.76,2.69,236.5
2026-04-13 00:42:35,https://us.soccerway.com/game/albacete-UirAofN6/gijon-69w4Rb2d/?mid=tQKg6b67,True,none,110,2.24,0.61,1.73,1.52,1.67,5.64,7.94,3.77,248.21
2026-04-13 00:42:47,https://us.soccerway.com/game/albacete-UirAofN6/granada-cf-EXuxl1xP/?mid=6eQuWbQ8,True,none,44,2.0,1.29,1.57,1.91,1.77,5.34,8.68,3.17,260.06
2026-04-13 00:42:59,https://us.soccerway.com/game/albacete-UirAofN6/granada-cf-EXuxl1xP/?mid=GtzG5LGk,True,none,116,2.28,1.54,1.9,1.37,1.92,6.1,9.17,3.62,272.85
2026-04-13 00:43:11,https://us.soccerway.com/game/albacete-UirAofN6/huesca-UytPaaEP/?mid=44HSOBgM,True,none,44,2.44,1.61,1.43,0.74,1.92,5.79,8.29,3.67,284.8
2026-04-13 00:43:23,https://us.soccerway.com/game/albacete-UirAofN6/huesca-UytPaaEP/?mid=8nDTDbRa,True,none,118,2.5,1.71,1.51,1.29,1.59,5.6,8.74,3.02,296.57
2026-04-13 00:43:35,https://us.soccerway.com/game/albacete-UirAofN6/levante-G8FL0ShI/?mid=AR3fgRp9,True,none,116,1.79,0.57,1.91,0.82,1.74,5.44,7.01,3.42,307.0
2026-04-13 00:43:46,https://us.soccerway.com/game/albacete-UirAofN6/levante-G8FL0ShI/?mid=K4Jx4agT,True,none,44,2.27,1.11,1.65,1.13,1.61,5.53,7.93,2.4,317.33
2026-04-13 00:43:56,https://us.soccerway.com/game/albacete-UirAofN6/malaga-25tIqYiJ/?mid=KEtX0rDU,True,none,92,2.27,0.93,1.94,1.26,1.71,5.92,8.27,2.51,328.11
2026-04-13 00:44:07,https://us.soccerway.com/game/albacete-UirAofN6/malaga-25tIqYiJ/?mid=YoStgJTj,True,none,44,2.07,0.6,1.45,1.64,1.92,5.44,7.84,2.99,338.94
2026-04-13 00:44:18,https://us.soccerway.com/game/albacete-UirAofN6/mirandes-48Z7G1Sf/?mid=EXHgyJ5s,True,none,118,2.72,1.82,1.35,0.93,1.57,5.64,8.54,2.92,350.39
2026-04-13 00:44:29,https://us.soccerway.com/game/albacete-UirAofN6/mirandes-48Z7G1Sf/?mid=bkDXYFbt,True,none,44,2.6,0.93,1.44,0.88,1.56,5.6,7.58,3.38,361.35
2026-04-13 00:44:40,https://us.soccerway.com/game/albacete-UirAofN6/racing-club-ferrol-zcgwCMgS/?mid=QcQ3Ntdd,True,none,44,2.49,1.9,1.47,0.94,1.86,5.82,8.8,3.21,373.36
2026-04-13 00:44:52,https://us.soccerway.com/game/albacete-UirAofN6/racing-club-ferrol-zcgwCMgS/?mid=Uyzjr1x8,True,none,116,2.95,1.26,1.96,0.9,1.73,6.64,8.98,2.54,384.88
2026-04-13 00:45:03,https://us.soccerway.com/game/albacete-UirAofN6/racing-santander-nVpEwOrl/?mid=hE31fRKt,True,none,92,2.44,1.97,1.87,1.37,1.79,6.1,9.61,3.58,398.07
2026-04-13 00:45:17,https://us.soccerway.com/game/albacete-UirAofN6/racing-santander-nVpEwOrl/?mid=hvsLsK0f,True,none,44,2.48,0.8,1.64,1.25,1.73,5.85,8.04,3.01,409.12
2026-04-13 00:45:28,https://us.soccerway.com/game/albacete-UirAofN6/real-oviedo-SzYzw34K/?mid=4tJ2RJXA,True,none,44,2.46,1.22,1.32,0.63,1.87,5.65,7.66,2.53,419.31
2026-04-13 00:45:38,https://us.soccerway.com/game/albacete-UirAofN6/real-oviedo-SzYzw34K/?mid=tCTh74HD,True,none,94,2.18,1.81,1.86,0.65,1.8,5.84,8.45,2.04,429.8
2026-04-13 00:45:48,https://us.soccerway.com/game/albacete-UirAofN6/tenerife-IHv6nz80/?mid=Ig6Wx265,True,none,94,2.46,1.48,1.54,1.36,1.79,5.79,8.79,3.84,442.43
2026-04-13 00:46:01,https://us.soccerway.com/game/albacete-UirAofN6/tenerife-IHv6nz80/?mid=Qo8HeMrJ,True,none,44,1.9,1.93,1.37,1.17,1.73,5.0,8.27,2.67,453.36
2026-04-13 00:46:12,https://us.soccerway.com/game/albacete-UirAofN6/zaragoza-za7D2lO5/?mid=WvDnVA4d,True,none,92,2.18,1.52,1.9,1.88,1.81,5.89,9.47,2.28,465.11
