scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-13 02:16:08,https://us.soccerway.com/game/alaves-hxt57t2q/ath-bilbao-IP5zl0cJ/?mid=MTyMNC5F,True,none,92,4.17,1.15,1.93,0.64,1.66,7.76,9.69,3.27,12.96
2026-04-13 02:16:21,https://us.soccerway.com/game/alaves-hxt57t2q/ath-bilbao-IP5zl0cJ/?mid=rDwPJUdD,True,none,116,2.75,1.12,2.54,1.46,1.78,7.07,9.79,3.94,26.69
2026-04-13 02:16:35,https://us.soccerway.com/game/alaves-hxt57t2q/atl-madrid-jaarqpLQ/?mid=8x0Qsypd,True,none,116,1.8,0.87,1.67,1.39,1.42,4.89,7.28,2.44,36.41
2026-04-13 02:16:45,https://us.soccerway.com/game/alaves-hxt57t2q/atl-madrid-jaarqpLQ/?mid=vVwOqx6D,True,none,92,2.52,1.55,1.69,1.22,1.44,5.65,8.54,2.41,47.36
2026-04-13 02:16:56,https://us.soccerway.com/game/alaves-hxt57t2q/barcelona-SKbpVP5K/?mid=hzRnqjcC,True,none,46,2.26,1.55,1.57,0.53,1.38,5.21,7.44,3.62,58.42
2026-04-13 02:17:07,https://us.soccerway.com/game/alaves-hxt57t2q/barcelona-SKbpVP5K/?mid=t8uaVxKh,True,none,92,2.22,1.98,1.32,0.92,1.64,5.18,8.22,2.96,69.6
2026-04-13 02:17:18,https://us.soccerway.com/game/alaves-hxt57t2q/betis-vJbTeCGP/?mid=MNr3HRkC,True,none,46,2.3,0.89,1.41,1.47,1.43,5.14,7.64,3.13,80.38
2026-04-13 02:17:29,https://us.soccerway.com/game/alaves-hxt57t2q/betis-vJbTeCGP/?mid=rciODVxp,True,none,94,2.56,0.54,1.73,0.74,1.55,5.84,7.27,2.9,90.55
2026-04-13 02:17:39,https://us.soccerway.com/game/alaves-hxt57t2q/celta-vigo-8pvUZFhf/?mid=4QK5Q8Mk,True,none,92,2.18,1.01,1.73,0.97,1.73,5.64,7.77,2.42,100.74
2026-04-13 02:17:49,https://us.soccerway.com/game/alaves-hxt57t2q/celta-vigo-8pvUZFhf/?mid=nDzACNof,True,none,46,2.03,0.99,1.53,1.53,1.43,4.99,7.64,2.16,110.54
2026-04-13 02:17:59,https://us.soccerway.com/game/alaves-hxt57t2q/espanyol-QFfPdh1J/?mid=CjIFsr1e,True,none,46,2.56,1.01,1.36,0.69,1.8,5.72,7.55,3.68,121.78
2026-04-13 02:18:10,https://us.soccerway.com/game/alaves-hxt57t2q/espanyol-QFfPdh1J/?mid=rBne3yoT,True,none,94,2.04,1.15,1.66,1.23,1.64,5.34,7.86,3.77,133.4
2026-04-13 02:18:22,https://us.soccerway.com/game/alaves-hxt57t2q/getafe-dboeiWOt/?mid=GQgsrG3b,True,none,92,2.26,0.77,2.01,0.5,1.67,5.94,7.35,3.3,144.05
2026-04-13 02:18:32,https://us.soccerway.com/game/alaves-hxt57t2q/getafe-dboeiWOt/?mid=hMoEUjrJ,True,none,46,2.2,0.85,1.47,1.51,1.7,5.37,7.88,2.23,154.16
2026-04-13 02:18:43,https://us.soccerway.com/game/alaves-hxt57t2q/girona-nNNpcUSL/?mid=I5hPIZgT,True,none,116,2.63,0.61,1.43,0.54,1.61,5.67,6.98,2.57,163.71
2026-04-13 02:18:52,https://us.soccerway.com/game/alaves-hxt57t2q/girona-nNNpcUSL/?mid=drfKcJnn,True,none,92,2.54,0.93,1.55,1.23,1.9,5.99,8.32,3.7,175.73
2026-04-13 02:19:04,https://us.soccerway.com/game/alaves-hxt57t2q/las-palmas-IyRQC2vM/?mid=MH5y3WcE,True,none,92,2.71,1.25,1.91,1.3,2.04,6.66,9.36,3.27,188.36
2026-04-13 02:19:17,https://us.soccerway.com/game/alaves-hxt57t2q/las-palmas-IyRQC2vM/?mid=tQQLbGv9,True,none,46,2.22,0.92,1.44,0.65,1.54,5.2,6.9,3.96,199.22
2026-04-13 02:19:28,https://us.soccerway.com/game/alaves-hxt57t2q/leganes-Mi0rXQg7/?mid=WIFl0cjf,True,none,94,2.64,1.2,1.75,0.61,1.45,5.84,7.8,2.36,209.38
2026-04-13 02:19:38,https://us.soccerway.com/game/alaves-hxt57t2q/leganes-Mi0rXQg7/?mid=xdSnotG7,True,none,94,2.15,0.81,1.92,1.03,1.5,5.57,7.55,2.65,219.58
2026-04-13 02:19:48,https://us.soccerway.com/game/alaves-hxt57t2q/mallorca-4jDQxrbf/?mid=02cHDDPH,True,none,56,2.55,0.7,1.62,0.82,1.45,5.62,7.28,3.87,230.73
2026-04-13 02:19:59,https://us.soccerway.com/game/alaves-hxt57t2q/mallorca-4jDQxrbf/?mid=hQ3EQ8ZG,True,none,92,2.39,0.87,1.56,0.88,1.39,5.34,7.24,3.04,241.0
2026-04-13 02:20:09,https://us.soccerway.com/game/alaves-hxt57t2q/osasuna-ETdxjU8a/?mid=6ggmxi3B,True,none,94,1.6,1.87,1.52,1.73,1.53,4.65,8.39,3.2,252.59
2026-04-13 02:20:21,https://us.soccerway.com/game/alaves-hxt57t2q/osasuna-ETdxjU8a/?mid=befPDdVF,True,none,116,1.94,0.76,1.88,0.87,1.66,5.48,7.25,2.98,262.81
2026-04-13 02:20:31,https://us.soccerway.com/game/alaves-hxt57t2q/rayo-vallecano-8bcjFy6O/?mid=Olz0eud5,True,none,118,2.57,1.33,1.82,1.64,1.56,5.95,9.06,3.81,275.69
2026-04-13 02:20:44,https://us.soccerway.com/game/alaves-hxt57t2q/rayo-vallecano-8bcjFy6O/?mid=dhkQFrkl,True,none,56,2.2,1.26,1.71,1.36,1.47,5.38,8.15,3.01,286.85
2026-04-13 02:20:55,https://us.soccerway.com/game/alaves-hxt57t2q/real-madrid-W8mj7MDD/?mid=f5SjRHyR,True,none,46,2.4,0.58,1.41,1.59,1.61,5.42,7.74,2.29,296.88
2026-04-13 02:21:05,https://us.soccerway.com/game/alaves-hxt57t2q/real-madrid-W8mj7MDD/?mid=jcVWEQhe,True,none,116,2.62,0.83,1.71,1.03,1.7,6.03,8.05,3.82,308.75
2026-04-13 02:21:17,https://us.soccerway.com/game/alaves-hxt57t2q/real-sociedad-jNvak2f3/?mid=lSTUh1hc,True,none,116,2.3,0.74,1.35,1.33,1.41,5.06,7.29,3.1,319.15
2026-04-13 02:21:28,https://us.soccerway.com/game/alaves-hxt57t2q/real-sociedad-jNvak2f3/?mid=v1KiOZ2d,True,none,46,2.4,1.63,1.32,1.39,1.55,5.27,8.44,2.43,330.02
2026-04-13 02:21:39,https://us.soccerway.com/game/alaves-hxt57t2q/sevilla-h8oAv4Ts/?mid=IRBb0lXA,True,none,46,1.76,1.03,1.33,0.54,1.52,4.61,6.33,3.33,339.68
2026-04-13 02:21:48,https://us.soccerway.com/game/alaves-hxt57t2q/sevilla-h8oAv4Ts/?mid=dhHEf26m,True,none,118,2.33,1.59,1.63,0.68,1.93,5.89,8.31,3.89,351.88
2026-04-13 02:22:00,https://us.soccerway.com/game/alaves-hxt57t2q/valencia-CQeaytrD/?mid=OjHC1SmK,True,none,92,1.78,1.08,1.47,0.95,1.48,4.73,6.92,2.92,361.72
2026-04-13 02:22:10,https://us.soccerway.com/game/alaves-hxt57t2q/valencia-CQeaytrD/?mid=dfpyRo4t,True,none,116,2.58,1.07,1.79,1.71,1.91,6.28,9.22,2.86,373.8
2026-04-13 02:22:22,https://us.soccerway.com/game/alaves-hxt57t2q/valladolid-zkpajjvm/?mid=CvWs1JoA,True,none,116,2.88,1.36,1.56,1.47,1.87,6.31,9.3,3.84,386.94
2026-04-13 02:22:36,https://us.soccerway.com/game/alaves-hxt57t2q/valladolid-zkpajjvm/?mid=Gz9WD123,True,none,56,1.8,0.66,1.84,1.12,1.66,5.3,7.23,3.37,397.54
2026-04-13 02:22:46,https://us.soccerway.com/game/alaves-hxt57t2q/villarreal-lUatW5jE/?mid=6iCzW3Bd,True,none,92,1.97,1.51,1.88,1.78,1.63,5.48,8.91,2.41,408.86
2026-04-13 02:22:57,https://us.soccerway.com/game/alaves-hxt57t2q/villarreal-lUatW5jE/?mid=bXuieB8c,True,none,56,2.36,0.75,1.52,1.09,1.86,5.74,7.72,3.78,420.36
2026-04-13 02:23:09,https://us.soccerway.com/game/ath-bilbao-IP5zl0cJ/atl-madrid-jaarqpLQ/?mid=SM0npHPF,True,none,46,2.05,1.25,1.7,1.56,1.83,5.58,8.53,2.01,430.9
2026-04-13 02:23:19,https://us.soccerway.com/game/ath-bilbao-IP5zl0cJ/atl-madrid-jaarqpLQ/?mid=v3uoPebC,True,none,92,2.39,1.46,1.42,0.67,1.48,5.29,7.57,2.85,441.32
