scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-12 11:50:08,https://us.soccerway.com/game/adanademirspor-8AShqI0G/alanyaspor-IcN8oPcJ/?mid=YR7PQTP1,True,none,94,4.77,1.0,1.73,1.52,1.55,8.05,10.72,3.76,14.48
2026-04-12 11:50:23,https://us.soccerway.com/game/adanademirspor-8AShqI0G/alanyaspor-IcN8oPcJ/?mid=pxf3sU0C,True,none,46,2.55,0.81,2.05,0.6,1.79,6.39,7.94,2.85,25.27
2026-04-12 11:50:34,https://us.soccerway.com/game/adanademirspor-8AShqI0G/antalyaspor-GAtxDHF9/?mid=nByrmKt4,True,none,92,2.61,1.58,1.77,1.48,1.57,5.95,9.14,3.42,37.83
2026-04-12 11:50:46,https://us.soccerway.com/game/adanademirspor-8AShqI0G/antalyaspor-GAtxDHF9/?mid=pdQF3KHE,True,none,46,2.38,1.53,2.05,0.74,1.44,5.87,8.3,3.96,50.09
2026-04-12 11:50:59,https://us.soccerway.com/game/adanademirspor-8AShqI0G/basaksehir-YqP5NmC1/?mid=4U8sWUXF,True,none,94,2.25,1.85,1.79,1.4,1.43,5.47,8.86,2.4,61.36
2026-04-12 11:51:10,https://us.soccerway.com/game/adanademirspor-8AShqI0G/basaksehir-YqP5NmC1/?mid=hKM3FUd5,True,none,116,2.06,1.52,1.73,0.56,1.57,5.36,7.6,2.35,71.3
2026-04-12 11:51:20,https://us.soccerway.com/game/adanademirspor-8AShqI0G/besiktas-IDmErJCR/?mid=2kIGj2E6,True,none,94,2.61,0.58,1.83,0.85,1.53,5.97,7.54,3.39,82.24
2026-04-12 11:51:31,https://us.soccerway.com/game/adanademirspor-8AShqI0G/besiktas-IDmErJCR/?mid=zNbvjgCd,True,none,118,1.58,1.68,1.59,1.55,1.9,5.07,8.44,2.78,93.45
2026-04-12 11:51:42,https://us.soccerway.com/game/adanademirspor-8AShqI0G/bodrumspor-tAyqUIUd/?mid=fwhlL4hm,True,none,92,2.6,1.22,1.67,1.76,1.92,6.19,9.32,3.03,105.81
2026-04-12 11:51:54,https://us.soccerway.com/game/adanademirspor-8AShqI0G/bodrumspor-tAyqUIUd/?mid=t2rJLDfc,True,none,46,2.21,1.54,1.51,0.85,1.65,5.37,7.91,3.82,117.53
2026-04-12 11:52:06,https://us.soccerway.com/game/adanademirspor-8AShqI0G/eyupspor-276zKCgt/?mid=EyY1bN3N,True,none,118,2.24,1.75,1.77,0.5,1.45,5.46,7.87,2.15,127.55
2026-04-12 11:52:16,https://us.soccerway.com/game/adanademirspor-8AShqI0G/eyupspor-276zKCgt/?mid=l473BNXr,True,none,56,2.78,1.23,1.86,1.93,1.6,6.24,9.54,3.59,140.68
2026-04-12 11:52:29,https://us.soccerway.com/game/adanademirspor-8AShqI0G/fenerbahce-MsbmracL/?mid=QHYrZjj2,True,none,44,3.02,1.01,1.5,1.04,1.41,5.93,8.13,3.68,152.48
2026-04-12 11:52:41,https://us.soccerway.com/game/adanademirspor-8AShqI0G/fenerbahce-MsbmracL/?mid=zFOkrGxn,True,none,94,2.13,0.73,1.57,1.96,1.94,5.64,8.49,3.66,164.63
2026-04-12 11:52:53,https://us.soccerway.com/game/adanademirspor-8AShqI0G/galatasaray-riaqqurF/?mid=2whGRQ4c,True,none,46,2.44,0.62,1.91,1.89,1.96,6.31,8.97,2.61,176.21
2026-04-12 11:53:05,https://us.soccerway.com/game/adanademirspor-8AShqI0G/galatasaray-riaqqurF/?mid=zBYwRH2m,True,none,92,2.38,0.95,1.95,0.96,1.66,5.99,8.05,3.64,187.9
2026-04-12 11:53:17,https://us.soccerway.com/game/adanademirspor-8AShqI0G/gaziantep-ITkIKZ7q/?mid=2iwAiO9M,True,none,118,2.6,1.21,1.65,1.17,1.77,6.02,8.57,3.03,199.5
