scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-16 19:45:57,https://us.soccerway.com/game/ajman-CtP7yoRa/al-ain-UX1exRBg/?mid=KrLCQZWP,True,none,115,12.45,1.67,1.67,0.72,1.75,15.87,18.4,2.57,20.97
2026-04-16 19:46:18,https://us.soccerway.com/game/ajman-CtP7yoRa/al-ain-UX1exRBg/?mid=xATzdP1l,False,no_stats,17,2.08,1.08,1.79,0.0,0.0,3.87,5.02,3.98,29.97
2026-04-16 19:46:27,https://us.soccerway.com/game/ajman-CtP7yoRa/al-bataeh-ABf8Ftqg/?mid=8bVdRhu0,True,none,117,2.36,1.25,2.39,1.76,1.88,6.63,9.77,3.39,43.13
2026-04-16 19:46:40,https://us.soccerway.com/game/ajman-CtP7yoRa/al-bataeh-ABf8Ftqg/?mid=thnskX9r,False,no_stats,17,1.8,0.81,2.02,0.0,0.0,3.82,4.7,2.22,50.05
2026-04-16 19:46:47,https://us.soccerway.com/game/ajman-CtP7yoRa/al-dhafra-WnyRy5t6/?mid=A3ikzInT,True,none,115,2.28,1.8,1.44,0.6,1.87,5.59,8.14,2.52,60.71
2026-04-16 19:46:57,https://us.soccerway.com/game/ajman-CtP7yoRa/al-jazira-WUREBBlh/?mid=fgMiRM3b,True,none,115,3.04,1.15,1.57,1.37,1.77,6.38,9.03,3.64,73.38
2026-04-16 19:47:10,https://us.soccerway.com/game/ajman-CtP7yoRa/al-nasr-40ZYZrBI/?mid=dleBBdte,True,none,117,2.16,1.94,1.67,0.73,1.39,5.22,8.03,2.44,83.85
2026-04-16 19:47:20,https://us.soccerway.com/game/ajman-CtP7yoRa/al-sharjah-YqFkJ2t6/?mid=A1Y3xv5b,True,none,115,2.32,0.61,1.65,1.8,1.79,5.76,8.32,2.3,94.47
2026-04-16 19:47:31,https://us.soccerway.com/game/ajman-CtP7yoRa/al-sharjah-YqFkJ2t6/?mid=jRp4hr1m,True,none,115,2.13,1.13,1.61,1.96,1.65,5.39,8.63,2.22,105.32
2026-04-16 19:47:42,https://us.soccerway.com/game/ajman-CtP7yoRa/al-wahda-21AL1RQp/?mid=4UAw7sGt,True,none,117,2.71,0.88,1.37,1.51,1.3,5.38,7.91,3.23,116.47
2026-04-16 19:47:53,https://us.soccerway.com/game/ajman-CtP7yoRa/al-wahda-21AL1RQp/?mid=KUG2Dcfo,True,none,115,2.47,0.82,1.34,1.15,1.48,5.29,7.41,2.64,126.52
2026-04-16 19:48:03,https://us.soccerway.com/game/ajman-CtP7yoRa/al-wasl-OQuUcn3P/?mid=UJubIc2e,True,none,115,1.62,0.94,1.51,1.18,1.89,5.02,7.28,2.64,136.44
2026-04-16 19:48:13,https://us.soccerway.com/game/ajman-CtP7yoRa/al-wasl-OQuUcn3P/?mid=bBYC9gfo,True,none,115,2.11,0.91,2.14,1.29,1.74,5.99,8.34,3.52,148.3
2026-04-16 19:48:25,https://us.soccerway.com/game/ajman-CtP7yoRa/bani-yas-8riCzYNT/?mid=ALdokHl4,True,none,115,2.25,1.29,1.58,1.29,1.63,5.46,8.18,2.96,159.44
2026-04-16 19:48:36,https://us.soccerway.com/game/ajman-CtP7yoRa/bani-yas-8riCzYNT/?mid=vkTUalO0,True,none,115,2.12,1.91,1.77,1.92,1.52,5.41,9.37,2.42,171.23
2026-04-16 19:48:48,https://us.soccerway.com/game/ajman-CtP7yoRa/dibba-al-fujairah-2eHlABP4/?mid=URvf4KpA,False,no_stats,17,1.71,0.75,1.59,0.0,0.0,3.3,4.13,2.29,177.65
2026-04-16 19:48:54,https://us.soccerway.com/game/ajman-CtP7yoRa/ittihad-kalba-CxR74upk/?mid=40wZLqCC,True,none,115,2.44,1.0,1.27,1.94,1.72,5.43,8.52,2.6,188.77
2026-04-16 19:49:05,https://us.soccerway.com/game/ajman-CtP7yoRa/ittihad-kalba-CxR74upk/?mid=tKeWshmS,True,none,117,2.38,1.53,1.86,1.82,1.81,6.05,9.55,2.76,201.08
2026-04-16 19:49:18,https://us.soccerway.com/game/ajman-CtP7yoRa/khorfakkan-AwzVzPeC/?mid=2iFhqnIr,True,none,115,2.58,1.42,1.65,1.22,1.74,5.97,8.75,3.12,212.95
2026-04-16 19:49:30,https://us.soccerway.com/game/ajman-CtP7yoRa/khorfakkan-AwzVzPeC/?mid=Q9rwvqnf,True,none,117,2.13,1.9,1.35,1.25,1.66,5.14,8.43,2.27,223.65
2026-04-16 19:49:40,https://us.soccerway.com/game/ajman-CtP7yoRa/shabab-al-ahli-dubai-EiQ5g3JL/?mid=4YbLgGJF,True,none,115,2.38,0.72,1.71,1.92,1.5,5.59,8.37,3.01,235.03
2026-04-16 19:49:52,https://us.soccerway.com/game/ajman-CtP7yoRa/shabab-al-ahli-dubai-EiQ5g3JL/?mid=rDBcMh6e,True,none,115,2.13,0.61,1.7,1.24,1.57,5.4,7.39,3.29,245.71
2026-04-16 19:50:02,https://us.soccerway.com/game/al-ain-UX1exRBg/al-bataeh-ABf8Ftqg/?mid=jFQWIJWN,True,none,117,1.87,1.23,1.8,1.18,1.35,5.02,7.57,2.99,256.27
2026-04-16 19:50:13,https://us.soccerway.com/game/al-ain-UX1exRBg/al-dhafra-WnyRy5t6/?mid=tAKaP0YA,True,none,115,1.61,1.91,1.39,0.77,1.41,4.41,7.23,2.37,265.86
2026-04-16 19:50:23,https://us.soccerway.com/game/al-ain-UX1exRBg/al-jazira-WUREBBlh/?mid=ph2NqEIF,True,none,115,1.68,1.78,1.72,1.48,1.33,4.73,8.13,3.78,277.77
2026-04-16 19:50:35,https://us.soccerway.com/game/al-ain-UX1exRBg/al-jazira-WUREBBlh/?mid=tzbcH5Di,True,none,117,2.6,0.97,1.45,0.54,1.84,5.89,7.54,3.26,288.57
2026-04-16 19:50:45,https://us.soccerway.com/game/al-ain-UX1exRBg/al-nasr-40ZYZrBI/?mid=U9oO7gi2,True,none,117,2.38,1.85,1.84,1.33,1.78,6.0,9.33,2.8,300.7
2026-04-16 19:50:57,https://us.soccerway.com/game/al-ain-UX1exRBg/al-nasr-40ZYZrBI/?mid=WlzBzAu2,True,none,117,1.67,0.92,1.92,1.72,1.28,4.87,7.65,2.19,310.55
2026-04-16 19:51:07,https://us.soccerway.com/game/al-ain-UX1exRBg/al-sharjah-YqFkJ2t6/?mid=bm8YN5s0,True,none,115,1.72,0.61,1.77,1.14,2.07,5.56,7.45,3.28,321.28
2026-04-16 19:51:18,https://us.soccerway.com/game/al-ain-UX1exRBg/al-wahda-21AL1RQp/?mid=lGsRuMIi,True,none,115,2.22,1.88,1.39,1.8,1.61,5.22,9.04,2.3,332.62
2026-04-16 19:51:29,https://us.soccerway.com/game/al-ain-UX1exRBg/al-wahda-21AL1RQp/?mid=pt7BauUH,True,none,115,2.31,1.15,1.43,0.97,1.56,5.3,7.56,3.09,343.27
2026-04-16 19:51:40,https://us.soccerway.com/game/al-ain-UX1exRBg/al-wasl-OQuUcn3P/?mid=pM0BfgnL,True,none,115,1.82,0.59,1.88,1.18,1.58,5.28,7.2,3.71,354.18
2026-04-16 19:51:51,https://us.soccerway.com/game/al-ain-UX1exRBg/al-wasl-OQuUcn3P/?mid=zRl6NAvP,True,none,115,2.08,1.24,1.71,1.74,1.59,5.38,8.5,2.94,365.62
2026-04-16 19:52:02,https://us.soccerway.com/game/al-ain-UX1exRBg/bani-yas-8riCzYNT/?mid=WW69u4H7,True,none,115,2.48,0.97,1.85,1.74,1.68,6.01,8.87,3.32,377.8
2026-04-16 19:52:15,https://us.soccerway.com/game/al-ain-UX1exRBg/bani-yas-8riCzYNT/?mid=vmHoz1oJ,True,none,117,2.11,1.95,1.87,1.64,1.51,5.49,9.23,2.33,389.36
2026-04-16 19:52:26,https://us.soccerway.com/game/al-ain-UX1exRBg/dibba-al-fujairah-2eHlABP4/?mid=zynMXncc,True,none,117,2.16,0.81,1.99,1.79,1.84,5.99,8.75,3.49,401.6
2026-04-16 19:52:38,https://us.soccerway.com/game/al-ain-UX1exRBg/ittihad-kalba-CxR74upk/?mid=jsT22bFM,True,none,115,2.04,1.64,1.67,1.77,1.27,4.98,8.53,3.58,413.71
2026-04-16 19:52:51,https://us.soccerway.com/game/al-ain-UX1exRBg/ittihad-kalba-CxR74upk/?mid=xMNQXYdd,True,none,115,2.08,0.82,1.79,1.66,1.64,5.51,8.15,3.97,425.83
2026-04-16 19:53:03,https://us.soccerway.com/game/al-ain-UX1exRBg/khorfakkan-AwzVzPeC/?mid=2eBxMIKH,True,none,117,2.05,1.7,1.29,1.14,1.71,5.05,8.0,2.57,436.4
2026-04-16 19:53:13,https://us.soccerway.com/game/al-ain-UX1exRBg/khorfakkan-AwzVzPeC/?mid=K6KLJKan,True,none,115,1.94,0.92,1.53,1.92,1.29,4.76,7.74,3.84,447.98
2026-04-16 19:53:25,https://us.soccerway.com/game/al-ain-UX1exRBg/shabab-al-ahli-dubai-EiQ5g3JL/?mid=lGBjTZRp,True,none,115,2.41,0.5,1.49,1.08,1.75,5.65,7.37,3.95,459.3
