scraped_at,url,success,reason,non_empty_fields,t_summary_s,sleep_after_summary_s,t_stats_s,sleep_after_stats_s,t_lineups_s,t_scrape_only_s,t_total_s,sleep_before_next_match_s,cumulative_total_s
2026-04-11 18:05:27,https://us.soccerway.com/game/al-ahly-EPsYDm4A/fc-porto-S2NmScGp/?mid=h6sjFqg4,True,none,118,2.81,1.46,1.52,1.26,2.05,6.38,9.26,3.87,13.13
2026-04-11 18:05:40,https://us.soccerway.com/game/al-ahly-EPsYDm4A/inter-miami-0AheRyBg/?mid=bqMG0pvB,True,none,116,2.81,0.88,1.49,1.62,1.95,6.25,8.91,2.73,24.77
2026-04-11 18:05:51,https://us.soccerway.com/game/al-ahly-EPsYDm4A/palmeiras-hMn9FTbH/?mid=p0KObO8N,True,none,116,1.97,1.96,1.96,1.66,1.42,5.35,9.13,2.83,36.73
2026-04-11 18:06:03,https://us.soccerway.com/game/al-ain-UX1exRBg/juventus-C06aJvIB/?mid=YJXghGnp,True,none,118,2.65,1.58,1.85,0.68,1.62,6.12,8.54,3.3,48.58
2026-04-11 18:06:15,https://us.soccerway.com/game/al-ain-UX1exRBg/manchester-city-Wtn9Stg0/?mid=6oo1jfHd,True,none,116,2.74,0.62,1.92,0.66,1.5,6.16,7.59,2.29,58.46
2026-04-11 18:06:25,https://us.soccerway.com/game/al-ain-UX1exRBg/wydad-athletic-2yuuwjkA/?mid=h272fOZR,True,none,116,1.74,1.21,1.89,0.94,1.45,5.08,7.38,2.91,68.75
2026-04-11 18:06:35,https://us.soccerway.com/game/al-hilal-hxxcePl9/fluminense-EV9L3kU4/?mid=WQD4WasH,True,none,116,2.87,1.82,1.91,1.6,1.75,6.53,10.1,2.88,81.72
2026-04-11 18:06:48,https://us.soccerway.com/game/al-hilal-hxxcePl9/manchester-city-Wtn9Stg0/?mid=Sbld5SC5,True,none,118,3.0,0.89,1.43,0.78,1.55,5.98,7.81,2.75,92.28
2026-04-11 18:06:59,https://us.soccerway.com/game/al-hilal-hxxcePl9/pachuca-QT16qrtK/?mid=MwZ81use,True,none,116,3.03,1.31,1.56,1.31,1.76,6.35,9.11,3.15,104.54
2026-04-11 18:07:11,https://us.soccerway.com/game/al-hilal-hxxcePl9/real-madrid-W8mj7MDD/?mid=MHcYl2ck,True,none,116,3.15,0.61,1.43,1.85,1.42,6.0,8.62,3.79,116.95
2026-04-11 18:07:24,https://us.soccerway.com/game/al-hilal-hxxcePl9/salzburg-Olvehxrl/?mid=65Xy9NlL,True,none,116,2.68,1.59,1.8,0.5,1.64,6.12,8.36,2.69,128.0
2026-04-11 18:07:35,https://us.soccerway.com/game/atl-madrid-jaarqpLQ/botafogo-rj-jXzWoWa5/?mid=r9ac9EMr,True,none,116,1.89,1.73,2.01,1.97,1.84,5.74,9.59,3.3,140.88
2026-04-11 18:07:48,https://us.soccerway.com/game/atl-madrid-jaarqpLQ/psg-CjhkPw0k/?mid=b3pbDNNG,True,none,116,2.16,1.57,1.88,1.74,1.95,5.99,9.45,3.54,153.87
2026-04-11 18:08:01,https://us.soccerway.com/game/atl-madrid-jaarqpLQ/seattle-sounders-6P5S63Ah/?mid=697PTr8c,True,none,118,2.45,1.19,1.42,1.04,1.54,5.41,7.77,3.3,164.94
2026-04-11 18:08:12,https://us.soccerway.com/game/auckland-city-ddkU52k3/bayern-munich-nVp0wiqd/?mid=jZ257hie,True,none,118,2.75,0.65,1.84,1.15,1.45,6.04,8.0,3.48,176.43
2026-04-11 18:08:23,https://us.soccerway.com/game/auckland-city-ddkU52k3/benfica-zBkyuyRI/?mid=Ygx9RDrR,True,none,116,3.07,0.63,1.34,0.92,1.97,6.38,8.08,2.22,186.73
2026-04-11 18:08:33,https://us.soccerway.com/game/auckland-city-ddkU52k3/boca-juniors-hMrWAFH0/?mid=QiHmKVz1,True,none,118,2.86,0.92,1.84,0.73,1.49,6.19,8.0,3.95,198.67
2026-04-11 18:08:45,https://us.soccerway.com/game/bayern-munich-nVp0wiqd/benfica-zBkyuyRI/?mid=UPNvMi6l,True,none,116,2.21,1.64,1.52,1.24,1.48,5.21,8.25,2.39,209.31
2026-04-11 18:08:56,https://us.soccerway.com/game/bayern-munich-nVp0wiqd/boca-juniors-hMrWAFH0/?mid=veq0TZDE,True,none,116,2.87,0.79,1.53,1.02,1.38,5.78,7.75,3.09,220.15
2026-04-11 18:09:07,https://us.soccerway.com/game/bayern-munich-nVp0wiqd/flamengo-rj-WjxY29qB/?mid=jom5jMz0,True,none,116,2.12,1.05,1.98,0.98,1.86,5.96,8.15,3.24,231.54
2026-04-11 18:09:18,https://us.soccerway.com/game/bayern-munich-nVp0wiqd/psg-CjhkPw0k/?mid=ryCNWSxJ,True,none,116,3.0,0.59,1.91,0.51,1.42,6.33,7.57,3.2,242.31
2026-04-11 18:09:29,https://us.soccerway.com/game/benfica-zBkyuyRI/boca-juniors-hMrWAFH0/?mid=CliE5WL7,True,none,118,1.69,0.87,1.62,0.93,2.06,5.37,7.32,3.0,252.63
2026-04-11 18:09:39,https://us.soccerway.com/game/benfica-zBkyuyRI/chelsea-4fGZN2oK/?mid=4zrPZnmL,True,none,116,2.84,0.59,1.39,1.35,1.8,6.03,8.13,2.86,263.62
2026-04-11 18:09:50,https://us.soccerway.com/game/botafogo-rj-jXzWoWa5/palmeiras-hMn9FTbH/?mid=phWo4X3K,True,none,116,2.55,1.51,1.6,1.02,1.74,5.89,8.58,2.72,274.92
2026-04-11 18:10:02,https://us.soccerway.com/game/botafogo-rj-jXzWoWa5/psg-CjhkPw0k/?mid=j1Px6uGj,True,none,116,2.09,1.48,1.73,1.36,1.41,5.23,8.23,2.49,285.63
2026-04-11 18:10:12,https://us.soccerway.com/game/botafogo-rj-jXzWoWa5/seattle-sounders-6P5S63Ah/?mid=KIY6B1hT,True,none,118,3.28,1.4,1.71,0.72,1.87,6.86,9.13,3.3,298.06
2026-04-11 18:10:25,https://us.soccerway.com/game/chelsea-4fGZN2oK/esperance-tunis-bVINpDMl/?mid=lfUwVnkJ,True,none,118,2.82,1.45,1.45,0.57,1.91,6.18,8.35,3.39,309.8
2026-04-11 18:10:37,https://us.soccerway.com/game/chelsea-4fGZN2oK/flamengo-rj-WjxY29qB/?mid=OnqEziLs,True,none,116,1.3,0.79,1.74,1.9,1.99,5.03,7.87,2.73,320.4
2026-04-11 18:10:47,https://us.soccerway.com/game/chelsea-4fGZN2oK/fluminense-EV9L3kU4/?mid=reEVCHGk,True,none,116,2.82,1.78,1.76,1.64,1.94,6.52,10.11,2.36,332.87
2026-04-11 18:11:00,https://us.soccerway.com/game/chelsea-4fGZN2oK/los-angeles-fc-txUJt9AR/?mid=d8JQoqtC,True,none,116,2.57,1.64,1.89,1.89,1.68,6.14,9.84,3.92,346.63
2026-04-11 18:11:13,https://us.soccerway.com/game/chelsea-4fGZN2oK/palmeiras-hMn9FTbH/?mid=Gln6EMZ2,True,none,116,3.08,1.5,1.69,1.72,1.81,6.58,9.97,3.9,360.5
2026-04-11 18:11:27,https://us.soccerway.com/game/chelsea-4fGZN2oK/psg-CjhkPw0k/?mid=MiAsglW8,True,none,116,2.36,0.66,1.77,0.78,1.63,5.76,7.36,3.76,371.62
2026-04-11 18:11:38,https://us.soccerway.com/game/club-america-vyrswtJm/los-angeles-fc-txUJt9AR/?mid=dYO5VpfB,True,none,118,3.02,1.89,1.36,1.04,1.62,6.0,9.08,2.88,383.58
2026-04-11 18:11:50,https://us.soccerway.com/game/dortmund-nP1i5US1/fluminense-EV9L3kU4/?mid=Wn3Va7lg,True,none,116,2.29,0.52,1.84,0.96,1.69,5.82,7.46,3.61,394.65
2026-04-11 18:12:02,https://us.soccerway.com/game/dortmund-nP1i5US1/mamelodi-sundowns-lxZ6Bzh6/?mid=h0CKwHXj,True,none,118,2.31,1.39,1.58,1.56,1.94,5.83,8.93,3.35,406.93
2026-04-11 18:12:14,https://us.soccerway.com/game/dortmund-nP1i5US1/monterrey-Ya23C2Zs/?mid=Ch9PC9Qp,True,none,118,3.26,0.65,1.37,1.4,1.65,6.28,8.49,2.69,418.11
2026-04-11 18:12:25,https://us.soccerway.com/game/dortmund-nP1i5US1/real-madrid-W8mj7MDD/?mid=ULLG1GFM,True,none,116,3.16,1.65,1.76,1.02,1.84,6.76,9.59,2.32,430.02
2026-04-11 18:12:37,https://us.soccerway.com/game/dortmund-nP1i5US1/ulsan-hyundai-EVEwgyOM/?mid=tMhFabfA,True,none,116,1.95,1.42,1.65,1.0,1.76,5.36,7.94,2.08,440.04
2026-04-11 18:12:47,https://us.soccerway.com/game/esperance-tunis-bVINpDMl/flamengo-rj-WjxY29qB/?mid=YHKeI95D,True,none,116,2.75,1.09,1.64,0.94,1.84,6.23,8.41,3.43,451.88
2026-04-11 18:12:59,https://us.soccerway.com/game/esperance-tunis-bVINpDMl/los-angeles-fc-txUJt9AR/?mid=hzDZqNAO,True,none,116,2.47,0.68,1.43,1.81,1.98,5.88,8.51,3.47,463.86
2026-04-11 18:13:11,https://us.soccerway.com/game/fc-porto-S2NmScGp/inter-miami-0AheRyBg/?mid=4p1eg2Wp,True,none,116,2.74,0.52,1.51,1.93,1.91,6.16,8.76,2.09,474.72
2026-04-11 18:13:22,https://us.soccerway.com/game/fc-porto-S2NmScGp/palmeiras-hMn9FTbH/?mid=xUX7269b,True,none,116,2.65,0.94,1.65,1.31,1.51,5.81,8.2,3.05,485.97
2026-04-11 18:13:33,https://us.soccerway.com/game/flamengo-rj-WjxY29qB/los-angeles-fc-txUJt9AR/?mid=rahq4Qet,True,none,116,3.01,0.89,1.56,1.03,1.88,6.45,8.53,2.48,496.98
2026-04-11 18:13:44,https://us.soccerway.com/game/fluminense-EV9L3kU4/inter-Iw7eKK25/?mid=S0iCzDIi,True,none,118,2.62,0.9,2.1,1.7,1.83,6.55,9.31,3.68,509.97
2026-04-11 18:13:57,https://us.soccerway.com/game/fluminense-EV9L3kU4/mamelodi-sundowns-lxZ6Bzh6/?mid=pfa61KPc,True,none,116,2.7,0.59,1.54,0.61,1.61,5.85,7.22,2.95,520.14
2026-04-11 18:14:07,https://us.soccerway.com/game/fluminense-EV9L3kU4/ulsan-hyundai-EVEwgyOM/?mid=0SfndPmI,True,none,118,2.85,0.53,1.84,1.68,1.99,6.68,9.02,3.46,532.62
2026-04-11 18:14:20,https://us.soccerway.com/game/inter-Iw7eKK25/monterrey-Ya23C2Zs/?mid=pGCemU4m,True,none,118,2.99,1.24,1.7,1.13,1.58,6.27,8.8,2.9,544.32
2026-04-11 18:14:31,https://us.soccerway.com/game/inter-Iw7eKK25/river-plate-EVqSBe2f/?mid=ML7KsQYO,True,none,116,2.34,1.47,1.97,0.6,1.35,5.66,7.87,2.86,555.05
2026-04-11 18:14:42,https://us.soccerway.com/game/inter-Iw7eKK25/urawa-reds-C8IHSxPk/?mid=l89Cqn4C,True,none,116,3.06,1.61,1.84,1.13,1.72,6.62,9.52,3.46,568.03
2026-04-11 18:14:55,https://us.soccerway.com/game/inter-miami-0AheRyBg/palmeiras-hMn9FTbH/?mid=dvlsH5Oi,True,none,116,2.88,1.29,1.87,1.52,1.98,6.73,9.7,3.32,581.05
2026-04-11 18:15:08,https://us.soccerway.com/game/inter-miami-0AheRyBg/psg-CjhkPw0k/?mid=tOHHbBRs,True,none,118,3.06,1.91,1.92,1.59,2.09,7.07,10.74,3.26,595.05
2026-04-11 18:15:22,https://us.soccerway.com/game/juventus-C06aJvIB/manchester-city-Wtn9Stg0/?mid=dzEgdp5F,True,none,116,2.69,0.5,1.68,0.97,1.95,6.32,7.96,2.33,605.34
2026-04-11 18:15:32,https://us.soccerway.com/game/juventus-C06aJvIB/real-madrid-W8mj7MDD/?mid=zPi436sI,True,none,118,3.1,0.9,1.88,1.24,1.6,6.58,8.85,3.54,617.73
2026-04-11 18:15:45,https://us.soccerway.com/game/juventus-C06aJvIB/wydad-athletic-2yuuwjkA/?mid=OMFob6z3,True,none,116,2.67,0.63,1.74,1.19,1.74,6.15,8.12,2.43,628.28
2026-04-11 18:15:55,https://us.soccerway.com/game/mamelodi-sundowns-lxZ6Bzh6/ulsan-hyundai-EVEwgyOM/?mid=h2ivboJ5,True,none,116,2.62,1.94,1.62,1.49,1.77,6.01,9.59,3.12,640.98
2026-04-11 18:16:08,https://us.soccerway.com/game/manchester-city-Wtn9Stg0/wydad-athletic-2yuuwjkA/?mid=lndNcxPM,True,none,116,2.2,1.02,1.69,0.7,1.87,5.76,7.64,2.67,651.29
2026-04-11 18:16:18,https://us.soccerway.com/game/monterrey-Ya23C2Zs/river-plate-EVqSBe2f/?mid=htG3o8Za,True,none,116,2.56,0.52,1.96,1.01,1.89,6.41,8.1,3.11,662.5
2026-04-11 18:16:30,https://us.soccerway.com/game/monterrey-Ya23C2Zs/urawa-reds-C8IHSxPk/?mid=OMaN1TJt,True,none,116,2.44,0.53,1.45,1.86,2.02,5.91,8.47,3.96,674.93
2026-04-11 18:16:42,https://us.soccerway.com/game/pachuca-QT16qrtK/real-madrid-W8mj7MDD/?mid=AwvTAqK8,True,none,116,2.92,1.23,1.93,1.05,1.67,6.52,8.93,2.05,685.91
2026-04-11 18:16:53,https://us.soccerway.com/game/pachuca-QT16qrtK/salzburg-Olvehxrl/?mid=rXosmtS1,True,none,118,3.05,1.21,1.52,1.25,1.82,6.39,9.01,3.71,698.63
2026-04-11 18:17:06,https://us.soccerway.com/game/psg-CjhkPw0k/real-madrid-W8mj7MDD/?mid=nobj4McD,True,none,116,1.81,1.56,1.89,0.77,1.48,5.18,7.66,2.9,709.19
2026-04-11 18:17:16,https://us.soccerway.com/game/psg-CjhkPw0k/seattle-sounders-6P5S63Ah/?mid=vN5XRMxA,True,none,116,3.15,1.53,1.51,0.66,1.94,6.6,8.95,3.78,721.91
2026-04-11 18:17:29,https://us.soccerway.com/game/real-madrid-W8mj7MDD/salzburg-Olvehxrl/?mid=2yJ731Cr,True,none,116,2.62,0.82,1.79,1.37,2.16,6.57,8.91,2.29,733.11
2026-04-11 18:17:40,https://us.soccerway.com/game/river-plate-EVqSBe2f/urawa-reds-C8IHSxPk/?mid=0ryPhjsQ,True,none,118,2.72,1.03,1.38,0.97,1.93,6.03,8.18,0.0,741.29
